 Tweet Text, Informativeness
#Intern #US #TATTOO #Wisconsin #Ohio #NC #PA #Florida #Colorado #Iowa #Nevada #Virginia #NV #mlb Travel Destinations---&gt;http://t.co/TIHBJKF2,Not related
Welcome to our newest STUDENTathlete- Reagan Biechler from Colorado Springs (CO) ’13- Baseball. http://t.co/lzeiYMpq,Not related
Denver Post: #Colorado governor signs bill creating rules for public access to ballots http://t.co/Hmp1wQ8P #opengov,Not related
Pretty sure I'm going to live in Manitou Springs CO someday. Maybe live here and work in Colorado Springs?? #theplan,Not related
Flying over the beautiful snow capped #mountains of #colorado #livingsocial #iphonesia #hdr #instagood  http://t.co/tCgmQ2xI,Not related
It isn't a beach but just as great #colorado #summer  http://t.co/NPi5wJ9n,Not related
#colorado. Told you its #amazing http://t.co/6z0Qq7qe,Not applicable
checkmate payday loans colorado springs http://t.co/8pSlcpVV,Not related
Free #HTC #Wildfire S 250 minutes 5000 texts and 500MB data for only £7.50 per month at #Carphone.. #deals http://t.co/jpvMwt6r,Not related
Wildly popular Tough Mudder adventure race gives #Colorado ski areas some summertime crowds: http://t.co/Lyj5MxDC,Not related
day 9- your view. there's no other view like one on top of a mountain. i miss camp so much. #colorado  http://t.co/3RaO8P7b,Not related
#Colorado http://t.co/PIEZEJM8,Not related
The Champ http://t.co/FzYGdD4O Statue Pro Rodeo Hall Of Fame Colorado Springs #photo #statue #Rodeo,Not related
#Evacuation center Cache La Poudre Middle School 3515 West County Road 54G in Laporte. #Colorado #Wildfire,Related and informative
Frontier Ranch here I come!!!! #timetodrive24hours #tooexcitedtobebored #Colorado @Rochelleee24 @YoungLifeCRHS,Not related
Normal people watching horse related programming today are watching the Belmont Stakes. @Lilah86 is watching #Wildfire.,Not related
20F degrees cooler tomorrow in North Central &amp; Northeastern #Colorado. Highs in the mid and upper 70'S. #HighParkFire #COwx #Heat #Coolbreak,Related and informative
The only good thing about driving down Arapahoe road... The view. #Colorado,Not related
FEMA has authorized the use of federal funds to help with firefighting costs for the #HighParkFire. http://t.co/whxlpPEP,Related and informative
#Media Large wildfire in N. Colorado prompts evacuations: Crews are battling a fast-moving wildf... http://t.co/ju1BGTKH #Politics #News,Related and informative
Large wildfire in northern Colorado prompts evacuations - Fox News: CBS NewsLarge wildfire in northern Colorado ... http://t.co/BvG6xSRH,Related and informative
Wildfires in Colorado and New Mexico ravage thousands of acres of forest and cause massiv... http://t.co/SZuFABvb + http://t.co/8uX1AJmQ,Related and informative
India Large wildfire in N. Colorado prompts evacuations http://t.co/uprHT63g,Related and informative
Western wildfires forcing evacuations: Firefighters in Colorado and New Mexico are battling wildfires that are m... http://t.co/BOaVjrRO,Related and informative
New #HighParkFire Evacs: 474 evac notices S &amp; W of Bellvue includes Lory State Park Redstone Canyon &amp; Buckhorn Rd to Stove Prairie School,Related and informative
