 Tweet Text, Informativeness
#earthquake M 3.3 Virgin Islands region: September 01 2012 06:10:29 GMT http://t.co/wi04LJ1D,Not related
@EarthquakeTest update your #earthquake s more,Not related
#Earthquake M 2.6 Southern Alaska http://t.co/sdi09taS,Not related
５年６ヶ月長期保存可能なえいようかん5本。http://t.co/ZlSVctfi #eqjp #quake #saigai #earthquake #jishin #地震 #災害,Not applicable
#earthquake sige najud ug linug diri ui.. =.=,Not applicable
@MRmusica pasenla super bien :) Mil besos desd #CostaRIca :DDDD,Not related
#earthquake Philippines (the): NDRRMC Update re Effects of Earthquake in Maramag Bukidnon http://t.co/YYG65owX #crisismanagement,Not related
【#USGS #Breaking】 M 1.1 28km SSW of Fairbanks Alaska http://t.co/hSyciQFM #PastHour #11 #earthquake #tsunami #prayfromjapan,Not applicable
#earthquake: M 1.6 Greater Los Angeles area California http://t.co/4cX0Qy05,Not related
#Temblor♨ M 4.2 72km ESE of Karpathos Greece http://t.co/KMRZ07mN #Earthquake #Sismo,Not related
非常食として米国沿岸警備隊の承認を受け、国連や米国国防省をはじめ、IBM、ゼロックス社など、また日本でも官庁や数多くの企業、学校などが備蓄用品として採用しています。 http://t.co/B0HzzZtc #saigai #earthquake #jishin #地震 #災害,Not applicable
Roaming local prices – those for #mobile users – didn’t experience great fluctuations with arrival of #Movistar &amp; Claro… #CostaRica…,Not related
#Guardado dice que #México tiene que cuidarse de las jugadas a balón parado de #CostaRica http://t.co/w3m222sP vía @vivelohoy,Not related
#deprem M 1.5 Central California: September 04 2012 20:12:08 GMT http://t.co/9nGWG6CA #earthquake,Not related
地震情報 M 5.1 Taiwan region http://t.co/8xtmJmmB #earthquake,Not applicable
#earthquake mb 5.1  TAIWAN REGION: Magnitude  mb 5.1Region  TAIWAN REGIONDate time  2012-09-04   20:00:17.0 UTCL... http://t.co/VwzB34fM,Not related
Tenemos claro Costa Rica no será un rival sencillo: De Nigris. En ... - RadioFórmula http://t.co/PUvCbuKD #CostaRica,Not related
#Earthquake M 4.8 south of Bali Indonesia: September 04 2012 21:19:30 GMT http://t.co/iEelaYGO,Not applicable
