 Tweet Text, Informativeness
Con todo mi #guatemala,Not related
#Guatemala : La plus ancienne tombe #Maya a été découverte http://t.co/LhOS8uD8,Not related
La agrupación guatemalteca el @Tambordlatribu anunció presentaciones en Estados Unidos y México #Guatemala,Not related
Se pudrió todo @cobreloa @hmarambi Palos es baja contra #sanmarcos y @Juegoypasion dice que Contreras se lesionó y jugará Acevedo. #cobreloa,Not related
@FUNVISIS: #Sismo:2012/11/06 14:24 (HLV) Mag. 3.1 Mw a 28 Km al suroeste de San Cristobal (7.536 N-72.322 W) prof. 16.6 Km,Related and informative
Latino América en marcas #Diseño de la marca país #Guatemala http://t.co/JmigZy2T #martesdemarcas,Not related
Posibles fechas de #MägodeOz: 8 de Febrero en #Guatemala. 14 de Marzo en #Chile (mismo día que Turisas...). 23 de Marzo en #Argentina.,Not related
buenos dias con ese #temblorgt,Related - but not informative
Fuerte sismo sacude Guatemala México y buena parte de Centroamèrica.,Related and informative
Nada mejor que empezar el dia con un #temblor #sismo ...,Not related
Ooh @NewEarthquake: 7.5 earthquake 49km SW of Champerico Guatemala. Nov 7 10:35 at epicenter (6m ago depth 33km). http://t.co/fosO1UT6,Related and informative
Preliminar 6.35  del #sismo que se sintio hace unos momentos en el DF m,Related and informative
@NewEarthquake: 7.5 earthquake 49km SW of Champerico Guatemala. Nov 7 10:35 at epicenter. http://t.co/YSzDJzN8 QUE GRUESO!,Related and informative
@AugustoMejiaL: “@ReporteNi: #Temblor M 7.5 49km SW of Champerico Guatemala http://t.co/NROIHfx1” // Se sintio feo loco /:,Related and informative
#sismo en paseo de la reforma se sintio fuerte! Bolsa Mex y torre 265 evacuando,Not related
@NewEarthquake: 7.5 earthquake 49km SW of Champerico Guatemala. Nov 7 10:35 at epicenter (6m ago depth 33km). O.o,Related and informative
Impactantes imágenes de la devastación luego del temblor #TemblorGT http://t.co/l59X7nde,Related and informative
El #sismo de #Guatemala también sacudió #ElSalvador y #México: http://t.co/vZSVoCCY,Related and informative
Strong tremor felt in Guatemala City El Salvador: GUATEMALA CITY (Reuters) - A strong earthquake shook building... http://t.co/UMauuZrS,Related and informative
Sismo en Guatemala ¿Esta bien toda mi gente de esa zona?,Related - but not informative
El epicentro del #sismo que sacudió a la Ciudad de México fue ubicado a 45 km de la población guatemalteca de Champerico,Related and informative
TERREMOTO EN GUATEMALA 75 NO HAY ALERTA DE TSUNAMI PARA LAS COSTAS DEL PASIFICO,Related and informative
Luego del #TemblorGT un par de tragos de @Cafe_DeLoAlto bien espeso !!  #cafesdeguatemala,Related - but not informative
Recuerden que pueden reportar daños a inmuebles por el #sismo en esta cuenta lo pueden hacer.,Related - but not informative
Los sismos generan muchas evacuaciones hasta en Dodo... Chiales qué fuerte!!! #Sismo 6.3 en el #DF...,Related and informative
Watching the news when the earthquake alarm went off. 7.3 along the border with Guatemala from what I know.,Related and informative
Vivo cerca del epicentro y nadie me pregunta cómo estoy ni me quieren culeros. #sismo,Related - but not informative
@Reuters: Magnitude 7.3 earthquake hits off Guatemala's Pacific coast - USGS,Related and informative
Un sismo de 75 grados en la escala de Richter se registró en Guatemala. El movimiento sísmico también se sintió en México.,Related and informative
@justinbieber Revised (7.5 -&gt; 7.4): 7.4 earthquake 24km S of Champerico Guatemala. Nov 7 10:35 at epicenter (20m ago depth 42km).,Related and informative
@mananeroslared  hola debido al terremoto en Mexico Guatemala y en gran parte de Centro America se pronostica algun sismo para Chile?..Slds,Related - but not informative
@CesarArcano  Está vez salí sin correr sin gritar y sin empujar voy mejorando. #sismo,Related - but not informative
Ese #temblorgt me hasta el sueño me quito!! jajaja....,Related - but not informative
Magnitude 7.5 quake hits off Guatemala’s Pacific Coast – USGS http://t.co/nouq1GwL,Related and informative
|#ALERTA || Reportan que en San Marcos al occidente de #Guatemala hay viviendas desplomadas por sismo.|,Related and informative
segun el sismologico fueron 2 temblores uno en chiapas y otra en rio grande ... sera por que es miercoles 2x1 ?? #temblor #sismo,Related and informative
http://t.co/hcq9qUq7 Magnitude 7.5 earthquake hits coast of Guatemala,Related and informative
Strong quake hits off Guatemala http://t.co/I7v9BxPI,Related and informative
