 Tweet Text, Informativeness
E #Navelli... a che punto siamo? Dov'è il piano di #ricostruzione? #laquila #sisma #terremoto http://t.co/z7ZO4wQ8,Related - but not informative
#Terremoto ! in alto si sente parecchio,Related - but not informative
Inequivocabilmente questa era una scossa di #terremoto,Related - but not informative
#terremoto #busto #arsizio ore 04.7,Related - but not informative
“@perugini: 44.956°N 11.241°E - 4.2 Magnitudo - Nord ITalia #terremoto http://t.co/Er9s2Pu2”questo e'quello dell'1:13,Related and informative
Oddio #terremoto.  L'ho sentito solo io alle 4 del mattino?,Related - but not informative
10 secondi di forti scosse di terremoto a Vignola di Modena alle 04.00,Related and informative
#terremoto i hate dancing at 4 am so I never go to clubs. Then you wake up and your bed doors and whole building are dancing with you. O.o,Related - but not informative
ilpost Il terremoto in provincia di Modena: Secondo l’agenzia di stampa Reuters la scossa sarebbe stata di magn... http://t.co/4dBk6gPX,Related and informative
Arriva prima su #twitter che da altri parti la notizia del #terremoto. Che scorlo cio'!!,Related - but not informative
grazie a twitter non mi sento più sola #terremoto ma sto ancora tremando di paura :/,Related - but not informative
【#USGS #alert】 5.9 - NORTHERN ITALY: Date: Sun 20 May 2012 02:03:53 UTC Lat/Lon:... http://t.co/2xI9nHkc #earthquake #tsunami #zuto,Not related
@Selenelios #umorismomacabroscadente #terremoto io ho sgridato il cane che dorme sotto il letto..,Not related
@diedigi @stefanobandera i 3 fanatici del #terremoto :) #vogliodormire,Related - but not informative
#terremoto emiliano. Piadina con la scossadella.,Not related
Pensavo di aver mangiato pesante... Invece no #terremoto,Related - but not informative
#terremoto e' per caso caduto il governo? #sischerza,Not related
#terremoto #venezia Non ho più avvertito scosse,Related - but not informative
#terremoto cmq qui a #vicenza ne ho sentite altre 2 piccole. Ora dormo ciao @webeconoscenza @lumaca81 @kiavianello @andreacasadeiVE @robitu,Related and informative
epicentro #terremoto http://t.co/UqmE4FD0,Related and informative
Arrivato a casa mi corico accendo il decoder vado su #skytg24 per avere aggiornamenti sul #terremoto e il decoder si aggiorna i canali mah,Related - but not informative
Terremoto mi vuoi lasciar dormire sì o no? #terremoto,Related - but not informative
Ou ora basta. Me la caco. #terremoto,Not related
Mobbasta #terremoto #bologna. Altra scossa.,Related and informative
5.9-magnitude earthquake strikes near Bologna Italy   Full Article: http://t.co/HLVjrFuY   A 5.9-magnitude earthquake struck near Bologna…,Related and informative
#terremoto. Ma il collegamento su Rai news da Bologna era finto ché durante quest'ultima non ha fatto un frizzo?,Not related
#terremoto le llaman a un sismo de 5.6 en Italia entonces lo que pasa en Chile y Perú que es cataclismo?,Related and informative
@Woody64_2012 La prima a me è sembrata eterna! #terremoto,Related - but not informative
#terremoto: Adesso Modena oltre che per i maiali sarà famosa anche per #imaya http://t.co/3ei8Nd3h,Related - but not informative
Amici di #Bologna e dintorni spero tutto bene.. #Terremoto previsto dai #Maya.. Quindi si può stare tranquilli.,Related - but not informative
questa è l'impressionante immagine della torre di Finale Emilia... http://t.co/vlY6I3c8 #terremoto,Related - but not informative
#Terremoto de 6.3 azotó el noroeste de Bologna Italia :/ Bologna!!,Related and informative
I media sono in crisi perché non sanno usare twitter e su facebook non trovano le foto del #terremoto .,Related - but not informative
Vado a chiudere un po gli occhi... #Terremoto,Related - but not informative
Ctm terremoto de 6.3 en Italia no webeen.,Related and informative
Yaaaaaa no me hagan asustar con eso de que Nostradamus dijo que iba pasar lo del terremoto en Italia un 20 de Mayo!!!!!!!!!!,Related - but not informative
#InstantFollowBack Quake hits northern Italy one dead http://t.co/s9bzLgdE #TFB #FF #F4F #TFW,Related and informative
a causa del #terremoto nella zono di ancona i treni per la zona centro-nord hanno ritardi o soppressioni...,Related and informative
Quake hits northern Italy 3 dead: A strong earthquake struck early Sunday near the northern ... http://t.co/ArlGGWXG #CNN #BreakingNews,Related and informative
BBC News - Three killed in northern Italy earthquake http://t.co/6YR5DcgO,Related and informative
Three killed in Italy earthquake: An earthquake in northern Italy kills at least three people and causes thousan... http://t.co/sOC3O9OE,Related and informative
chi ha notizie #terremoto su Mirandola?,Related - but not informative
...che nottata del cazzo si può dire? #terremoto #paura,Related - but not informative
La calamità naturale sarà a carico del cittadino. In caso di #terremoto [...] non sarà più lo Stato a pagare i danni http://t.co/OgDnWKIt,Related and informative
Earthquake in our area (34 km NE Modena) http://t.co/KL0bIxgT We're fine but some deaths reported &amp; u can't tell what will happen next.,Related and informative
