 Tweet Text, Informativeness
Philippine floods worsen as death toll hits 14 in wake of ‘Gener’ http://t.co/gnhkYRS6 #Philippines #national,Related and informative
Philippine flood fatalities hit 23 http://t.co/1aukg7RA,Related and informative
4 Luzon dams release water; flood warning up: MANILA Philippines - Four dams in Luzon opened their gates Sunday... http://t.co/kmWDCBFw,Related and informative
@ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.,Related and informative
“@ANCALERTS: PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas near rivers.”,Related and informative
‎​PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas near rivers.,Related and informative
If floods end up banging up my Manila badly considering running charity shirt drive. @rutrivera @aurockslikewhoa game?,Related and informative
PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas near rivers. #TVDPHFamily,Related and informative
it's already Aug 7 around 6 am Manila time.. Rains flood our country.. it's @DavidArchie's day also BEGIN is out now!,Related and informative
Surviving in the manila flood #morefuninthephilippines http://t.co/P0DjcF5j,Related - but not informative
Praying for Philippine may God see you through and help those affected by the floods. Amen,Related - but not informative
Hope mobile networks provide FREE CALLS today! MANY ARE IN NEED! Wag nyo na pagkakitaan ang bagyo! #rescueph #bayanihan #RescuePhilippines,Related and informative
Philippine capital hit by floods http://t.co/Zlk3k8b2,Related and informative
Whats the latest on #Manila floods situation? @mmda,Related - but not informative
#rescuePH rescue UST Hospital! oh pls. can't imagine those patients suffering from....ugh. :(,Related - but not informative
Philippine capital hit by floods: Flooding caused by torrential rain paralyses parts of Manila forcing tens of ... http://t.co/lPB2COtW,Related and informative
#PrayForThePhilippines #RescuePH Stay Safe Guys. :),Related - but not informative
#prayersforthephilippines #rescuePH #PrayForMarikina xxx,Not applicable
