 Tweet Text, Informativeness
HOY es nuestro dia @Maria_21_music  #nerea #andres  #diego #gonzalo #elena #jaime #sergio #pablo #anxo,Not related
Yeahh yeahh esa jenga @alejandroalija @Telarera #tocayo #pablo http://t.co/peCCcDlq,Not related
a Mãe do meu amigo #Pablo. morreu :( ta muito tenso o clima...,Not related
Madrinas y apadrinados #SantaCecilia2012 @Carmen_Oboe @juanandres2307 #Pablo http://t.co/q92sofna,Not related
|11-26-12 || E-Games Attendant || Chada Bingo House || Cagayan de Oro http://t.co/aepte8Im #CDO|,Not related
#el #cumpleaños #de #pablo #escobar #my #dad #birthday #celebration 😀 http://t.co/R5O7L48h,Not related
St Scholastica's College Manila suspends classes according to Sr. Tammy Prado OSB. #WalangPasok,Related and informative
En el curso de primeros auxilios con @mvallvey @Tore_Baza95 @drecouvreur #alvaro y #pablo,Not applicable
Que grandes @emaemail27 @Ciropee #pablo http://t.co/HWwvlJWH,Not applicable
#pabloo vienes ya o te quedas sin hermana a causa de una hipotermia. Tengo friooooo!,Not applicable
Quiero que #Clemente le diga lo que le dijo la vieja de #Pablo y #Augusto a #Loli y que despues se muera.,Not related
Haoraa #pablo hee vailariim !! :p,Not related
Je viens de voir la #PP de #Pablo ! En Mode Terroriste Gucci !,Not applicable
We're tracking Typhoon #Bopha as it heads towards the #Philippines.  #WCPFC starts on Sunday and will be discussing #tuan and #sharks,Related and informative
After conquering those 21 rapids zip lineS nman and THE drop. May problema ksi ko sa pag ibig. HAHAHA #CDO #Bukidnon,Not related
|[NEWS] Typhoon Bopha is forecast to strike the Philippines at about 15:00 GMT on 4 ... - Reuters AlertNet (blog) || R... http://t.co/UjUK7RGL|,Related and informative
Wag nmn sana tumuloy ung bagyong c #pablo wag sirain ang pasko pls lng ha.,Related - but not informative
#Pablo no quita el maldito aire que me esta soplando en la cara tengo una calor agobiante ¬¬,Not related
|#Weather Update: Visayas will be greatly affected by Typhoon Bopha(TY Pablo). It might make landfall over Bohol on Tuesday ||via @seph_ubalde|,Related and informative
The Watchers - Tropical Storm Bopha upgraded to typhoon http://t.co/VB8TNzyC via @TheWatchers_,Related and informative
Expected track of Typhoon Bopha in the next 24-72 hrs. Will be a Category 4 storm in 48hrs and in the PAR in 72hrs. http://t.co/qRrnhnHb,Related and informative
Another typhoon named internationally as  #BOPHA will hit #Southern #Mindanao. It will be named #Pablo in RP. Oh noooooes!!,Related and informative
Con #pablo a león :D,Not related
Asi nos lo montamos @FeerAnton @Danii8Lopez #Alvaro #Pablo http://t.co/F0eYQyry,Not applicable
Disturbing news: Typhoon Pablo will make landfall in Mindanao. Ulan pud dha sa ato @medic_85 ? Waaahhhh,Related and informative
Typhoon Bopha is about 310 km east of the Phil Area of Responsibility moving at 26kph. Should be within PAR by dinnertime. #centennialatfest,Related and informative
Sunny Sunday. ♥ we're hoping typhoon Pablo won't hit our shores.,Related - but not informative
#ityphoonapp forecast track of super typhoon Bopha. It's boy scout time.  http://t.co/3gWpfC9R http://t.co/CA8AGMWT http://t.co/MY2mtirk,Related and informative
via @sijoroma: Ojo del Tifón #Bopha gracias al Satelite Terra HD Sistema MODIS NASA. 01/12/2012 01:00UTC http://t.co/O3cqYHYa,Related and informative
http://t.co/E2URrfLE and the Bukidnon Bloggers @bukidnonblogger will post updates re: Typhoon #Pablo - let's be prepared guys #PabloPH,Related and informative
According to news #PabloPH is 3x stronger than Sendong! :( #bopha I hope everyone is prepared.,Related and informative
“@kylegalvezz: PAGASA: Typhoon Bopha expected to bring rains to Metro Manila on Thursday. No...”,Related and informative
Happy Rubadabango Day is Trending lol madami naglalaba ngayon padating na kasi si Typhoon Pablo.,Related - but not informative
After making landfall Bopha will cross Vis-Min area. Effects will be felt in NCR and rest of Luzon on Thursday #pabloPH @interaksyon,Related and informative
Let's be prepared! RT @jeffcanoy: (Typhoon) Pablo is expected to be stronger than Sendong.,Related and informative
@ABSCBNChannel2: Typhoon Pablo latest track http://t.co/O1oPhfsx,Related and informative
