 Tweet Text, Informativeness
Entre mal estado de Plantas Josefa Camejo y Planta Centro sin Planta Tucacas #Falcon muy mal #sinluz http://t.co/Kt0AFg2O,Not related
vía @vicky_joseph: Privan de libertad a hombre en #Falcón por la muerte de su cónyuge. Le causó varias heridas con un arma blanca.,Not related
Elias Jaua: Fuga de gas generó explosión en refinería de Amuay dejando 26 muertos y más 86 heridos.,Related and informative
Hoy Falcon amaneció con tristezas y luto por la fuerte explosión en Amuay refinería de la península de Paraguaná :(,Related - but not informative
VIDEO: Blast hits Venezuelan oil refinery,Related and informative
Este tweet va dedicado a esos 24 Venezolanos que perdieron la vida #Amuay,Related - but not informative
El accidente de Amuay es lamentable mis condolencias y apoyo a ese pueblo que una vez integre como personal de esa refineria,Related - but not informative
---»RT @Maricle: Para quienes conocemos la refinería de Amuay y las barriadas en sus alrededores la ... http://t.co/BMdV3HX6,Related - but not informative
Toda Vzla paralizada con la gran tragedia de larefineria de #Amuay muchas fuerzas a todas esas familias de los fallecidos...,Related - but not informative
@adncali:24 personas murieron en explosión de una refinería en Venezuela. Al menos otras 80 personas resultaron heridas http://t.co/iQEZF82O,Related and informative
Que mas sera necesario para aprender y trascender señor mio!!! #Amuay,Not related
Another reason to go #renewable. God Bless Them RT @CleanEnergyView: Blast at Venezuela's Lgst Oil Refinery Kills 24 http://t.co/fjL7FbuC,Related and informative
Blast halts Venezuela refinery http://t.co/XQqkwafY,Related and informative
Lamentable lo ocurrido en la Refinería de Amuay y sobretodo las perdidas Humanas otra de las grandes Obras de esta Nesfasta Rebolucion !!,Related - but not informative
Desde nuestros hogares unidos en una plegaria de Amor te rogamos Padre por nuestra Venezuela ten Misericordia de nosotros. #Amuay,Related - but not informative
Presidente de #Bolivia Evo Morales expresa solidaridad con el presidente #Chávez por víctimas en explosión de refinería #Amuay,Related - but not informative
Garanticen que no Exploten Plantas RT @PDVSA: PDVSA garantiza suministro de combustible tras explosión en Amuay http://t.co/PyK7S09v #Amuay,Related and informative
La verdad me importa muy poco Neil Armstrong era un ser humano y como todos mueren y más a su edadahora lo de #Amuay eso SÍ es importante,Related - but not informative
Repetimos el teléfono de Protección Civil Falcón (0268)2511799. No ocupe las líneas telefónicas si no es una emergencia #Amuay,Related and informative
Siento Mucho Lo Que Paso Hoy En la Refinería De Amuay☹ #FuerzasPuntoFijo,Related - but not informative
#amuay LATEST NEWS SPRINGSTEEN PULLS DAUGHTER ONSTAGE FOR DANCE... http://t.co/pG9x6jJQ,Not related
#SPAmuay RT @LuisOlavarrieta: Ayudemos a nuestros hermanos de #Amuay aquí están los centros de acopio. http://t.co/L0AUUofb”,Related - but not informative
MP designó fiscal nacional y equipo técnico para investigar explosión en refinería de Amuay http://t.co/j32Ob3ir,Related and informative
Lamentable...@avaldezpy: Saboteando con vidas siempre la derecha mata a los nuestros x q no ponen sus muertos x lo menos #Amuay,Related - but not informative
Espero que la situación critica en #Amuay mejore con la ayuda de Jehova (MSP) para todas las familias afectadas,Related - but not informative
Hoy venezuela se viste de luto para acompañar a todas esas familias que perdieron un ser querido en la refinería... http://t.co/aPux0q8f,Related - but not informative
Inician las investigaciones sobre la explosión n la refinería Amuay http://t.co/Dppqn9IBno hay mucho q investigar conocemos el culpable CH,Related and informative
#amuay To all the horny guys lmaooo http://t.co/XL8hvIDp,Not related
40 letras muy poco para expresar mi tristeza y como dijo Ali tampoco basta rezar #PuntoFijo #Amuay de mi Patria como me dueles el Alma :_(,Related - but not informative
Que dios todo poderoso reciba en sus manos a nuestros hermanos que murieron en la explosion de la refineria en venezuela,Related - but not informative
|Mapas: Explosión en #Amuay || Últimas Noticias http://t.co/xcCSqmsg vía @UNoticias|,Related and informative
Olivares se solidariza con familiares de accidente en Refinería de Amuay: Indicó que el Comando Venezuela en Var... http://t.co/3KKpWCq0,Related and informative
Comunicado de Henrique Capriles Radonski a la opinión pública por la explosión en la Refineria de Amuay http://t.co/Bb6P9m58,Related and informative
Nuevamente fuerte olor a gas proveniente de la refineria de Pto la cruz esperemos q Dios nos ampare y no pase lo de Amuay! :-¡,Related - but not informative
@IzarraDeVerdad  la gente que política con el dolor humano y tragedia da asco como lo hace la oposición. Usan #Amuay como bandera politica,Related - but not informative
#Wikileak RT @DailinRivero Me cuenta un amigo q en Inglaterra bloquearon las noticias s/ el suceso de #Amuay. Solo puede leer por Facebook.,Related - but not informative
Mi Pueblo de Luto! Dios tenga en su Gloria a Tantas Personas Inocentes de la Irresponsabilidad. Paraguana Fortaleza #Amuay,Related - but not informative
Capriles lamentó los hechos de refinería Amuay  http://t.co/E5cd5ODd,Related - but not informative
En 2dias estaran trabajando de nuevo dijo el chacalito @SOSve: Me pregunto si quedará algo del complejo de #amuay,Related - but not informative
What do you say Paraguana? que buena verga y no digo más!!.  #Ali #HonorALasVictimas #Amuay,Related - but not informative
Piden poder pero no tienen el coraje de asumir sus responsabilidades #amuay.,Related - but not informative
#FarmaSol20 @sanando2012: URGENTE #Amuay Analgésicos;  CODEINA MORFINA DEMEROL ULTRACET (TRAMADOL) donados @LucioQuincioC @Alsuita,Related - but not informative
#FarmaSol20 @LucioQuincioC RT @sanando2012: Se solicita URGENTE #Amuay Analgésicos;CODEINA MORFINA DEMEROL (cont) http://t.co/ZbgwWXtm,Related and informative
@ricardograffe   Foto del niño cuyos padres no aparecen #Amuay http://t.co/9p4eCoAO  http://t.co/6GaTObVL  vía @po_st  RT Gracias,Related and informative
Listado parcial de fallecidos y heridos en accidente de #Amuay http://t.co/Mcc5BWGd #actualidad #nacionales,Related and informative
Los puentes se caen la refinería de Amuay explota 304 reclusos muertos en lo que va del año... ¡BIEN TENEMOS EL ROSTRO DE BOLIVAR!,Related - but not informative
TRAGEDIA EN PTO.FIJO EDO.FALCON REFINERIA DE AMUAY http://t.co/QxyQT3Th,Related and informative
Mañana desde las 8am estaremos recolectando insumos para las victimas de la tragedia de Amuay  fte estadio Amaya Av. Jacinto Lara #Amuay,Related and informative
Desde meses estaba esa fuga de gas en la Refineria de Amuay!,Related and informative
Primer listado oficial de fallecidos en #Amuay http://t.co/XlkVvlpz  via @radiofeyalegria #Venezuela,Related and informative
An explosion tore through Venezuela’s biggest oil refinery Saturday killing at least 26 http://t.co/jQtyZfaq,Related and informative
@eliaspino tragedia la q viene! Sin gasolina ni aceite carros volo la refineria Puramin q lo producia al lado de amuay,Related - but not informative
Decretado tres días de duelo nacional por la tragedia en refinería de Amuay http://t.co/SJnWKgRb vía @GLOBOVISION,Related and informative
Para quien no lo sepa hoy en #amuay es la + gde refinería petrolera de Vzla y hoy ocurrio una gran explosion,Related - but not informative
lamentable tragedia con la q hoy amanecimos.. Dios ten en tu santa gloria a quienes fueron victima d este hecho.. #Amuay y Vzla d luto,Related - but not informative
@BarretoSira: Elevamos una oración por los venezolanos que han perdido la vida en #Amuay. Necesitamos un Buen Gobierno @hcapriles Pdte,Related - but not informative
SE NECESITAN donantes de sangre de todo tipo en el Hospital Calle Sierrade Pto.Fijo para atender heridos tras explosión en Refinería Amuay,Related - but not informative
Aplazado al 2 de septiembre el simulacro de votación previsto para mañana por la explosión de la refinería / Venezuela http://t.co/4SZJaPc1,Related - but not informative
Comunicado de la República Bolivariana de #Venezuela http://t.co/5G0xNUWo #Falcon,Related and informative
Refinery blast kills 26 in Venezuela dozens hurt: A huge explosion rocked Venezuela's biggest oil refinery and ... http://t.co/QcoVPSrx,Related and informative
Death toll rises to 26 in Venezuela refinery explosion (VIDEO PHOTOS) http://t.co/vRppJJnZ,Related and informative
Dsd Punto Fijo: Buscando a un familiar todo en día. En los quemados no. En los heridos leves no. En la morgue vimos su anillo #Amuay,Related - but not informative
@Laberinto_ #Amuay esta cifra sera' 100% confiable o sera' maquillada? Estoy un poco desconectada : (,Related - but not informative
A Ramirez El Intacto: ES UNA TREGEDIA!! RT @FMCenterNoticia Vicepresidente Elías Jaua informa q cifra d fallecidos asciende a 39 en #Amuay,Related and informative
Explosion kills 39 at Venezuela's biggest refinery http://t.co/NaRZ04Om,Related and informative
Con posible cuadro febril. RT @RonVenezolano: Me pregunto donde estará nuestro Presidente??? Será que Isaac no lo deja regresar ??? #Amuay,Not related
#TeamFollowWack Refinery blast kills 26 in Venezuela dozens hurt - The Associated Press: The As... http://t.co/9hoPjms1 #TeamFollowBack,Related and informative
Ese tipejo es mario silva?ese tipo habla de basura mediática ahhh candanga no es responsable? Ahora es contra Toro Hardy #Amuay,Related - but not informative
Explosion kills 39 at Venezuela's biggest refinery: PARAGUANA/CARACAS Venezuela (Reuters) - An explosion tore t... http://t.co/1lSxbF2H,Related and informative
#Amuay crónica de unas muertes anunciadas.!,Related - but not informative
@palma810 @Hercon44 El Caso #Amuay será otro de los #ExpedientesX de la Revolución Roja-Rojita,Related - but not informative
“@mirlac: #PonGlobovision y ve los detalles de la tragedia en la Refinería de Amuay”,Related - but not informative
#Paraguana #PuntoFijo el régimen pretende minimizar la magnitud de la tragedia RT @ramonmediavilla: ... http://t.co/AjiqxUtT,Related - but not informative
Llamas tras explosión en la Refinería #FuerzaPuntoFijo #Amuay http://t.co/hdm1JmRe,Related and informative
Venezuela está de luto por explosión en refinería http://t.co/8AAQWRFV #Mundo #RG,Related and informative
United states&gt; #Refinery blast kills 39 in #Venezuela dozens hurt http://t.co/YdXFRrFa,Related and informative
Las autoridades trabajarán toda la noche del sábado y la madrugada del domingo hasta solventar la situación en la refinería de Amuay.,Related and informative
