 Tweet Text, Informativeness
Lots of #abflood updates on our liveblog http://t.co/tJK7Cx7yiR,Related and informative
'Move to high ground:' Rapid flooding forces evacuation of High River http://t.co/XFwGrt6lXm #yyc #Calgary #yycre #reincal,Related and informative
Calgary is now in a local state of emergency. Lots of evacuations and road closures. Stay safe!!  #yycflood #yyc,Related and informative
“@Van_city_Nucks: All people evacuating the flooding in Alberta can just use Taylor Halls forehead as a life raft and get to safety”@RimSan_,Related and informative
Evac order only for affected areas or entire neighborhood (eg mission at 19 ave)?  @calgarypolice #yycflood map http://t.co/n6WhiwPzXD,Related and informative
Rainfall warning ended for Calgary but flooding potential still exists: http://t.co/4KwPzRMZHP #yyc @ctvnews,Related and informative
At risk of drowning today heavy rain all night. Thank goodness I live high up on a hill. Be safe yall. #abflood #yyc #yycflood,Related - but not informative
Bridge at Edworthy park #yycflood @ Edworthy Park http://t.co/wkkQLhftRj,Related and informative
Wow I've never seen the river this high before.  #abflooding #yycflood,Related - but not informative
Shakespeare in the park. #abflood http://t.co/XW4Fn27tVy,Related - but not informative
The pictures of the flood in Calgary and Southern Alberta is just so heartbreaking! #abflood #heartbreaking #staysafe,Related - but not informative
Tornado warning in #edmonton then flood in #calgary? #thethingsidealwith #staysafe,Related - but not informative
Hard to believe 2 weeks ago I was in Calgary and it was beautiful.  I hope evryone keeps safe. #abflood,Related - but not informative
This guy is telling it how it is! Hilarious. Be careful Calgary! Severe Thunderstorm Watch! http://t.co/BlAMOEdYrU via @youtube #flood #rain,Related - but not informative
Now there's bad flooding in #Alberta? Oh no... Thinking of my Western neighbours tonight! #floods,Related and informative
#Abflood #cochrane #hwy22 wow! #yyc #flood #ab https://t.co/kvpJ9sg5lJ,Related - but not informative
To everyone in southern #Alberta stay safe and dry during this insane #flooding! For anyone in the affected areas http://t.co/Z6Q5U9kKxI,Related and informative
Mandatory evacuations ordered in Calgary from flooding; 100000 people may be affected http://t.co/MSnhzhpXdk,Related and informative
&lt;3 goes out to the folks in #Calgary. #abflood looks to be a bad one this time around. Hope the evacuees get out safe. #Canadianlove,Related and informative
Now I will devoted my effort to keeping people up-to-date on the flooding in Alberta. Very sad and I hope everyone is safe.,Related and informative
“@GlobalEdmonton: Watch: Live stream of the Bow River: http://t.co/B3lLPh1ZbE #abflood”,Related and informative
Stay safe Alberta. #ABflood,Related - but not informative
yep this is all i could think of haha stay safe errbody #yycfloods #yyc #abstorm #abfloods http://t.co/Aee01GPgkR,Related - but not informative
Good news from Okotoks where the Sheep River appears to have peaked waters receding: http://t.co/E79r5ZW110 #abflood,Related and informative
@cityofcalgary @CalgaryPolice @CalgaryFire #yycflood Hope yyc Fire Department and EMS requested larger twitter traffic limit 4 future emrgnc,Related - but not informative
Lol Alberta flood 2013,Related - but not informative
@Premier_Redford expected to be touring High River and area tomorrow. #ABflood,Related and informative
“@_Tosin: If any Hot Chicks in #Calgary Need lodging from #Flooding you can have my Bed I'll sleep on the Floor Tonight” #classy #pricesless,Related - but not informative
Thanks for making fun of us Google. #jerks #yycflood http://t.co/aldZtV0KJA,Related - but not informative
Pray for Alberta. #flood,Related - but not informative
Front page of http://t.co/IY2oAYnMRh lead story. Yikes. #yyc #yycflood,Related and informative
@CstShaw What is happening to the animals at the zoo? #yycflood,Related - but not informative
A tribute to #Calgary #yyc #flooding #Okotoks  http://t.co/ifY49PPq2f,Related - but not informative
“@4theluvoffooty: YYC you're in good hands. One of the best mayors out there #abflood” @nenshi,Related - but not informative
Flood in Alberta and the miami heat wins the nba finals...and also a baby named north west #whatajoke #yycflood #NBA,Not related
ALBERTA FLOODING - Canmore Bragg Creek High River Floods Calgary 2013 Fl...: http://t.co/jh0ud0Gtos via @youtube  النهر انجن,Related and informative
Haven't heard much about the homeless during #yycflood. Glad @calgarydropin is looking out for them tonight.,Related and informative
This is gonna be a boring weekend if I can't go downtown to drink #yycflood #firstworldproblems,Related - but not informative
As many as 100000 people could be forced from their homes by heavy flooding in western Canada. Water levels peak today at noon.,Related and informative
Flooding may force 100000 from west Canada homes - http://t.co/rlkLKZH9pn,Related and informative
#news Canada floods 'could force 100000 from homes': As many as 100000 people could be forced to fle... http://t.co/RAk5IenM37 #follow,Related and informative
The city's @stsomers says a number of bridges (especially around the core) are closed. Bridges along Deerfoot being assessed. #yycflood,Related and informative
|OODA Loop: West Canada flooding forces 100000 to flee homes || http://t.co/4p8cFYDNkK|,Related and informative
Alberta awakes to more rain as flood crests near http://t.co/EjLryIJBEF #yeg,Related and informative
Straight from @nenshi  to ALL Calgarians: Avoid ALL Travel that is not absolutely necessary #Calgary #abflood,Related and informative
West Canada flooding forces 100000 to flee homes http://t.co/u4ouLBYohe (via @news360),Related and informative
Unreal situation with all the flooding in Calgary. Grateful that my home is safe.,Related - but not informative
WATCH: House floats down river during Alberta flood http://t.co/0Z6r47EKDy,Related and informative
Praying for Alberta. #flooding,Related - but not informative
To all my friends in Calgary &amp; Alberta. Stay dry! City remains on flood alert from rising rivers  http://t.co/poirfkcrLN via @CTVCalgary,Related and informative
Has there been any reported deaths as a result of the floods? #abflood #yyc,Related - but not informative
Alberta floods: How did it happen?  ...   http://t.co/7SnQIHQ4UN via @weathernetwork,Related and informative
Somewhat positive note: I now have a badass story to tell my grand kids while I'm hanging in the old folks home. #AbFlood,Related - but not informative
Flooding from extreme rainfall is a hazard for ON too. Emergency in #Alberta should be a call to get a 72 hour kit. Better to be prepared.,Related and informative
@cityofcalgary my Discovery Ridge home is dry :D my waterfront condo isn't ;( #yycflood,Related - but not informative
UPDATE: #YYC flood evacuation areas #abflood http://t.co/C2MZMWkVo9,Related and informative
The Bow from our deck! She's not happy! #yycflooding http://t.co/nEkqkigkH9,Related and informative
Widespred flooding in alberta. No school,Related and informative
#yycflood #DeerRun http://t.co/T1ijLaIqLB,Related and informative
#yycflood reporters: when you come to the next pressr cd ya bring some ibuprofen? Cluster of your competitors will pay all our dollars,Related - but not informative
loverpie's photo #yyc #calgary #flood http://t.co/TOKd4uPfAZ,Related - but not informative
Oh my! So close to me! “@ShaneKeller: Humpty's on McLeod Trail underwater #yycflood #yyc #photo http://t.co/odOUNE46LK”,Related - but not informative
Our thoughts are with the residents of all the affected neighborhoods in the Alberta flooding. #yycflood #abflood,Related - but not informative
This bridge is only a few blocks away from my family's place in #Calgary! Such crazy flooding. Stay safe everyone! https://t.co/RpwdCnhV4t,Related - but not informative
Serious amounts of flooding and evacuations of several neighborhoods taking place throughout Calgary. http://t.co/2m0ek7Y0l7,Related and informative
Watching footage of the #yycflood crazy stuff. Stay safe Calgary. Red Cross donations are being accepted for anyone interested.,Related - but not informative
Flooding in discovery ridge in calgary June 20 2013: http://t.co/UWGQiLHRQz via @youtube #YYC #Flood #Calgaryflood #yycflood,Related and informative
Family is safe and I have a full box of Yorkshire Tea. #readyforanything #yycflood,Related - but not informative
What I didn't think about when leaving yesterday - electricity shut off...goodbye food in fridge and freezer #yycflood #mission,Related and informative
So much water in the streets that I walk every day in downtown. By the looks of it I'm sure my school flooded 😖 #yycflood,Related - but not informative
Red Cross Responding to Alberta Flooding http://t.co/jw7zIyk2X7,Related and informative
In times of crisis people are judges by how they react. Albertans are the most patientand supportive people in the world. #yycflood,Related - but not informative
#Latest #News Flooding May Force 100000 From West Canada Homes - ABC News: ABC NewsFlooding May Force 1... http://t.co/bSKpPKM0fu #BNews,Related and informative
The pics of #calgaryflood are nuts! Thoughts are with the thousands affected. #yycflood,Related - but not informative
On hour 28 you get a 2nd wind. - @nenshi. Sending so such love to all 1st responders &amp; city workers working on the #yycflood.,Related - but not informative
The flood in Calgary is a lot more serious than we're led to believe. They are just sandbagging.,Related - but not informative
Oh dear RT @TheoFleury14: BREAKING: Water is up to row 10 at Saddledome. Dressing rooms completely submerged. #yycflood #NHL”,Related and informative
@MargotMicallef OMG Margot this looks and sounds terrible. My thoughts are with you and all the people affected by the #ABflood,Related - but not informative
Stay safe and dry today Calgary. #abflood,Related - but not informative
Drop-in has evacuated to: 4804 EdmTrail NE need pillows and blankets!! @GlobalCalgary @CTVCalgary #yychelps #yycfloods,Related and informative
