 Tweet Text, Informativeness
It's ridiculousRT @ThatGuyTiisetso: #redoctober making people so emotional its crazy,Not related
A Total Fire Ban has been declared for the Greater Sydney Region on Sunday 13th October 2013 between 12:00am -... http://t.co/4kwIvUGNUj,Related and informative
NSW National Parks &amp; Wildlife Service have again advised that tomorrow - Sunday 13 October - due to EXTREME fire... http://t.co/N7aBbvgQJj,Related and informative
Fire Danger Update - Tomorrow signs will be on VERY HIGH - http://t.co/arvGu19d4d Southern Ranges Region #NSWRFS Permits Suspended,Related and informative
This #RedOctober shit is just the beginning of what's gonna happen after Mandela passes,Not related
You can't be supporting #RedOctober mr white man if your maid / cook / helper is black she gon poison yo food just chill,Not related
#3 READ IT !!! Proves #REDOCTOBER was not for racist reasons!! Drop the shit people lets make our country for every1 http://t.co/4Ddxrf0ijn,Not related
#RedOctober is disgusting. Racist fools; a movement driven by haggard Afrikaans singers trying to sell CDs. Gullible folks supporting it.,Not related
@mynameisjerm it's no coincident that #RedOctober commemorates menstrual cycle give them time to mourn the bloodshed,Not related
White privilege means never having your intelligence or integrity questioned. Not having to work hard enough for your position. #RedOctober,Not related
What we did: Beat Greinke and Kershaw  What we need to do: Win two more  #Cardinals #RedOctober,Not related
THAT'S A WINNER! @Cardinals #GoCards #RedOctober #NLCS @TrevRosenthal is the man!,Not related
Life is good with the Samford bulldogs pulling off a big win and the Cardinals leading 2-0 in the NLCS!!! #RedOctober ❤️⚾️#BowWow 🏈💙,Not related
@AndrewCatsaras just read big fire for Sydney? hope not really serious?,Related - but not informative
Another extreme fire danger day for NSW with heat and thunderstorms creating extreme bushfire danger: http://t.co/8LvhtwugK4 #ANN,Related and informative
Enough said @Know: Racism &amp; homophobia is linked to having a lower IQ. #RedOctober,Not related
Forest / Wild Fire - Australia - Australia http://t.co/uxyenGCmO9,Related and informative
NSW ** Watch and Act - Webbs Creek (Hawkesbury) ** 13/10/13 15:57   A bush fire is currently burning between... http://t.co/FCEhEydcuz,Related and informative
Forest / Wild Fire - Australia - Australia: EDIS Number: WF-20131013-41255-AUSDate / time:... http://t.co/7JcTE6yB2q #anonymous #anonops,Related and informative
Helicopter collecting water for multiple cars on fire at Sydney Olympic ...: http://t.co/0bnRm2cZ89 via @youtube @ChrisBath7,Related and informative
@702sydney: Fire crews are checking car fuel tanks after a grassfire spread to the carpark of Sydney's Olympic Aquatic Centre #TooClose,Related and informative
There is a growing fire near Norwest Hospital NSW.  Fire brigade is in attendance.,Related and informative
“@DeepFriedMan: That awkward moment when the EFF and the #RedOctober protestors realise they have matching wardrobes.” Hahaha,Not related
Relief crew has arrived and we're now heading back to station in a coach. Long day. Good luck to night crew. #nswrfs,Related and informative
Fire Service Industry News: Elkhart Brass Partners with Fire Rescue Safety Australia: Elkhart ... http://t.co/y4m48RKxLp #fireprotection,Related and informative
EFF launches today #redOctober http://t.co/l1IjQcH3VT cc @LiShH_2908 &amp; @slindelo ...,Not related
Lol red october ne? RT @Sox_M: Looks like anotha Black Idol year #RedOctober,Not related
3035th White Farmer Shot Dead in South Africa in Front of Wife http://t.co/dqDX8G1CA3 via @WhiteResister #SA #SaveTheBoer #RedOctober,Not related
The most homesick I get is during #redoctober ❤️⚾️,Not related
Here's a photo taken yesterday by @FireRescueNSW after the fire in Sydney's Olympic Aquatic Centre carpark http://t.co/idQe3vjT3w,Related and informative
Ciggie butt may have started Sydney fire:      A cigarette butt is suspected of causing a grass fire at Sydney... http://t.co/Y3Mpc9wUKk,Related and informative
#RedOctober &amp;&amp; My BDay Was Sup Doee,Not related
TIL Burning Mountain in Australia is the site of a coal fire which has been burning for 6000 years. http://t.co/pVVQB9sWfN,Not related
Fire Protection Engineer Sydney http://t.co/S1TjLFtMhT  #CareersJobs,Related and informative
NSW premier @barryofarrell is at #SaltAsh inspecting fire damage w @NSWRFS. Press conference to come hear more w @carolduncan,Related and informative
Blaze hits Australia Olympic park: A fire in Australia's Olympic park destroyed or damaged around 80 cars and ... http://t.co/jXrJIQFW7E,Related and informative
@Trevornoah u still think #RedOctober was an over-reaction? Easy to make fun of a minority easy to kill them too http://t.co/9P0xhiNrZp,Not related
Stop crime against white people! We don't care about crime against Black Asian Indian Coloured people! - #RedOctober,Not related
Lol #Redoctober :'D RT@19Mfundo_SwenGk: These white dudes gunnin for black girls...must be nice,Not related
Counting down till the cardinals game! #Anxious #CardinalNation #RedOctober,Not related
Let's goooo! @Cardinals #redoctober,Not related
http://t.co/rBxjobnqxO #RedOctober,Not related
For the rest of the month in gonna be on Kanye's hype and buy Kith Mercer pants #RedOctober,Not related
This is the week #CARDINALSTOCK 10/17 at the Warehouse and #RedOctober 10/19 at the Pavilion #TurnUp 2x,Not related
Friendly reminder early this morning #RedOctober http://t.co/xQ9lLKl78c,Not related
Man it's so easy to get dressed for work :-) #postcards #RedOctober #casualeveryday,Not related
@Jordon_Grizz you know what I like most about you? You look good in red too. #cardinals #worldseriesbound #redoctober,Not related
#CardsNation if you're getting tired of seeing me tweet this. An unfollow is a click away. #RedOctober,Not related
Feels great to be a Cardinals Fan!!! #CardinalNation #RedOctober #Winning @Cardinals,Not related
The Sydney Morning &gt; Fierce CBD blaze causing traffic chaos - Fire in a city high-rise building that has closed Ba... http://t.co/XsuLKryx73,Related and informative
I love reading articles hating on the Cardinals. It makes me love them that much more. #PostCards #RedOctober #12in13,Not related
#AJstream I'm black African I understand #RedOctober and its not only happening in South Africa with less violence though.,Not related
Time to bust ass the rest of the day and try to get home for the cards game #redoctober #cardinalsnation,Not related
C'mon Cards let's go to the series! #RedOctober,Not related
C10 Fire Safety Engineer Sydney http://t.co/MQUw3fmKil  #ENGJobs,Not related
Follow the #nswfires coverage with our live blog @smh http://t.co/ETwDZxGg49,Related and informative
It seems yet again significant chunks of NSW are on fire. http://t.co/v41cC29ySv - Racing my bike in Kanangra Boyd NP this weekend. Eeek.,Related and informative
NSW *** HIGHWAY CLOSED BOTH DIRECTIONS **  WILTON Hume Mwy at Picton Rd BUSH FIRE Started today 1:20pm last... http://t.co/yIvnLEuXsK,Related and informative
#SydneyFires map thanks to @NSWRFS - Send us pics/video eyewitnessnews@ten.com.au #lithgow #springwood #balmoral http://t.co/PvwjhGc7kc,Related and informative
Very tough fire day out there.  S'ly change about to hit Kiama. 90 mins to Sydney 3-4 hours to Port Stephens. Good luck to RFS &amp; residents,Related and informative
Stay safe Sydney. These fires are pretty crazy.,Related - but not informative
#Yanderra #Bargo #nswfires http://t.co/TYZ5ap4bf5,Related - but not informative
Dear NSW if we could give you some if our weather we would. From VIC #nswfires,Related - but not informative
@Sandra_Sully: RT @ASNSW: Please postpone non-essential travel on roads near bushfires #bushfire #Sydney,Related and informative
Latest on the #nswfires here http://t.co/XX1yvEbOgz,Related and informative
Linksview Rd #Springwood: Fire has crossed Nepean River and is burning in Castlereagh (Penrith area) #NSWRFS #nswrfs http://t.co/Y0xxmpk0c4,Related and informative
“@DrewConstancio: Kanye is just to real #redoctober”,Not related
Just got out work in the heart of Sydney CBD and the smell of smoke is strong. Eerie sky. Fire must be huge.,Related - but not informative
Where exactly are the fires? #nswfires,Related - but not informative
@googledownunder have mirrored @NSWRFS bushfire maps here  http://t.co/bnlKLP42rW #NSWRFS #nswfires for FB updates https://t.co/dhEzpWeYj4,Related and informative
At least 40 homes destroyed in #SydneyFires #Australia,Related and informative
Sydney is covered in orange and black smoke. So many bush fires in NSW at the moment.,Related and informative
Hope my twitter buddies in Australia are safe and sound! Thoughts go out to you! #nswfires #bushfires,Related - but not informative
These bush fires are scary :( stay safe everyone!! #Sydney #bushfires #hot,Related - but not informative
Smoky sky. #Sydney #Bushfire http://t.co/cXW48A6gcr,Related - but not informative
Amazing skies in Sydney at the moment with bush-fires nearby. http://t.co/YXI7zWKxcB,Related and informative
Hope everyone in NSW is safe xx #bushfires #nswfires,Related - but not informative
Witnesses tell of fire fronts across #NSW : It's just wild miles of smoke #sydneyfires #nswfires @NSWRFS http://t.co/LSJwP4TCzd,Related and informative
There's fires again. Australia what are you doing?! http://t.co/an3bEnicwE,Related - but not informative
If you're in NSW and are near the fires please stay safe! You all are in my prayers! ❤,Related - but not informative
Nina (aka: The Spare) outside our house in Parramatta. These #SydneyFires are amazing http://t.co/ZtvkXLqVU0,Related and informative
About 80 bush fires all around NSW today.. This sky is starting to look a little creepy. http://t.co/eFX0ve52Y4,Related and informative
People of NSW be careful because there's fires spreading! Stay safe everyone! http://t.co/jelVcUBQdU,Related and informative
Sydney CBD skyline shrouded in smoke blue skies reflected in the glass of the buildings. #nswfires #bushfires http://t.co/u1ta5Cn258,Related and informative
@smh #nswfires #SydneyFires #sydney View from Erskineville http://t.co/cPRtYTz9yZ,Related and informative
To all drivers out on fire-torn roads around #Sydney: Please be safe &amp; make sure to follow all official instructions. #nswfires #safetyfirst,Related and informative
Watching @SkyNewsAust The fires in Sydney are horrendous. Thoughts out to all the residents and wildlife affected by this tragedy.,Related - but not informative
View from my desk earlier #sydneyfires #sydney #australia #smoke #scary #city #cbd #orange #apocalypse… http://t.co/oVRb8cWvW3,Related - but not informative
Chris O'Brien Lifehouse at #RPAH in #Sydney right now.. #SydneyFires http://t.co/sbVRAr1Ft6,Not related
Emergency Warning - Hank St Fire (Heatherbrae) http://t.co/F1RjML8pjP #NSWRFS #nswfires,Related and informative
Indeed. Terrible news RT @Kimbo_Ramplin: Oh man … Susan Templeman (was ALP Candidate for Macquarie) has lost her home. #nswfires,Related - but not informative
#sydneyfires #bushfire #sydney #smoke #nofilter http://t.co/Ws1i1vrE6c,Related - but not informative
#NSWfires For Newcastle people summary of fires situation from Newcastle Herald at http://t.co/4y7FwVGsH2,Related and informative
#bushfires #nswfires #sydney http://t.co/5IkviWyiyu,Related and informative
From the train showing the smoke filled sky from the #Lithgow #nswfires http://t.co/Va6bQo0Alc,Related and informative
Linksview Rd #Springwood: Emergency Alert message sent to Winmalee &amp; Hawkesbury Heights area. Shelter as fire approaches. #NSWRSF #nswfires,Related and informative
If you're yet to head home and get asthma grab a puffer. #nswfires #bushfires,Related and informative
thoughts and hugs to @Susan4Macquarie who lost her family home as well. #nswbushfires,Related - but not informative
NSW Rural Fire Service @NSWRFS spokesperson Joel Kursaw just told @RNDrive the fire season may be longer now. #nswfires #auspol #climate,Related and informative
Thoughts are with those around the fires. Stay safe. #nswfires,Related - but not informative
They fell for the old hyperbolic use of decimate. The house is a 100% loss. Pick up your game @ABCNews24 #nswfires,Not related
Stay safe NSW. Such a country of contrasts. Freezing here in Vic bushfires in NSW. CC deniers will say it's normal I bet. #nswfires,Related - but not informative
These bushfires are insane! So sad to hear that some homes have already been lost. 78 fires through out nsw. Sigh.,Related and informative
“@smh: A blood red sky over Tom Uglys Bridge in south Sydney. Photo: Chris Lane. #nswfires http://t.co/02g6FDwNCy” - RT - Amazing!,Related and informative
If you knew all that I knew my poor Sydney...Have come home to raging fires. Prayers please. :(,Related - but not informative
As a small child I loved visiting the Lithgow Workies. It's a great part of town. #NSWfires,Not related
Mother Nature so beautiful and yet  so cruel... #SydneyFires http://t.co/BGC630PPIt,Related - but not informative
New game... Drink everytime you see a Sydney Bushfire photo on your Instagram feed... GO!.. OK I'll call you and ambulance now :-( #nswfires,Related - but not informative
'Miracle' if NSW fires don't kill: premier via @Y7News http://t.co/CtJKDGvKfj http://t.co/hDl7fzl52W,Related and informative
Bush fires in the middle of October in Sydney is probably a great sign for the future of humans on this planet right guys?,Related - but not informative
Fire crews are having trouble pumping water at Nords Wharf. #nswfires,Related and informative
Sun through the smoke. #nofilter #sydneyfires http://t.co/mFBzcBKg2Q,Related - but not informative
Thoughts to our stunning wildlife caught amongst the bushfires- so many native animals will sadly perish #nswfires #Sydney,Related - but not informative
Hearing sad news the little prawn on the A43 at Crangan Bay (west of Catherine Hill Bay) has gone up in flames. #nswfires,Related - but not informative
Saying that though my thoughts go out to those who are affected by this horrible natural disaster. #nswbushfires,Related - but not informative
#RedSun #SmokedClouds #SydneyFires #SummerGonBurnErrthang! http://t.co/jZMhRGsPBi,Related - but not informative
“@thetodayshow: WATCH: NSW fire photos trending on social media. http://t.co/UOs0CkQdPo @Natalia_Cooper9 #nswfires #sydney #nsw #bushfires”,Related and informative
Listening to Sydney news.Hats off to all volunteer firefighters particularly to those who then while out lost their own home to the fire.,Related - but not informative
From #Cranebrook looking at #Winmalee #bluemountainsfires #nswfires @Channel7 @thetodayshow http://t.co/f45glSZ4l3,Related - but not informative
Fire warning issued for NSW south coast http://t.co/dT5LFybmyR,Related and informative
Bush fire In Sydney today. Feels like we're in a movie #bushfire #sydney http://t.co/5vyjKvNOzf,Related and informative
