 Tweet Text, Informativeness
Where is Liloan Central Field and how do we get there? What are the landmarks? Thank you. @CebuRetweets #cebu,Not related
Earthquake in Iloilo Philippines! My head's aching.,Related - but not informative
Southern Philippines hit by 7.4 magnitude earthquake no threat of Pacific-wide tsunami.,Related and informative
Bendícenos Señor por el terremoto terrible. #PrayforPhilippines #Philippines #Dumaguete #earthquake,Related - but not informative
It's a good thing the kids are at home today. #earthquake #bacolod #philippines,Related - but not informative
Magnitude 7.4 quake hits Philippines no tsunami threat: SYDNEY (Reuters) - An earthquake with a preliminary m... http://t.co/UTzExxP76A,Related and informative
USGS M 7.2 5km E of Balilihan Philippines: Tuesday October 15 2013 00:12:37 UTCTuesday Octobe... http://t.co/UxYqnxv1b7 #earthquake,Related and informative
#Temblor♨ M 5.4 6km NNE of Nueva Fuerza Philippines http://t.co/4hpmJmNcc2 #Earthquake #Sismo,Related and informative
National Disaster Agency: 4 people killed in building collapse in Cebu after Philippines quake - @Reuters,Related and informative
A 7.4 magnitude #earthquake has hit the southern #Philippines. There's no threat of a #tsunami.,Related and informative
7.4 quake strikes Philippines http://t.co/CYFzDjMH8X,Related and informative
#earthquake M7.2: Bohol Philippines http://t.co/mcLjuPxXBX,Related and informative
Lord God keep the people safe in the Philippines  #earthquake,Related - but not informative
7.2 quake hits southern Philippines http://t.co/XB9WUM3B7V,Related and informative
Major earthquake hits the Philippines http://t.co/uS0nhcvUl6,Related and informative
#Jackrobinson73 7.2-earthquake hits Philippines http://t.co/g1fzaRGjnp #Jackrobinson73,Related and informative
Major quake hits Philippines http://t.co/fHHxr8iWrg,Related and informative
Breaking: A 7.2 earthquake just hit Bohol in central Philippines.,Related and informative
@BBCBreaking: At least four killed in building collapse after 7.2 magnitude earthquake in Philippines near Cebu officials say 😢,Related and informative
Major earthquake hits the Philippines http://t.co/uI8F8FeCsa,Related and informative
7.2 Quake Hits Central Philippines Killing 4: 7.2-magnitude quake hits central Philippine island killing at ... http://t.co/kt6daIcIei,Related and informative
7.2 Quake Hits Central Philippines Killing 4: 7.2-magnitude quake hits central Philippine island killing at ... http://t.co/HekKxVreiN,Related and informative
'Four killed' by Philippines quake http://t.co/MWs7ccLiPP,Related and informative
7.2 quake his Philippines: MANILA Oct. 14 (UPI) --  A magnitude-7.2 earthquake hit the Philippines Tuesday mo... http://t.co/1jAZw4Tpm1,Related and informative
@SmileForDaniel: Let us all pray for the earthquake victims. Hope everyone is safe. #PrayForVisayas 🙏,Related - but not informative
#SuryaRay #Indian 7.2 quake hits central Philippines killing 4 - USA TODAY http://t.co/uSbXYdbBHO @SuryaRay #India,Related and informative
Photo: #Soco #glass #broken after the shaky #earthquake at #home #kaloka #cebu #instapic #instagram... http://t.co/JpZIdjEIaw,Related - but not informative
GOD . wag nio po clang papabayaan #PrayForBohol,Related - but not informative
4 people killed in building collapse in Cebu Philippines after 7.2 earthquake per National Disaster Agency - @Reuters,Related and informative
7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday... http://t.co/YVFyXT1ltJ,Related and informative
7.2 quake hits central Philippines killing 4 - http://t.co/sx1fmLwhGb,Related and informative
7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday... http://t.co/ctlNeG4G40,Related and informative
7.2-earthquake hits Philippines: A magnitude-7.2 earthquake struck in the southeastern Philippines on Tuesday... http://t.co/5a2SG6gu3S,Related and informative
7.2 magnitude keep safe everyone #PrayForBohol and to the nearest island who also affected of earthquake #PrayForPhilippines,Related and informative
@Reuters: Four killed in building collapse after Philippines quake: disaster agency http://t.co/tCt1uHnbS0,Related and informative
Latest on the deadly #earthquake that hit the #Philippines just over an hour ago.... http://t.co/0zBCFdXD8J http://t.co/rhrO0kw3SI...,Related and informative
Let's be united and pray for the #EarthquakeVictims in Bohol and other nearby provinces. #PrayforVisayas #earthquake,Related - but not informative
Felt sorry for the victims of the magnitude 7.2 #earthquake in BoholPhilippines :((,Related - but not informative
For a Boholano OFW like me walang ibang magawa sa ngayon kundi ang magdasal at umiyak. #prayforBohol,Related - but not informative
Just found out about what happened in #bohol.. saw pictures of churches ruined. :(( #keepsafe #earthquakes,Related - but not informative
“@gabyramaaaa: Loboc Church in Bohol #prayforbohol http://t.co/G1ZOvh5Zgl”,Related - but not informative
#PrayforBoholandCebu #PrayForBohol #PrayForCarmenBohol 🙏🙏,Related - but not informative
Magnitude 7.2 is no more joke.. #PrayForBohol,Related and informative
#PrayforVisayas Kanta nalang ako para hindi ma rattle :( :(,Related and informative
please pray for #Bohol,Related - but not informative
Sending my prayers to all those affected by 7.2 magnitude earthquake that just hit the Philippines.,Related - but not informative
Before anything else #PrayforVisayas,Related - but not informative
At least 4 people killed after 7.2 #earthquake hits central #Philippines. #least (http://t.co/3UVVRfBCDs),Related and informative
4 Killed in Philippines Earthquake http://t.co/eJgUk1ZhdQ,Related and informative
A 7.2-magnitude earthquake struck in southeastern Philippines says USGS. via @cnnbrk,Related and informative
|Mayor Rama announced no classes for both private and public schools until tomorrow. #cebu #earthquakePH || via @cebudailynews|,Related and informative
Magnitude 7.1 earthquake hits the Philippines! CNN,Related and informative
|Bible Prophecy Rapture 7.2 Earthquake Philippines Oct 14 2013 || Watch: http://t.co/Xs2KJ3bTba|,Related and informative
Magnitude-7.1 earthquake hits the Philippines:        http://t.co/wBso0bkbij,Related and informative
Historical Loboc Church after the Earthquake. :(( http://t.co/MNbmjIFl0b #PrayForBohol #PrayForCebu,Related - but not informative
Sadsadsad news...🙏🙏#PrayForBohol #PrayForCebu,Related - but not informative
It hurts my heart seeing the damage of the earthquake that hit Bohol. The Philippines is my 2nd home it's part of who I am. Urgh. &lt;/3,Related - but not informative
Major earthquake hits the Philippines - http://t.co/w16B3PW665,Related and informative
Lordhelp us... #PrayForVisayas,Related - but not informative
I hope you really pray for them because your tweets won't make a difference #PrayforVisayas,Related - but not informative
Emang di pilipina ada apaan min ?@Update_Transfer: #PrayForPhilippines #PrayForVisayas,Related - but not informative
Let's say our prayers for those affected by the earthquake. #PrayForVisayas #earthquakePH,Related - but not informative
@G2BArmyCebu Keepsafe ! #PrayForVisayas #PrayForCebu  -- H♥,Related - but not informative
Praying for everyone in Bohol and Cebu esp. for my relatives there. #PrayforBohol #PrayForCebu,Related - but not informative
@tomlinsondisney yep. search for #PrayForVisayas and you'll see the church is destroyed by the earthquake :(,Related and informative
#PrayForVisayas Earthquake go away don't come again another day .. people wants to live in peace ...,Related - but not informative
#PrayForVisayas Keep safe everyone! :(,Related - but not informative
11:11 #PrayForVisayas sana okay lang sila,Related - but not informative
#PrayForVisayas 😔😔😔😔😔,Related - but not informative
#PrayForVisayas Keep Safe EveryOne,Related - but not informative
#PrayForVisayas my relatives are okay naman ata ehh.. :(,Related - but not informative
My girls are in the Philippines and there was an earthquake there today hope they are ok! I feel like a worried mom! :/,Related - but not informative
Let us pray all those affected by the massive earthquake off in Negros Oriental for their safety &amp; well-being. Lord is w/ us #prayforVISAYAS,Related - but not informative
7.2 quake hits central Philippines killing 6 - The Hindu http://t.co/d5OmOK21LS,Related and informative
Grabe talaga yung nangyare sa Cebu. Thank God di tayo inabot ng lindol. #PrayForBohol,Related - but not informative
