 Tweet Text, Informativeness
#SaNTaMaRIa ToMaNDo Con Mi eSPoSiTo Que aMo y Me HaCe Tan FeLiZ @travisscolt,Not related
At least 90 people die in a nightclub fire in southern Brazil local media says: Remarque importante à... http://t.co/GfyDcFYi @romandie,Related and informative
bandnews deuagora todos destaquesmdo dia e nada da tragédia na boate kiss. Que lixo,Related - but not informative
Dozens killed in Brazil nightclub fire http://t.co/hdBBr1uI,Related and informative
Brazil Nightclub Fire: 'Ninety' Killed http://t.co/HvcJJ2w6,Related and informative
At least 90 killed in Brazil nightclub fire: A fire swept through a nightclub in southern Brazil killing at lea... http://t.co/frASrrpR,Related and informative
Caminhão chega à boate Kiss para buscar mais corpos. Será a terceira viagem.,Related and informative
Local media: Brazil nightclub fire kills at least 90: SAO PAULO (Reuters) - At least 90 people were killed in a ... http://t.co/28kJmmzF,Related and informative
Another lesson to nightclub owners; place safety first not revenue.  Brazil nightclub fire likely killed more than 200. http://t.co/BOgvHf50,Related and informative
Official: 90 killed in Brazil nightclub fire http://t.co/gzy1UnkU #LetsDiscussIt,Related and informative
At least 90 people killed in Brazil nightclub fire http://t.co/652uKBdC,Related and informative
Brazil nightclub fire kills more than 200: police - Reuters: AFPBrazil nightclub fire kills mor... http://t.co/PJ4Dr3v4 #headlines #news,Related and informative
@_jefergriebeler boate kiss de SM pego fogo,Related - but not informative
#LUTO pelos falecidos na tragédia na #boateKiss que DEUS console os familiares amigos e conhecidos!,Related - but not informative
#nepalnews Brazil nightclub fire likely killed more than 200: police: BRASILIA: A nightclub fire in southern Bra... http://t.co/xEBnK3Vg,Related and informative
Dying in a fire on a night out clubbing is not a way to exit this world. RIP #SantaMaria 180.,Related - but not informative
A tragédia em Santa Maria entristece o domingo dos brasileiros. Ao menos 180 mortos na boate Kiss http://t.co/a8pT5VI7,Related and informative
At least 90 killed in Brazil nightclub fire - http://t.co/4sHAZdcs http://t.co/805mt3x4,Related and informative
Como tinha show na boate se alvará?? #tragediaemsm,Related - but not informative
At least 90 killed in Brazil nightclub fire: A fire swept through a popular nightclub in the southern Brazilian ... http://t.co/NBRFu4wn,Related and informative
traumatizante esse vídeo da boate kiss,Related - but not informative
JUST IN: Officials now confirm with @ShastaCNN that at least 220 people have been killed in the nightclub #fire in Santa Maria #Brazil #CNN,Related and informative
Jeebus RT @SkyNewsAust: 90 dead in Brazil nightclub fire http://t.co/b2B6hRxV,Related and informative
Estão estimando 240 mortos #tragediaemsm,Related and informative
Gente vcs viram o incêndio da boate kiss mais de 240 mortos meus deus que tragedia e diz que os seguranças nao abriram as portas,Related and informative
@alashock: JUST IN: Fire Sweeps Through Brazil Nightclub Officials Say At Least 180 Dead And 200 Injured http://t.co/qgpWNyaY damn!,Related and informative
Meu deus! RT @zerohora: Número de mortos na boate Kiss em Santa Maria pode chegar a 205 #tragediaemsm http://t.co/MGOTgcwp,Related and informative
【News】 Timeline: Fire in nightclub kills about 200 in Brazil - Reuters http://t.co/UuRwOvrN,Related and informative
Energias positivas para as famílias de #SantaMaria que perderam algum parente.,Related - but not informative
BBC News - Scores killed in nightclub fire in Santa Maria Brazil http://t.co/6i9S8SBr,Related and informative
Gente que tragédia em santa maria número de mortos chega a 245 #tragediaemSM,Related and informative
“@BreakingNews: Update: Death toll from fire at nightclub in Santa Maria southern Brazil reaches 245 police say - @BBCNews” omg,Related and informative
Impossível não pensar em todas as boates sem estrutura espalhadas por todo o Brasil... #tragediaemsm,Related - but not informative
que triste véi =/  #SantaMaria,Related - but not informative
Reading an article about a fire in a Brazil nightclub that killed 200. My daughter notices pic of smoke through club lights Pretty colors!,Related and informative
http://t.co/zesSHA7O NYC........  #SantaMaria,Related - but not informative
Death toll in Brazil nightclub fire rises to 180 - USA TODAY: The GuardianDeath toll in Brazil nightclub fire ri... http://t.co/RETizXju,Related and informative
Não perca só hoje no #BigFollow ganhe mais pessoas do que segue!  #SantaMaria: -bigfollow.net,Not related
#BigFollow só hoje: ganhe mais pessoas do que segue!  #SantaMaria: -bigfollow.net,Not related
More than 150 dead in Brazil nightclub fire: RIO DE JANEIRO: More than 150 people died early Sunday when a fire ... http://t.co/DBmUyYJs,Related and informative
Que deus de forças aos familiares das vítimas da tragédia.#santamaria,Related - but not informative
