 Tweet Text, Informativeness
#Longmont #CO The Tiny Tim Center is now #hiring. Book Keeper http://t.co/l4m5iSOmTw #tweetmyjobs,Not related
Here's the #boulderflood video that's circulating around. Right in my old neighborhood west of CU! #StaySafe  http://t.co/eMPbOeBk7M”,Related and informative
Crazy Flooding in Boulder Colorado http://t.co/3IgoyaAfWE,Related and informative
Thoughts and prayers out to those in Boulder who may not get to Amante for morning coffee. #boulderflood,Related - but not informative
what... “@AmyZPhD: @JuggleGod They are saying South Boulder Creek near Eldo Sprgs is past #100yearflood levels #boulderflood”,Related and informative
GO TO http://t.co/ypwkPv2eDM  AND★RT★FOR★NEW★FOLLOWERS★✔#BestRapper#PutinsFavoriteFlicks#Remember911#boulderflood http://t.co/o5XvzjcpxD,Not related
Who's tryin to tube on boulder creek right now? #boulderflood,Related - but not informative
Pray for Boulder Colorado #boulderflood,Related - but not informative
Evacuation order for the town of #Jamestown #CO. Torrential #flooding rain in the Front Range Urban Corridor N of I-70 #COwx #Boulderflood,Related and informative
I GET 5078 REALL FOLLOWERS! http://t.co/qrF5dpD3ak  ✈#BestRapper#boulderflood#PutinsFavoriteFlicks#Remember911#in http://t.co/Qi1ROyZilU,Not related
GO=&gt;http://t.co/b1BmzMHtsK #BestRapper#boulderflood#PutinsFavoriteFlicks#Remember911#ini http://t.co/yrSTbef6x8,Not related
Anyone wanna go skinny dipping? #boulderflood,Not related
#Breaking: Jamestown Colorado is under mandatory evacuation order due to flash flooding - @dailycamera http://t.co/bN3gBLKHQg,Related and informative
The weather is crazy over here..we have rivers now &amp; some students are evacuating the dorms while others went mud sliding xD #boulderflood,Related and informative
Damnit @twitter take care of the spammers using #BoulderFlood,Related - but not informative
#russelladler #news Jamestown Colorado is under mandatory evacuation order due to flash flooding - @dailycamera http://t.co/yyqbHZajQz,Related and informative
HOLY SHIT. Boulder creek water volume for the last year. Be careful. #boulder #boulderflood http://t.co/TfBOR1iUfF http://t.co/2qEYyqHbwk,Related - but not informative
#Boulder #Colorado has like 340 days of sunshine a year. Now the #BoulderFlood ? That just proves if we are gonna do it we do it big!,Related and informative
Links for information on #Boulderflood from @BoulderOEM @CUBoulder @NWSBoulder @bouldercolorado #cowx  http://t.co/6QwHS0KLQ5,Related and informative
#socy2044  will there be looting? Or an increase in crime this weekend?#boulderflood,Related and informative
rain again picking up in dwtn bldr #boulderflood,Related and informative
For updates on additional evacuation points throughout Boulder County for #boulderflood visit http://t.co/zbOLD3UJEQ,Related and informative
GO=&gt;http://t.co/Says6bwdOX ★RT★FOLLOWME★IFOLLOWYOU✔#boulderflood#BestRapper#Remember911#PutinsFavoriteFlicks#init http://t.co/AGYCYdTaIX,Not related
Flash floods wash away homes kill at least one near Boulder Colorado - U.S. News http://t.co/P5mHLfbnLR via @NBCnews,Related and informative
NEW  F O L L O W E R S=&gt;http://t.co/0CJzDlNh5b   ✔#boulderflood#BestRapper#initialsofsomeonespecial#cowx#RedEyeS http://t.co/81QZvCKE5c,Not related
At least 1 dead in Colo. flooding: Severe flooding in Jamestown in Colorado's Boulder County killed one person... http://t.co/4IwenaofFy,Related and informative
S/O to @CUBoulder @dailycamera and @bouldercounty for being on their game tonight. Thanks for the updates and alerts! #BoulderFlood,Related - but not informative
Did you know? Via @bouldercolorado: #Boulder is the #1 flash flood risk community in Colorado. #Boulderflood http://t.co/BIuwhpDQfL #COwx,Related and informative
One Dead as Flash Flooding Hits Parts of Colorado http://t.co/K4XbG0R6gJ,Related and informative
Flooding in Colorado kills 1:        http://t.co/5iROFQunkN,Related and informative
GO=&gt;http://t.co/Q8TxiJlUWc ♥AND♥RT♥IF♥WANT♥NEW♥FOLLOWERS✔#boulderflood#BestRapper#cowx#initialsofsomeonespecial http://t.co/tMD9MnLG4B,Not related
T'storms crossing I-25 toward #Longmont. Strong storm sitting over #Brighton tracking NE. #9wx forecast on #9News now http://t.co/uqO7mgWQoj,Related and informative
