 Tweet Text, Informativeness
My car air freshener is better than yours #helicopter #bigkid http://t.co/QWTLwABs8r,Not related
Anybody heard anything about a helicopter crashing into a pub in Glasgow ???,Related - but not informative
Wtf a helicopter has crashed in a pub in Glasgow? ????? The Clutha or suhin at the clyde side,Related - but not informative
Helicopter crash in Glasgow not sounding good :(,Related - but not informative
@AFP: #BREAKING Helicopter crashes into pub in Scottish city of Glasgow: lawmaker witnesses,Related and informative
Helicopter crashes into Glasgow pub: Helicopter crashes into pub on banks of River Clyde in Glasgow MP Jim Mu... http://t.co/g5Qs4lUsiL,Related and informative
Hopefully everyone OK after the #Clutha Vaults Helicopter crash. Looks at least like the roters aren't inside the pub.,Related - but not informative
Helicopter crashes into Glasgow pub  Shit! This ain't good  http://t.co/PtUUiVuiJI,Related - but not informative
Reports suggest police helicopter involved in Glasgow crash,Related and informative
D: RT @itvnews: Reports of multiple injuries at the Clutha pub in Glasgow where a helicopter has crashed onto roof http://t.co/fd6yqCNUx1,Related and informative
#NEWS Helicopter crashes into bar in Glasgow Scotland [photos] http://t.co/wwncb94lex,Related and informative
Fucking hell I can't believe this news about the helicopter crash. How frightening my god.,Related - but not informative
HEADLINES Helicopter crashes into Glasgow pub: Helicopter crashes into pub on banks of River Cly... http://t.co/okMLt9iuI5 Follow Warren,Related and informative
Hoping people are ok at Clutha pub in Glasgow. Tragic. Helicopter crash.,Related - but not informative
Small relief that the crash wasn't accompanied by explosion/fire. Hope all got out without serious injury. No real news on that yet #clutha,Related - but not informative
Helicopter Crashes Into Pub in Glasgow Scotland: Helicopter crashes into pub in Glasgow Scotland     http://t.co/077m7GylL3,Related and informative
Thinking of those involved in the Glasgow helicopter crash x,Related - but not informative
Helicopter crashes into pub in Glasgow http://t.co/blxxtNJIyX via @AJEnglish,Related and informative
Police helicopter crashes into Clutha Vaults pub in Glasgow. A favourite of mine in years gone by. :-(,Related - but not informative
@journostacey I drive straight through the town past glasgow green and was staring up at a helicopter the other night. See it all the time.,Related - but not informative
Hope everyone in and around that pub get out safe #Clutha,Related - but not informative
Helicopter hits glasgow pub. http://t.co/GF6djsgFkm blimey. Hope all ok.,Related and informative
Thoughts and prayers with all affected by this helicopter crash. #Glasgow,Related - but not informative
Helicopter crashes into Glasgow pub http://t.co/fvvav2obSQ,Related and informative
Police helicopter crashes into pub in Glasgow ! Terrible - was there just a few weeks ago thoughts with all involved,Related - but not informative
thoughts go out for everyone involved in the police helicopter crash in glasgow:-(,Related - but not informative
Horrific scenes from this helicopter crash in Glasgow- just hope the images betray the outcome. Thoughts to all those affected. #clutha,Related - but not informative
Helicopter crashes into pub in Glasgow (via @thejournal_ie) http://t.co/DVH0qwIH0n,Related and informative
#sobering  Helicopter crash into pub in #glasgow! http://t.co/0uYSOocUvu,Related - but not informative
Thoughts and prayers for all affected the Police helicopter crash at the #Clutha in #Glasgow tonight.,Related - but not informative
Helicopter sounded like a loud roar as it came down - witness has told me. #clutha,Related - but not informative
“@RosieMKane: Horrified by news streaming in re #cluthaVaults #Glasgow and Police. Helicopter crashing on roof. Please all be.ok.”,Related and informative
Horrible thinking of the helicopter crash in Glasgow - hope nobody is seriously hurt must of been the scariest event ever 😞,Related - but not informative
BBC News - Police helicopter crashes into Clutha Vaults pub in Glasgow http://t.co/ce0g3vFOGW,Related and informative
Hope everyone is okay #clutha,Related - but not informative
Helicopter crashes into pub: A helicopter crashed into a pub late Friday in the Scottish city of Glasgow a lo... http://t.co/0irJ9G3por,Related and informative
Just got back from the fratellis and found out that where we passed there was a helicopter crash in Glasgow!,Related - but not informative
Helicopter crashes into pub: A helicopter crashed into a pub late Friday in the Scottish city of Glasgow a lo... http://t.co/aWqZuaP34W,Related and informative
helicopter crashed into the pub next the to the wee hotel i always stay at in glasgow hope everyone's ok!,Related - but not informative
Feck Me!!!!!  CBC News - Police helicopter crashes into Clutha Vaults pub in Glasgow http://t.co/Z0fjjhIyhl,Related and informative
@LordWoolamaloo just a quickie to find out if jim and the shop are fine from the helicopter crash,Related - but not informative
Can't believe that news about the helicopter crash. Right beside my college too,Related - but not informative
My dad reckons that the people in the helicopter could be okay if it was a controlled crash,Related - but not informative
Police helicopter crashes into roof of Glasgow pub  http://t.co/nd557QNZf5,Related and informative
Our thoughts are with anyone effected by the helicopter crash here in Glasgow tonight.,Related - but not informative
Only in Glasgow would someone involved in a huge accident like #clutha say 'the band brought the house down' brilliant! @BBCNews #bbcnews,Related - but not informative
It just shows you how powerful social media is these days as most news reports are information from twitter #clutha,Not related
So so scary. In glasgow right across the street from the helicopter crash so sadd 😔,Related - but not informative
Praying that those involved in the helicopter crash in Glasgow are okay! Hope nobody I know was involved😢💕,Related - but not informative
The images by @Janney_h &amp; @scottscribbler are harrowing. Thoughts with the families of those lost at the #Clutha bar in Scotland tonight.,Related - but not informative
Police helicopter crashes into roof of Glasgow pub http://t.co/Pl5ymsh9WL,Related and informative
Police helicopter crashes into roof of Glasgow pub http://t.co/EjsHMH61md,Related and informative
Thoughts are with all those involved in the helicopter incident in Glasgow.,Related - but not informative
@Telegraph Raw Helicopter crashes into the roof of a pub in Glasgow crash https://t.co/8JL3PU6Zze #Glasgow #crash video #video,Related and informative
Can't believe a helicopter crash has happened so close to home...,Related - but not informative
Police helicopter crashes on Glasgow bar roof - The Scotsman: http://t.co/i6XiqrHTJo Hope all involved are OK #CluthaAccident,Related and informative
“@SadieCybernat: movie directors who show folk turning vicious when under threat trampling weak proven wrong by #Clutha. People are good!”,Related - but not informative
Helicopter Crashes Into Roof Of Glasgow Pub http://t.co/fHA1pM3hL0 @npr #news,Related and informative
Helicopter crashes into Glasgow pub multiple casualties - BBC: (Reuters) - A helicopter crashed into a pub in... http://t.co/ghrekTnJ9o,Related and informative
Fucking hell! Helicopter crash in Glasgow city center.,Related - but not informative
MT @DanielHewittITV  stood outside The Scotia. Crowd here of about 250. Some v worried ppl arriving to meet friends who were inside #Clutha,Related and informative
Police #helicopter crashed into Glasgow pub Scotland's First Minister @AlexSalmond confirms http://t.co/y60VNPiKba #Clutha,Related and informative
Rescue efforts in full operation. Given an incident of this scale we must all prepare ourselves for the likelihood of fatalities #Clutha,Related and informative
“@BBCBreaking: Glasgow #helicopter crash: It's just a horrible horrible scene @stricksmate when did you start reporting the news?,Related - but not informative
Praying for minimal injuries#helicoptercrash #GlasgowCrash #clutha had a couple of good nights in there .,Related - but not informative
BREAKING NEWS: Police helicopter crashes into The Clutha pub in Glasgow http://t.co/bxkrRjJuQD,Related and informative
Carnage as police helicopter crashes into busy Glasgow pub  http://t.co/cYaTOBrVIc,Related and informative
@BAM__MARGERA just letting you know a helicopter crashed into your favourite bar in Glasgow The Clutha http://t.co/UnpRdPyjj6,Related and informative
Heavy that helicopter crash like la imagine having a pint like then be like waaaa there is a helicopter crashed into the roof mad like,Related - but not informative
Say a prayer for those in Glasgow affected by the helicopter crash. Hoping everyone makes it out okay.,Related - but not informative
@Chic71Smith How did the driver of that helicopter crash was he low down or something,Related - but not informative
Thoughts are with everyone 😳😞 #Clutha,Related - but not informative
How the fuck do you crash a helicopter into a pub?,Related - but not informative
Hope everyone okay can't believe a helicopter crashed in to a pub  glad I'm not in Glasgow tonight anyway #PrayForGlasgow,Related - but not informative
Helicopter crashes into roof of Glasgow pub http://t.co/usymRJpbWN,Related and informative
Helicopter Crash in Glasgow might brighten the place up a bit,Related - but not informative
Emergency services on roof of #clutha trying to get through debris. Helicopter was only police chopper in Scotland #GlasgowHelicopterCrash,Related and informative
So far only one news service is reporting fatalities in this helicopter crash. I'd reserve judgement until it's confirmed by others.,Related - but not informative
Helicopter crashes into roof of Glasgow pub - Albany Times Union http://t.co/AK8SYX8ors,Related and informative
imagine drinking at a bar now imagine a helicopter crashing into it #glasgow #wow,Related - but not informative
Some who are tweeting their concern about #Glasgow #Clutha pub tragedy are still doing their stupid little showy-offy 0IF thing.,Related - but not informative
Genuinely scary how close to home the #Clutha Helicopter pub crash is... love prayers and hope they get everyone out. #glasgow,Related - but not informative
Just woke up to hear about the Glasgow helicopter crash such a shame thoughts with all involved.,Related - but not informative
Police helicopter crashes into #Glasgow #pub #roof http://t.co/Re3bnhoGrS 'LONDON (AP) — A police helicopter crashed Friday night throug...',Related and informative
@onedirslaytion VIDEO: 'We heard a bang and screaming': A helicopter has crashed into a the roof of pub in Glasgow re...  @orgasmicgomez,Related and informative
Sad news about the helicopter crash in Glasgow....,Related - but not informative
@onedirslaytion VIDEO: 'I saw helicopter crash into pub': Gordon Smart Editor of the Sun's Scottish section has told...  @orgasmicgomez,Related and informative
@onedirslaytion AUDIO: Reports of Glasgow helicopter crash: The shadow development secretary Jim Murphy has told the B...  @orgasmicgomez,Related and informative
@orgasmicgomez AUDIO: Reports of Glasgow helicopter crash  @onedirslaytion,Related - but not informative
#YahooNEWS Fatalties likely after police helicopter hits Glasgow pub http://t.co/VsOJjfGO2O,Related and informative
#ABCNews Police Helicopter Crashes Into Glasgow Pub Roof: Major emergency response to what is described as a ... http://t.co/PQwrSRrwzE,Related and informative
Police conference in next 30mins from Glasgow Sheriff Court #Clutha,Not related
Thoughts go out to those trapped in the glasgow helicopter crash,Related - but not informative
Thinking of everyone that was involved in the helicopter crash in Glasgow. No words so sad.,Related - but not informative
A Helicoptr Has Crashd Onto A Crowdd Scotland Bar http://t.co/Ui4dgNiYiK #BBC #developing #helicopter #post,Related and informative
Glasgow: Helicopter Crashes into Clutha Vaults Pub in Scotland http://t.co/72TDaePGK2,Related and informative
Coming up: Journalist @ConnorGillies is on the scene of a helicopter crash in #Glasgow he joins @KumiTaguchi http://t.co/uCb4PpCldC,Related and informative
Heart goes out to those affected by the situation in the helicopter crash in Scotland.,Related - but not informative
The Royal Infirmary has apparently said it's seeing serious injuries (unsurprisingly). #clutha,Related and informative
Police Helicopter Crashes Pub Roof https://t.co/Ver99rvQNZ … … glasgow clutha glasgow helicopter video glasgow pub esperanza glasgow,Related and informative
Several casualties in Glasgow helicopter crash - police: Scottish police say there have been a number of casua... http://t.co/UhfQWPjNxn,Related and informative
UPDATED: Officials: 'Numerous' casualties in Glasgow helicopter crash http://t.co/G4UZqUvUIl,Related and informative
Alex Salmond Moron obviously has to jump in and get a wee tiny bit of publicity pisses me off #SNP #Scotland #Glasgow #Helicopter #crash,Related - but not informative
#Clutha emergency services doing a great job tonight,Related - but not informative
Police helicopter crashes into Glasgow pub causing 'a number of casualties': A helicopter crashed into the roo... http://t.co/53uheSF1H0,Related and informative
Police helicopter crashes into Glasgow pub causing 'a number of casualties': By Elisha Fieldstadt NBC NewsA h... http://t.co/LmZSPjAdwt,Related and informative
Helicopter Crashes Into Pub In Glasgow Scotland: LONDON (AP) — A helicopter crashed late Friday night into th... http://t.co/bppOepCcT2,Related and informative
