 Tweet Text, Informativeness
KING D ROYALTY http://t.co/eXjB4V0rbx … #LA #LAX #OAKLAND #SF #BAYAREA #VEGAS #LOSANGELES #CALI #SEO #SMM #WP #OC #MUSIC #BLOGS #TURNUP 34,Not related
KING D ROYALTY http://t.co/2RJIrrnlOi … #LA #LAX #OAKLAND #SF #BAYAREA #VEGAS #LOSANGELES #CALI #SEO #SMM #WP #OC #MUSIC #BLOGS #TURNUP 81,Not applicable
Something's happening @ #LAX rt now!! Re-tweet.,Related - but not informative
#KourtneyKardashian is seen arriving at #LAX airport on October 31 2013 in Los Angeles http://t.co/NVd0gvPZy1,Not related
What the hell is going on at LAX and why does something bad ALWAYS happen at an airport on days that I fly? Explain @jonostrower.,Related - but not informative
Gunshots outside #LAX. Unknown if anyone is injured. Prayers go out to you all.,Related - but not informative
Shooting in Terminal 3? Hard to get specifics. RT @TOPolk What the hell is going down at #LAX?,Related and informative
Shots fired airport evacuated at #LAX is what im seeing all over my timeline.,Related and informative
😔 RT @msnbc: BREAKING: Reports of shots fired at LAX Airport says senior government official. Stay with @msnbc for the latest.,Related and informative
LAX Airport evacuated after reports of shooting http://t.co/RxZrFn8d1Q,Related and informative
LAX Airport being evacuated. Shots fired. Boo.,Related and informative
Good heavens! Hope all tuns out well at #LAX Please stay safe everyone. Also AVOID LAX airport right now! #Terminal3,Related - but not informative
|DEVELOPING: There has been an incident at Los Angeles Intl Airport. Reports are there was a shooting || http://t.co/t65AUJwquP|,Related and informative
How did he get a rifle past security? He SHOT his way through obviously. #LAX,Related - but not informative
Reported: Shots fired at LAX...wounded shown leaving airport http://t.co/t5znwUcrMb,Related and informative
#LAX: Passengers at Terminal 3 of Los Angeles airport evacuated shortly after 9 am local time http://t.co/EqIBSayi5g http://t.co/3Lmnjdv6Wq,Related and informative
My dad and my uncle spend so much time at the airport I'm so thankful they were both home and safe during the LAX shooting,Related - but not informative
KTLA news reporting shooting victim at LAX appears to be TSA agent. Anchor: Not clear motive or number of suspects. Rapidly unfolding #LAX,Related and informative
Thoughts and prayers to any possible victims at LAX,Related - but not informative
Thoughts and prayers go out to everyone involved in the ongoing shooting at the LAX Airport. Unfortunate  situation! #StayStrong,Related - but not informative
Just heard the news about #LAX. This is insane.,Related - but not informative
Shooting Prompts Evacuation Of Terminal 3 At #LAX http://t.co/Ysrnvk8nlP #NEWS,Related and informative
Trying to find out what happened at #LAX. Apparently there was a shooting,Related - but not informative
@piersmorgan so gun control again today? #LAXshooting,Related - but not informative
Hope u r not trying to fly in or out of #LAX right now...shots fired at security check point right… http://t.co/07Kh3H0M6D,Related and informative
So my friends were at the lax airport when the jolting happened like an hour ago whaaaaat,Not related
CNN Airport officials said a police incident began about 9:30 a.m. at Terminal 3 at #LAX airport spokeswoman @News12LI,Related and informative
The was a shooting in the LAX airport,Related - but not informative
Wow another shooting in an airport in LA,Related - but not informative
LA Airport 'Shooting' Prompts Evacuation http://t.co/EBTBxUNWmO,Related and informative
@BloombergNews reports FAA has suspended flights into LAX. #LAXShooting,Related and informative
If you #Follow #LAX make sure you are RT official guidance; verify x 2 tweet once.,Not related
2nd shooter-WTF?? @LAScanner: LAX *Update: Report of 2nd suspected shooter in custody. LAFD reports total of 4 GSW patients at this time.,Related and informative
Reports: TSA agent and alleged gunman wounded in shooting at Los Angeles Airport. #LAX http://t.co/b2JGQEhgSO,Related and informative
#FAA halts flights heading into #LAX (@KTVU),Related and informative
#BREAKING NEWS: CBS REPORTS A SECOND ARMED MAN IN CUSTODY AT #LAX AIRPORT.,Related and informative
Shooting at LAX Terminal 3. #LAX #Shooting,Related and informative
@PoliticsCork: BREAKING: This is the current scene at LAX airport more images to follow. #CP http://t.co/3TROKlcFNh,Related and informative
LAX airport evacuated after shooting \\ Circa \\  http://t.co/tGhJAaBj8M,Related and informative
LAX shooting: Gunman opens fire inside Los Angeles Internationa Airport Terminal 3 http://t.co/ig60g3z1W4 #BreakingNews,Related and informative
#CCOT Shooting at LAX. 2 suspects in custody. 3 victims per CBS news! Suspects in custody wearing camouflage clothing targeted TSA agents!,Related and informative
@topenews not several injured is top news but stars evacuated. Joke journalism #lax,Related - but not informative
LAX Shooting: Officials Confirm 'Incident' At Airport Witnesses Hear Gunshots: http://t.co/PZojzPXpHf,Related and informative
BREAKING: Incident reported at #LAX #shooting terminal airport being evacuated. http://t.co/KjTgC4ATM9,Related and informative
@AlArabiya_Eng: #BreakingNews: Shooting at Los Angeles Airport wounds three http://t.co/Qdd4jGcB9v via @AlArabiya_Eng,Related and informative
BREAKING: Reports of Shooting at LAX airport http://t.co/9kPRc4qxih ^nk,Related and informative
Thoughts are with all those affected by #LAXShooting - just senseless!,Related - but not informative
Shootings at Los Angeles International Airport inside Terminal 3 this morning; at least one TSA employee among... http://t.co/ZB8l4ZUekF,Related and informative
crazy shooting at #LAX,Related - but not informative
Brandvæsnet har gjort klar til flere sårede i #LAX. Rød er til alvorligt sårede grøn til lettere - via @cnnbrk http://t.co/NaQxrNmx3Q,Not applicable
#LAX son of a bitch deserves to be hung by the balls and tortured one body part at a time till he finally dies  😡🔪🔫 #angry,Related and informative
Shots fired at LAX airport evacuated: ABC7 in Los Angeles reports that a TSA employee was shot at a security... http://t.co/QbF0KOtN7s,Related and informative
It's always awesome to hear about a shooting at an airport you're scheduled to fly to within the month. #LAX,Related - but not informative
It's so weird I was there days ago in the same terminal #LAX #PrayForLAX,Related - but not informative
Hasta el momento no hay información oficial sobre el #LAX. Los rumores es que hay un sospechoso detenido pero se cree que hay más implicados,Not applicable
No safe place in the world@VibeMagazine: Gunman shoots several people at LAX one suspect reportedly in custody http://t.co/ZtyRGuz2gc,Related and informative
Stuck at LAX. Someone opened fire on a TSA agent. Multiple victims. Locked down for who knows how long. Nothing going in or out.,Related and informative
What's happened at #LAX? Hope everyone's okay x,Related - but not informative
My thoughts go out to everyone involved in the #LAXShooting. Hug your family and friends a little tighter today.,Related - but not informative
LAX Shooting: Officials Confirm 'Incident' At Airport Witnesses Hear Gunshots http://t.co/dzwGwoNtOa via @HuffPostCrime,Related and informative
@KariByron  Shooting.  Follow #LAX,Related - but not informative
shooting at LAX airport reasons i dislike people.,Related - but not informative
@BasedBieberLife LA Airport 'Shooting' Prompts Evacuation: The Los Angeles Fire Department says it is assisting law enforce...  @deadmau5,Related and informative
Evacuation at Los Angeles airport after reports of shooting: At least one terminal of Los Angeles' internation... http://t.co/KZW840h4Ws,Related and informative
FAA - Report of no departures from #LAX until further notice.,Related and informative
LAX shooting: Shots fired at Los Angeles International Airport multiple injuries  http://t.co/sbfBcKrnnt,Related and informative
Shots fired at #LAX...  it's reported that the suspect is in custody. 2-3 injured. I'm sure all flights will be delayed for at least 24hrs,Related and informative
NBC News: At least 3 hurt unknown if shooter is among injured. At least 1 in custody. President Obama briefed on #LAXShooting. @NBCLA,Related and informative
#LAX shooting: Graphic based on reports of shooting in Terminal 3 http://t.co/x1L5jesFuI,Related and informative
Denver Int'l Airport @DENAirport  DIA operations are normal. Passengers from DEN to LAX should check flight status w/airlines,Related and informative
Que carajo tienen los gringos en la cabeza que les encanta entrar a un sitio y dispararle a la gente? #LAXShooting,Not applicable
Los Angeles International Airport evacuatd aftr shots reportedly fird http://t.co/Le0KC225JC #CNN #gunfire #LAX #police,Related and informative
They caught the dude that shot up #Lax,Related - but not informative
Niggas shooting in an airport now smh,Related - but not informative
Are you scheduled to fly to LAX today? Shooting at airport may cause major delays. Follow @kpcc for updates.,Related and informative
You don't know what's going on at #LAX  but still post Facebook posts blaming someone. I get it that you are the worst kind of person.,Related - but not informative
FAA Orders Ground Stop At #LAX After Shooting: No flights are departing from Los Angeles… http://t.co/W2ZDEIM2Cp,Related and informative
@AnthonyCumia How about the odds it was personal over a woman and nothing to do with his job or the airport at all? #LAXshooting,Related - but not informative
Our thoughts and prayers go out this morning to the victims at LAX. Here's to hoping for a speedy resolution to... http://t.co/EPO2a3GACD,Related - but not informative
yet another nutjob with a gun killing randomly in America #NotSurpisedAnymore #LAX,Related - but not informative
Police: Shots fired at LAX airport: CNN's Michael Holmes and Suzanne Malveaux report on an incident at Los Ang... http://t.co/yIgZGNXnii,Related and informative
Police: Shots fired at LAX airport: CNN's Michael Holmes and Suzanne Malveaux report on an incident at Los Ang... http://t.co/ZhSo3P4Li7,Related and informative
The world is a scary place #LAX #SendingPrayers,Related - but not informative
Waiting at a hotel about a half mile from the airport. No idea when LAX might reopen or when flights will start flying again #LAXshooting,Related - but not informative
@BobbyDtv: “@pascaljosh: Now being evacuated by police escort. Moving through baggage claim. Police are clearing rooms as we move. #LAX”,Not related
#LAPD to hold first briefing in 30 minutes on #LAXShooting at 14:30EST/11:30PST.,Related and informative
SUIVI - Autre Photo de l'arme utilisée à #LAX v http://t.co/cwkC94LgQU,Not applicable
Why was the suspect targeting TSA? So sad! #LAXshooting #LAX #socialmedia,Related - but not informative
Catching up on the news. What are the chances the #LosAngeles airport gunman is a disgruntled former employee with a grudge? Just a guess..,Related and informative
BREAKING: One TSA agent killed one wounded in #LAX shooting http://t.co/t1fU0tGPNq,Related and informative
Shooting at Los Angeles airport: Several people are reported wounded by gunfire including a transport securit... http://t.co/zF6w5jbJHG,Related and informative
Update: One person in custody after shooting at Los Angeles International Airport  http://t.co/WupIgtmXhW #LAX,Related and informative
LAX shooting: Three people shot suspect 'neutralized' - San Francisco News http://t.co/LdTckUAxbA,Related and informative
Tarps set up for multiple injuries: HLN's Mike Brooks talks about possible injuries at the LAX airport followi... http://t.co/j0N7zID6s5,Related and informative
Frightening if genuine. Note: slightly graphic. RT @TJD19083: LAX Terminal 3 Shooter Scene http://t.co/mw90DgRbJ1,Related and informative
This is absolutely disgusting. So easy to hide behind your computer. Hate is ugly #LAX #Tragic http://t.co/5CobARVqLZ,Related - but not informative
2 Wounded in Los Angeles Airport Shooting http://t.co/2SO5ZzdT4c,Related and informative
Witness: Mayhem: An eyewitness describes the scene after a shooting inside Los Angeles International Airport.       http://t.co/5u94vNEq6O,Related and informative
All these people talking politics while someone has just lost a loved one..Its sick my prays go out to all of them RT #LAXShooting #LAX,Related - but not informative
Watch a LIVE STREAM of the News in Los Angeles About the LAX Airport Shooting: By Haley Longman If you... http://t.co/HXyKFgYJnI #gossip,Related and informative
Suspect in custody after Los Angeles Airport shooting; multiple victims reported - @CBSLA @LAX_Official http://t.co/s8dj29G916 #sp4zee,Related and informative
#LAXshooting grinho loco dispara rifle y mata a dos personas,Not applicable
first photos of TSA agents at #LAX are appearing. http://t.co/Iv2bFucUUD,Related and informative
#STAYWOKEDAWG RT @CharlieKayeCBS: BREAKING. Law enforcement source tells @CBSNews the LAX shooter was an off-duty TSA agent.,Related and informative
On @FoxNews witness asks if #TSA is armed? Reporter NO! Witness replies TSA ran w/us aren't they there to keep us safe? #tcot #LAXShooting,Related - but not informative
Il responsabile della sparatoria potrebbe essere ex-agente TSA in pensione. Spiegherebbe come sia arrivato al gate con un fucile così. #LAX,Not applicable
LAX SHooter suspect~ Believe  former TSA Agent,Related and informative
So the LAX shooter is or was a TSA agent according to Fox News.,Related and informative
.@NBCNews is now reporting the #LAX gunman has been killed.,Related and informative
LAX: several people reported injured after airport shooting – live http://t.co/ziv893RbBO #news #breaking #info #worldaffairs #Stayinformed,Related and informative
|3 Wounded in shooting at Los Angeles airport http://t.co/p3aoBbDVOR || http://t.co/feRpx8Yzq3|,Related and informative
Another day in this crazy world of ours smh #LAX,Related - but not informative
Can we talk about guns now? #LAX,Related - but not informative
.@TwitterForNews RT @ABC7 #LAX Terminal 3 Shooting Timeline http://t.co/7lclxcAVEf,Related and informative
Our prayers and best wishes goes out to all involved in the #LAX shooting.,Related - but not informative
Here is what we know about #LAX shooting: Man opens fire with rifle 1 dead several wounded http://t.co/nIWabUjtTO,Related and informative
@troyesivan i agree but its not that easy to get rid  my thoughts go out #LAX,Related - but not informative
#LAXShooting I wish for peace in this world. My prayers are with you.,Related - but not informative
Shots at #LAX prompt evacuation stall flights http://t.co/GyzVlIE443 #wftv  #LAXShooting,Related and informative
Praying for the shooting victims at LAX❤️🙌🙏,Related - but not informative
Listening to this shooting at LAX on CNN.. Shootings happen every single day but only certain ones are heavily publicized; gotta be a reason,Related - but not informative
People disregard the value of life and it has created a scary new paradigm of violence and hatred in the world #LAXShooting,Related - but not informative
#LAXShooting @CNN reporting 3 victims at Ronald Reagan UCLA Medical Center 1 critical,Related and informative
I'm at Los Angeles International Airport (LAX) - @lax_official (Los Angeles CA) w/ 175 others http://t.co/tz6yPuIMOv,Not related
ths Appears To B The Scene Of The LAX Shootin http://t.co/81jeoYBhEU #AR #enforcement #LAX #TSA,Related and informative
Just another shooting nbd #murica .... #sarcasm #hugedeal #LAX #shooting,Related - but not informative
