 Tweet Text, Informativeness
Scène d'apocalypse à Lac-Mégantic: une nouvelle vidéo citoyen https://t.co/vbZ9mSk6Od,Related and informative
Un train de carburant explose à Lac-Mégantic http://t.co/fQxY8ec9jG via @lp_lapresse,Related and informative
Un train transportant du pétrole à déraillé à lac Megantic en Estrie.  Explosions. #lacmegantic,Related and informative
Un train de carburant explose à lac Mégantic http://t.co/6f74QUjwkL,Related and informative
@tvanouvelles et @RadioCanadaInfo. Si vos caméras sont en direct de #LacMégantic pourquoi nous passer toujours les mêmes images en boucle?,Not related
Une page pour venir en aide prendre des nouvelles et en donner  #LacMégantic  https://t.co/VwmcBTGsDd …,Related - but not informative
Best of luck/Meilleure des chances aux gens de Lac-Mégantic ainsi que du Nord du Québec.,Related - but not informative
Update: Downtown Lac-Megantic Quebec in flames after derailment; mayor says city center destroyed - @CBCAlerts http://t.co/EtJZCGFNYo,Related and informative
Train derailment sparks major fire in Quebec's Eastern Townships http://t.co/o69z3EEM9A,Related and informative
Train derailment sparks major fire in Quebec's Eastern Townships http://t.co/gwJqYkaQWU Stay safe everyone,Related and informative
#LacMégantic MRT @rc_estrie Groupe Facebook mis sur pied pour retrouver des proches est déjà à plus de 1200 membres http://t.co/1VUMmAREZg,Related and informative
L'Histoire (avec un grand H) s'écrit à #LacMegantic #fb,Related - but not informative
#TEAMFOLLOWBACK #JFB Photo: Eyewitness captures train derailment explosion in Quebec - via @LesNews http://t.co/K9l8Dh4f25 #FOLLOWBACK #TFB,Related - but not informative
Page #Facebook de support aux gens de Lac-Mégantic #Québec #Estrie https://t.co/7SQVssLrui http://t.co/VD9SSsifNY,Related - but not informative
La moitié de la ville de Lac Mégantic brûle et le ministre Lisée par le d'indépendance Sans commentaire,Related - but not informative
Freight Train Explosion Forces Evacuations in Canada - The entire town of Lac-Megantic in Quebec Canada was evac... http://t.co/eGVvCId3tw,Related and informative
#LacMégantic  Que dit la compagnie de chemin de fer responsable de cette #deflagration? Si silencepourquoi?,Related - but not informative
Freight Train Explosion Forces Evacuations in Canada: The entire town of Lac-Megantic in Quebec Canada was e... http://t.co/oyAGwXvhnJ,Related and informative
[Breaking] Several people reported missing after Quebec train derailment - @AP http://t.co/y7KBZR3LKW,Related and informative
Quebec town rocked by explosions fire after oil train derailment http://t.co/3YA6fUIeHf,Related and informative
Storifyfeed met foto's en video's van treinramp Canada. Heftige beelden. http://t.co/4FZ02AgFwT #LacMegantic,Related and informative
@CensoredNewsNow ‘&gt; Dreadful’: Several missing as Canada oil train explosion for... (PHOTOS VIDEO) — RT News http://t.co/nPaWoTGlfM #nwo,Related and informative
Train carrying crude oil derails in Quebec http://t.co/2X5pkBhNsi #usa #e...,Related and informative
People missing after rail tanker cars explode in Canadian town: LAC-MEGANTIC Quebec (Reuters) - Several peopl... http://t.co/uhATXmkepl,Related and informative
MT @CTVBeauchemin: Quebec police force aerial shot of town of Lac Megantic in the aftermath of trail derailment. http://t.co/rKUpRsSzNc,Related and informative
Un train de pétrole sans conducteur. Un terroriste n'aurait pas fait mieux!!  #LacMegantic,Related - but not informative
Guys this is the scene in Canada right now: Giant fire train in Canada in Lac-Megantic: http://t.co/IqmfUKCrWY via @youtube,Related and informative
Photo: Explosion from Quebec train derailment - via @Forian http://t.co/4maTnjNiDb #sp4zee,Related and informative
Petrochemical train explodes in Quebec's Lac-Megantic http://t.co/tONjhav6UQ,Related and informative
Just see the list of persons reported missing in Lac-Megantic made ​​me cry. Horrible thing in our Province. #LacMegantic #Quebec,Related - but not informative
Explosion à Lac-Mégantic: le train était sans conducteur http://t.co/aXwQPMG1IV via @lp_lapresse,Related - but not informative
Canada sees a massive explosion today at Lac - Megantic  as an oil train derails - 30 building destroyed m 100... http://t.co/0nwN6oltUR,Related and informative
Mes pensées vont à toutes les personnes touchées par la tragédie à Lac-Mégantic.,Related - but not informative
@nanotousch: Image hallucinante d'un train qui a explosé en plein centre-ville cette nuit au #Canada #Lacmégantic http://t.co/s4ko1ZmiOE,Related and informative
DTN World News: Train explodes in Lac-Mégantic Quebec forcing residents to flee - Toronto Star: CTV NewsTrain... http://t.co/Dsxb7G0DP2,Related and informative
Absolument @laportestephane: Aujourd'hui tous les Québécois habitent à Lac-Mégantic. Courage. #LacMegantic,Related - but not informative
750 lits sont disponibles au centre d'hébergement à #LacMegantic La café de l'école est en fonction. #RCES http://t.co/8TAirEqJn0,Related and informative
One confirmed death from train derailment in Lac Megantic.,Related and informative
Local firefighters are volunteers but today they truly acted as professionals says #LacMegantic fire chief.,Related and informative
Selon nos informations 8 wagons sur 73 sont récupérés. Hydro-Québec attend aux abords du périmètre. #LacMegantic #RCES,Related and informative
Quebec train explodes with crude oil ---derails    TERRORISTS AT WORK-----Martial Law Ex Order coming shortly.,Not related
Explosion as train derails in Quebec A large swath of a Quebec town was demolished on Saturday... http://t.co/kHcPIZcgX7 via @weathernetwork,Related and informative
Explosions à Lac-Mégantic · Un décès confirmé http://t.co/t1PvKRF9ZE,Related - but not informative
Thinking of the folks in #LacMegantic . I hope the rest of your missing are found soon and whole.,Related - but not informative
On pense a vous.  #LacMegantic #Megantic http://t.co/STFS5dV5ro ... #Courage,Related - but not informative
Why we need Keystone XL RT @RT_com 60 reported missing as runaway #Canada oil train explosion forces town evacuation http://t.co/BcM4schX82,Related and informative
Locomotive is on fire arriving at Lac Megantic  in Quebec. Train carrying petroleum then explodes and starts a fire burning all downtown.,Related and informative
Mulcair slams Harper over Lac-Megantic blames rail cost-cutting http://t.co/IfgN5rqFYR #cdnpoli #Canada,Related - but not informative
Épouvantable le drame qui se vit à Lac Megantic.. Courage aux habitants de cette merveilleuse ville...,Related - but not informative
@jeffmadams thanks for sharing the sad news about Lac-Megantic. I did not know about it.,Related - but not informative
Un muerto tras explotar tren que se descarriló en Canadá: LAC-MEGANTIC Quebec  Canadá. — Al menos una person... http://t.co/WPCkAdigAo,Related - but not informative
One dead :( #quebec MT @YourAnonNews: Canada: Oil train explodes 60 people missing 30 buildings destroyed https://t.co/TIxntAVGTG …,Related and informative
Breaking news: Canadian town 'wiped out' as freight train carrying hundreds of tons of crude oil derails &amp;explodes http://t.co/GJOeOmBdIC,Related and informative
Lac-Megantic train derailment: videos photos from the scene http://t.co/LlbKhzc5eO,Related - but not informative
Kanye: Imma let Lac-Megantic finish but Halifax had one of the best explosions of all time!!,Related - but not informative
HuffPostQuébec reports *at least* 80 missing #LacMegantic http://t.co/xfQbpKlM83,Related and informative
About time!  RT @AP: AP VIDEO: Train carrying crude oil derails in Quebec sparking explosions forcing evacuations: http://t.co/MiQhZH2BZm,Related and informative
#LacMégantic : Les #citoyens qui ont des questions relatives à la qualité de leur #eau potable doivent communiquer avec leur municipalité.,Related - but not informative
#LacMégantic #pétrole #gazdechiste #fracking #fracturationhydraulique #transport #pipeline #environnement... http://t.co/HJCbE16P2u,Related - but not informative
a train carrying crude oil crashed near Lac-Megantic of Quebec Canada ne... #CBSEveningNewsWithScottPelley #GetGlue http://t.co/zSDWspWX1E,Related and informative
#Fail - Un autre qui a leur cœur à la fête. Bravo Mr [Wannabe Maire de Montréal] Denis Coderre pr ce msg http://t.co/yEnmSjNo6S #LacMegantic,Related - but not informative
http://t.co/IrAooPxbQ7 #quebec #explosion #train DDD=,Related - but not informative
Canada police expect death toll in oil train blast to rise http://t.co/QFE8Nz7dko,Related and informative
Scary I watched Unstoppable just yesterday and now I hear about  #LacMegantic ...my thoughts are with everyone there,Related - but not informative
#nieuws Nog minstens 80 vermisten na explosie goederentrein: In het Canadese stadje Lac-Mégantic worden... http://t.co/Gb7XvZTfC0 #trouw,Related - but not informative
