 Tweet Text, Informativeness
Fuck ayoko ng baha. Paano ako sa Manila gdi purnada ang gala HAHAHA,Related - but not informative
Intramuros baha. I miss Manila. http://t.co/UkqB40Eu5Y,Related and informative
“@24_Oras: Sa Metro Manila makararanas ng makulilim na langit at hanggang katamtamang pag-ulan hanggang sa Martes. #MaringPH” @PWU_Manila,Related and informative
Wag mo akong paasahin ayokong masaktan. #Maring,Not related
Sungit ni Aling #MaringPH,Not related
Fvck baha na daw sa manila -.- buti di ako umuwi sa dorm :)),Related - but not informative
Sana walang pasok bukas. :&lt; FLOOD DAW SA METRO MANILA. Sabi ni PAG-ASA.,Related - but not informative
@MEJSB @DearAyaaa Hindi masyado Mandaluyongers ako. Haha. Sa manila baha na. Hindi pa nagrereply si tito Erap kung isususpend niya.,Related - but not informative
@CentroEscolarU may pasok po ba bukas ceu manila? baha na po sa amin eh :((((((,Related - but not informative
@akockenn: NO CLASSES TOMORROW. SURE NA SURE NA DAW. Ingat ang lahat. God bless :) #Maring- Swerte!! :),Related and informative
@lagorospe : Sino si #Maring?,Related - but not informative
Buti pa sa Metro Manila wala nang pasok bukas. Pero umaariba na si baha. Keep safe everyone!,Related - but not informative
Enzo: Tara lakarin natin hanggang San Juan. Bili tayo ng BOTA. Me: Hanggang bewang na yan. Anong use ng BOTA? #MaringPH #stranded,Related - but not informative
Baha na for sure sa recto sa quiapo sa espana sa sm manila. Baha na lhat ng way ko papasok!!,Related and informative
klase nagsuspend na! pano naman kmeng mgaempleyado? dadaanan dinnmn namin angmga dadaanan ng mga estudyante a.hehehe! #nowork #maring,Related - but not informative
MMDA: Floods reach waist-deep levels in parts of Quezon City http://t.co/2pkv8QOAQB #ManilaNews #Manila #metronews,Related and informative
Live @DZMMTeleradyo: Commuters are now stranded near a mall beside Manila City Hall due to rising floods #RescuePH,Related and informative
hinayupak na ulan yan ayaw pa tumigil!!! shoooooo! #MaringPH,Related - but not informative
#Habagat tama na.. #baha na samen.. LORD patigilin mo na ulan..,Related - but not informative
@CotasLevin wala na yan baha sa manila eh!,Not applicable
Can't sleep because of this rain #MaringPH #ughh,Related - but not informative
@FindAiba Well it's not that bad for us here but I heard in the news that there are already waist-deep floods in some places in Manila.,Related and informative
I am wide awake monitoring the flood waters. Our street is submerged and the water's up at our gates. Why can't the rain stop? #MaringPH,Related and informative
#Goodnight fellas :) and also #Goodnight #MaringPH,Not related
Baha na buong Metro Manila #HindiPaTaposAngMsWorldPhil2013saGMA7,Related and informative
with all the pork barrel given why are we having all this flood all over Metro Manila right now? Exempted ba kayo sa judgements politikos,Related - but not informative
A red rainfall advisory is issued when downpours constitute an emergency. This means we should be ready to evacuate to safety. #MaringPH,Related and informative
@CheckLit: Good night everyone. Please don't go outside unless absolutely necessary. Stay safe and updated on #MaringPH.,Related - but not informative
@jrcabio nyeeh im in manila now. Idk if baha dun banda,Related - but not informative
its 4:32 in the morning still raining :((((( BAHA NA SA MANILA :( #RainRainGoAway,Related and informative
“@ANCALERTS: Tropical Storm Maring continues to enhance the southwest monsoon which is affecting the whole country #MaringPH”,Related and informative
|“@PhilstarNews: ALL GOV'T OFFICES in Metro Manila declared #walangpasok today Aug19. || #maringupdates here http://t.co/apmb1nAOs4”|,Related and informative
BE SAFE AND PRAY GUYS! ✌ #MaringPH,Related - but not informative
Kahit 2 hours lang tulog ko hindi na ko matutulog. Baka kasi mamaya nasa 1st floor na yung baha. Tama na Bagyong #MaringPH :(,Related - but not informative
