 Tweet Text, Informativeness
NYPD calling Level 3 mobilization (borough-wide) for possible train derailment near Spuyten Duyvil Metro North station in the Bronx,Related and informative
THERE HAS BEEN ONE FATALITY SO FAR AT THE METRO NORTH DERAILMENT IN BRONX NYC #BREAKING,Related and informative
Train derailed in New York! Hope everyone's ok👏,Related - but not informative
Train crash in New York helicopter crash in Glasgow Paul Walker has died...this really is an awful week!,Related - but not informative
|Train na naman!!--&gt;“@ANCALERTS: Police say a Metro-North passenger train has derailed in New York City; some cars in water || via @AP”|,Related and informative
Now a train has derailed in New York...what is happening to this world?!,Related - but not informative
Officials confirm major train derailment in Bronx NY. Metro north train multiple injuries reported. Stay with @WFSBnews for updates.,Related and informative
Waking up to news of a train derailment in NYC. Praying for all affected.,Related - but not informative
@roddymansfield: Developing: Passenger train derailed in New York carriage in the water: http://t.co/slVUVsBUzi Fucking Trevor. #GTA,Related and informative
Train derailment in the Bronx New York. Looks like some carriages are in the river. Video by @SheldonDutes4NY  https://t.co/bwMXFDgQgN,Related and informative
Holy shit RT @TexasHedger: Pictures of Metro North Train Derailment: http://t.co/O6nE4MRGiu  http://t.co/p5y5hUu6rE  http://t.co/s3GnJtXBPo,Related and informative
@gregcohen @BreakingNews: Unknown number of injuries in New York City train derailment near Metro-North Spuyten Duyvil station in the Bronx,Related and informative
#mta #metronorth #derailment http://t.co/H7gp5fDBI0,Related - but not informative
Metro-North passenger train derails in NYC: Police and witnesses say a Metro-North passenger train has derailed... http://t.co/OzHjZ28ulV,Related and informative
everyone enjoy your sunday roasts and have a lovely sundaymy prayers goes out to those hurt or killed in the train derailment in new york.,Related - but not informative
Train derails in New York: A Metro-North train derailed Sunday morning at Spuyten Duyvil station in the Bronx... http://t.co/xAGZIZFKMa,Related and informative
Praying everyone on the metro north derailment is ok.,Related - but not informative
BBC News - New York train crash: Metro-North derailment in Bronx http://t.co/k8jGgzRokO,Related and informative
Praying for those caught in the Metro North derailment in the Bronx this morning... Smh.󾍛 #Lawsuit!!,Related - but not informative
This Metro-North derailment is horrible. That train must have been going awfully fast for cars to be that far off the tracks.,Related - but not informative
WABC-TV: FDNY confirms that there are fatalities in Metro North derailment. Other news outlets reporting 4 deaths.,Related and informative
Multiple injuries in NYC passenger train derailment severity unclear fire department confirms - @AP http://t.co/oioxEYFeE9 #sp4zee,Related and informative
Feel terrible re Metro North derailment. Rode same line in Sept. Safety record in the past year is thought-provoking. Usually great service.,Related - but not informative
Going ro sleep with a heavy heart and waking up the same way with the added news from the train derailment in nyc :-(:-(:-(,Related - but not informative
FDNY: 'Multiple injuries' in Pok-to-NYC train derailment alternate route provided http://t.co/ohurIKZBOE,Related and informative
Amtrak: Service between Boston/Washington is not affected by Metro-North derailment; service held between NYC and Albany.,Related and informative
@MichaelSkolnik: UPDATE: at least 4 dead 40+ injured in Metro North train derailment this morning. #Prayers I'm sooo sad;-(,Related and informative
“@NBCPhiladelphia: Amtrak Empire service disrupted btw NYC and Albany due to deadly Bronx train derailment. http://t.co/oYZd4UdYdU”,Related and informative
Sources: At least 40 people injured: A Metro-North train derailed Sunday morning in the Bronx the New York Fi... http://t.co/63kdnXHUTC,Related and informative
MT @JamieShupak: Metro North train derailment was the 5:54am Poughkeepsie to Grand Central. photo via @danielcohen: http://t.co/svShQPuiAI,Related and informative
Sources: At least 40 people injured: A Metro-North train derailed Sunday morning in the Bronx the New York Fi... http://t.co/RIHHkSbRxG,Related and informative
Train derailment on the metro north coming from Poughkeepsie I think they said it's the 504 so if anybody had... http://t.co/4R3qBvAj0Q,Related and informative
FDNY: 'Multiple Injuries' in NYC Train Derailment: Fire department: 'Multiple injuries' in NYC passenger train... http://t.co/mDpTe13QbW,Related and informative
@bjam08 train derailment in NYC,Related - but not informative
“@ABC: Developing: Fatalities reported after NYC commuter train derailment http://t.co/titHOpuuHJ http://t.co/TV547tZbRs”,Related and informative
FDNY: 'Multiple Injuries' in NYC Train Derailment: Fire department: 'Multiple injuries' in NYC passenger train... http://t.co/2OeKsCuVzf,Related and informative
FDNY: 'Multiple Injuries' in NYC Train Derailment: Fire department: 'Multiple injuries' in NYC passenger train derailment severity u...,Related and informative
*Graphic* New York Train Crash Footage: http://t.co/4zMkax0xlr via @YouTube,Related and informative
DERAILMENT HORROR: Four dead 20 injured after five Metro-North cars jump tracks in Bronx on Manh... http://t.co/DNYvy2DNVm #nydailynews,Related and informative
