 Tweet Text, Informativeness
Jakarta floods leave hundreds of thousands homeless - Australia Network News - ABC News http://t.co/ZsAHzAG9,Related and informative
Bush fires in Australia deadly flooding in Indonesia and probably far worse winters elsewhere but no 1000+ schools closed flights,Related and informative
VIDEO - A world of contrasts. We freeze whilst Australia swelters &amp; is threatened by flash floods: http://t.co/JPSx1mLv #weather #geography,Related - but not informative
Probe opens way for Queensland floods class action - The Australian: Brisbane TimesProbe opens way for Queenslan... http://t.co/JqtGOnlY,Related and informative
Queensland flood victims join action against Government: -- Delivered by Feed43 service http://t.co/vQXafWmL,Related and informative
Current centre of Ex-TC Oswald is 40km WNW of Cooktown and moving in a SSE direction at about 18 kilometres per hour. #bigwet #qld,Related and informative
#QLD  Police: #bigwet Bruce H'Way near Mobil Service Station &amp; Butler St Tully... http://t.co/pNxFvjoC,Related and informative
PLEASE be patient &amp; drive carefully - it's better to arrive home from work a little late today than not make it at all. #bigwet #cairns,Related - but not informative
23/16:03 EST Flood Warning - Coastal Rivers - North (QLD) http://t.co/ca0eFXz0 #BIGWET #QLD UPDATED ITEM http://t.co/jlvcwuUY,Related and informative
Can we keep him? MT @Henry_B68: You know the#bigwet is here when you find frogs in your home. http://t.co/xDNY12RP,Not related
Weather in Australia is stupid! Heat wave and fires in one place flooding in another and heavy rain in another!,Related - but not informative
It isn't over just yet: http://t.co/dKdwavUJ #FNQ #BigWet,Not related
Ex-Cyclone Oswald flooding continues. Pic from Ingham Queensland http://t.co/ybN2M4h5,Related and informative
#QLD 24/08:19 EST Flood Warning - Macintyre Weir &amp; Border Rivers (QLD): #QLD 24/08:19 EST Flood Warning - Macin... http://t.co/238a3NrE,Related and informative
Latest road closures from Rockhampton Regional Council #bigwet https://t.co/YFdzUxnc,Related and informative
just saw the news queensland is starting to flood in between bushfires cyclones snow storms and floods are... http://t.co/SjeaqMox,Related and informative
@AlisonFairleigh have you bunkered down Ali? #Bigwet,Not applicable
Police: The Burnett Highway six kilometres south of Mt Morgan has water over it. Proceed with caution. #qldtraffic #bigwet ...,Related and informative
Ok there's huge flooding in Qld??! I'm only hearing this via twitter. Next stop - ABC News,Related - but not informative
Queensland floods as cyclone sweeps past http://t.co/Ipo3Gqa1,Related and informative
@PrinceofSydney floods in queensland? I think I heard that somewhere today. Hope Ʊ r good?,Related - but not informative
Pacific motorway already heavily congested #bigwet #longweekend #bnetraffic,Related and informative
The State Govt has ordered SEQ Water to release water from WIvenhoe to reassure residents. http://t.co/ZG7Qlk8L #bigwet,Related and informative
Rescues underway as central Qld floods - Herald Sun http://t.co/xoqPNlTn,Related and informative
