 Tweet Text, Informativeness
Следователи по УрФО задержали челябинца причастного к бойне на Торнадо  #Chelyabinsk  http://t.co/OSjntPbI,Not related
Есть сообщения о пострадавших. Пишите пожалуйста что происходит! #екб  #челябинск #метеорит,Related - but not informative
Dear @_konstanta   take care with de rainy #метеорит in Russia or save me a piece.  ✌,Related - but not informative
How long until we get a Russian Meteor parody account?,Not related
Жители Челябинска уже начали разбирать суперспособности. #chelly #челябинск,Related - but not informative
ПИЗДЕЦ. ГДЕ ЖЕ БЫЛ БРЮС УИЛЛИС? #метеорит,Not related
Meteorite crash in #Russia: A missile salvo blew the #meteorite into pieces at an altitude of 20 km: http://t.co/PhKzZZPr,Related and informative
Суровым сталеварам прилетел #метеорит,Related - but not informative
#челябинск после метиоритного дождя http://t.co/HUI662mD,Related and informative
MT @YourAnonNews: Office buildings in #Russia's Chelyabinsk are being evacuated as meteorite shower hits http://t.co/PMW1nXZW #Chelyabinsk,Related and informative
http://t.co/TGdc1dig 2:30 - 3:30 - взрывом выбило ворота. #метеорит #meteorite blast wave hit warehouse door,Related - but not informative
Possible meteor shower reported in eastern Russia http://t.co/KuiRQuVw,Related and informative
#метеорит Chelyabinsk http://t.co/vAfVz14N,Related - but not informative
“@abqDean: Wow video of a meteor coming down in Russia I hope we are being told the truth about coming near miss: https://t.co/nqsksEwl”,Related and informative
It would REALLY suck to find out that Russia has a working anti-meteor weapon and we don't but I bet we don't. Budgets and all that.,Not related
@CNN @MSNBC while you have been obsessed with a cruise ship (no injuries or deaths) there's been a meteor over Russia. Possibly #breaking ?,Related - but not informative
Central Russia hit by meteor shower: A meteor shower in central Russia causes injuries and shatters windows as b... http://t.co/2jWetktv,Related and informative
Заебись жить в #chelly - теперь мы в тренде и наконце-то избавимся от ёбаного Дулина. Новый имидж - #метеорит.,Related - but not informative
Богпоправь прицел! кидать  #метеорит нужно было на Кремль.,Related - but not informative
Болид снятый на видеорегистратор https://t.co/vhzn4fo4 #болид #метеорит #видеорегистратор,Not related
i hear that you and your band are throwing out your guitars and buying The Russian Meteor,Related - but not informative
http://t.co/X0d2pk1s  #RussianMeteor Buster exactly why do we keep testing my love for we STOP PISSING EVERY FRIGGEN WHERE,Not related
#метеорит Chelyabinsk #RussianMeteor мы в трендах хд http://t.co/v1Ckljke,Not related
@lraycraft Thanks for clarifying! Still pretty significant explosion mid-air or not! #RussianMeteor,Related - but not informative
Давай к нам Ростов ждет))) #Метеорит #челябинск #chelly RT @meteor_v_taige: Сегодня я упал.,Not related
@mr_soccerman это самая унылая шутка по хештегу #челябинск #метеорит,Not related
да похоже видеорегистраторы станут главными сми скоро #челябинск #метеорит,Related - but not informative
More than 100 injured by meteor in Russia http://t.co/Sd4Pj5zj,Related and informative
This #RussianMeteor shower looks like a well coordinated troll,Not related
