 Tweet Text, Informativeness
#Oristano celebra gli avieri sardi morti a #Sutri -furono trucidati dai #nazisti nel 1943 #sardegna #guerra... http://t.co/TWxK74YVAv,Not related
#Italy #Sardinia #Cagliari #weekends http://t.co/ZUhJnPZXkF,Not related
#Cartoline dalla #Sardegna : la gioia di praticare gli sport preferiti godendo dell'ossigeno e dello iodio di un... http://t.co/mWcGhb0dce,Not related
Il #dolce sardo delle spose http://t.co/CLX8bPNgOG #matrimonio #sardegna #sposa #dolci #torte #sardegna #foodporn,Not related
FOTO - Michela Murgia il vestito del Campiello venduto all'asta per 1.250 euro http://t.co/kOujz8DlhK #sardegna http://t.co/KqPvU72Cmo,Not related
Maltempo in Sardegna: alluvione nell'Oristano  L'acuta fase di maltempo a causato allagamenti e anche un morto in... http://t.co/vuBaglbMN4,Related and informative
ALLUVIONE SARDEGNA il maltempo uccide: una vittima e due dispersi http://t.co/Z5Lb3Cigd0,Related and informative
L' #italia in queste ore ha un problema serio di cui nessuno parla la #sardegna nell'oristanese è completamente sott'acqua. Tutto normale?,Related and informative
Alluvione in Sardegna crolla un altro ponte in provincia di Olbia: tante auto coinvolte - Meteo Web http://t.co/O1NV5H1W9y,Related and informative
http://t.co/lXEnBPJpdL un pensiero a queste persone e a chi sta ancora aspettando i soccorsi. #Sardegna #allertameteoSAR,Related - but not informative
#Sardegna non piove quasi maima quando lo fafa danni!,Related - but not informative
@La_Stampa - #Ciclone #Cleopatra un fiume di fango travolge la zona di #Nuoro http://t.co/7O1WYfSuhr #Sardegna,Related and informative
La #Sardegna nel cuore. Ti rialzerai più bella di prima.,Related - but not informative
Il silenzio sulla #Sardegna è scandaloso..fosse stato in estate mi immagino servizi e servizi...#allertameteoSAR,Related - but not informative
@annapaolaconcia OLBIA-DINTORNI:chi ha mezzi pesanti(terne e simili) è invitato a mettersi a disposizione. http://t.co/QurwmtKbve #Sardegna,Related and informative
Solidarietà a tutta la #Sardegna: qua non piove spesso ma quando piove fa un casino terribile!,Related - but not informative
La Sardegna conta i morti per l'alluvione e la Rai con Porta a Porta parla del Pdl che non c'è più Non riesco a dire null'altro che:VERGOGNA,Related and informative
la Campania avvelenata la #Sardegna sott'acqua ...ok adesso può bastare vero?,Related - but not informative
Ci ricordiamo del territorio solo quando avvengono le catastrofi #sardegna,Related - but not informative
#NoiPatrioti ci stringiamo ai fratelli dalla #Sardegna http://t.co/w0Jbtkjc6G,Related - but not informative
Vicino agli amici della #Sardegna,Related - but not informative
#Sardegna é #Italia. Massimo sforzo sin da stanotte per aiutare la Regione Sardegna. #nessundorma #allertameteoSAR @forza_italia,Related - but not informative
Alluvione in #Sardegna: evacuato il comune di Torpè. Scatta l'allarme per il pericolo del cedimento della diga: http://t.co/rc8STmPkfw,Related and informative
#Sardegna un popolo fiero e pieno di forza che si trova a combattere un evento atmosferico tremendo. Coraggio,Related - but not informative
NEW: Italian media reporting 9 deaths from# Cyclone #Cleopatra in Sardinia. 5 people reported missing,Related and informative
Emergenza maltempo in #Sardegna 9 morti e dispersi mancano i mezzi esoprattuttomanca lo stato...a breve un approfondimento sul blog,Related and informative
@OlgaCareni Emergenza24 55m RT IMPORTANTE [18.11-23:20] #Sardegna +++PER EMERGENZE USARE SOLO115+++ non altri numeri interni dei VVFF,Related and informative
@EnricoLetta  @LUIGIPROIETTI5 @JongSecco  e allora per la #Sardegna  Ma cavolo siete buoni solo a politicazzare....!! Agite!!!,Related - but not informative
Il maltempo uccide in #Sardegna. Almeno nove le #vittime si cercano i dispersi #allertameteoSar Cristian Sumoru... http://t.co/LHgdyz9txH,Related and informative
tv pubblica di merda!   #Sardegna,Not related
A #portaaporta Alfanoa #piazzapulita Grillonel frattempo la terra si ribella. Nessuno parla dello strazio dell'isola che affonda.#Sardegna,Related and informative
Questa notte la passo tutta con la #Sardegna #iostoconloro #forza,Related - but not informative
#Olbia il 115 è in tilt!il Numeri alternativi per le emeregenze: 0789/69502 0789/52020 e 366/6617681 #Sardegna #allertameteoSAR,Related and informative
#Torpė #Sardegna: invalida non riesce a fuggire paese in ginocchio.     http://t.co/ehWzpYXBgv,Related and informative
Un abbraccio a tutti coloro che stanno vivendo questa terribile realtà! #allertameteoSAR #Sardegna,Related - but not informative
Si piega ma non si spezza forza #Sardegna siamo tutti con te!!! #allertameteoSAR,Related - but not informative
@Rainews24  anzichè aspettare le agenzie seguite su twitter quello che DA ORE sta accadendo in #sardegna #silenziodioredeimedia,Related and informative
Che disastro! Che paura!!!!! Sono con voi!   #SARDEGNA,Related - but not informative
@danielecina: B&amp;B 10 posti letto offerti gratuitamente in via D'Annunzio 92. Tel. 331.2095889 #Olbia #Sardegna #allertameteoSAR,Related and informative
il senso d'impotenza è opprimente. non mollare #Sardegna non mollare #allertameteoSAR,Related - but not informative
alla rai pareva brutto  svegliare qualcuno da mandare a vedere quello che succede #Sardegna,Related - but not informative
Deadly storms and floods in Sardinia: At least nine people are killed and a number are missing a... http://t.co/RkdbYYGof1 &lt;--Full Story,Related and informative
Il maltempo non può piegare un Paese. Serve un piano per la messa in sicurezza del territorio. Quanti devono ancora morire? ❤ #Sardegna,Related - but not informative
#korea #usa #news Deadly storms and floods in Sardinia: At least nine people are killed and a number are missi...  http://t.co/PQsiQsTEZX,Related and informative
#buonanotte #Sardegna spero bene... che domani ci sia il sole e  dopodomani si capisca che servono le braccia no le industrie #ciao,Related - but not informative
Deadly rainstorm floods Sardinia island http://t.co/joh468oWHe,Related and informative
“@VicinanzaL: La malanotte in #Sardegna: 9 morti e tanta distruzione http://t.co/lNwuWcrm7s via @lanuovasardegna #allertameteoSar”,Related and informative
.@onedirslaytion Deadly rainstorm floods Sardinia island: At least nine killed and several missing as flash floods su...  @onedirslaytion,Related and informative
.@onedirslaytion Deadly rainstorm floods Sardinia island: At least nine killed and several missing as flash floods sub...  @orgasmicgomez,Related and informative
.@orgasmicgomez Deadly rainstorm floods Sardinia island: At least nine killed and several missing as flash floods sub...  @onedirslaytion,Related and informative
In #Sardegna non è successo nulla [secondo Libero] http://t.co/hHk58XlMBO,Related and informative
Non ci sono più i temporali di una volta! Adesso piove e fa disastri... #Sardegna Buongiorno :'(,Related - but not informative
Ci sarà un nuovo soleuna speranza nuova ed il coraggio di ri-cominciare. #Sardegna,Related - but not informative
BBC News - Sardinia hit by deadly cyclone and flooding http://t.co/AHSpOjf6ej,Related and informative
La mia terra un ginocchio. Che strazio immane. #Sardegna,Related - but not informative
Thinking of the people in Sardinia today I went on holiday there this summer. Stay strong #Sardegna,Related - but not informative
Alluvione Sardegna il bilancio peggiora 14 vittime diversi dispersi. Ed Ã¨ nuova allerta maltempo http://t.co/uhJwUJJd8W,Related and informative
L’alluvione in Sardegna http://t.co/FWMbIR99Ld,Related - but not informative
“Ciclone? Uragano? Nubifragio? Forse certi giornalisti avrebbero bisogno di seguire i rudimenti di meteorologia #allertameteoSAR #Sardegna,Related - but not informative
'Apocalyptic' Storm Floods Sardinia 14 Dead: 'Apocalyptic' storm floods parts of Sardinia downing bridges an... http://t.co/VkBTgh4QVY,Related and informative
