 Tweet Text, Informativeness
#Bangladesh a country of enforced disappearances and extra judicial killing! http://t.co/Vcb2ukuiy2 #HumanRights #HR #Amnesty #HRW #Geneva,Not related
NDTV: Bangladesh building collapse kills at least three http://t.co/pOIsYAObgX,Related and informative
Bangladesh building collapse kills at least three several injured: At least three people were killed an... http://t.co/qbaixfsgZy #News,Related and informative
@HarpreetS_Kohli this will continue till Jamaat is out of power! #Bangladesh #Pakistan,Not related
Bangladesh Building Collapse: Fatalities Reported Others Feared Trapped: DHAKA Bangladesh — An 8-story comme... http://t.co/m98wvEsL0W,Related and informative
Worst Outcome of Dead Capitalism: Inhumane Story of Savar Building Collapse  Yesterday April 23 2013 BRAC Bank... http://t.co/pMaxiVSR7v,Related and informative
বুধবার রাষ্ট্রপতির শপথ : অপেক্ষায় বঙ্গভবন http://t.co/KIFY6o8omv #বলসবদ #bangla #banglanews #bangladesh,Not related
Deadly building collapse in Bangladesh  http://t.co/uoRLgHnZL0 @AJEnglishさんから,Related and informative
Army says 32 dead in Bangladesh building collapse: SAVAR Bangladesh (AP) — An eight-story building housing se... http://t.co/fTEQPoQ8kO,Related and informative
Reuters: Bangladesh factory building collapse kills over 70 injures hundreds: DHAKA (Reuters… http://t.co/sbv4418KlL,Related and informative
Bangladesh Building Collapse Kills at Least 70: The collapse of an eight-story building in Bangladesh that hou... http://t.co/qhVR9vkoRF,Related and informative
ASIA News: Bangladesh building collapse kills over 70: An eight-story building collapsed Wednesday on the outs... http://t.co/NpTeO6jD1e,Related and informative
Dozens killed in Bangladesh building collapse: At least 82 people have died and 700 have been injured after an... http://t.co/9DFMYAKUHn,Related and informative
These factories ☹ RT @TimesLIVE: 70 dead in Bangladesh garment factory collapse http://t.co/ViAV81jRCA,Related and informative
#Nolefam Please pray for the victims of the disaster where more than 70 people has died in a building collapse more trapped in Bangladesh,Related and informative
Bangladesh building collapse kills at least 76 garment workers http://t.co/mHriFygU8p,Related and informative
High rising building collapses at Savar Bangladesh cause about 100 death and so many wounded .@UN .@CNN .@AJEnglish .@nytimes .@Reuters,Related and informative
Video: Hundreds trapped in Bangladesh building collapse  http://t.co/j3ApjD20T8 via http://t.co/gtd9C6Fyfx,Related and informative
80 killed in Bangladesh building collapse http://t.co/1Rw6KFmLSH,Related and informative
Scores dead in Bangladesh building collapse http://t.co/VGeHN6m0p4,Related and informative
87 dead in Bangladesh garment factory collapse: SAVAR Bangladesh     (AP) -- An eight-story building housing ... http://t.co/O9SQbFxj21,Related and informative
Bangladesh factory building collapse kills nearly 100 http://t.co/3Cre7qhlHJ,Related and informative
New post: Bangladesh building collapse leaves 83 dead - Xinhua http://t.co/EOdESqGZ9W,Related and informative
Bangladesh Dhaka building collapse leaves 80 dead - BBC News  http://t.co/WAw25OGk7k,Related and informative
Building collapse leaves 70 dead in Bangladesh http://t.co/PSmt8hSDTN,Related and informative
At least 87 dead in Bangladesh building collapse - USA Today - USA TODAY: NDTVAt least 87 dead in Bangladesh b... http://t.co/E78n1GMJ3q,Related and informative
NPR - Dozens Killed In Collapse Of Bangladesh Garment Complex http://t.co/Fo0sG56YiA,Related and informative
Scores Dead in Bangladesh Building Collapse http://t.co/TsQU5KoFaL,Related and informative
Locator map: Savar Bangladesh: Locator map for Savar Bangladesh.,Not related
Pray for #bangladesh 🙏,Related - but not informative
Bangladesh factory building collapse kills nearly 100: A crack was detected in the structure yesterday but wor... http://t.co/l2aY1OTwPv,Related and informative
Bangladesh building collapse kills more than 70 http://t.co/82YpkG5Dop,Related and informative
dose bangladesh government care about those poor worker who died. #savebangladesh #shahbag #shahbagh #bangladesh #dhaka,Not related
#Savar Needs #Blood! Peace http://t.co/C4iBw4M4jZ,Related - but not informative
#NickSaban and #Bangladesh are trending on Twitter. For those who said he'd never leave Bama...Dhaka A&amp;M's boosters have deep pockets.,Not related
Garment workers crushed to death in #Bangladesh - report from @IndustriALL_GU Global Union http://t.co/k0qXTBheK4,Related and informative
87 dead in Bangladesh garment factory collapse (free @StarAdvertiser content) By @AP http://t.co/3iPZSszgPH,Related and informative
Our thoughts are w/victims &amp; their families in Dhaka #labor #reform Bangladesh Building Collapse Kills at Least 70 http://t.co/zMGGwJnbCv,Related and informative
Bangladesh building collapse kills at least 87 - TEKJournalismUK - Mozilla Firefox http://t.co/COXfNeV0NE Death toll now at least 87,Related and informative
Bangladesh Garment Factory Collapse Kills Nearly 100 People - http://t.co/BH2ZNeWkkt #csr #fashion,Related and informative
Bangladesh building collapse kills 80 http://t.co/Ab758hVHK3,Related and informative
এভাবে মৃত্যুর মিছিল দেখেই যাব? http://t.co/J3O2aShRHO #বলসবদ #bangla #banglanews #bangladesh,Not related
Bangladesh factory collapse kills over 80 reviving safety questions - CNN: Telegraph.co.ukBangladesh factory ... http://t.co/R4FEEDR3GC,Related and informative
This photo of the Bangladesh building collapse is absolutely chilling. (AP PHOTO) http://t.co/xxkDZCHly9 http://t.co/XYc1VnVZvb,Related and informative
Been over 1 year now still not found M.Elias Ali Still pray for u always 💯🙏👀🙈 #Bangladesh,Not related
Eight-storey building collapse in Bangladesh kills nearly 100 traps more - Globe and Mail: Globe and MailEigh... http://t.co/Q2XLeisHwr,Related and informative
Bangladesh Building Collapse Kills Scores - New York Times: New York TimesBangladesh Building Collapse Kills S... http://t.co/SpPAmaAvQS,Related and informative
When greed takes precedence over common sense/safety... Bangladesh factory collapse kills nearly 100 http://t.co/ocFCBUDCt6 via @reuters,Related and informative
Bangladesh building collapse http://t.co/tvLsDZsr9O,Related and informative
It's easy to clear out a #bosti I suppose. But going after an #RMG business is too much right? Esp if owners can line your pockets! #Savar,Not related
DTN World News: At least 87 dead in Bangladesh building collapse - USA Today - USA TODAY: ABC NewsAt least 87 ... http://t.co/RXt3iBHY7U,Related and informative
BBC News - Bangladesh Dhaka building collapse leaves 87 dead http://t.co/o74gGXjAst,Related and informative
Bangladesh garment factory collapse kills at least 87: An eight-storey building where clothing for Joe Fresh a... http://t.co/d9PitGcF9S,Related and informative
Al menos 124 muertos al derrumbarse un edificio de Bangladesh: SAVAR Bangladesh.- Al menos 124 personas murie... http://t.co/W7Tsgl1h3M,Related and informative
Bangladesh building collapse kills at least 123 injures more than 1000 http://t.co/I17oy5pPEy,Related and informative
Bangladesh factory building collapse kills nearly 100  http://t.co/FjdaUK155e,Related and informative
Building collapse in Bangladesh kills 87 - http://t.co/iAvkLab7nN,Related and informative
Bangladesh Dhaka building collapse leaves 87 dead - BBC News: BBC NewsBangladesh Dhaka building collapse leave... http://t.co/TF6ZBSoZP6,Related and informative
সংখ্যালঘুর জমি দখল করে ভবন বানায় রানা http://t.co/hRbodHXRk6 #Savar #Bangladesh #tragedy #Hindus #minorities #landseizure,Not related
Rushing to aid survivors: A building collapse in Bangladesh kills more than 80 people injures hundreds and leaves many more still trapped.,Related and informative
#MNG Rushing to aid survivors: A building collapse in Bangladesh kills more than 80 people injures hundreds a... http://t.co/n0M6ZfeNAN,Related and informative
Death toll reaches 124 in Bangladesh building collapse http://t.co/KcRAPM8w9H,Related and informative
Aw RT @CBSNews: Update: Bangladesh factory collapse kills 149 people http://t.co/NlNGdPEpGe,Related and informative
Building Collapse in Bangladesh Leaves Scores Dead http://t.co/6udwfiILRk,Related and informative
Factory building collapse in Bangladesh kills 149: SAVAR Bangladesh (AP) — Workers trapped in the wreckage of... http://t.co/vR7qwfG7P8,Related and informative
149 die more cry for help at Bangladesh collapse http://t.co/Hl21msmf7Y,Related and informative
This Dark tragedy tht has happened in #Bangladesh makes you look at beauty of cloths/fashion &amp; wht you wear twice http://t.co/cEN0xWrpwT,Related and informative
Death toll in Bangladesh building collapse climbs to 160 http://t.co/ypvSHBnXhH,Related and informative
Breaking News: Death toll in Bangladesh building collapse at 161 http://t.co/tI0UsnbmyL,Related and informative
Globalisation links factories in #Bangladesh to stores in Britain unmask commodity fetishism &amp; support workers' organisation in sweatshops.,Related - but not informative
Bangladesh mourns as death toll climbs: Country holds day of mourning after collapse of clothing factory in Dh... http://t.co/jaFBoUy6L0,Related and informative
Bangladeshi Collapse Kills Many Garment Workers: The police in Bangladesh said at least 154 people had died an... http://t.co/xK8zAI8xOd,Related and informative
Death toll climbs in Bangladesh building collapse: The collapse in Bangladesh of a building housing factories ... http://t.co/D8C7KW4Vub,Related and informative
Lo q exigimos para nosotros tal vez deberíamos también exigirlo para los demás.Las buenas condiciones en el trabajo salvan vidas #Bangladesh,Not related
Tak Ada WNI jadi Korban Runtuhnya Gedung di Bangladesh: Rana Plaza sebuah gedung bertingkat delapan di Savar... http://t.co/Swlk2J8G2c,Related and informative
Death toll in Bangladesh building collapse at 194: SAVAR Bangladesh (AP) — With deep cracks visible in the wa... http://t.co/ZQTFvOXOzT,Related and informative
Bangladesh garment factory owners warned to evacuate before collapse that left ... - CBS News: CBS NewsBanglad... http://t.co/jThjKQdi46,Related and informative
Garment workers have walked out of their factories in #Bangladesh to protest a building collapse killing 200. http://t.co/IhVooJ5EG3,Related and informative
200 die more cry for help at Bangladesh collapse http://t.co/bcoOElq2e8 via @LBCI_NEWS_EN,Related and informative
URGENT MEDICAL SUPPLIES NEEDED FOR #SAVAR BUILDING COLLAPSE VICTIMS: Details included in picture #Shahbag #Bangladesh http://t.co/o6wcWvv01b,Related and informative
Tak Ada WNI Korban Runtuhnya Rana Plaza Bangladesh http://t.co/jlWVe3fVVD,Related and informative
Shock in #Bangladesh as garment factory collapse death toll goes up to 200 http://t.co/55QdjFpmdo,Related and informative
Bangladesh Factory Ignored Evacuation Order Day Before Collapse http://t.co/ULFcXwL9i0 via @HuffPostBiz,Related and informative
Man with placard outside #Primark on Oxford St They died so you could wear cheap clothes #Bangladesh. All power to him.,Related and informative
http://t.co/jmAyF4qwZd  Factory manager ordered staff to return to work or lose pay: Wall St Journal  #May5 #bangladesh #BanglaSpring #Feb28,Related - but not informative
Hindu Bangladesh building collapse: 40 survivors found as toll climbs to 238: Rescuers have located 40 survivo... http://t.co/0bz8tImwIT,Related and informative
Over 200 Killed in Bangladesh Factory Collapse After Workers Forced to Ignore Building's Dangers http://t.co/6pZzih0bp1  #p2 #tcot,Related and informative
