 Tweet Text, Informativeness
Shit....... #Indonesia; SERIOUSLY?!?!?! #haze #Singapore 😡 http://t.co/G3qlzs2TaH,Related - but not informative
Well where's my gas mask RT @ChannelNewsAsia: #SGHAZE: PSI reading hits 100 at 2pm on brink of unhealthy level.,Related and informative
“@surenjerrymyaah: The sun and haze will soon set Singapore ablaze”,Related - but not informative
Lol lol ! Yesterday is Melaka Kenna the haze. Today is Singapore 😂,Related - but not informative
NewsInSG: Haze approaches 'unhealthy' level in Singapore: Singapore's haze situation worsened on Mo... http://t.co/ukVmx2QJQD #Singapore,Related and informative
HAHAHAHAH CAN YOU BELIEVE THIS TREND . #SGHAZE #PSI,Related - but not informative
Made a right decision not to explore Singapore for some street photography.     Whatta a haze! http://t.co/2b2HsPH1Qw,Related - but not informative
Foreigners this will happen when you come here to holiday or take pictures of Singapore! Happy Haze Day! http://t.co/oJEgtPVkgq,Related - but not informative
It's getting thicker. Holycow.  #SGHAZE,Related and informative
My throat dun feel good! @STcom: #Sghaze update: PSI is 111 at 4pm in the unhealthy range,Related and informative
so between the haze and dengue everyone should stay locked up inside and all work should be cancelled do you concur? #singapore,Related - but not informative
Siao “@ShadowJaeJes Hahaha someone said if we spin the Singapore flyer fast enough we may be able to blow the haze back! ROFL!”,Related - but not informative
Maybe the reason why singapore is hazy is because there is lots of haze in singapore? I think so.,Related - but not informative
Guess what you buy will keep going up? #SureWinMoney #SgHaze,Related - but not informative
#sghaze  West zone area kena rabak sial !!,Related - but not informative
“@SoSingaporean: PSI so high already why haven't announce school close yet? #sghaze #sosingaporean”,Related - but not informative
Are you crying?  BEFORE: ‘No I am not crying sand got into my eyes.’  AFTER: ‘No got haze…’  #SgHaze,Related - but not informative
Its 140 PSI now Stay indoor stay healthy! #singapore #sghaze,Related and informative
“@STcom: #SgHaze update: PSI is 140 at 8pm the highest since 2006” psi pls,Related and informative
#sghaze why dont come on school days so that we dont need to go sch!!!,Related - but not informative
“@ChannelNewsAsia: #SGHaze PSI reading of 152 is highest since October 2006. What precautions are you taking to deal with the haze?”,Related and informative
beautiful afternoon at Singapore .. Too bad the air is poluted by the haze because fire on… http://t.co/Fxuh7iw7Fg,Related - but not informative
@Hairulollipop: Exactly. #haze #sghaze http://t.co/et7Be1dlO7,Related and informative
OMG PSI 152 I'M GONNA FAIL MYE #blamethehaze,Related and informative
Sing to tune of Rolling in the Deep. #SGHaze http://t.co/wXsDCn6oVm,Related - but not informative
@KennethESchmidt enjoy your stay in Singapore! watch out for the haze it's terrible!,Related - but not informative
Indonesia is burning forest and Ah boys to men make save my world song but no use? Now Singapore is attack by fogSave my world! #sghaze,Related - but not informative
Smoke RT@ChannelNewsAsia: #SGHaze PSI reading of 152 is highest since October 2006. What precautions are you taking to deal with the haze?,Related and informative
@SGAG_SG: At the rate the PSI is increasing if the mosquitos don't die I'll die first. #sghaze HAHAHAHAHAHA,Related - but not informative
So strong:( During street sales @shi_ping_  #sghaze,Not related
I've got flu for no reason. I'm innocent man. #sghaze,Related - but not informative
#sghaze yay im touching the clouds!! *acting dumb*,Related - but not informative
Holy shit lmao RT @STcom: #SGHaze update: PSI now at 155 as of 10pm.,Related and informative
Wtf RT @svphierzl: Holy shit lmao RT @STcom: #SGHaze update: PSI now at 155 as of 10pm.,Related and informative
Oh brilliant opened the window to air out my bathroom... Half an hour later BAM hazy shower for me #sghaze,Related - but not informative
“@SufiNadhirah: What puberty did to the haze in Singapore. http://t.co/u1rQ0heBuF”,Related - but not informative
People who come to Singapore for holiday and the haze ruin it. #sghaze,Related - but not informative
respect! RT @AkmalHkim: Despite the hazethe construction workers are still doing their job to make Singapore look good.,Related - but not informative
@Hairulollipop: Exactly. #haze #sghaze http://t.co/yFWVYM4qq1,Related - but not informative
|Malaysia remains as a good boy @fmtoday: Singapore Indonesia tussle over haze problem || Free Malaysia Today: https://t.co/SaM3MXbwpJ|,Related and informative
Hey Singapore I'm back!!!! ✈ But what's up with this stupid haze and weather 😠 #singapore @ Terminal 1 http://t.co/J3qLlArW1t,Related - but not informative
People in Singapore can get sick because of the haze. They are advised to stay indoors. Seriously? We breathe pollution everyday in the PH!,Related - but not informative
10pm PSI: 122. Unhealthy for sensitive groups. #haze #sghaze,Related and informative
@SufiNadhirah: What puberty did to the haze in Singapore. http://t.co/fcI3AjXz2F,Related - but not informative
15th training with the awesome team today. #我的歌知道你在夜里做什么 #s24 #super24 #angmohmustbetokgong #sghaze http://t.co/rQPmzZUjab,Not applicable
19th June 2013 #Sghaze PSI Update: 6am 77 7am 78 8am 80 9am 84.,Related and informative
Of all tourist it had to be from Indonesia. And a dramatic pose infront of our Merlion. Hello?!? #SGHaze http://t.co/HmIQkCvy7n,Related - but not informative
Stay indoors peep be safe #haze #lunchout #work #mask #superhero #singapore @ Duke-NUS Graduate… http://t.co/vwBEVpiAy9,Related - but not informative
; the haze situation better improve when soshi's in Singapore .... must not leave a bad impression behind !!,Related - but not informative
The news does not see the north side haze their only seeing ONE part of singapore... WTF,Related - but not informative
-___- @RusinPutra: Salahkan Api.@agneskr_: Please stop burning our forest. Singapore now on haze because of it!,Related - but not informative
3-hour PSI reading hits highest level this past week: 170 as of 2pm according to @NEAsg #sghaze http://t.co/ZFs7OTtbvh,Related and informative
“@k3agan: PSI is 170 as of 2pm. As it increases we can abandon the PSI &amp; call it #SilentHill level. #SgHaze http://t.co/PBSkcvLqzr”,Related and informative
PSI reading at 2pm: 170. And it's giving me a bad headache!!!!! #blamethehaze,Related and informative
“@STcom: #SGHaze update: PSI is 172 at 3pm @NEAsg” LOL same height at you hope you feel proud @GabUlmann,Related and informative
omfg @YahooSG: psi reading at 3pm is 172 in unhealthy range. #haze #sghaze #singapore. #fb view from #MBFC http://t.co/EacB4tXt5J,Related and informative
How high is it gonna get? #sghaze #haze #toohazy #damnyou http://t.co/NgdD0hXm0r,Related and informative
a #hazy singapore :( #psi reached 170  keep yourselved protected by taking supplements and by wearing… http://t.co/GGutD1GYM0,Related and informative
people of singapore.. i hope you stay healthy despite the haze. be careful!,Related - but not informative
I feel like walking in a dreamland whenever I'm outdoor... #sghaze,Related - but not informative
