 Tweet Text, Informativeness
España busca exportar su tren de alta velocidad http://t.co/3DpZkTxvJg,Not related
Ha descarrilado un tren en santiago de Compostela,Related and informative
Al menos nueve muertos al descarrilar un tren de pasajeros cerca de Santiago de Compostela http://t.co/jkeWaqhBrh vía @la_informacion,Related and informative
URGENTE foto descarrilamiento de tren en España al menos 10 muertos  http://t.co/LcMcGCvJox @UltimoMinutoCL @ViveCASABLANCA @Bomba_Decima,Related and informative
@SteveInMadrid: BREAKING UPDATE 5 Exclusive Pic of train derailment in Santiago NW #Spain http://t.co/Nn08yeBM1F,Related and informative
Diarios españoles hablan de al menos 12 muertos por el descarrilamiento de un tren cuando llegaba a Santiago de Compostela,Related and informative
Train Crash In Spain: Several Deaths Reported http://t.co/OXe5H8A3Gk,Related and informative
|Spain high-speed train crashes near Santiago de Compostela || euronews world news: http://t.co/QufTQsNUFk|,Related and informative
mal plan lo del tren en españa :S,Related - but not informative
AHORA - Al menos 9 muertos en el descarrilamiento de un tren en España http://t.co/6Xy19tTpiq … http://t.co/t3VJK7v3xs  #NotiWTF Via @notiWT,Related and informative
@beticocabrera Ha descarrilado un tren en Santiago de Compostela...puedes leerlo aquí http://t.co/cCL0Qjw3Y8,Related and informative
At least 10 people killed after train derails near Santiago de Compostela Spain witnesses tell Voz de Galicia newspaper #reinsurance,Related and informative
More than 20 deaths in train accident in Santiago de Compostela (Galiza) ... I'm sad,Related and informative
Al menos 35 muertos tras descarrilar un tren en Santiago de Compostela: Un tren Alvia que cubría la ruta Madri... http://t.co/5hypNmpOUR,Related and informative
Official: Train derails in Spain: A train derailed Wednesday in northwestern Spain a g... http://t.co/vquQffJkLS http://t.co/UiO3vByg5g,Related and informative
Que malisima noticia la del descarrilamiento de ese tren en Santiago de Compostela. #muchoanimoalosafectados,Related - but not informative
Descarrila tren de pasajeros en España; al menos 10 muertos http://t.co/ONtmaip3y9 http://t.co/GchAMZZ81t,Related and informative
Trágico accidente ferroviario cerca de Santiago de Compostela al producirse el descarrilamiento de un tren Alvia con dirección a Ferrol,Related and informative
#UltimaHora: '24 muertos y decenas de heridos al descarrilar un tren cerca de Santiago de Compostela' A mi estas cosas;(...,Related and informative
Fatal train crash in Spain 1st story on the news the name of the royal baby...,Related - but not informative
Vaya imágenes más escalofriantes del accidente de tren en Santiago de Compostela. #24h,Related - but not informative
Pena muy grande por el terrible accidente  del tren descarrilado en Santiago de Compostela.,Related - but not informative
Spain train accident!  Be careful!   Canada  France. Russia Spain . http://t.co/X1hcFtLG6P,Related - but not informative
Tragedia el descarrilamiento del tren en Santiago de Compostela en la víspera de Santiago Apóstol triste recuerdo para la historia,Related - but not informative
..Todo nuestro ánimo y energía a los familiares y amigos de los afectados en el accidente de tren en Santiago de Compostela!..,Related - but not informative
Al menos 30 muertos al descarrilar un tren en Santiago de Compostela: El Alvia cubría la ruta entre Madrid y F... http://t.co/iay32AlQzi,Related and informative
HDP QUE DENSO LO DEL TREN EN SANTIAGO DE COMPOSTELA,Related - but not informative
Train derails in northwestern Spain near station - WXIA-TV: Train derails in northwestern Spain near stationWX... http://t.co/TxEDZWUELO,Related and informative
Ánimo a la gente de Santiago de Compostela un alivio que nuestro jugador @iagotheboss1991 no haya cogido ese tren,Related - but not informative
Tremendo el descarrilamiento del tren en Santiago de Compostela. #AnimoGalicia,Related - but not informative
