 Tweet Text, Informativeness
May super typhoon pala this weekend Paano na kaya tayo?!?!,Related - but not informative
|Tropical storm Haiyan intensifies into typhoon; to enter PH Thursday morning || The Manila Times Online http://t.co/5VNuu4NtOl|,Related and informative
Super Typhoon Yolanda be good sa mga taga Bohol naman. Please!,Related - but not informative
#YolandaPH pray for the entire Philippines.,Related - but not informative
#Yolanda Langya pangalan pa ng nanay ko bagyo ! HAHAHAHA.,Not applicable
Hoping for a no class tomorrow:) #bagyo #yolanda,Related - but not informative
@TVPatrol #TVPatrol Inalerto agad ni Gov.Davide ang LGU's para sa pararating ng bagyong #YolandaPH,Related and informative
Fruit Bounty - 10% Off http://t.co/Smw6x5dFBK #love #flowers #gifts #freeshipping #philippines,Not related
Lord God I am praying for the safety of all the people especially those who will be affected of Typhoon Yolanda bahala na po kayo BRO.AMEN!,Related - but not informative
Status update for Typhoon Yolanda. Brace yourselves. http://t.co/X3Zjnfc639,Related and informative
BEAUTIFUL AAA WHITE YELLOW CUBIC ZIRCONIA 925 SILVER ENAMEL FLOWER RING Size 7# http://t.co/az5ztXvowR #philippines #filipino,Not related
White Waterproof SMD5050 2 x 50CM 30 LED Flexible Strip Light  Led Lamp 12V http://t.co/IHccDgifqs #philippines #filipino,Not related
Powerful storm heads for Philippines: Authorities in the Philippines brace for the arrival of Typhoon Haiyan ... http://t.co/JEsjjINbab,Related and informative
Anu raw ? Super Typhoon ?,Not applicable
|` Typhoon YOLANDA  Tropical Cyclone Archive || Tropical Cyclone Warning for Shi...: ` Typhoon YOLANDA Tropi... http://t.co/r3Nkt34KIa|,Related and informative
Everyone! Let's Pray for our Country.! I hope.indi gd maghatag grabe nga problem si #YolandaPH,Related - but not informative
Super Typhoon 😪😢,Related - but not informative
natabunan na ng PDAF issue ang Super Typhoon Yolanda..,Related - but not informative
Ang lakas talaga ng hangin pero wala kaulan ulan. Mas mabuti na rin yan. #YolandaPH #Signal3,Not applicable
If philippines have Super Typhoon in UFC they have SUPERFIGHT!!! #DOMINICKCRUZVSDEMETRIOUSJOHNSON,Not related
Please pray for the safety of everyone. Typhoon Yolanda be gone. #PrayForThePhilippines #YolandaPH #pray,Related - but not informative
#Haiyan Short Floater - Visible Imagery Loop http://t.co/rL41M5uBO2,Related and informative
Tagal magsuspend. Di po kami Waterproof.  #CollegeLife #TyphoonYolanda #SuperTyphoon #Azar http://t.co/uWA7eUQnFH,Not related
Super Typhoon Haiyan Stongest Storm On Earth This Yea http://t.co/uDLwVt3CRh vía @climateprogress,Related and informative
Hagupit ng Super Typhoon #YolandaPH Walang pasok ngayon at lalakas yung ulan,Related and informative
Strongest typhoon of the year slams Philippines http://t.co/vc87m1Pm3J,Related and informative
@danengber: Super Typhoon Ali was the Greatest of All Time!,Not related
Good Morning #YolandaPH #keepsafe #stayathome,Related - but not informative
Hindi niya tayo papabayaan.  #PrayForThePhilippines  #PrayForThePhilippines   #YolandaPH,Related and informative
#YolandaPH Power restored in Naga City #Cebu,Related and informative
Experts now say Yolanda maybe the strongest typhoon ever recorded to hit land exceeding category 5 strength. http://t.co/dbXLRQe7v3,Related and informative
Sino Po Gusto magpafollow ? :) Reply lng po kayo :) #WalangPasok #YolandaPH #StrongerPH,Not related
getting scary every minute... Prayers for everyone's Safety... #YolandaPH,Related - but not informative
Satellite movie of Super Typhoon Haiyan hitting Philippines. #Haiyan #YolandaPH http://t.co/HbpHYGxR6Z,Related and informative
1907-S ONE PESO US PHILIPPINES SILVER COIN FINE DETAILS CONDITION http://t.co/QveArp8InG #philippines #filipina,Not related
“@ANCALERTS: World's most powerful typhoon hits PH http://t.co/jthNMfagqZ #YolandaPH”,Related and informative
@ANCALERTS: PAGASA: Improved weather across the country tomorrow. #YolandaPH,Related and informative
wala ng pasok sa UPM sana d2 din sa UPD. :(( #TyphoonYolanda,Not applicable
Typhoon Haiyan is about to destroy Asia...,Related and informative
still need to work #yolanda,Not related
Guys it's always better to be prepared. It may be quite sunny and dry at this time but remember #YolandaPH's rain circulation is big.,Related - but not informative
Prayers Needed: Super Typhoon Likely Strongest in Recorded History Slams into Philippines http://t.co/5EEVksGZis #Catholic,Related and informative
@KAPAMILYA2013: #PrayForThePhilippines #TyphoonYolanda #GoAway,Related - but not informative
#linkaloo #newsUK Powerful Typhoon Haiyan Hits Philippines - Wall Street Journal http://t.co/SpgckGGVWK,Related and informative
Super typhoon #Haiyan hits #Philippines slams into central island.,Related and informative
nakakatakot yung ulan eh :/ #YolandaPH #PrayForPH 🙏,Not applicable
Powerful typhoon slams into Philippines http://t.co/67Hb68FKso,Related and informative
