 Tweet Text, Informativeness
@MontesCb7 Waco Texas!! I use to live near there ilived in McKinney tx near Plano where the D is made lol,Related - but not informative
Really? Another explosion now in Texas? What the hell is wrong with people nowadays? Goddamn...,Related - but not informative
Explosion reported at fertilizer plant in West McLennan Co.,Related and informative
@wfaachannel8 McLennan co. dispatch asking more resources rescue trapped people in apartment #explosion at fertilizer plant in West TX,Related and informative
#waco #explosion http://t.co/4KzHKAsPop,Related - but not informative
Their was another explosion in west texas wth!,Related - but not informative
#EEUU.: Explosión en planta de fertilizantes cerca de Waco Texas provoca numerosos heridos. Foto @1ventura1  http://t.co/TbHtgiJBBy,Not applicable
AUDIO AS IT HAPPENED.  HORRIBLE EXPLOSION! WACO TX. Fertilizer Plant Explodes Rest Home Damaged To Much More... http://t.co/1R8ZGEQMGZ,Related and informative
Man that explosion in Waco pray and hope everyone's not severely injured. :s,Related - but not informative
Explosion rips Texas fertilizer plant: An explosion ripped through a fertilizer plant Wednesday night in West... http://t.co/vqrbOHGFDE,Related and informative
@nestorflecha #news  more photo about the #explosion in Waco #Texas http://t.co/tfcMKGvzr3,Related and informative
Praying for West Texas❤,Related - but not informative
@countmystars What the fuck is WITH this week. Between this Boston the explosion tonight in Waco...,Related - but not informative
Prayers #Waco #Texas #tx,Related - but not informative
LIVE VIDEO of situation in West Texas from @CBSDFW - http://t.co/SIRFvkbChG,Related and informative
Official: Several injured in Texas plant explosion http://t.co/c9PTjgIvQ4,Related and informative
Sending hope and prayers to the people in Waco Texas.,Related - but not informative
Another explosion in Waco TX omg whyyy,Related - but not informative
Explosion in Waco Texas... things are getting real!,Related and informative
Explosion In Waco :o Thats About 2 Hours From Here/.\,Related - but not informative
Texas is in HiGh Alert there was a Waco explosion I'm sooo scared pray people this is soo freighting omg I'm scared,Related - but not informative
Another explosion in Texas?? What's going on ? 😱😱,Related - but not informative
#instacollage #prayforwest #prayforboston #sad http://t.co/DpYgyhiY6o,Related - but not informative
I heard storms might be moving through Texas tonight? I hope they skip over Waco. Storms won't do the situation any good.,Not related
Holy shit... ANOTHER EXPLOSION in Waco TX?!?!  Come on @BarackObama - can't you just make explosions illegal?,Related - but not informative
Cientos de personas heridas en explosion de planta de fertilizantes en Texas,Not applicable
Here's our web story for the latest #WestExplosion http://t.co/9iRMHnrmXH,Related and informative
Fertilizer plant explosion near Waco caught on camera http://t.co/wg5tRbmTL9,Related and informative
Praying for TX friends in West (15 min. N. of my hometown Waco) as they fight to survive and recover from explosions at fertilizer plant,Related - but not informative
UPDATE: Explosion at West plant injures firefighters http://t.co/AgU1Kp2GfL vía @wacotrib,Related and informative
Correction: explosion occurred in #West #TX 18 miles north of #Waco. #westexplosion,Related and informative
@CauseIM_OB West Texas fertilizer plant exploded destroying every building for a mile,Related and informative
Ok universe jokes over now. 2 ricin letters Boston bombing and fertilizer explosion now?!?,Related - but not informative
Getting live updates from @911BUFF on this Waco Texas explosion #crazy,Related and informative
“@BreakingNews: Texas authorities advise West Texas residences to leave town immediately following explosion. My god what's happening,Related and informative
@Viridiana_bm todas las casas de al menos 4 manzanas resultaro averiada por explosion en texas,Not applicable
What's going on with the world right now? #prayfortexas,Related - but not informative
Omg #prayfortexas .. OMG  @wanknoskians UM HELLO WHERE WHAT IS THIS WHERE R U DORA !,Related - but not informative
@cass_lc that was an explosion a few hours ago in the town of West near Waco. Hundreds injured. At least 60 dead http://t.co/FVkmwnvnNV,Related and informative
60-70 reported dead in tonight's fertilizer plant explosion hundreds more injured,Related and informative
@BuzzFeedAndrew: EMS Director Says 60 To 70 Dead In West Explosion: http://t.co/aHKA41bBeP ll CNN confirming?,Related and informative
Se produjo una explosión en una planta de fertilizantes en Waco Texas http://t.co/1MDwsdroIB,Related and informative
