"C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\python.exe" "C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py"
Using TensorFlow backend.
English English
GloVe model loaded
Pretrained Embedding: GloVe
Italian: False
Loading data...
11566
Max Document length: 36
WARNING:tensorflow:From C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py:98: VocabularyProcessor.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.text) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
WARNING:tensorflow:From C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\lib\site-packages\tensorflow\contrib\learn\python\learn\preprocessing\text.py:154: CategoricalVocabulary.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.categorical_vocabulary) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
Vocabulary Size: 1
Train/Dev split: 9253/2313
2019-03-18 23:06:00.857867: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
34
33
32
WARNING:tensorflow:From C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\main_pre_trained_embeddings.py:485: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

Writing to C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\runs\1552968365

2019-03-18T23:06:14.865703: step 1, loss 2.45652, accuracy 0.488281, precision 0.5, recall 0.6717557251908397
2019-03-18T23:06:16.963099: step 2, loss 4.02203, accuracy 0.640625, precision 0.9818181818181818, recall 0.6454183266932271
2019-03-18T23:06:18.757305: step 3, loss 2.5112, accuracy 0.640625, precision 0.9444444444444444, recall 0.6483050847457628
2019-03-18T23:06:20.480698: step 4, loss 2.03653, accuracy 0.496094, precision 0.47701149425287354, recall 0.6859504132231405
2019-03-18T23:06:22.180159: step 5, loss 2.81316, accuracy 0.4375, precision 0.2916666666666667, recall 0.6621621621621622
2019-03-18T23:06:23.696107: step 6, loss 2.11317, accuracy 0.515625, precision 0.4659090909090909, recall 0.7321428571428571
2019-03-18T23:06:25.153213: step 7, loss 1.7121, accuracy 0.597656, precision 0.6909090909090909, recall 0.6867469879518072
2019-03-18T23:06:26.536518: step 8, loss 1.91828, accuracy 0.621094, precision 0.8218390804597702, recall 0.6842105263157895
2019-03-18T23:06:27.880924: step 9, loss 2.38752, accuracy 0.621094, precision 0.9354838709677419, recall 0.625
2019-03-18T23:06:29.101663: step 10, loss 2.14356, accuracy 0.648438, precision 0.910828025477707, recall 0.6529680365296804
2019-03-18T23:06:30.192748: step 11, loss 1.41171, accuracy 0.664062, precision 0.8265895953757225, recall 0.7185929648241206
2019-03-18T23:06:31.235960: step 12, loss 1.71451, accuracy 0.578125, precision 0.7005988023952096, recall 0.6685714285714286
2019-03-18T23:06:32.408827: step 13, loss 1.42976, accuracy 0.578125, precision 0.5722543352601156, recall 0.7443609022556391
2019-03-18T23:06:33.458024: step 14, loss 1.71588, accuracy 0.582031, precision 0.4936708860759494, recall 0.7428571428571429
2019-03-18T23:06:34.654824: step 15, loss 1.58644, accuracy 0.554688, precision 0.461038961038961, recall 0.696078431372549
2019-03-18T23:06:35.858606: step 16, loss 1.38462, accuracy 0.582031, precision 0.6273291925465838, recall 0.6824324324324325
2019-03-18T23:06:37.052418: step 17, loss 1.2916, accuracy 0.625, precision 0.6845238095238095, recall 0.7278481012658228
2019-03-18T23:06:38.136520: step 18, loss 1.48041, accuracy 0.648438, precision 0.8280254777070064, recall 0.6735751295336787
2019-03-18T23:06:39.291435: step 19, loss 1.66416, accuracy 0.605469, precision 0.8380281690140845, recall 0.6040609137055838
2019-03-18T23:06:40.418423: step 20, loss 1.42242, accuracy 0.628906, precision 0.868421052631579, recall 0.6376811594202898
2019-03-18T23:06:41.523469: step 21, loss 1.28805, accuracy 0.640625, precision 0.7777777777777778, recall 0.7112299465240641
2019-03-18T23:06:42.607572: step 22, loss 1.13073, accuracy 0.671875, precision 0.7590361445783133, recall 0.7411764705882353
2019-03-18T23:06:43.680705: step 23, loss 0.921511, accuracy 0.703125, precision 0.7559523809523809, recall 0.7839506172839507
2019-03-18T23:06:44.724915: step 24, loss 1.25407, accuracy 0.613281, precision 0.5705882352941176, recall 0.7886178861788617
2019-03-18T23:06:45.779098: step 25, loss 1.11583, accuracy 0.65625, precision 0.6428571428571429, recall 0.7941176470588235
2019-03-18T23:06:46.819318: step 26, loss 1.29976, accuracy 0.625, precision 0.6123595505617978, recall 0.8014705882352942
2019-03-18T23:06:47.748834: step 27, loss 0.992859, accuracy 0.65625, precision 0.7528735632183908, recall 0.7443181818181818
2019-03-18T23:06:48.641452: step 28, loss 1.43848, accuracy 0.625, precision 0.7988165680473372, recall 0.6852791878172588
2019-03-18T23:06:49.660725: step 29, loss 1.18409, accuracy 0.6875, precision 0.8452380952380952, recall 0.7244897959183674
2019-03-18T23:06:50.539378: step 30, loss 0.96646, accuracy 0.71875, precision 0.9195402298850575, recall 0.7339449541284404
2019-03-18T23:06:51.613508: step 31, loss 1.25425, accuracy 0.6875, precision 0.891566265060241, recall 0.7047619047619048
2019-03-18T23:06:52.665701: step 32, loss 0.900225, accuracy 0.722656, precision 0.88, recall 0.7549019607843137
2019-03-18T23:06:53.806647: step 33, loss 0.765337, accuracy 0.722656, precision 0.8089887640449438, recall 0.7955801104972375
2019-03-18T23:06:54.822931: step 34, loss 1.04254, accuracy 0.691406, precision 0.7041420118343196, recall 0.8040540540540541
2019-03-18T23:06:55.918005: step 35, loss 1.18345, accuracy 0.601562, precision 0.65, recall 0.6933333333333334
2019-03-18T23:06:56.968200: step 36, loss 0.977365, accuracy 0.660156, precision 0.651685393258427, recall 0.8226950354609929
2019-03-18T23:06:57.517731: step 37, loss 1.12342, accuracy 0.648649, precision 0.6956521739130435, recall 0.7272727272727273
2019-03-18T23:06:58.609813: step 38, loss 0.83521, accuracy 0.671875, precision 0.6629213483146067, recall 0.8309859154929577
2019-03-18T23:06:59.590193: step 39, loss 0.828047, accuracy 0.714844, precision 0.7650602409638554, recall 0.7888198757763976
2019-03-18T23:07:00.590520: step 40, loss 0.88161, accuracy 0.726562, precision 0.7894736842105263, recall 0.7988165680473372
2019-03-18T23:07:01.566910: step 41, loss 0.806553, accuracy 0.699219, precision 0.8109756097560976, recall 0.7430167597765364
2019-03-18T23:07:02.627077: step 42, loss 0.974744, accuracy 0.699219, precision 0.8011695906432749, recall 0.7611111111111111
2019-03-18T23:07:03.663309: step 43, loss 0.722537, accuracy 0.777344, precision 0.9053254437869822, recall 0.788659793814433
2019-03-18T23:07:04.727465: step 44, loss 0.813895, accuracy 0.769531, precision 0.9075144508670521, recall 0.785
2019-03-18T23:07:05.829520: step 45, loss 0.795502, accuracy 0.71875, precision 0.84472049689441, recall 0.7431693989071039
2019-03-18T23:07:06.891682: step 46, loss 0.758234, accuracy 0.695312, precision 0.8012048192771084, recall 0.7471910112359551
2019-03-18T23:07:07.935892: step 47, loss 0.635855, accuracy 0.757812, precision 0.8070175438596491, recall 0.8263473053892215
2019-03-18T23:07:08.945194: step 48, loss 0.665393, accuracy 0.777344, precision 0.8021978021978022, recall 0.874251497005988
2019-03-18T23:07:09.965468: step 49, loss 0.7061, accuracy 0.722656, precision 0.7810650887573964, recall 0.7951807228915663
2019-03-18T23:07:11.042590: step 50, loss 0.651966, accuracy 0.75, precision 0.7692307692307693, recall 0.8387096774193549
2019-03-18T23:07:12.119712: step 51, loss 0.634979, accuracy 0.75, precision 0.8035714285714286, recall 0.8132530120481928
2019-03-18T23:07:13.144972: step 52, loss 0.780398, accuracy 0.75, precision 0.8372093023255814, recall 0.8
2019-03-18T23:07:14.232068: step 53, loss 0.543963, accuracy 0.789062, precision 0.8385093167701864, recall 0.8282208588957055
2019-03-18T23:07:15.182529: step 54, loss 0.969764, accuracy 0.714844, precision 0.8433734939759037, recall 0.7486631016042781
2019-03-18T23:07:16.070156: step 55, loss 0.819775, accuracy 0.722656, precision 0.76875, recall 0.7834394904458599
2019-03-18T23:07:17.041560: step 56, loss 0.685218, accuracy 0.765625, precision 0.8202247191011236, recall 0.8390804597701149
2019-03-18T23:07:18.048868: step 57, loss 0.607254, accuracy 0.742188, precision 0.7870967741935484, recall 0.7870967741935484
2019-03-18T23:07:19.135963: step 58, loss 0.751138, accuracy 0.746094, precision 0.8571428571428571, recall 0.7666666666666667
2019-03-18T23:07:20.203111: step 59, loss 0.621983, accuracy 0.789062, precision 0.8496732026143791, recall 0.8074534161490683
2019-03-18T23:07:21.307161: step 60, loss 0.575189, accuracy 0.765625, precision 0.8421052631578947, recall 0.8135593220338984
2019-03-18T23:07:22.327434: step 61, loss 0.603764, accuracy 0.785156, precision 0.8520710059171598, recall 0.8275862068965517
2019-03-18T23:07:23.144253: step 62, loss 0.642431, accuracy 0.769531, precision 0.8129032258064516, recall 0.8076923076923077
2019-03-18T23:07:24.122639: step 63, loss 0.606228, accuracy 0.773438, precision 0.834319526627219, recall 0.8245614035087719
2019-03-18T23:07:25.146902: step 64, loss 0.555731, accuracy 0.769531, precision 0.8170731707317073, recall 0.8220858895705522
2019-03-18T23:07:26.203079: step 65, loss 0.525551, accuracy 0.769531, precision 0.8146067415730337, recall 0.847953216374269
2019-03-18T23:07:27.259256: step 66, loss 0.660613, accuracy 0.738281, precision 0.8353658536585366, recall 0.7740112994350282
2019-03-18T23:07:28.351338: step 67, loss 0.578257, accuracy 0.757812, precision 0.8571428571428571, recall 0.7796610169491526
2019-03-18T23:07:29.511239: step 68, loss 0.517621, accuracy 0.796875, precision 0.8481012658227848, recall 0.8271604938271605
2019-03-18T23:07:30.917481: step 69, loss 0.677081, accuracy 0.757812, precision 0.8311688311688312, recall 0.7804878048780488
2019-03-18T23:07:32.335692: step 70, loss 0.683504, accuracy 0.738281, precision 0.7771084337349398, recall 0.8113207547169812
2019-03-18T23:07:33.656162: step 71, loss 0.779717, accuracy 0.730469, precision 0.8402366863905325, recall 0.7717391304347826
2019-03-18T23:07:35.047446: step 72, loss 0.764667, accuracy 0.730469, precision 0.75625, recall 0.8013245033112583
2019-03-18T23:07:36.431749: step 73, loss 0.512031, accuracy 0.808594, precision 0.8333333333333334, recall 0.8959537572254336
2019-03-18T23:07:37.025161: step 74, loss 0.632675, accuracy 0.837838, precision 0.75, recall 1.0
2019-03-18T23:07:38.539116: step 75, loss 0.585512, accuracy 0.753906, precision 0.879746835443038, recall 0.7595628415300546
2019-03-18T23:07:39.894492: step 76, loss 0.538415, accuracy 0.78125, precision 0.8606060606060606, recall 0.8114285714285714
2019-03-18T23:07:41.292757: step 77, loss 0.547334, accuracy 0.753906, precision 0.8611111111111112, recall 0.8031088082901554
2019-03-18T23:07:42.633176: step 78, loss 0.594362, accuracy 0.78125, precision 0.8841463414634146, recall 0.7967032967032966
2019-03-18T23:07:44.037423: step 79, loss 0.588608, accuracy 0.789062, precision 0.8947368421052632, recall 0.8095238095238095
2019-03-18T23:07:45.322987: step 80, loss 0.60166, accuracy 0.792969, precision 0.9328859060402684, recall 0.7637362637362637
2019-03-18T23:07:46.625507: step 81, loss 0.49451, accuracy 0.800781, precision 0.8947368421052632, recall 0.8225806451612904
2019-03-18T23:07:47.871178: step 82, loss 0.502953, accuracy 0.769531, precision 0.806060606060606, recall 0.83125
2019-03-18T23:07:49.201623: step 83, loss 0.586071, accuracy 0.742188, precision 0.7559523809523809, recall 0.8355263157894737
2019-03-18T23:07:50.693636: step 84, loss 0.629819, accuracy 0.742188, precision 0.7586206896551724, recall 0.8461538461538461
2019-03-18T23:07:52.359186: step 85, loss 0.549083, accuracy 0.808594, precision 0.8068181818181818, recall 0.9044585987261147
2019-03-18T23:07:53.717557: step 86, loss 0.456051, accuracy 0.773438, precision 0.8258064516129032, recall 0.8050314465408805
2019-03-18T23:07:55.143745: step 87, loss 0.430118, accuracy 0.8125, precision 0.8614457831325302, recall 0.8511904761904762
2019-03-18T23:07:56.536049: step 88, loss 0.440376, accuracy 0.816406, precision 0.8975903614457831, recall 0.8324022346368715
2019-03-18T23:07:57.982161: step 89, loss 0.520585, accuracy 0.761719, precision 0.8819875776397516, recall 0.7717391304347826
2019-03-18T23:07:59.328562: step 90, loss 0.504795, accuracy 0.785156, precision 0.8963414634146342, recall 0.7945945945945946
2019-03-18T23:08:00.795642: step 91, loss 0.434622, accuracy 0.835938, precision 0.9047619047619048, recall 0.8539325842696629
2019-03-18T23:08:02.049292: step 92, loss 0.473369, accuracy 0.804688, precision 0.8846153846153846, recall 0.8117647058823529
2019-03-18T23:08:03.272024: step 93, loss 0.620254, accuracy 0.757812, precision 0.8072289156626506, recall 0.8170731707317073
2019-03-18T23:08:04.604465: step 94, loss 0.586799, accuracy 0.738281, precision 0.7951807228915663, recall 0.8
2019-03-18T23:08:05.819220: step 95, loss 0.460528, accuracy 0.792969, precision 0.8439306358381503, recall 0.8488372093023255
2019-03-18T23:08:07.123733: step 96, loss 0.515041, accuracy 0.777344, precision 0.8187134502923976, recall 0.8433734939759037
2019-03-18T23:08:08.481106: step 97, loss 0.507301, accuracy 0.796875, precision 0.8404907975460123, recall 0.8404907975460123
2019-03-18T23:08:09.891337: step 98, loss 0.427842, accuracy 0.8125, precision 0.847953216374269, recall 0.8682634730538922
2019-03-18T23:08:11.213803: step 99, loss 0.440611, accuracy 0.785156, precision 0.8304093567251462, recall 0.8452380952380952
2019-03-18T23:08:12.465459: step 100, loss 0.441796, accuracy 0.816406, precision 0.9005847953216374, recall 0.8369565217391305
2019-03-18T23:08:13.876688: step 101, loss 0.485283, accuracy 0.832031, precision 0.89171974522293, recall 0.8433734939759037
2019-03-18T23:08:15.273954: step 102, loss 0.51787, accuracy 0.800781, precision 0.9038461538461539, recall 0.7966101694915254
2019-03-18T23:08:16.655263: step 103, loss 0.418266, accuracy 0.828125, precision 0.9171597633136095, recall 0.8378378378378378
2019-03-18T23:08:18.053527: step 104, loss 0.462843, accuracy 0.800781, precision 0.8538011695906432, recall 0.8488372093023255
2019-03-18T23:08:19.460766: step 105, loss 0.503349, accuracy 0.824219, precision 0.8982035928143712, recall 0.8426966292134831
2019-03-18T23:08:20.882966: step 106, loss 0.308944, accuracy 0.855469, precision 0.8562874251497006, recall 0.9166666666666666
2019-03-18T23:08:22.494659: step 107, loss 0.493691, accuracy 0.804688, precision 0.8285714285714286, recall 0.8787878787878788
2019-03-18T23:08:23.903894: step 108, loss 0.49817, accuracy 0.792969, precision 0.8154761904761905, recall 0.8616352201257862
2019-03-18T23:08:25.308144: step 109, loss 0.499367, accuracy 0.789062, precision 0.8502994011976048, recall 0.8304093567251462
2019-03-18T23:08:26.732335: step 110, loss 0.394886, accuracy 0.820312, precision 0.864406779661017, recall 0.8742857142857143
2019-03-18T23:08:27.352678: step 111, loss 0.30813, accuracy 0.864865, precision 0.896551724137931, recall 0.9285714285714286
2019-03-18T23:08:28.944427: step 112, loss 0.465247, accuracy 0.824219, precision 0.8982035928143712, recall 0.8426966292134831
2019-03-18T23:08:30.430453: step 113, loss 0.323943, accuracy 0.863281, precision 0.9230769230769231, recall 0.8622754491017964
2019-03-18T23:08:31.965352: step 114, loss 0.347236, accuracy 0.855469, precision 0.8876404494382022, recall 0.9028571428571428
2019-03-18T23:08:33.487285: step 115, loss 0.376309, accuracy 0.839844, precision 0.8895348837209303, recall 0.8742857142857143
2019-03-18T23:08:35.101971: step 116, loss 0.435414, accuracy 0.824219, precision 0.9053254437869822, recall 0.8406593406593407
2019-03-18T23:08:36.490262: step 117, loss 0.456159, accuracy 0.804688, precision 0.8666666666666667, recall 0.8125
2019-03-18T23:08:37.861597: step 118, loss 0.486231, accuracy 0.773438, precision 0.8294117647058824, recall 0.8294117647058824
2019-03-18T23:08:39.296762: step 119, loss 0.439921, accuracy 0.835938, precision 0.8787878787878788, recall 0.8682634730538922
2019-03-18T23:08:40.788775: step 120, loss 0.431846, accuracy 0.804688, precision 0.8588957055214724, recall 0.8383233532934131
2019-03-18T23:08:42.086314: step 121, loss 0.325787, accuracy 0.847656, precision 0.8659217877094972, recall 0.9117647058823529
2019-03-18T23:08:43.662096: step 122, loss 0.453674, accuracy 0.824219, precision 0.8662790697674418, recall 0.8713450292397661
2019-03-18T23:08:45.199987: step 123, loss 0.357486, accuracy 0.839844, precision 0.896551724137931, recall 0.8715083798882681
2019-03-18T23:08:46.744860: step 124, loss 0.419085, accuracy 0.820312, precision 0.8627450980392157, recall 0.8407643312101911
2019-03-18T23:08:48.200969: step 125, loss 0.32193, accuracy 0.867188, precision 0.9132947976878613, recall 0.8926553672316384
2019-03-18T23:08:49.370843: step 126, loss 0.320204, accuracy 0.878906, precision 0.9, recall 0.9056603773584906
2019-03-18T23:08:50.733202: step 127, loss 0.425982, accuracy 0.804688, precision 0.8820224719101124, recall 0.8440860215053764
2019-03-18T23:08:52.118500: step 128, loss 0.386207, accuracy 0.839844, precision 0.92, recall 0.8263473053892215
2019-03-18T23:08:53.525739: step 129, loss 0.335652, accuracy 0.867188, precision 0.9230769230769231, recall 0.8813559322033898
2019-03-18T23:08:55.035705: step 130, loss 0.365837, accuracy 0.824219, precision 0.8466257668711656, recall 0.8734177215189873
