"C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\python.exe" "C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py"
Using TensorFlow backend.
English Italian
GloVe model loaded
Pretrained Embedding: GloVe
Italian: False
Loading data...
11566
Max Document length: 37
WARNING:tensorflow:From C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py:98: VocabularyProcessor.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.text) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
WARNING:tensorflow:From C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\lib\site-packages\tensorflow\contrib\learn\python\learn\preprocessing\text.py:154: CategoricalVocabulary.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.categorical_vocabulary) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
Vocabulary Size: 1
Train/Dev split: 9253/2313
2019-03-18 23:06:01.520710: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
35
34
33
WARNING:tensorflow:From C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\main_pre_trained_embeddings.py:485: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

Writing to C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\runs\1552968365

2019-03-18T23:06:11.574989: step 1, loss 2.73878, accuracy 0.460938, precision 0.35119047619047616, recall 0.6704545454545454
2019-03-18T23:06:13.677877: step 2, loss 4.30552, accuracy 0.617188, precision 0.9810126582278481, recall 0.62
2019-03-18T23:06:14.903603: step 3, loss 3.31711, accuracy 0.640625, precision 0.9573170731707317, recall 0.6487603305785123
2019-03-18T23:06:16.868353: step 4, loss 2.04536, accuracy 0.613281, precision 0.797752808988764, recall 0.6926829268292682
2019-03-18T23:06:18.648595: step 5, loss 2.0541, accuracy 0.527344, precision 0.4860335195530726, recall 0.75
2019-03-18T23:06:20.613344: step 6, loss 2.39702, accuracy 0.457031, precision 0.36809815950920244, recall 0.625
2019-03-18T23:06:22.396579: step 7, loss 1.94355, accuracy 0.523438, precision 0.49101796407185627, recall 0.6890756302521008
2019-03-18T23:06:23.900562: step 8, loss 1.97269, accuracy 0.539062, precision 0.6457142857142857, recall 0.6686390532544378
2019-03-18T23:06:25.480340: step 9, loss 1.80681, accuracy 0.636719, precision 0.8159509202453987, recall 0.6785714285714286
2019-03-18T23:06:26.928472: step 10, loss 1.93864, accuracy 0.628906, precision 0.86, recall 0.6354679802955665
2019-03-18T23:06:28.386574: step 11, loss 1.76326, accuracy 0.664062, precision 0.8690476190476191, recall 0.6952380952380952
2019-03-18T23:06:29.658176: step 12, loss 1.44454, accuracy 0.679688, precision 0.8228571428571428, recall 0.7384615384615385
2019-03-18T23:06:31.015548: step 13, loss 1.6363, accuracy 0.597656, precision 0.7048192771084337, recall 0.6842105263157895
2019-03-18T23:06:32.281168: step 14, loss 1.70162, accuracy 0.558594, precision 0.562874251497006, recall 0.7014925373134329
2019-03-18T23:06:33.561744: step 15, loss 1.4879, accuracy 0.578125, precision 0.5033112582781457, recall 0.6972477064220184
2019-03-18T23:06:34.838334: step 16, loss 1.69513, accuracy 0.578125, precision 0.572289156626506, recall 0.7196969696969697
2019-03-18T23:06:36.033142: step 17, loss 1.33815, accuracy 0.613281, precision 0.6428571428571429, recall 0.7748344370860927
2019-03-18T23:06:37.204012: step 18, loss 1.44474, accuracy 0.632812, precision 0.7839506172839507, recall 0.6827956989247311
2019-03-18T23:06:38.409790: step 19, loss 1.43221, accuracy 0.675781, precision 0.8535031847133758, recall 0.6907216494845361
2019-03-18T23:06:39.602603: step 20, loss 1.42869, accuracy 0.625, precision 0.8045977011494253, recall 0.693069306930693
2019-03-18T23:06:40.690695: step 21, loss 1.36799, accuracy 0.644531, precision 0.806060606060606, recall 0.6927083333333334
2019-03-18T23:06:41.840622: step 22, loss 1.00649, accuracy 0.65625, precision 0.8022598870056498, recall 0.7282051282051282
2019-03-18T23:06:42.884832: step 23, loss 1.11118, accuracy 0.675781, precision 0.7586206896551724, recall 0.7630057803468208
2019-03-18T23:06:44.030770: step 24, loss 1.16817, accuracy 0.640625, precision 0.718562874251497, recall 0.7272727272727273
2019-03-18T23:06:45.100910: step 25, loss 1.09275, accuracy 0.703125, precision 0.7018633540372671, recall 0.8014184397163121
2019-03-18T23:06:46.102235: step 26, loss 1.0711, accuracy 0.644531, precision 0.71875, recall 0.7142857142857143
2019-03-18T23:06:47.212270: step 27, loss 1.32301, accuracy 0.621094, precision 0.6289308176100629, recall 0.7246376811594203
2019-03-18T23:06:48.393113: step 28, loss 1.21763, accuracy 0.65625, precision 0.6815286624203821, recall 0.7379310344827587
2019-03-18T23:06:49.521098: step 29, loss 1.1653, accuracy 0.6875, precision 0.8012422360248447, recall 0.7288135593220338
2019-03-18T23:06:50.649085: step 30, loss 0.963931, accuracy 0.710938, precision 0.8248587570621468, recall 0.7724867724867724
2019-03-18T23:06:51.779066: step 31, loss 0.915838, accuracy 0.695312, precision 0.7844311377245509, recall 0.7572254335260116
2019-03-18T23:06:52.904059: step 32, loss 1.11784, accuracy 0.65625, precision 0.8023952095808383, recall 0.708994708994709
2019-03-18T23:06:53.943282: step 33, loss 1.00864, accuracy 0.703125, precision 0.8, recall 0.7542857142857143
2019-03-18T23:06:55.148066: step 34, loss 0.983319, accuracy 0.695312, precision 0.7441860465116279, recall 0.7901234567901234
