"C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\python.exe" "C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py"
Using TensorFlow backend.
Italian English
GloVe model loaded
Pretrained Embedding: GloVe
Italian: False
Loading data...
11566
Max Document length: 37
WARNING:tensorflow:From C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py:98: VocabularyProcessor.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.text) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
WARNING:tensorflow:From C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\lib\site-packages\tensorflow\contrib\learn\python\learn\preprocessing\text.py:154: CategoricalVocabulary.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.categorical_vocabulary) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
Vocabulary Size: 1
Train/Dev split: 9253/2313
2019-03-18 23:06:04.340639: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
35
34
33
WARNING:tensorflow:From C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\main_pre_trained_embeddings.py:485: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

Writing to C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\runs\1552968369

2019-03-18T23:06:20.339077: step 1, loss 8.62522, accuracy 0.347656, precision 0.017964071856287425, recall 0.5
2019-03-18T23:06:22.314798: step 2, loss 2.73119, accuracy 0.53125, precision 0.6368715083798883, recall 0.6745562130177515
2019-03-18T23:06:24.041199: step 3, loss 5.53984, accuracy 0.597656, precision 0.9743589743589743, recall 0.6055776892430279
2019-03-18T23:06:25.411525: step 4, loss 6.01678, accuracy 0.628906, precision 0.9937888198757764, recall 0.6299212598425197
2019-03-18T23:06:26.871625: step 5, loss 5.1641, accuracy 0.625, precision 0.9570552147239264, recall 0.636734693877551
2019-03-18T23:06:28.213037: step 6, loss 3.07759, accuracy 0.605469, precision 0.896969696969697, recall 0.6379310344827587
2019-03-18T23:06:29.543482: step 7, loss 1.94207, accuracy 0.605469, precision 0.7100591715976331, recall 0.6976744186046512
2019-03-18T23:06:30.787164: step 8, loss 2.94866, accuracy 0.507812, precision 0.45555555555555555, recall 0.7454545454545455
2019-03-18T23:06:32.019864: step 9, loss 3.28606, accuracy 0.457031, precision 0.29545454545454547, recall 0.7761194029850746
2019-03-18T23:06:33.241601: step 10, loss 2.90599, accuracy 0.476562, precision 0.3674698795180723, recall 0.6777777777777778
2019-03-18T23:06:34.447377: step 11, loss 2.5034, accuracy 0.515625, precision 0.4520547945205479, recall 0.6
2019-03-18T23:06:35.598302: step 12, loss 2.09444, accuracy 0.628906, precision 0.6763005780346821, recall 0.75
2019-03-18T23:06:36.766182: step 13, loss 2.359, accuracy 0.609375, precision 0.7654320987654321, recall 0.6666666666666666
2019-03-18T23:06:37.937053: step 14, loss 2.22037, accuracy 0.683594, precision 0.8563218390804598, recall 0.7268292682926829
2019-03-18T23:06:39.079002: step 15, loss 2.46504, accuracy 0.6875, precision 0.9058823529411765, recall 0.7064220183486238
2019-03-18T23:06:40.214966: step 16, loss 2.25586, accuracy 0.691406, precision 0.896969696969697, recall 0.7047619047619048
2019-03-18T23:06:41.349937: step 17, loss 2.01685, accuracy 0.671875, precision 0.8705882352941177, recall 0.7047619047619048
2019-03-18T23:06:42.461961: step 18, loss 1.7354, accuracy 0.660156, precision 0.8170731707317073, recall 0.7015706806282722
