"C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\python.exe" "C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py"
Using TensorFlow backend.
Italian Italian
GloVe model loaded
Pretrained Embedding: GloVe
Italian: False
Loading data...
11566
WARNING:tensorflow:From C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py:98: VocabularyProcessor.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.text) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
WARNING:tensorflow:From C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\lib\site-packages\tensorflow\contrib\learn\python\learn\preprocessing\text.py:154: CategoricalVocabulary.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.categorical_vocabulary) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
Max Document length: 37
Vocabulary Size: 1
Train/Dev split: 9253/2313
2019-03-18 23:07:17.768067: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
WARNING:tensorflow:From C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\main_pre_trained_embeddings.py:485: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

35
34
33
Writing to C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\runs\1552968444

2019-03-18T23:07:30.477656: step 1, loss 3.37316, accuracy 0.582031, precision 0.879746835443038, recall 0.6123348017621145
2019-03-18T23:07:31.658509: step 2, loss 4.87661, accuracy 0.378906, precision 0.13714285714285715, recall 0.75
2019-03-18T23:07:32.631900: step 3, loss 2.64349, accuracy 0.503906, precision 0.44871794871794873, recall 0.6306306306306306
2019-03-18T23:07:33.712015: step 4, loss 2.37724, accuracy 0.601562, precision 0.7885714285714286, recall 0.6798029556650246
2019-03-18T23:07:34.997579: step 5, loss 3.82462, accuracy 0.605469, precision 0.9407894736842105, recall 0.6085106382978723
2019-03-18T23:07:36.060738: step 6, loss 2.58391, accuracy 0.660156, precision 0.9289940828402367, recall 0.6767241379310345
2019-03-18T23:07:37.191715: step 7, loss 3.02161, accuracy 0.570312, precision 0.8238993710691824, recall 0.6150234741784038
2019-03-18T23:07:38.355605: step 8, loss 1.65045, accuracy 0.636719, precision 0.6739130434782609, recall 0.7898089171974523
2019-03-18T23:07:39.711981: step 9, loss 2.35815, accuracy 0.507812, precision 0.5266272189349113, recall 0.6592592592592592
2019-03-18T23:07:41.094287: step 10, loss 1.84937, accuracy 0.566406, precision 0.4913294797687861, recall 0.7870370370370371
2019-03-18T23:07:42.271142: step 11, loss 1.84287, accuracy 0.5625, precision 0.4968944099378882, recall 0.7207207207207207
2019-03-18T23:07:43.483902: step 12, loss 1.93916, accuracy 0.554688, precision 0.6265060240963856, recall 0.6666666666666666
2019-03-18T23:07:44.778444: step 13, loss 1.96755, accuracy 0.617188, precision 0.8404907975460123, recall 0.6555023923444976
2019-03-18T23:07:45.964273: step 14, loss 1.81465, accuracy 0.652344, precision 0.852760736196319, recall 0.6813725490196079
2019-03-18T23:07:47.101236: step 15, loss 1.84669, accuracy 0.613281, precision 0.803680981595092, recall 0.6616161616161617
2019-03-18T23:07:48.125499: step 16, loss 1.67176, accuracy 0.640625, precision 0.7926829268292683, recall 0.6914893617021277
