_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_category,choose_one_category:confidence,choose_one_category_gold,tweet_id,tweet_text
878953419,false,finalized,3,2/10/2016 12:47:18,other_useful_information,0.6875,,'503642976422096896',RT @nicoleewayne: Tennessee USA Knoxville http://t.co/RdBC6022xO #earthquake BREAKING NEWS 816 earthquake Northern California braces for afâ€¦
878953420,false,finalized,3,2/10/2016 13:18:47,infrastructure_and_utilities_damage,0.7059,,'503642976976113664',RT @SFGate: We're updating this interactive map of reported damage from the #Napaquake. Check it out: http://t.co/24Db832o4U http://t.co/qyâ€¦
878953421,false,finalized,3,2/10/2016 12:05:43,injured_or_dead_people,1.0,,'503642977588494337',"RT @YourAnonNews: Strong 6.1 Earthquake Rocks San Francisco Bay Area, Injures 87+, Significant Damage In Napa  http://t.co/ibSTSBU9BJ"
878953422,false,finalized,3,2/10/2016 13:31:33,infrastructure_and_utilities_damage,0.6471,,'503642979429388288',RT @heyyouapp: Wisconsin USA Madison http://t.co/4LByErEec9 BREAKING NEWS 421 earthquake 6.0 earthquake jolts Bay Area damage and at least â€¦
878953423,false,finalized,3,2/10/2016 12:47:53,other_useful_information,0.7027,,'503642980881022976',"RT @scullather: ""@infodude: amazing use of #BigData from @Jawbone - How the Napa Earthquake Affected Bay Area Sleepers https://t.co/SSlD8wQâ€¦"
878953424,false,finalized,3,2/10/2016 12:20:12,other_useful_information,1.0,,'503642982189252608',"RT @MarshGlobal: Napa, California #earthquake was region's most severe since 1989. Get tips on how affected should respond http://t.co/X4G6â€¦"
878953425,false,finalized,3,2/10/2016 12:20:12,other_useful_information,1.0,,'503642983666032640',#USAHeadlines Cleanup Efforts Underway after Major Earthquake in California http://t.co/TscSQQ2byw
878953426,false,finalized,3,2/10/2016 12:28:51,other_useful_information,0.6765,,'503642984429395968',Jawbone Looks At UP Data To See How Many Were Woken Up By The Napa Earthquake: Jawbone has shown one of the mo... http://t.co/uPPDpHSkbF
878953427,false,finalized,3,2/10/2016 13:59:58,injured_or_dead_people,1.0,,'503642985167609856',The San Francisco Earthquake In Wine Country Injured Dozens Of People: NAPAÂ Calif. (Reuters) - A 6.0 magnitude... http://t.co/GfBaXVvn8v
878953428,false,finalized,3,2/10/2016 12:42:57,other_useful_information,0.7222,,'503642985431830528',RT @SBSNews: State of emergency after 6.0 earthquake hits California wine country http://t.co/NxqywGfnQr http://t.co/tBh3OGFrR6
878953429,false,finalized,3,2/10/2016 12:32:35,sympathy_and_emotional_support,0.6857,,'503642988522647552',RT @JSimrock: Thinking of all those dealing with the #aftermath of the #earthquake in #California.
878953430,false,finalized,3,2/10/2016 12:17:02,infrastructure_and_utilities_damage,1.0,,'503642992541171712',RT @RT_com: Economic losses from California earthquake could top $1 billion http://t.co/yAtwKZgCBA
878953431,false,finalized,3,2/10/2016 13:15:45,other_useful_information,0.6389,,'503642993677443072',RT @dbfish: The single most California photo of all time. #napaquake http://t.co/1KIMJzNprs
878953432,false,finalized,3,2/10/2016 12:47:43,other_useful_information,1.0,,'503642995879849985',RT @heyyouapp: USA Â» NEWS Â» http://t.co/TPSViMWZMs HOT NEWS 425 Earthquake Northern California Struck by 6.0 Magnitude Earthquake #Earthquaâ€¦
878953433,false,finalized,3,2/10/2016 12:43:26,not_related_or_irrelevant,1.0,,'503642996584513536',Did God Send Earthquake Because California Ship Workers DenyÂ Israel http://t.co/4md1LfhE7z
878953434,false,finalized,3,2/10/2016 12:47:18,other_useful_information,0.3333,,'503642998664884225',Jawbone knows how many of its users were roused by the Napa earthquake http://t.co/emzOlYAfMY
878953435,false,finalized,3,2/10/2016 14:23:30,caution_and_advice,0.6667,,'503642998832242689',RT @BurnTom: The extent of my parents helping me move to San Francisco has been them looking up Earthquake videos and warning me.
878953436,false,finalized,3,2/10/2016 12:27:59,other_useful_information,0.6563,,'503643000913006593',Boy Hurt in California Quake: 'I Should Be Dead': Boy badly hurt by bricks in California quake says lucky to b... http://t.co/PJIuASP2ps
878953437,false,finalized,3,2/10/2016 13:41:25,infrastructure_and_utilities_damage,0.697,,'503643001185636352',RT @Reuters: California wine country quake losses seen in the billions http://t.co/3ua2b5CFrY
878953438,false,finalized,3,2/10/2016 12:17:50,other_useful_information,0.6389,,'503643001722118144',RT @Cal_OES: Napa Earthquake Victims Urged to Only Hire Licensed Contractors for Repairs | Cal OES Newsroom. http://t.co/mnrUAtrWnz
878953439,false,finalized,3,2/10/2016 12:33:56,other_useful_information,0.7059,,'503643002875969536',Losses From California Quake Could Top $1 Billion - New York Times http://t.co/0jLTWnAVYb
878953440,false,finalized,3,2/10/2016 14:05:00,not_related_or_irrelevant,1.0,,'503643003508883458',Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http://t.co/buyrmiykwI
878953441,false,finalized,3,2/10/2016 12:19:01,injured_or_dead_people,1.0,,'503643004759195650',Over 120 Injured in Napa Quake   via @BreitbartNews http://t.co/vc64NHsk76
878953442,false,finalized,3,2/10/2016 14:05:00,injured_or_dead_people,1.0,,'503643009817128960',"RT @News24lHOT: â€¢ http://t.co/m3SdpIVsLR â€¢ earthquake 340  #earthquake â€¢ Dozens injured, 3 critically, after strong earthquake in Caâ€¦ http:â€¦"
878953443,false,finalized,3,2/10/2016 12:07:05,other_useful_information,0.6579,,'503643010127499264',"RT @jbooton: Rest easy oenophiles, Napa Valley quake wonâ€™t spike price of California #wine: http://t.co/LXMujQVznb"
878953444,false,finalized,3,2/10/2016 13:44:00,other_useful_information,1.0,,'503643011990183936',&gt;&gt;&gt;&gt;&gt; http://t.co/4kriuxWWsb California begins quake clear-up http://t.co/mk3VkNpOkV &gt;&gt;&gt;&gt;&gt; http://t.co/4kriuxWWsb
