_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_category,choose_one_category:confidence,choose_one_category_gold,tweet_id,tweet_text
871686722,false,finalized,3,1/30/2016 16:12:38,sympathy_and_emotional_support,0.6486,,'451187618697736192',"#PrayForChile They've prayed for us, Philippines because of the typhoon yolanda... It's time to pray for them.. xxx"
871686723,false,finalized,3,1/30/2016 16:28:16,not_related_or_irrelevant,1.0,,'451187620945887232',"I hope that @justinbieber will follow me.I'm still waiting for this.I would be very happy if you make it happen,really.I love you babeä_¥Ÿ x57"
871686724,false,finalized,4,1/30/2016 16:10:14,sympathy_and_emotional_support,1.0,,'451187621843070976',RT @AvrilLavigne: Thinking of everyone in Chile today. Hope all of you are safe! #prayforchile #ChileEarthquake
871686725,false,finalized,3,1/30/2016 16:10:54,infrastructure_and_utilities_damage,0.6757,,'451187621901791232',"Chile assesses damage after massive quake, tsunami: SANTIAGO (Reuters) - Chilean authorities on Wednesday were... http://t.co/xjGjv6wYkM"
871686726,false,finalized,3,1/30/2016 16:12:38,other_useful_information,0.6486,,'451187622077947904',Disaster declared after Chile quake: Chile declares three northern regions hit by a 8.2 magnitude earthquake t... http://t.co/LOlnc3OYPc
871686727,false,finalized,3,1/30/2016 17:23:59,other_useful_information,0.665,,'451187623252336640',RT @ABC: UPDATE: Tsunami waves of up to 2.4 feet measured or reported along coast of northern Chile; Tsunami Warnings canceled.
871686728,false,finalized,4,1/30/2016 16:10:14,other_useful_information,1.0,,'451187624099577856',"In the mean time, hereäó»s our coverage of the Chile earthquake aftermath by @kimbui with assist from @meg_wagner http://t.co/OFNpIJrryh"
871686729,false,finalized,4,1/30/2016 16:10:42,other_useful_information,0.75,,'451187624586510336',RT @LOHANTHONY: there was a 8.2 earthquake in chile yet the tabloids wanna focus on the fact that lindsay lohan's credit card declined whiläó_
871686730,false,finalized,6,1/30/2016 16:19:59,injured_or_dead_people,1.0,,'451187625114611712',#newsofindia 6 Killed in Earthquake off Northern Chile - New York Times: Irish Independent6 Kill... http://t.co/qyqAjANWmh .. check out!
871686731,false,finalized,4,1/30/2016 16:10:14,other_useful_information,0.7234,,'451187630277812224',"Massive Chile Earthquake May Not Be the ""Big One"" http://t.co/Y7oFOAhcLy"
871686732,false,finalized,3,1/30/2016 16:11:34,caution_and_advice,0.6579,,'451187630542032897',RT @NWS_PTWC: #TSUNAMI ADVISORY (offshore hazard) for the State of Hawaii.  Waves expected to arrive approx. 3:24 am HST. #PTWC http://t.coäó_
871686733,false,finalized,6,1/30/2016 16:19:59,not_related_or_irrelevant,1.0,,'451187631507132416',RT @freddiearomerop: World laugh of Peruvian Army http://t.co/YvnKMEra2n #Windsor #Essex #Hounslow #Nunavut #latam #Chile #England #Europe äó_
871686734,false,finalized,3,1/30/2016 16:11:34,other_useful_information,1.0,,'451187635709440000',"""8.0-magnitude earthquake strikes off the coast of Chile. Tsunami war...""  http://t.co/vuWhW4qRAk"
871686735,false,finalized,5,1/30/2016 16:08:27,not_related_or_irrelevant,0.7895,,'451187637437476865',Hard to believe that the Peru trip is almost over. I am so proud of the seniors in my family group - they did such a great job this week!
871686736,false,finalized,3,1/30/2016 16:10:13,not_related_or_irrelevant,1.0,,'451187637463031808',@nashtonkitty our little weirdo #lovehim http://t.co/sdW66s7ryo
871686737,false,finalized,4,1/30/2016 16:14:51,not_related_or_irrelevant,0.7513,,'451187638515421184',RT @CageTheElephant: Who can resist the classic J champ thumbs up pic!  #argentina #chile #cagetheelephant http://t.co/1Low8hjXQt
871686738,false,finalized,3,1/30/2016 16:10:13,other_useful_information,1.0,,'451187640490942464',"RT @NewEarthquake: 4.8 earthquake, 96km WNW of Iquique, Chile. Apr 3 03:28 at epicenter (37m ago, depth 15km). http://t.co/dJgNhlLOVL"
871686739,false,finalized,4,1/30/2016 16:16:23,sympathy_and_emotional_support,0.7496,,'451187641808330752',RT @eyprelrows: #PrayforSouthKorea #PrayforChile #PrayforIndonesia #PrayforNepal #PrayforUkraine #PrayforFlores  #PrayforTheWorld :( so manäó_
871686740,false,finalized,3,1/30/2016 16:10:54,caution_and_advice,1.0,,'451187643259580416',RT @NewsBreaker: NOW:  Chileäó»s Navy issues tsunami warning following magnitude 7.8 quake - @Reuters @ajamlive
871686741,false,finalized,3,1/30/2016 16:11:34,sympathy_and_emotional_support,1.0,,'451187644048084992',RT @dwaynereywinson: Prayers to the people of Chile. May God grant you all peace. à__F #PrayForChile #IndonesianRespect
871686742,false,finalized,4,1/30/2016 16:10:42,other_useful_information,1.0,,'451187646560104449',RT @Independent: Powerful earthquake triggers tsunami off coast of Chile http://t.co/vXCPmMXUM9 http://t.co/ixY7cHzwCV
871686743,false,finalized,6,1/30/2016 16:19:59,not_related_or_irrelevant,1.0,,'451187646602047488',Let's right Armando Cristian Perez
871686744,false,finalized,3,1/30/2016 16:28:16,sympathy_and_emotional_support,1.0,,'451187647226998784',"RT @aquaticsPH: Let us pause for a while and pray for our friends who lived in Chile, magnitude of 8.2 earthquake has struck them. #Prayforäó_"
871686745,false,finalized,5,1/30/2016 16:08:27,other_useful_information,1.0,,'451187647499616256',"M5.0 OFFSHORE TARAPACA, CHILE Depth 25.3km Apr 05, 2014 00:33:57 UTC, Apr 04, 2014 20:33:57 at epicenter http://t.co/sbXn47tzj8"
871686746,false,finalized,3,1/30/2016 16:28:16,sympathy_and_emotional_support,1.0,,'451187650439815168',RT @DemiLovatoFans: RT @ddlovato Praying for Chile... My heart is with you all right now _ôÍ„ / #PrayForChile
871686747,false,finalized,3,1/30/2016 16:11:34,injured_or_dead_people,1.0,,'451187651509755904',äóì@CBSNews: JUST IN: 2 reported dead in #ChileEarthquake; 300 inmates escape from women's prisonäó
871686748,false,finalized,6,1/30/2016 16:19:59,other_useful_information,0.6567,,'451187656257708032',"RT @Fascinatingpics: An earthquake 8,3 liberates 3x times more energy than the Nagasaki's atomic bomb. #PrayForChile http://t.co/1KLTNHmO8H"
871686749,false,finalized,3,1/30/2016 16:10:13,sympathy_and_emotional_support,1.0,,'451187658052476928',RT @AyyTangaLangDre: Earthquakes can't shake us. Let's all offer a prayer for Chile. #PrayForChile
871686750,false,finalized,3,1/30/2016 16:10:54,sympathy_and_emotional_support,0.6757,,'451187659151400961',#PrayForChile... it's hard to cope after the earthquake esp when you know aftershocks will go on for days or even months.
871686751,false,finalized,3,1/30/2016 16:10:54,not_related_or_irrelevant,1.0,,'451187659709235200',I'm belieber since 2009 and I will be forever. You're the Best idol I've ever had in my life :) i Love You So Much @justinbieber x11
871686752,false,finalized,4,1/30/2016 16:16:23,not_related_or_irrelevant,0.5217,,'451187660858462208',äóì@QueenNigger: Chille's... I never liked dat restaurant... i hope dha cookers and dha servers are okay doe! #PrayForChile #ChileEarthquakeäó
871686753,false,finalized,4,1/30/2016 16:16:23,sympathy_and_emotional_support,1.0,,'451187668710617088',"RT @MamaGH: Pray for Chile, and earthquake disaster. à__F"
871686754,false,finalized,4,1/30/2016 16:10:14,sympathy_and_emotional_support,1.0,,'451187669251280896',RT @KennyHamilton: #PrayforChile may God continue to be with you all.
871686755,false,finalized,4,1/30/2016 16:10:42,other_useful_information,0.75,,'451187669302009857',227's YouTube Chili' microsoft227: 227's YouTube Chili' Chile Earthquake 8.0 Giant Earthqu... http://t.co/CayNo8JtOW Jamaal Al-Din - NBA
871686756,false,finalized,3,1/30/2016 16:28:16,infrastructure_and_utilities_damage,1.0,,'451187669851467777',My NBC News report from Northern Chile - Earthquake Damages Chilean Infrastructure  http://t.co/Fd0i5o0G2g
871686757,false,finalized,3,1/30/2016 16:10:13,injured_or_dead_people,1.0,,'451187671235584000',RT @BBCWorld: At least five dead in Chile earthquake as tsunami alert prompts coastal evacuation http://t.co/OSJmgkWM1u
871686758,false,finalized,3,1/30/2016 16:11:34,other_useful_information,0.6579,,'451187671235584001',"#Albert_Stanlie INF: Chile earthquake: No tsunami threat to California, officials say: A 7.8-magnitude earthqu... http://t.co/fl0hRiEOis"
871686759,false,finalized,5,1/30/2016 16:08:27,sympathy_and_emotional_support,1.0,,'451187673521483776',RT @offscottfreee: Hearts going out to those suffering in the wake of the earthquake in Chile #PrayForChile
871686760,false,finalized,6,1/30/2016 16:19:59,not_related_or_irrelevant,0.8358,,'451187673693044736',RT @philstockworld: News You Can Use from Philstockworld #HFT #ChileEarthquake $EWJ #Japan #China $SPY $PCG $MNKD $GOOG $FB -- http://t.co/äó_
871686761,false,finalized,3,1/30/2016 16:42:44,other_useful_information,0.665,,'451187674385117185',RT @profesortbaker: #RT I Live In #Chile ä´_ä__http://t.co/rwO2RVPIlväÖƒ #ASMSG #T4US #4FTM #AGA3 #IAN1 #BYNR #ChileEarthquakeAndTsunami #PDF1 htäó_
871686762,false,finalized,3,1/30/2016 16:10:54,other_useful_information,1.0,,'451187674473574400',"#Earthquake #Sismo ML 3.4  OFFSHORE TARAPACA, CHILE: MagnitudeŒæŒæML 3.4RegionŒæŒæOFFSHORE TARAPACA, CHILEDate tim... http://t.co/Mj54epN28N"
871686763,false,finalized,3,1/30/2016 16:28:16,sympathy_and_emotional_support,1.0,,'451187675899240448',"#M5.5  #45km WNW of #Iquique, #Chile #11April2014 12:00:51 UTC #PrayersForPapuaNewGuinea #PrayersForChile #USGS #NOAA http://t.co/QHlTdMDI2V"
871686764,false,finalized,3,1/30/2016 16:10:13,other_useful_information,1.0,,'451187677992214528',RT @NewsBreaker: UPDATE: Earthquake in northern Chile upgraded to magnitude 7.8 -USGS http://t.co/jrX8B5QAGn via @RodrigoEBR http://t.co/BCäó_
871686765,false,finalized,3,1/30/2016 16:12:38,caution_and_advice,1.0,,'451187678386847745',Tsunami Alert Dropped Following Quake Off Northern Chile http://t.co/Utna79VTBE http://t.co/rCWNdEBXJf #peru
871686766,false,finalized,3,1/30/2016 16:28:16,caution_and_advice,1.0,,'451187681817395200',RT @RT_com: Tsunami alert for #Chile will last for at least another 6 hrs following 8.2 quake - officials http://t.co/T4ojvmV4qr http://t.cäó_
871686767,false,finalized,3,1/30/2016 16:11:34,other_useful_information,1.0,,'451187682694406144',RT @MeredithFrost: This incredible animation shows how Chileäó»s tsunami took over the entire Pacific Ocean. Watch: http://t.co/4Smr7abkxg htäó_
871686768,false,finalized,3,1/30/2016 16:12:38,other_useful_information,1.0,,'451187682824433664',MT @HumanityRoad's situation report on the earthquake in #Chile. http://t.co/PiYIBkDNUK |#terremoto
871686769,false,finalized,4,1/30/2016 16:14:51,sympathy_and_emotional_support,0.7513,,'451187684237910017',@selenagomez #PrayForChile #chileneedyou #ChileEarthquake please we need you selena..
871686770,false,finalized,3,1/30/2016 16:11:34,other_useful_information,1.0,,'451187685227765760',"RT @USGSted: Strong earthquake, NEAR COAST OF TARAPACA, CHILE, Apr-7 13:43 UTC, 4 #quake tweets/min,  http://t.co/7gd6dlOuHl"
871686771,false,finalized,6,1/30/2016 16:19:59,sympathy_and_emotional_support,0.6716,,'451187685307068416',RT @kendrick38: #PrayforChile &amp; everyone effected by the 8.2 magnitude earthquake and/or tsunami (&amp; the 300 prisoners who escaped à_£3) à__Fà__F
871686772,false,finalized,5,1/30/2016 16:08:27,sympathy_and_emotional_support,1.0,,'451187686075039744',"Oh no, terrible earthquake last night in Chile. #PrayForChile à__F"
871686773,false,finalized,3,1/30/2016 16:10:13,other_useful_information,0.7059,,'451187687660068864',RT @RT_com: BREAKING: First #tsunami waves reach #Chile coastline after massive aftershock äóñ navy http://t.co/rF6wNaMDgY
871686774,false,finalized,4,1/30/2016 16:16:23,other_useful_information,0.7496,,'451187693494759425',"RT @EarlyStart: We're live in 35 minutes with the latest on the earthquake in #Chile, reports on #MH370 and details of the #MiddleEast peacäó_"
871686775,false,finalized,3,1/30/2016 16:28:16,injured_or_dead_people,1.0,,'451187697910939648',Earthquake in Chile. 8.2 on scale and sets off landslides and tsunami.  5 are confirmed dead. We'll have the latest this morning.
871686776,false,finalized,3,1/30/2016 16:11:34,other_useful_information,0.6579,,'451187697952907264',RT @iankeithtom: I just heard. I have friends in Chile. Tell me you're OK #earthquake
871686777,false,finalized,5,1/30/2016 16:08:27,sympathy_and_emotional_support,0.5965,,'451187698309406720',"RT @TheMindBlowing: An 8.0 magnitude earthquake hit Chile. Tsunami warning issued for Chile, Peru, and Ecuador. Let's pray for them _ô»: httpäó_"
871686778,false,finalized,3,1/30/2016 16:10:13,sympathy_and_emotional_support,1.0,,'451187699374780416',RT @linbea945: Just saw Jype's boys had good performance in Japan M!countdown n we thanks God! Also pray for Chile good recover from earthqäó_
871686779,false,finalized,4,1/30/2016 16:10:14,sympathy_and_emotional_support,0.7872,,'451187700436324352',RT @tiaannn_: #PrayForChile  We're with u #FuerzaChile äì_
871686780,false,finalized,5,1/30/2016 16:08:27,other_useful_information,0.5965,,'451187704454475776',RT @PzFeed: BREAKING: Pacific Tsunami Warning Center puts preliminary magnitude of quake off northern Chile at 7.4
871686781,false,finalized,3,1/30/2016 16:10:13,other_useful_information,1.0,,'451187704928034816',#earthquake: M 3.9 - South-America Chile [Antofagasta] San Pedro de Atacama: Preliminary Earthquake Report:  ... http://t.co/RSB793fi9S
871686782,false,finalized,4,1/30/2016 16:16:23,displaced_people_and_evacuations,0.4991,,'451187705524006912',"RT @USRadioNews: North Chile Magnitude 8.2 Quake Triggers Tsunami, Evacuation (4) -  Northern Chile was shaken by a magnitude 8.2... http:/äó_"
871686783,false,finalized,3,1/30/2016 16:42:44,caution_and_advice,0.6701,,'451187707856027648',"RT @TheTengri: Prayers go out to Chile, NYT, Earthquake Hits Off Coast of North Chile"
871686784,false,finalized,6,1/30/2016 16:19:59,caution_and_advice,0.6567,,'451187709956997120',RT @foxnewsalert: BREAKING NEWS: Tsunami warning after 7.8 aftershock shakes Chile's coast http://t.co/ZCwe3oyzce
871686785,false,finalized,3,1/30/2016 16:42:44,sympathy_and_emotional_support,1.0,,'451187710049652736',"RT @adri9234: My thoughts and prayers go out to those affected by the earthquake in Chile, and those affected by the shooting today..."
871686786,false,finalized,4,1/30/2016 16:10:42,caution_and_advice,0.5208,,'451187710623899648',RT @NewEarthquake: Tsunami Warning (Pacific): TSUNAMI WARNING IN EFFECT FOR CHILE/PERU FOR ALL OTHER AREAS COVERED BY THIS BULLETIN... httpäó_
871686787,false,finalized,5,1/30/2016 16:08:27,sympathy_and_emotional_support,1.0,,'451187710854967296',RT @dwiyantiptr: Stay safe guys! Our prayers go out with you all. #PrayForChile http://t.co/FL3bUWyAV6
871686788,false,finalized,6,1/30/2016 16:19:59,other_useful_information,0.8358,,'451187712008003584',"On a related note, Chile has weathered the earthquake very well. They're very prepared down there. And that was an 8.2. Wow."
871686789,false,finalized,3,1/30/2016 16:42:44,caution_and_advice,1.0,,'451187716151980032',Tsunami alert after 8.2 Chile quake http://t.co/GbPJgEa2SO
871686790,false,finalized,3,1/30/2016 16:42:44,sympathy_and_emotional_support,1.0,,'451187717183795200',"Chile got a 8.2 earthquake , prayers go out to them _ô»ë_ô»"
871686791,false,finalized,4,1/30/2016 16:10:42,other_useful_information,0.5,,'451187717485768705',"Chile earthquake: How loss of life, damage was minimized http://t.co/FanTvt3cFF"
871686792,false,finalized,3,1/30/2016 16:10:54,other_useful_information,0.6757,,'451187718282698752',Photos from Chile's northern coast via @jpwack http://t.co/n1NkYkxE3M #ChileEarthquake
871686793,false,finalized,3,1/30/2016 16:10:54,sympathy_and_emotional_support,0.6757,,'451187719767474176',RT @ChanYeollin: #PRAYFORMH370  #PRayForChile  #PrayForSinabung  #PrayForIndonesia  #PrayForNigeria #PrayForSouthKorea   This _ôïÊ is sad. It äó_
