_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_category,choose_one_category:confidence,choose_one_category_gold,tweet_id,tweet_text
880160885,false,finalized,3,2/11/2016 20:15:22,infrastructure_and_utilities_damage,1.0,,'511423101150953472',RT @TLW3: Hurricane Odile Damages Update: Mexico's Cabo San Lucas &amp; Baja Peninsula 'Demolished': Power... http://t.co/tQ9OrKXOvF #climate #â€¦
880160886,false,finalized,3,2/11/2016 20:04:06,injured_or_dead_people,0.6944,,'511423131605430272',"Coachella, keep it safe, remnants arriving soon MT ""@SRE_mx: No deaths or serious injuries of international tourists. #Odileâ€ @MyDesert"
880160887,false,finalized,3,2/11/2016 19:45:49,infrastructure_and_utilities_damage,0.6579,,'511423166283935744',BBC News - Hurricane Odile damages Mexico's Baja California resorts http://t.co/fr6jbxqfF1
880160888,false,finalized,3,2/11/2016 19:36:19,donation_needs_or_offers_or_volunteering_services,0.7027,,'511423208801984512',LET'S HELP REBUILD BCS DEVASTATED BY HURRICANE ODILE  Hurricane Odile damaged Los Cabos. It left many people with... http://t.co/NP048l9tgk
880160889,false,finalized,3,2/11/2016 19:51:49,infrastructure_and_utilities_damage,0.6579,,'511423209158504448',"""In the wake of Hurricane Odileâ€™s destruction to Mexicoâ€™s Baja Peninsula, Sammy Hagar...made the difficult... http://t.co/HPTadzH9V0"
880160890,false,finalized,3,2/11/2016 20:08:35,displaced_people_and_evacuations,1.0,,'511423217379332096',"#News Residents, Tourists to Shelters as Hurricane Makes Landfall http://t.co/ysWIEIwSXB"
880160891,false,finalized,3,2/11/2016 20:21:24,infrastructure_and_utilities_damage,1.0,,'511423221329969152',RT @discobayca: Any more pics of Playa grande damage? #odile #HurricaneODILE #Cabo #cabosanlucas
880160892,false,finalized,3,2/11/2016 19:51:33,displaced_people_and_evacuations,1.0,,'511423221363507200',"Weakening Odile pushes up Mexico's Baja California: About 30,000 tourists are in temporary shelters. Â Â Â Â Â Â Â Â  http://t.co/cLHOUdGI94 #Kabari"
880160893,false,finalized,3,2/11/2016 19:41:55,infrastructure_and_utilities_damage,0.6667,,'511423241173630976',RT @weatherchannel: #Damage reports are now coming in from Baja Calif. in the wake of #Hurricane #Odile. Live blog: http://t.co/UZZpbKbWeV
880160894,false,finalized,3,2/11/2016 19:39:40,donation_needs_or_offers_or_volunteering_services,0.6286,,'511423316872417280',RT @CourteneyCox: If you can please help the people in Cabo impacted by the hurricane. http://t.co/vw7ptNsdk3
880160895,false,finalized,3,2/11/2016 20:03:03,other_useful_information,0.6571,,'511423349470154752',"A Path of Hurricane Odile's Destruction, Seen Through Instagram http://t.co/XBqealzotE #seo #internetmarketing"
880160896,false,finalized,3,2/11/2016 19:44:28,sympathy_and_emotional_support,1.0,,'511423376682803200',RT @CabosNews: Prayers for my friends in Cabo!  #odile #hurricane #prayers #loscabos  #cabosanlucas #Beach #mexico by ricostravel http://t.â€¦
880160897,false,finalized,3,2/11/2016 19:59:25,infrastructure_and_utilities_damage,0.6389,,'511423422161620992',airport in #cabo - total mess. category 5 hurricane. saying more damage than Katrina. people areâ€¦ http://t.co/dyxbiXNsaA
880160898,false,finalized,3,2/11/2016 19:58:40,caution_and_advice,0.6486,,'511423426318180353',"RT @RedCross: To check on loved ones in #Baja impacted by #Odile, contact State Departmentâ€™s Overseas Citizen Services at 1-888-407-4747"
880160899,false,finalized,3,2/11/2016 20:47:07,caution_and_advice,1.0,,'511423445830496256',Hurricane Odile: Travel advice for Canadians http://t.co/sXooj0ViUR
880160900,false,finalized,3,2/11/2016 20:08:35,displaced_people_and_evacuations,1.0,,'511423478554435584',"FollowMe-&gt; #Wascarx7 Residents, Tourists Sent to Shelters as Hurricane Odile Makes Landfa... http://t.co/M2NUQisAew FollowMe-&gt; #Wascarx7"
880160901,false,finalized,3,2/11/2016 21:07:15,donation_needs_or_offers_or_volunteering_services,1.0,,'511423491883933696',RT @HyattDFWAirport: Help us Raise funds 4 those affected by Hurricane Odile. https://t.co/3gEXY92gCK
880160902,false,finalized,3,2/11/2016 19:52:06,donation_needs_or_offers_or_volunteering_services,1.0,,'511423528307265536',Disaster Relief from Hurricane Odile Los Cabos and How You Can Help http://t.co/QikOIYtTBL via @@themexicoreport
880160903,false,finalized,3,2/11/2016 19:44:36,infrastructure_and_utilities_damage,0.6857,,'511423528734691328',RT @CabosNews: Destruction. #hurricaneodile #cabo #loscabos #cabosanlucas #odile #odileaftermath #mexico #hurricane #prayforcabo... http://â€¦
880160904,false,finalized,3,2/11/2016 19:43:26,infrastructure_and_utilities_damage,0.6944,,'511423563845206016',Really hoping the damage in #loscabos from #odile didn't destroy this place on #CostaAzul.  Anyone in the area ha... http://t.co/ptdVBm7t7R
880160905,false,finalized,3,2/11/2016 19:59:22,infrastructure_and_utilities_damage,1.0,,'511423573659893760',"damage at Cabo San Lucas, Hurricane #Odile - photos courtesy of @Aldolr  http://t.co/25nPUE54bgâ€WOW! Just got married there!!"
880160906,false,finalized,3,2/11/2016 20:30:10,donation_needs_or_offers_or_volunteering_services,0.6579,,'511423622288646144',"RT @stuntbrain: If Mexico asks for hurricane Odile clean-up help, I think we should demand a Marine's release first.  #FreeOurMarine @Monteâ€¦"
