_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_category,choose_one_category:confidence,choose_one_category_gold,tweet_id,tweet_text
874983955,false,finalized,3,2/4/2016 13:10:28,injured_or_dead_people,1.0,,'498497663609085955',"RT @timesofindia: Nepal flood toll hits 101, fears of disease rise http://t.co/sgobu7cYpv http://t.co/yj9dao3ssS"
874983956,false,finalized,3,2/4/2016 11:31:02,injured_or_dead_people,1.0,,'498497681036025856',"Deadly monsoon hits India, Nepal: Dozens of people have been killed in flooding in northern and eastern India,... http://t.co/ZD6a96HdzL"
874983957,false,finalized,3,2/4/2016 12:04:08,injured_or_dead_people,1.0,,'498497696949235712',Many dead in Nepal and India floods: At least 160 people are reported to have been killed in floods and landsl... http://t.co/tnQ9cSiO2c
874983958,false,finalized,3,2/4/2016 11:48:45,injured_or_dead_people,1.0,,'498497699659137024',"RT @ndtv: Flood fury in North India: dozens killed, lakhs affected http://t.co/qKpL8sYnUV"
874983959,false,finalized,3,2/4/2016 13:37:12,injured_or_dead_people,1.0,,'498497714183626754',"Flood Fury in North India: Dozens Killed, Lakhs Affected Read Story: http://t.co/gASE5SMgJ6"
874983960,false,finalized,3,2/4/2016 14:24:42,not_related_or_irrelevant,0.6452,,'498497723600211968',RT @newsflicks: Indian fakes flood the world. Medicines the most faked product. Full story in Poliflicks here http://t.co/6ktEqkm1Dg http:/‰Û_
874983961,false,finalized,3,2/4/2016 14:28:58,injured_or_dead_people,1.0,,'498497744609488896',"Monsoon kills hundreds in India, Nepal: Dozens of people have been killed in flooding in northern and eastern ... http://t.co/uvRySsItEJ"
874983962,false,finalized,3,2/4/2016 14:11:09,injured_or_dead_people,1.0,,'498497752012451840',"Landslides, Flooding Kill 109 In Nepal, Northern India: The death toll from landslides and flooding triggered ... http://t.co/1OcSr2xG4S"
874983963,false,finalized,3,2/4/2016 13:17:55,injured_or_dead_people,1.0,,'498497752574472192',"Latest : Uttar Pradesh floods: 28 killed, 1500 villages affected - Livemint: The HinduUttar Prades... http://t.co/WWKhuZdciz #IndianNews"
874983964,false,finalized,3,2/4/2016 13:50:54,injured_or_dead_people,1.0,,'498497760543653889',"#News: Monsoon floods in Nepal and India cause 180 deaths, maroon villages, sweep away straw huts: Authori... http://t.co/FQ8TrCxjRi #TU"
874983965,false,finalized,3,2/4/2016 11:29:11,injured_or_dead_people,1.0,,'498497771310448640',"""Scores Killed in Flooding in Nepal and India"" by BHADRA SHARMA and NIDA NAJAR via NYT The New York Times http://t.co/DWOhWxrtw0"
874983966,false,finalized,3,2/4/2016 14:54:39,injured_or_dead_people,1.0,,'498497771918614528',Many dead in Nepal and India floods http://t.co/R4C6ORZg68
874983967,false,finalized,3,2/4/2016 14:54:39,injured_or_dead_people,1.0,,'498497779606781952',"Latest : UP floods kill 28, Centre calls it 'unprecedented' - Times of India: Indian ExpressUP flo... http://t.co/gi1ZOkDlzJ #IndianNews"
874983968,false,finalized,3,2/4/2016 11:28:01,injured_or_dead_people,1.0,,'498497788519657472',"(#LosDelSonido) 180 Dead as Floods Wash Away Homes in Nepal, India: Monsoon floods in Nepal and India cause 180 deaths,...  (#IvanBerroa)"
874983969,false,finalized,3,2/4/2016 11:53:33,injured_or_dead_people,1.0,,'498497807645290498',"Nepal, India floods kill nearly 200 http://t.co/RIun2hEruj #civil_vision"
874983970,false,finalized,3,2/4/2016 12:35:39,injured_or_dead_people,1.0,,'498497811575369728',"RT @infonaija: Landslides, Flooding Kill 109 In Nepal, Northern India - The death toll from landslides and flooding triggered by ... http:/‰Û_"
874983971,false,finalized,3,2/4/2016 11:37:02,other_useful_information,0.6667,,'498497823802159104',RT @yourafiq: #Indian forest rangers ride on an elephant as they patrol in the flood affected Pobitora Wildlife Sanctuary #Guwahati http://‰Û_
874983972,false,finalized,3,2/4/2016 13:06:07,injured_or_dead_people,0.6452,,'498497825807015937',"RT @timesofindia: Flood situation in Assam grim, toll rises to 3 http://t.co/b2dfOiBWEt‰Û_"
874983973,false,finalized,3,2/4/2016 14:33:54,injured_or_dead_people,1.0,,'498497828906213377',"Flood Fury in North India: Dozens Killed, Lakhs Affected"
874983974,false,finalized,3,2/4/2016 13:06:07,other_useful_information,0.6774,,'498497830991179777',http://t.co/Jh9RReRXgf Flood like situation in Jaipur's sub-urb @INSubcontinent #INSubcontinent #India http://t.co/g8a2bcCPqV
874983975,false,finalized,3,2/4/2016 12:06:00,injured_or_dead_people,1.0,,'498497845067259905',"UP floods kill 28, Centre calls it 'unprecedented' - Times of India http://t.co/rnZ09Yl7ip"
874983976,false,finalized,3,2/4/2016 12:32:23,other_useful_information,0.375,,'498497845880963072',"RT @reliefweb: Latest @OCHAAsiaPac #humanitarian snapshot: #floods in #Nepal, India &amp; #Laos; volcano in #PNG: http://t.co/quAdOKetB0 http:/‰Û_"
874983977,false,finalized,3,2/4/2016 13:02:52,injured_or_dead_people,0.6774,,'498497848196218880',"Nepal flood toll hits 101, fears of disease rise. ... - http://t.co/2OLRK5uJvd #NewsInTweetsIndia"
874983978,false,finalized,3,2/4/2016 12:49:15,injured_or_dead_people,1.0,,'498497852796973056',"#SuryaRay @Akansha_Gautam Flood Fury in North India: Dozens Killed, Lakhs Affected http://t.co/KheGlBfGOd #India #Indian @SuryaRay"
874983979,false,finalized,3,2/4/2016 14:30:23,injured_or_dead_people,1.0,,'498497854626078722',Many dead in Nepal and India floods: At least 160 people are reported to have been killed i... http://t.co/KtGQV1ZmkR via @DudleyFreedom
