_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_category,choose_one_category:confidence,choose_one_category_gold,tweet_id,tweet_text
876935612,false,finalized,3,2/7/2016 16:23:33,injured_or_dead_people,1.0,,'508332154271461376',"RT @Endtimesnews: Raging Floods Kill Over 440 in Pakistan, India - ABC News http://t.co/mhEu6gpg1U via @ABC"
876935613,false,finalized,3,2/7/2016 17:44:28,donation_needs_or_offers_or_volunteering_services,1.0,,'508332173532073985',RT @Joydas: Please use Kashmir Flood hashtag only if u need help or offering help so that agencies can track. Keep it free from ur politicaâ€¦
876935614,false,finalized,3,2/7/2016 11:03:15,other_useful_information,0.6667,,'508332177608568832',Jammu and Kashmir Floods: Yasin Malik Creates Hurdles In Indian Armyâ€™s Relief â€¦ â€“ http://t.co/18xkPUmKaeÂ #TopNews http://t.co/1ky91jbIT4
876935615,false,finalized,3,2/7/2016 11:15:55,injured_or_dead_people,1.0,,'508332184613027840',"Pakistan Flood Sinks Boat Carrying Wedding Party: Boat carrying wedding party sinks in Pakistan flood, killing 18 http://t.co/3iA8InjT3p"
876935616,false,finalized,3,2/7/2016 10:58:12,donation_needs_or_offers_or_volunteering_services,0.6471,,'508332187448401920',RT @KlasraRauf: Pungovt claims CMSS took 9 helicopter flights2South Punjab in1day to monitor floods Oh I got it.Floods got frightened&amp;now eâ€¦
876935617,false,finalized,3,2/7/2016 11:15:55,donation_needs_or_offers_or_volunteering_services,0.697,,'508332198714294272',RT @timesofindia: J&amp;K floods: Helpline numbers http://t.co/OG4GWlqMgs Do RT.  #KashmirFloods http://t.co/eOq4oJrFE5
876935618,false,finalized,3,2/7/2016 15:19:51,caution_and_advice,0.3648,,'508332211821490176',"RT @ahsan_jehangir: Heavy rainfall and floods #India #PakistanFloods, leading to some of the worst flooding in decades. http://t.co/CO2sY6Mâ€¦"
876935619,false,finalized,3,2/7/2016 10:56:21,other_useful_information,1.0,,'508332237591293952',RT @abpnewstv: Hafiz Saeed blames 'water terrorism' by India for Kashmir floods http://t.co/IBcQaAEvlG
876935620,false,finalized,3,2/7/2016 11:35:56,donation_needs_or_offers_or_volunteering_services,0.3529,,'508332247867355136',United Nations Authority: Flood Rescue Operations In Kashmir (India) http://t.co/CQT4JPvYjV
876935621,false,finalized,3,2/7/2016 16:11:51,sympathy_and_emotional_support,0.3333,,'508332247900901376',flood affected people of jammu and kashmir and relatives of those people can use this http://t.co/cSELRTXTlV
876935622,false,finalized,3,2/7/2016 12:46:47,injured_or_dead_people,1.0,,'508332262317113345',"They are not organized like Kashmir. 28 dead in landslides, floods in northeast India  http://t.co/QcfmZA7Slb"
876935623,false,finalized,3,2/7/2016 11:11:36,donation_needs_or_offers_or_volunteering_services,0.7059,,'508332271381008384',"RT @doctoratlarge: Meanwhile, Aamir Khan is so pained by Kashmir floods that he will dedicate an entire SMJ episode on it and earn another â€¦"
876935624,false,finalized,3,2/7/2016 12:27:36,donation_needs_or_offers_or_volunteering_services,1.0,,'508332273280622592',RT @ArvindKejriwal: All AAP MLAs to donate Rs 20 lakh each for Kashmir flood relief from their MLA funds.
876935625,false,finalized,3,2/7/2016 15:44:35,sympathy_and_emotional_support,0.6774,,'508332276032487426',Embrace of Social Media Aids Flood Victims in Kashmir http://t.co/tuTlhgevqo
876935626,false,finalized,3,2/7/2016 13:01:36,donation_needs_or_offers_or_volunteering_services,1.0,,'508332287524499456',"Hey, I've just donated Rs. 10 for Kashmir Flood Relief through @hikeapp #Hike4Kashmir"
876935627,false,finalized,3,2/7/2016 11:50:48,donation_needs_or_offers_or_volunteering_services,1.0,,'508332291190689792',RT @OfficialMqm: #MQM charity wing #KKF #Lahore have setup flood relief camps in all over #Punjab http://t.co/CaHi83jUyN
876935628,false,finalized,3,2/7/2016 15:24:19,caution_and_advice,0.3548,,'508332314561376256',RT @OfficialMqm: Altaf Hussain: I urge the current Government of Pakistan to do something for the flood victims. #AltafHussainDay #Pakistanâ€¦
876935629,false,finalized,3,2/7/2016 12:07:00,other_useful_information,1.0,,'508332328004091904',VIDEO: Anger at Pakistan floods response http://t.co/AVohbgmnLh
876935630,false,finalized,3,2/7/2016 14:54:50,injured_or_dead_people,0.6535,,'508332338988601344',RT @JamilaHanan: Bodies floating in streets whilst #India scales back operations due to a few stones!!! #KashmirFloods http://t.co/zR1X7FDKâ€¦
876935631,false,finalized,3,2/7/2016 15:19:51,other_useful_information,0.6633,,'508332340817719296',"Kashmir Floods: Officials Provided With Satellite Phones, Communication Sets http://t.co/dyJkKj0sSo"
876935632,false,finalized,3,2/7/2016 11:21:27,injured_or_dead_people,1.0,,'508332342176677888',(#Yeremiito21) Flood Waters Submerge Parts of Kashmir; 120 Dead: Flood waters submerge large sw... http://t.co/YauG2D1rT3 (#Yeremiito21)
876935633,false,finalized,3,2/7/2016 12:20:23,injured_or_dead_people,1.0,,'508332342717325312',"Monsoon Floods Kill Nearly 300 In India, Pakistan http://t.co/lgoVlsBD4i"
876935634,false,finalized,3,2/7/2016 16:50:30,injured_or_dead_people,1.0,,'508332350187397120',Floods kill hundreds in Pakistan and Kashmir http://t.co/OhN9jAG5EX [Sale http://t.co/pAwiBsEQ5m ] #news
876935635,false,finalized,3,2/7/2016 13:05:33,other_useful_information,1.0,,'508332364867829760',RT @IndiaToday: In pics: Kashmir faces worst flooding in more than five decades http://t.co/aozBEueAei http://t.co/Ysu1g2E1E5
876935636,false,finalized,3,2/7/2016 15:04:08,other_useful_information,0.3333,,'508332370202591232',"RT @RanaAyyub: "" Aren't you f***ing grateful for the help â€” that is how it sounds."" writes @basharat_peer on the #KashmirFloods http://t.coâ€¦"
876935637,false,finalized,3,2/7/2016 11:45:46,sympathy_and_emotional_support,0.6667,,'508332371192467456',kashmir floods on a news channel..i think i hv tears in my eyes
876935638,false,finalized,3,2/7/2016 14:16:27,sympathy_and_emotional_support,0.3395,,'508332372027125760',RT @htTweets: #Watch | Nation stands by Jammu and Kashmir flood victims: #Modi http://t.co/SEzA0fdPaK http://t.co/r9gD3aFLtf
876935639,false,finalized,3,2/7/2016 13:30:43,missing_trapped_or_found_people,1.0,,'508332372069064704',Floods trap thousands in Pakistan http://t.co/9kAZkEcdl9
876935640,false,finalized,3,2/7/2016 15:36:07,other_useful_information,0.6471,,'508332375772647424',Kashmir Floods: PM Modi Holds Emergency Meeting as Lakhs Still Await Help: With more than five lakh people sti... http://t.co/2zMSBlWx7R
876935641,false,finalized,3,2/7/2016 15:49:57,other_useful_information,0.7059,,'508332384572694528',RT @KlasraRauf: 48 MNA&amp;100 MPAs come 4m South Punjab but not a MP spoke about massive miseries of poor trapped in flood.They have sold theiâ€¦
876935642,false,finalized,3,2/7/2016 14:52:09,missing_trapped_or_found_people,0.6875,,'508332396911923202',Kashmir floods: Stranded Andhra students brought to Delhi: The NIT Srinagar is situated nearâ€¦ http://t.co/3temloPmxB
876935643,false,finalized,3,2/7/2016 13:41:43,other_useful_information,0.6875,,'508332409847549953',RT @Shaistajafri: Devastation caused by #floods should also serve as a reminder to #Pakistan to have a functional #Local #Government #Systeâ€¦
876935644,false,finalized,3,2/7/2016 11:45:46,infrastructure_and_utilities_damage,0.6667,,'508332410631487488',VIDEO: Kashmir valley 'submerged after floods' http://t.co/WjqQKulnBo
876935645,false,finalized,3,2/7/2016 11:28:10,donation_needs_or_offers_or_volunteering_services,1.0,,'508332411315167232',"RT @tterIndia: Dear @rupasubramanya PM Modi gave 1000 cr to Kashmir flood, was that public money or Jasodaben fixed depost :-) http://t.co/â€¦"
876935646,false,finalized,3,2/7/2016 12:35:18,other_useful_information,0.6471,,'508332422765613056',"RT @scroll_in: By harping on army's role in #Kashmir floods, media is trying to whitewash decades of abuse http://t.co/EH1xzp86pJ"
