_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_category,choose_one_category:confidence,choose_one_category_gold,tweet_id,tweet_text
872563518,false,finalized,3,2/2/2016 20:41:26,other_useful_information,1.0,,'540003786811793408',NASA sees Hagupit weaken to a depression enroute to Vietnam http://t.co/POiopaevso
872563519,false,finalized,3,2/2/2016 19:24:50,not_related_or_irrelevant,0.3438,,'540003796986773504',"RT @ANCALERTS: Caloocan suspends classes in all levels (public &amp; private) for Dec. 9, Tuesday #walangpasok | via @DZMMTeleRadyo"
872563520,false,finalized,3,2/2/2016 20:43:41,not_related_or_irrelevant,1.0,,'540003797351665664',TT WorldWide 05:17 1.#NEvsSD 2.#EatenAlive 3.#MasterChefMenudeReyes 4.#OTRATIsCanceled 5.#RubyPH 6.Akeem Ayers 8.Jonathan Becerra 9.Weddle
872563521,false,finalized,3,2/2/2016 20:49:07,caution_and_advice,0.6471,,'540003870131232769',RT @annecurtissmith: Watching the news. Keep safe tonight everyone! If you know you're in a heightened alert area take necessary safety preâ€¦
872563522,false,finalized,3,2/2/2016 19:05:16,not_related_or_irrelevant,0.6571,,'540003980076527619',Google inbox invite http://t.co/R3VC6pjOUA http://t.co/zJ5QWhiVEI WEBSITE   #WORDPRESS  #NEvsSD #AskTroye #RubyPH #OnToMiami
872563523,false,finalized,3,2/2/2016 20:35:01,caution_and_advice,1.0,,'540004058732306432',"RT @OCHAAsiaPac: #Hagupit slowed down to 15 km/h, giving it more time for heavy rainfall and potential wind gust up to 200 km/h http://t.coâ€¦"
872563524,false,finalized,3,2/2/2016 19:40:21,other_useful_information,1.0,,'540004133265104897',"Manila suspends classes in ALL LEVELS tom, Dec. 8, 2014. #RubyPH #walangpasok"
872563525,false,finalized,3,2/2/2016 19:59:56,caution_and_advice,0.6667,,'540004223786565632',"RT @PhilippineStar: UPDATE: The following provinces are now placed under the list of ""critical areas"" due to Typhoon #RubyPH (#Hagupit) httâ€¦"
872563526,false,finalized,3,2/2/2016 20:07:20,injured_or_dead_people,1.0,,'540004231344693248',Four Killed As Typhoon Slams Into Philippines http://t.co/HNQAosCVdx
872563527,false,finalized,3,2/2/2016 20:29:12,sympathy_and_emotional_support,1.0,,'540004277863731200',RT @langleav: My first Manila poem &lt;3 Thinking of all my friends in the Philippines. Stay safe and take care xo  #rubyph #prayforPH http://â€¦
872563528,false,finalized,3,2/2/2016 20:43:11,sympathy_and_emotional_support,1.0,,'540004346339938304',"RT @WorldVisionPH: As we rest tonight, remember to #pray for those who have been affected by #RubyPH esp. the vulnerable children, familiesâ€¦"
872563529,false,finalized,3,2/3/2016 12:10:51,not_related_or_irrelevant,0.3333,,'540004375112843264',The children need us again. http://t.co/maExo3Wwq3 http://t.co/jrTuWH5Ji3 via @operationsafe #typhoon #RubyPH âŠ•http://t.co/qC08VfftA8
872563530,false,finalized,3,2/2/2016 20:28:06,sympathy_and_emotional_support,1.0,,'540004410894454784',"""@AngPoetNyo: HOLLAND---Hope Our Lash (hagupit) Leaves Arriving Nippon Directly ! Ngek ! JAPAN---Just Always Pray And Newsread (na lang)!"""
872563531,false,finalized,3,2/2/2016 19:28:30,caution_and_advice,0.6535,,'540004462031421440',RT @ABSCBNChannel2: #Hagupit approaches the Philippines!! She's almost here.. #Pray http://t.co/wUrAFIPiwc
872563532,false,finalized,3,2/2/2016 19:20:26,caution_and_advice,0.6772,,'540004462933204992',"RT @PanahonTV: According to PAGASA, Typhoon #RubyPH expected third landfall is on Sibuyan Island between 2-4 AM tomorrow."
872563533,false,finalized,3,2/2/2016 19:36:28,not_related_or_irrelevant,0.6563,,'540004464841986048',RT @KuyaEdu: ANNOUNCEMENT FROM PAGASA: SUPER TYPHOON #RubyPH WILL BE AS STRONG AS MY FEELINGS FOR U. KINGINA MO YOU ARE ADVISED TO FEEL THEâ€¦
872563534,false,finalized,3,2/2/2016 19:02:35,other_useful_information,0.3438,,'540004504733622274',"Devastation in The Philippines, but You Can Help a Family Rebuild at Christmas. http://t.co/WQ0dZ0yHx6 #vr4smallbiz"
872563535,false,finalized,3,2/2/2016 20:09:24,sympathy_and_emotional_support,1.0,,'540004523452792833',@xiuminout sorry to hear that á½¤Fá½¤Fá½¤F pray for Philippines!!! I wish people there are safe n that typhoon is gone sooná½¤Fá½¤Fá½¤F
872563536,false,finalized,3,2/2/2016 20:37:22,injured_or_dead_people,1.0,,'540004553832529920',"Philippine capital braces for storm, as Hagupit leaves 27 dead: Source: http://t.co/WwlS6QH4TEâ€¦ http://t.co/4lKoZiN1xb"
872563537,false,finalized,3,2/2/2016 19:14:48,caution_and_advice,0.697,,'540004569430757376',"RT @COSMIC_FP7: With a typhoon approaching, people in the Philippines are taking to social media to share vital information: http://t.co/PVâ€¦"
872563538,false,finalized,3,2/3/2016 07:35:19,other_useful_information,0.3824,,'540004575227301889',"As always, thank you world for watchin' over us. #Hagupit"
872563539,false,finalized,3,2/2/2016 20:40:16,other_useful_information,0.6667,,'540004650737364992',"RT @News5AKSYON: #WalangPasok | TAGUIG: Classes in ALL LEVELS are suspended tomorrow, 09 December 2014 #RubyPH"
872563540,false,finalized,3,2/2/2016 19:26:24,displaced_people_and_evacuations,1.0,,'540004725748273152',Typhoon Hagupit: Philippines rushes aid to thousands displaced by storm - ABC Online http://t.co/1b0rcufz23 #Typhoon
872563541,false,finalized,3,2/2/2016 19:26:24,other_useful_information,0.3438,,'540004783491276800',RT @PhilippineStar: Members of the Phl Air Force assisted in the repacking of #ReliefPH goods at the DSWD NROC yesterday | @govph #RubyPH hâ€¦
872563542,false,finalized,3,2/2/2016 19:01:01,injured_or_dead_people,1.0,,'540004817322536960',RT @Tearfund: #Hagupit is due to hit the Filipino capital today. Twenty one people have been killed and 1million affected so far. Please coâ€¦
872563543,false,finalized,3,2/2/2016 20:24:47,caution_and_advice,0.6471,,'540004869331881984',RT @28storms: ECMWF tracks Super Typhoon #Hagupit almost directly over areas ravaged by #Haiyan. Other models farther north http://t.co/WYSâ€¦
872563544,false,finalized,3,2/2/2016 19:19:08,caution_and_advice,1.0,,'540004905558085633',"RT @ANCALERTS: PAGASA 5pm: ORANGE rainfall warning - Eastern Visayas. Expect floods in low-lying areas, landslides in mountainous areas. #Râ€¦"
872563545,false,finalized,3,2/2/2016 20:41:26,other_useful_information,1.0,,'540005035254370305',"RT @primoabaya: ""@9newsph: Batangas City: Classes in all levels suspended on Tuesday, Dec. 9 #walangpasok #RubyPH"""
872563546,false,finalized,3,2/2/2016 20:40:28,sympathy_and_emotional_support,1.0,,'540005053122093056',RT @CNNImpact: Our thoughts are with those bracing for #TyphoonHagupit . For the latest news on #Hagupit and it's path - http://t.co/OUFsNqâ€¦
872563547,false,finalized,3,2/2/2016 19:59:56,other_useful_information,0.6667,,'540005067311439872',"â€œ@DepEd_PH: CITY OF MANILA | #walangpasok Classes in ALL LEVELS are suspended tomorrow, Dec. 9, 2014 | via @iskomorenoâ€"
872563548,false,finalized,3,2/2/2016 20:40:16,infrastructure_and_utilities_damage,1.0,,'540005086559473666',RT @BBCWorld: #Hagupit hits homes flattened by #Haiyan - Video http://t.co/jbaGGSJEZq http://t.co/qPNyAKvHop
872563549,false,finalized,3,2/2/2016 19:59:46,other_useful_information,1.0,,'540005106456879104',Valte: The bunkhouses were designed to withstand typhoons w/ 150kph but #RubyPH was stronger | @nikkodizon
872563550,false,finalized,3,2/2/2016 20:04:02,not_related_or_irrelevant,0.6857,,'540005142876000256',Black&amp;White be like  #RubyPh http://t.co/Z7dhQBKmhj
872563551,false,finalized,3,2/2/2016 20:07:20,sympathy_and_emotional_support,1.0,,'540005154871717890',#RubyPH Stay Safe!! Don't forget to pray.
872563552,false,finalized,3,2/2/2016 19:51:56,other_useful_information,0.697,,'540005182294073344',Philippine forecasters say Typhoon Hagupit has slammed into eastern coast with ferocious winds http://t.co/xz9L0OVG9O
872563553,false,finalized,3,2/2/2016 20:38:42,not_related_or_irrelevant,0.3529,,'540005184252829696',RT @uno_is_me: fyi (photo from @govph) #RubyPH http://t.co/2PqGEkv7iU
872563554,false,finalized,3,2/2/2016 19:39:17,not_related_or_irrelevant,1.0,,'540005223339528192',RT @hamishNews: The prize for journalism innovation during #TyphoonHagupit - journalist protecting iPhone using pink ribbed condom http://tâ€¦
872563555,false,finalized,3,2/2/2016 19:33:59,caution_and_advice,0.697,,'540005290088103936',"RT @VanDamCNN: As #RubyPH slows down, excessive rainfall is major concern. #Manila could receive 340mm of rain in 48 hrs. @cnnbrk http://t.â€¦"
872563556,false,finalized,3,2/2/2016 19:39:14,caution_and_advice,0.7059,,'540005291484397568',RT @inquirerdotnet: FAST FACTS: Typhoon #RubyPH grows stronger http://t.co/ZSExK0t9Kx
872563557,false,finalized,3,2/2/2016 19:40:21,caution_and_advice,0.6389,,'540005329137053696',"FLIGHT ADVISORY: Due to super typhoon #RUBY (international name: #HAGUPIT), some flights have been cancelled.... http://t.co/NFCtx2fJAP"
872563558,false,finalized,3,2/2/2016 19:19:08,injured_or_dead_people,1.0,,'540005399227666432',"[News5] At least 27 dead, says Red Cross, as Hagupit weakens into a tropical depression http://t.co/a67WDZyDrH"
872563559,false,finalized,3,2/2/2016 20:00:47,caution_and_advice,0.625,,'540005464767877120',Please be guided. Keep safe everyone! #RubyPH http://t.co/GYqQR16CFw
872563560,false,finalized,3,2/2/2016 20:07:20,caution_and_advice,0.6364,,'540005538948337666',"""@DepEd_PH: Please be prepared and take precautionary measures. Stay safe, everyone! #RubyPH http://t.co/xXfFgEeLhQ"""
872563561,false,finalized,3,2/2/2016 20:40:16,caution_and_advice,0.6571,,'540005564948836352',"RT @dzbb: As of 2:57PM: Rough sea and moderate-strong winds in Almeria, Biliran http://t.co/2AsMCZg5Oh | @biliranisland #RubyPH http://t.coâ€¦"
872563562,false,finalized,3,2/2/2016 19:55:58,other_useful_information,1.0,,'540005581373710336',RT @flyPAL: Typhoon #RubyPH: Flight Bulletin 5 as of 10:00 AM  / Dec. 7. Details here: http://t.co/Lvy3tZNl3U
872563563,false,finalized,3,2/2/2016 21:06:06,not_related_or_irrelevant,0.3333,,'540005626383192064',"RT @OFFICCIALMUNTI: MUNTINLUPA | No classes tom. December 5, 2014 ALL LEVELS (private and public schools) due to jejemons out of control. #â€¦"
872563564,false,finalized,3,2/2/2016 20:28:27,displaced_people_and_evacuations,1.0,,'540005627204874240',Massive evacuation as Typhoon Hagupit nears Philippines http://t.co/BT5eR3w7YK
872563565,false,finalized,3,2/3/2016 10:04:19,other_useful_information,0.6774,,'540005633072705536',"RT @RescuePH: Metro Manila will experience the effect of #RubyPH once it approaches the landmass of Mindoro.  /via @JesyBasco, @PTVph"
872563566,false,finalized,3,2/2/2016 19:14:49,sympathy_and_emotional_support,0.6774,,'540005679202066432',Keep safe everyone !!God Bless us ..#RubyPh
872563567,false,finalized,3,2/2/2016 20:08:36,caution_and_advice,0.6277,,'540005717004910592',"RT @govph: #walangpasok â€¢ BULACAN PROVINCE: Classes in ALL LEVELS are suspended tomorrow, December 8, 2014. #RubyPH | via @PDRRMCBulacan"
872563568,false,finalized,3,2/2/2016 19:39:17,other_useful_information,0.6875,,'540005742942490624',"RT @ukgdos: #WalangPasok Dec. 5, 2014  ALL LEVELS Northern Samar  Cebu Province  Cebu City  Talisay City  Mandaue City  Camarines Sur  Negrâ€¦"
872563569,false,finalized,3,2/2/2016 19:55:55,sympathy_and_emotional_support,1.0,,'540005758276882433',just pray and everything will be ok. #RubyPH
872563570,false,finalized,3,2/2/2016 19:00:13,not_related_or_irrelevant,0.6563,,'540005780372467712',@thinkprogress I guess this is the first time the Philippines has ever been hit by a typhoon. Damned suv's!
872563571,false,finalized,3,2/2/2016 20:38:42,not_related_or_irrelevant,0.6471,,'540005784587735040',Take care everyone! God bless.  #RubyPH
872563572,false,finalized,3,2/2/2016 19:41:35,sympathy_and_emotional_support,0.375,,'540005825754832896',Sad at what is happening in the philippines...seems to have a typhoon every year..
872563573,false,finalized,3,2/2/2016 19:01:01,other_useful_information,0.7143,,'540005858877669376',RT @IndraPetersons: Philippines are bracing for Typhoon #Hagupit to make landfall on Saturday.  http://t.co/TRGHYM48yI http://t.co/re1YxwoJâ€¦
872563574,false,finalized,3,2/2/2016 19:19:08,other_useful_information,0.6875,,'540005917535010817',RT @CycloneAdvice: Click http://t.co/JNaKxAuUfZ: *PHILIPPINES: VIOLENT SUPER TYPHOON #Hagupit/ #RubyPH(285+kph)...http://t.co/c5HOpiWFfO htâ€¦
872563575,false,finalized,3,2/2/2016 20:29:12,displaced_people_and_evacuations,1.0,,'540005956218679296',Typhoon Hagupit evacuation steps up http://t.co/BvEKC2xtrk
872563576,false,finalized,3,2/2/2016 20:40:16,displaced_people_and_evacuations,1.0,,'540006015073144832',Typhoon Hagupit: aid effort praised as one million flee to safety in Philippines: Woman gives birth in an evac..... http://t.co/ZlSdV1jNOK
872563577,false,finalized,3,2/2/2016 19:55:08,donation_needs_or_offers_or_volunteering_services,0.6829,,'540006047868780544',@UNDevelopPolicy:UN relief agencies prepare emergency resp.as #typhoon approaches #Philippines:http://t.co/jHQhiqsU1m http://t.co/tRIljxZr7H
872563578,false,finalized,3,2/2/2016 19:55:55,not_related_or_irrelevant,0.6667,,'540006105762385920',RT @lalai_oh: Thanks! #RubyPH http://t.co/kBZaGizdMP
872563579,false,finalized,3,2/2/2016 20:24:47,sympathy_and_emotional_support,1.0,,'540006125479804928',"RT @itsalienski: ""Holy name of Jesus, protect and save us."" #RubyPH"
872563580,false,finalized,3,2/2/2016 19:40:04,sympathy_and_emotional_support,1.0,,'540006132572372993',RT @ninadobrev: Thinking of people in the #Philippines as #TyphoonHagupit approaches.As it nears @DirectRelief has staff + medical aâ€¦ http:â€¦
872563581,false,finalized,3,2/2/2016 19:14:49,sympathy_and_emotional_support,0.6774,,'540006139313016832',RT @theOFDA: Our thoughts are w/ the people of the #Philippines as they brace for #Hagupit/#RubyPH &amp; our team is on the ground to monitor tâ€¦
872563582,false,finalized,3,2/2/2016 19:59:47,other_useful_information,1.0,,'540006145457684481',"RT @ANCALERTS: Quezon City &amp; Las PiÃ±as suspend classes in ALL LEVELS tom, Dec. 8, 2014. #RubyPH #walangpasok"
872563583,false,finalized,3,2/2/2016 18:59:44,not_related_or_irrelevant,0.6563,,'540006146749517824',"Can someone tell me, all this was a dream.. :( #RubyPH #Hagupit"
872563584,false,finalized,3,2/2/2016 19:05:16,displaced_people_and_evacuations,1.0,,'540006162721038336',"RT @htTweets: #TyphoonHagupit: In one of world's biggest peacetime evacuations, 600,000 flee the Philippines http://t.co/zUPEDfq0aH http://â€¦"
872563585,false,finalized,3,2/2/2016 19:29:14,infrastructure_and_utilities_damage,0.6875,,'540006180991406081',RT @PlanPhilippines: Plan co-leads working groups for accountability &amp; communication with affected communities in Region 8 in preparation fâ€¦
872563586,false,finalized,3,2/2/2016 20:35:11,other_useful_information,0.6471,,'540006208472883200',"RT @DepEd_PH: LIPA CITY | #walangpasok Classes in ALL LEVELS are suspended tomorrow, Dec. 5, 2014 (Mayor Meynard Sabili) http://t.co/b6hK1iâ€¦"
872563587,false,finalized,3,2/2/2016 19:36:32,infrastructure_and_utilities_damage,0.6765,,'540006240638619648',Hagupit Ravages Philippines | Watch: http://t.co/U2hNgBKSKT
