_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_one_category,choose_one_category:confidence,choose_one_category_gold,tweet_id,tweet_text
871980227,false,finalized,3,1/31/2016 20:49:12,other_useful_information,1.0,,'575735721744449536',Cyclone Pam hits New Zealand - dominion-post | http://t.co/cT7mCvgcwX - http://t.co/HyvLlOndsZ http://t.co/okKedXJaub
871980228,false,finalized,3,1/31/2016 21:43:52,infrastructure_and_utilities_damage,0.6667,,'575736033058406400',#CylonePam devastates #Vanuatu: Regional disaster #insurance scheme can help fund gvt rebuilding efforts http://t.co/MmeMzSKW13 #WCDRR
871980229,false,finalized,4,1/31/2016 21:22:30,injured_or_dead_people,1.0,,'575736037986578433',"RT @9NewsAUS: Emergency response teams from Australia are on their way to Vanuatu, where dozens are feared dead. http://t.co/kcAthEBiSb #TC‰Û_"
871980230,false,finalized,3,1/31/2016 21:20:00,other_useful_information,0.6765,,'575736076087644160',Vanuatu ‰_ #RT Cyclone Pam Lashes Vanuatu with Category 4 Winds | The Weather Channel - The Weather Channel  http://t.co/trEGs05JnN
871980231,false,finalized,3,1/31/2016 21:22:34,other_useful_information,1.0,,'575736131817369601',Aid agencies: Vanuatu conditions more challenging than Philippines typhoon http://t.co/G9WIl4qrHx
871980232,false,finalized,3,1/31/2016 21:20:11,infrastructure_and_utilities_damage,0.6842,,'575736147046834176',RT @jondonnisonbbc: 2 year old Michael in his village now destroyed.  Village chief tells me desperately need water. #vanuatu http://t.co/S‰Û_
871980233,false,finalized,3,1/31/2016 21:46:28,not_related_or_irrelevant,0.6842,,'575736273350098944',RT @tiffys1983: @VampLovinSookie @FaithNorthman13 @VikingVampEric with you two... I'm sure he'd be ok... Throw Pam in the mix too (winks)
871980234,false,finalized,3,1/31/2016 21:39:52,other_useful_information,0.3628,,'575736292618563584',Cyclone Pam: solutions to the human cost of climateåÊchange http://t.co/mOkdLWNRSj
871980235,false,finalized,3,1/31/2016 20:57:43,not_related_or_irrelevant,1.0,,'575736345332600832',"@pami42 he he, how's it going, Pam?"
871980236,false,finalized,3,1/31/2016 21:28:32,donation_needs_or_offers_or_volunteering_services,1.0,,'575736452413136897',RT @SamaritansPurse: Help victims of #CyclonePam in #Vanuatu now: http://t.co/blGZCDtKCN
871980237,false,finalized,3,1/31/2016 20:51:33,injured_or_dead_people,0.6562,,'575736502006603776',Thousands await aid in Vanuatu as death toll increases - Fox News http://t.co/RZzbiN1VwK
871980238,false,finalized,3,1/31/2016 20:53:38,injured_or_dead_people,1.0,,'575736505798361088',#Death toll varies as officials struggle to assess Cyclone Pam's damage - Fox News http://t.co/ZsvYBCSinO
871980239,false,finalized,3,1/31/2016 20:53:42,infrastructure_and_utilities_damage,1.0,,'575736544465580033','Complete devastation' after cyclone hits island nation of Vanuatu http://t.co/MwqMyNkhuA
871980240,false,finalized,3,1/31/2016 21:07:35,donation_needs_or_offers_or_volunteering_services,1.0,,'575736623708532736',Devastated Vanuatu starts to get aid http://t.co/1YdPzHrrfO
871980241,false,finalized,3,1/31/2016 20:49:59,other_useful_information,0.6667,,'575736634190270465',"RT @PacIsLiving: At 12:00pm local time, Severe Tropical Cyclone PAM was located  about 110 KM south of Tanna and 75 KM west... http://t.co/‰Û_"
871980242,false,finalized,4,1/31/2016 21:07:46,not_related_or_irrelevant,0.7495,,'575736643191246848',Sam Smith - Lay Me Down (Red Nose Day 2015) ft. Jo... =&gt;&gt; http://t.co/ozXe5tEIdU  Timeline #Vanuatu ##xfactornz #‰Û_ http://t.co/ZO4FjKtdBi
871980243,false,finalized,4,1/31/2016 21:19:57,other_useful_information,1.0,,'575736693820514304',http://t.co/KSurW74TxO. Tracking link for cyclone pan @PhilipDuncan
871980244,false,finalized,3,1/31/2016 21:07:34,other_useful_information,0.6842,,'575736712892145665',Cyclone Pam: Untangling the complex science on tropical storms and climate change | Carbon Brief http://t.co/mTx9dewNfB
871980245,false,finalized,3,1/31/2016 20:47:52,not_related_or_irrelevant,1.0,,'575736745372811265',RT @SAWhitePlains: Sending off an adventurer today! @VDUBNYC enjoy your vacation in #China before your #reliefwork in #Vanuatu! #service ht‰Û_
871980246,false,finalized,4,1/31/2016 21:09:47,caution_and_advice,1.0,,'575736803677761536',"Tropical Cyclone Outlook for the Northern Region, including the Gulf of Carpentaria Issued at 2:15 pm CST on... http://t.co/4GlOZhgQWX"
871980247,false,finalized,3,1/31/2016 20:50:57,not_related_or_irrelevant,0.6757,,'575736838293426176',Thank Pam for the favored http://t.co/eOO0l4rdqY
871980248,false,finalized,3,1/31/2016 20:45:10,infrastructure_and_utilities_damage,1.0,,'575736933755805696',RT @WVAsia: First photos coming from our staff in Vanuatu. Scenes of absolute destruction #CyclonePam http://t.co/mcYkdp3i1Q
871980249,false,finalized,4,1/31/2016 21:24:43,other_useful_information,0.7529,,'575736980966785024',RT @MoveTheWorld: Day 1 in #Vanuatu protecting animals after #TCPam - our team feeds the Pelam family's dogs Snoopy and Blackie http://t.co‰Û_
871980250,false,finalized,3,1/31/2016 21:00:35,donation_needs_or_offers_or_volunteering_services,0.6757,,'575737015599259648',RT @johnspatricc: ‰ Õ http://t.co/9z4wqfWL8X Tropical Cyclone Pam: Vanuatu aid workers call for patience amid massive ... #Vanuatu   466
871980251,false,finalized,3,1/31/2016 21:34:08,other_useful_information,0.3646,,'575737024310697984',"Vanuatu begins relief efforts after massive cyclone hits, struggles to assess damage http://t.co/9ddYSmg2Ti"
871980252,false,finalized,3,1/31/2016 20:50:21,other_useful_information,1.0,,'575737043071930368',United Nations 'fears the worst' after typhoon batters Vanuatu #Vanuatu. http://t.co/9Q3rRIj8fC
871980253,false,finalized,3,1/31/2016 21:31:28,other_useful_information,0.3732,,'575737048994217984',Cyclone sets country back years: Jacobeth Nilah wails in pain in the storm-battered hospital. http://t.co/4fdcTAV10f
871980254,false,finalized,3,1/31/2016 21:11:27,not_related_or_irrelevant,0.6765,,'575737189646090240',"Creatine-enriched, high-protein Cyclone Milk 'world's first': MaxiNutrition http://t.co/EoQz1YStb5 via @NutraEurope"
871980255,false,finalized,3,1/31/2016 21:18:41,caution_and_advice,1.0,,'575737269291716609',RT @TypewriterIntl: TTW Today's News: Cyclone Olwyn: heavy rain still expected to hit Perth http://t.co/OlIwIMjfZl
871980256,false,finalized,3,1/31/2016 21:14:56,other_useful_information,0.6471,,'575737292913963008',RT @smitharyy: ‰ Õ http://t.co/esrN2fllJF #CyclonePam Cyclone Pam Cyclone Pam 'sounds like a freight train' http://t.co/ILF88iZm75
871980257,false,finalized,3,1/31/2016 22:07:11,not_related_or_irrelevant,1.0,,'575737350430420992',Pam Anderson -- Rick Salomon Made $40 Mil Last Year ... Playing Poker with ONE GUY!!! http://t.co/nWTxrt6aSR
871980258,false,finalized,3,1/31/2016 20:59:04,sympathy_and_emotional_support,1.0,,'575737382969962496',RT @MarchAustralia: Our thoughts are with Vanuatu and other Pacific countries hit by this cyclone. http://t.co/NHciwks1pP
871980259,false,finalized,3,1/31/2016 21:47:36,other_useful_information,1.0,,'575737419057618944',"http://t.co/oomvAwbZZt Vanuatu takes direct hit from Cyclone Pam, possibly worst in ... #retweet #news http://t.co/rRYktLT4eN"
871980260,false,finalized,3,1/31/2016 21:21:52,other_useful_information,0.6757,,'575737437428707328',RT @adra_nz: Here is the promo video for tomorrows offering for Vanuatu! Please share with your friends and families today! http://t.co/Wy2‰Û_
871980261,false,finalized,4,1/31/2016 21:24:43,not_related_or_irrelevant,1.0,,'575737616244543488',I'm tryin so hard not to laugh while Pam got this hot comb to my hair ‡_Ê2‡_Ê2
871980262,false,finalized,3,1/31/2016 21:35:22,other_useful_information,0.6765,,'575737639497682944',The BBC could have checked Wikipedia for the truth about Cyclone Pam: The storm which devastated Vanuatu is no... http://t.co/1jPEoP9Nlx
871980263,false,finalized,3,1/31/2016 21:14:31,not_related_or_irrelevant,1.0,,'575737656388251649',Pam Anderson Files Restraining order Against Rick Solomon ... Allegations of 'Serial Baby Killer' http://t.co/DILmHlxuVC
871980264,false,finalized,4,1/31/2016 22:18:27,sympathy_and_emotional_support,1.0,,'575737691179868160',Feeling for the beautiful people of Vanuatu. Recovery will take a long time. http://t.co/ZdG4eF6rh9
871980265,false,finalized,4,1/31/2016 21:09:47,infrastructure_and_utilities_damage,1.0,,'575737693369294848',"RT @AJENews: Vanuatu president says ""monster"" cyclone destoyed or damaged 90% of buildings in capital http://t.co/SjUCDu6epc http://t.co/Mw‰Û_"
871980266,false,finalized,3,1/31/2016 21:24:04,other_useful_information,0.6571,,'575737709605613569',"Still awake. Watching Cyclone Pam on earthwindmap. Very near East Cape, North Island now. http://t.co/EDRr9SFcvS"
871980267,false,finalized,3,1/31/2016 20:58:56,injured_or_dead_people,0.6667,,'575737716765159424',Thousands wait for relief in Vanuatu as death toll inches up: Thousands of people left homeless by a fierce cy... http://t.co/sslKmkGUxG
871980268,false,finalized,3,1/31/2016 21:11:27,caution_and_advice,0.6667,,'575737721320243200',State of emergency likely to be declared on Vanuatu capital Port Vila - http://t.co/E6RwHyq8VM
871980269,false,finalized,3,1/31/2016 20:58:32,donation_needs_or_offers_or_volunteering_services,1.0,,'575737826702135297',RT @UNICEF: About 2 in 3 children in #Vanuatu in need of humanitarian assistance http://t.co/STtLs7uBT1 #CyclonePam http://t.co/NieXzcuCdt
871980270,false,finalized,3,1/31/2016 21:05:15,infrastructure_and_utilities_damage,0.6667,,'575737841344495618',Christian Worship Rises amid Vanuatu Destruction http://t.co/joZ7QFF3Uf
871980271,false,finalized,3,1/31/2016 21:00:35,donation_needs_or_offers_or_volunteering_services,1.0,,'575737842325929984',"RT @TimesofIsrael: After cyclone, Israeli mission provides relief in Vanuatu http://t.co/yHHLCj5Yvm"
871980272,false,finalized,3,1/31/2016 21:39:53,donation_needs_or_offers_or_volunteering_services,0.6651,,'575737866698911745',"@LMBR_50 Cricket communities rally behind Vanuatu: ICC, Cricket Australia and New Zealand Cricket pitch in to held the people of Vanu..."
871980273,false,finalized,3,1/31/2016 21:15:45,not_related_or_irrelevant,0.6765,,'575737885971742720',RT @PieroHearts: PAM(Piero Amzing Select)  Photo @Ju7909 http://t.co/wCnzep5yxV
871980274,false,finalized,3,1/31/2016 21:12:26,donation_needs_or_offers_or_volunteering_services,1.0,,'575737898231693313',Vanuatu cyclone: First aid reaches islands ravaged by Pam - BBC News:      15 March 2015 Last upd... http://t.co/GaYxoSYBkt #worldnews
871980275,false,finalized,3,1/31/2016 20:50:28,not_related_or_irrelevant,1.0,,'575737966582108161',#Entertainment #Buzz Custom Pam Anderson neck plate Strat/Telecaster http://t.co/RLl2OHD5GU #Buy #Discount
871980276,false,finalized,3,1/31/2016 21:32:12,injured_or_dead_people,1.0,,'575738022047649793',Tropical Cyclone Pam Kills at Least Six People in Vanuatu - Wall Street Journal http://t.co/KnrgDHbEfW
871980277,false,finalized,3,1/31/2016 20:58:50,donation_needs_or_offers_or_volunteering_services,0.6579,,'575738025180725248',Aid worker in cyclone-hit Vanuatu: 'Holding on for dear life':  Early reports from Vanuatu said at least six p... http://t.co/4fEC4KN5V9
871980278,false,finalized,4,1/31/2016 21:22:30,other_useful_information,1.0,,'575738117346435072',Vanuatu cyclone: grave concern for outlying villages - The Australian: The AustralianVanuatu cyclone: grave co... http://t.co/j8nIv63Mnm
871980279,false,finalized,3,1/31/2016 21:32:12,other_useful_information,0.6436,,'575738169120829440',"Cyclone Pam Delays Volvo Ocean Race Start, Leg 5 Auckland-Itajai, #VOR #BWR2015  #sailing Videos http://t.co/3mme83KJ32"
871980280,false,finalized,3,1/31/2016 20:44:59,other_useful_information,0.697,,'575738183197069312',"RT @ClimateReality: Baldwin Lonsdale, Vanuatu‰Ûªs president, on #CyclonePam: climate change contributes to these extreme weather events http:‰Û_"
