Loading data...
10251
Max Document length: 2407
Vocabulary Size: 24319
Train/Dev split: 9226/1025
Writing to /home/ubuntu/Project/runs/1550682642

2019-02-20T17:11:24.674119: step 1, loss 3.27608, accuracy 0.25, precision 1.0, recall 0.07692307692307693
2019-02-20T17:11:24.901616: step 2, loss 2.05749, accuracy 0.5, precision 0.0, recall 0.0
2019-02-20T17:11:25.107406: step 3, loss 1.20191, accuracy 0.4375, precision nan, recall 0.0
2019-02-20T17:11:25.318835: step 4, loss 0.442056, accuracy 0.875, precision 0.0, recall 0.0
2019-02-20T17:11:25.528430: step 5, loss 2.11609, accuracy 0.8125, precision 0.0, recall nan
2019-02-20T17:11:25.719356: step 6, loss 0.0995065, accuracy 0.9375, precision nan, recall 0.0
2019-02-20T17:11:25.914555: step 7, loss 0.563151, accuracy 0.9375, precision 0.0, recall nan
2019-02-20T17:11:26.107327: step 8, loss 1.74335, accuracy 0.875, precision 0.0, recall nan
2019-02-20T17:11:26.293798: step 9, loss 3.31452, accuracy 0.6875, precision 0.0, recall nan
2019-02-20T17:11:26.486543: step 10, loss 1.56324, accuracy 0.8125, precision 0.0, recall nan
2019-02-20T17:11:26.680552: step 11, loss 1.32933, accuracy 0.875, precision 0.0, recall nan
2019-02-20T17:11:26.870127: step 12, loss 1.08956, accuracy 0.9375, precision 0.0, recall nan
2019-02-20T17:11:27.065008: step 13, loss 1.11492, accuracy 0.875, precision 0.0, recall nan
2019-02-20T17:11:27.259072: step 14, loss 0.00195664, accuracy 1, precision nan, recall nan
2019-02-20T17:11:27.451874: step 15, loss 0.526553, accuracy 0.9375, precision 0.0, recall nan
2019-02-20T17:11:27.648196: step 16, loss 0.48086, accuracy 0.9375, precision 0.0, recall nan
2019-02-20T17:11:27.841199: step 17, loss 1.01318, accuracy 0.8125, precision 0.0, recall 0.0
2019-02-20T17:11:28.034612: step 18, loss 0.301043, accuracy 0.9375, precision nan, recall 0.0
2019-02-20T17:11:28.225083: step 19, loss 0.0400018, accuracy 1, precision 1.0, recall 1.0
2019-02-20T17:11:28.420132: step 20, loss 1.45582, accuracy 0.75, precision 0.0, recall 0.0
2019-02-20T17:11:28.613681: step 21, loss 2.33057, accuracy 0.6875, precision 0.0, recall 0.0
2019-02-20T17:11:28.807442: step 22, loss 1.55582, accuracy 0.75, precision 0.3333333333333333, recall 0.3333333333333333
2019-02-20T17:11:29.003189: step 23, loss 0.230938, accuracy 0.875, precision nan, recall 0.0
2019-02-20T17:11:29.195445: step 24, loss 0.516948, accuracy 0.875, precision 0.0, recall 0.0
2019-02-20T17:11:29.391667: step 25, loss 0.358321, accuracy 0.8125, precision 1.0, recall 0.25
2019-02-20T17:11:29.584735: step 26, loss 1.75907, accuracy 0.6875, precision 0.0, recall 0.0
2019-02-20T17:11:29.775698: step 27, loss 0.531172, accuracy 0.875, precision nan, recall 0.0
2019-02-20T17:11:29.975703: step 28, loss 0.365664, accuracy 0.875, precision nan, recall 0.0
2019-02-20T17:11:30.163763: step 29, loss 0.164327, accuracy 0.875, precision nan, recall 0.0
2019-02-20T17:11:30.351837: step 30, loss 0.0632466, accuracy 1, precision nan, recall nan
2019-02-20T17:11:30.543257: step 31, loss 0.290698, accuracy 0.9375, precision 0.0, recall nan
2019-02-20T17:11:30.735087: step 32, loss 1.1212, accuracy 0.75, precision 0.75, recall 0.5
2019-02-20T17:11:30.930813: step 33, loss 0.0263499, accuracy 1, precision nan, recall nan
2019-02-20T17:11:31.119527: step 34, loss 1.99728, accuracy 0.8125, precision 0.4, recall 1.0
2019-02-20T17:11:31.309658: step 35, loss 0.14042, accuracy 0.9375, precision 0.0, recall nan
2019-02-20T17:11:31.504826: step 36, loss 1.12371, accuracy 0.875, precision 0.0, recall 0.0
2019-02-20T17:11:31.702214: step 37, loss 1.76037, accuracy 0.8125, precision 0.5, recall 0.3333333333333333
2019-02-20T17:11:31.893992: step 38, loss 0.248126, accuracy 0.9375, precision 0.0, recall nan
2019-02-20T17:11:32.083898: step 39, loss 1.20983, accuracy 0.8125, precision 0.0, recall 0.0
2019-02-20T17:11:32.270664: step 40, loss 0.56787, accuracy 0.9375, precision 0.0, recall nan
2019-02-20T17:11:32.459040: step 41, loss 0.25, accuracy 0.9375, precision 0.0, recall nan
2019-02-20T17:11:32.654505: step 42, loss 3.05909, accuracy 0.75, precision 0.0, recall 0.0
2019-02-20T17:11:32.851923: step 43, loss 0.851898, accuracy 0.9375, precision 0.0, recall nan
2019-02-20T17:11:33.048390: step 44, loss 1.036, accuracy 0.75, precision 0.0, recall 0.0
2019-02-20T17:11:33.241418: step 45, loss 0.721713, accuracy 0.9375, precision 0.6666666666666666, recall 1.0
2019-02-20T17:11:33.433740: step 46, loss 0.486294, accuracy 0.875, precision nan, recall 0.0
2019-02-20T17:11:33.625293: step 47, loss 1.8789, accuracy 0.8125, precision 0.0, recall 0.0
2019-02-20T17:11:33.822844: step 48, loss 0.796795, accuracy 0.875, precision 0.5, recall 0.5
2019-02-20T17:11:34.016000: step 49, loss 0.538825, accuracy 0.8125, precision nan, recall 0.0
2019-02-20T17:11:34.209795: step 50, loss 0.158539, accuracy 0.9375, precision 0.0, recall nan
2019-02-20T17:11:34.404475: step 51, loss 1.10814, accuracy 0.875, precision 0.0, recall nan
2019-02-20T17:11:34.597809: step 52, loss 0.388487, accuracy 0.875, precision nan, recall 0.0
2019-02-20T17:11:34.792613: step 53, loss 1.4268, accuracy 0.6875, precision 0.0, recall 0.0
2019-02-20T17:11:34.988826: step 54, loss 0.178024, accuracy 0.875, precision 1.0, recall 0.3333333333333333
2019-02-20T17:11:35.178945: step 55, loss 0.603198, accuracy 0.875, precision nan, recall 0.0
2019-02-20T17:11:35.367327: step 56, loss 0.135183, accuracy 0.9375, precision nan, recall 0.0
2019-02-20T17:11:35.559168: step 57, loss 0.724533, accuracy 0.8125, precision 0.0, recall 0.0
2019-02-20T17:11:35.755373: step 58, loss 0.367468, accuracy 0.875, precision 0.6666666666666666, recall 0.6666666666666666
2019-02-20T17:11:35.944708: step 59, loss 0.603058, accuracy 0.875, precision 0.0, recall nan
2019-02-20T17:11:36.140168: step 60, loss 0.640596, accuracy 0.9375, precision 0.0, recall nan
2019-02-20T17:11:36.334515: step 61, loss 0.227815, accuracy 0.875, precision 1.0, recall 0.3333333333333333
2019-02-20T17:11:36.532844: step 62, loss 1.12954, accuracy 0.875, precision 0.5, recall 1.0
2019-02-20T17:11:36.725808: step 63, loss 0.758841, accuracy 0.875, precision 0.0, recall 0.0
2019-02-20T17:11:36.919872: step 64, loss 0.934731, accuracy 0.875, precision 0.3333333333333333, recall 1.0
2019-02-20T17:11:37.110501: step 65, loss 1.04244, accuracy 0.9375, precision 0.0, recall nan
2019-02-20T17:11:37.298364: step 66, loss 0.00203693, accuracy 1, precision nan, recall nan
2019-02-20T17:11:37.496241: step 67, loss 0.778755, accuracy 0.875, precision 0.0, recall nan
