hello
768
Loading data...
{'sympathy_and_emotional_support': 0, 'not_related_or_irrelevant': 1, 'infrastructure_and_utilities_damage': 2, 'other_useful_information': 3, 'injured_or_dead_people': 4, 'caution_and_advice': 5, 'displaced_people_and_evacuations': 6, 'donation_needs_or_offers_or_volunteering_services': 7, 'missing_trapped_or_found_people': 8}
Max Document length: 2407
Vocabulary Size: 1
Train/Dev split: 9226/1025
Writing to /home/ubuntu/Project/runs/1550603912

2019-02-19T19:18:48.252889: step 1, loss 17.5413, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.125, 1.0, 0.0, 0.0, nan, nan], recall [0.0, nan, 0.0, 1.0, 0.1111111111111111, 0.0, nan, nan, nan]
2019-02-19T19:18:52.368886: step 2, loss 19.962, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.2, 0.0, 0.0, nan, 0.0, nan], recall [0.0, nan, 0.0, 0.125, nan, 0.0, nan, nan, 0.0]
2019-02-19T19:18:56.391658: step 3, loss 25.7267, accuracy 0.0625, precision [0.0, 0.0, nan, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.0, nan, 0.07692307692307693, nan, 0.0, nan, nan, nan]
2019-02-19T19:19:00.390273: step 4, loss 17.6787, accuracy 0.0625, precision [nan, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, nan], recall [0.0, 0.0, 0.3333333333333333, 0.0, nan, 0.0, nan, 0.0, nan]
2019-02-19T19:19:04.384187: step 5, loss 10.6303, accuracy 0.1875, precision [0.0, 0.3333333333333333, 0.0, 0.25, 0.0, 0.5, nan, 0.0, nan], recall [nan, 0.16666666666666666, nan, 0.16666666666666666, 0.0, 0.3333333333333333, nan, nan, nan]
2019-02-19T19:19:08.393891: step 6, loss 13.7415, accuracy 0.125, precision [0.0, 0.5, 0.0, 0.25, 0.0, nan, nan, 0.0, 0.0], recall [nan, 0.2, 0.0, 0.3333333333333333, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:19:12.398764: step 7, loss 20.03, accuracy 0.1875, precision [0.3333333333333333, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, nan, nan], recall [0.5, 0.0, 0.0, nan, 0.6666666666666666, 0.0, 0.0, 0.0, nan]
2019-02-19T19:19:16.406374: step 8, loss 11.0521, accuracy 0.25, precision [0.0, 0.3333333333333333, 0.3333333333333333, 0.2, nan, nan, nan, 0.3333333333333333, nan], recall [nan, 1.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0]
2019-02-19T19:19:20.400894: step 9, loss 11.6178, accuracy 0.375, precision [0.0, 0.5, 0.0, 0.3333333333333333, 0.5, nan, nan, 0.5, nan], recall [nan, 1.0, 0.0, 1.0, 0.4, nan, 0.0, 0.5, 0.0]
2019-02-19T19:19:24.398201: step 10, loss 16.7506, accuracy 0, precision [0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0], recall [nan, 0.0, 0.0, 0.0, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:19:28.396777: step 11, loss 16.568, accuracy 0.0625, precision [0.0, 0.0, nan, 0.25, 0.0, 0.0, nan, nan, 0.0], recall [0.0, nan, 0.0, 1.0, 0.0, nan, 0.0, 0.0, nan]
2019-02-19T19:19:32.398184: step 12, loss 13.5936, accuracy 0.1875, precision [0.3333333333333333, 0.0, 0.0, 0.0, 0.5, nan, nan, 0.3333333333333333, nan], recall [0.25, nan, 0.0, 0.0, 0.5, nan, 0.0, 0.5, nan]
2019-02-19T19:19:36.402469: step 13, loss 13.4569, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.4, 0.25, 0.0, 0.0, 0.0, 0.0], recall [0.0, nan, 0.0, 0.4, 0.3333333333333333, nan, nan, 0.0, 0.0]
2019-02-19T19:19:40.495188: step 14, loss 18.3479, accuracy 0.125, precision [0.6666666666666666, 0.0, nan, 0.0, 0.0, 0.0, nan, 0.0, nan], recall [0.3333333333333333, nan, 0.0, 0.0, 0.0, nan, 0.0, nan, 0.0]
2019-02-19T19:19:44.508164: step 15, loss 20.9487, accuracy 0.125, precision [0.0, 0.3333333333333333, 0.0, 0.0, 0.5, nan, 0.0, 0.0, 0.0], recall [0.0, 1.0, nan, 0.0, 0.2, nan, 0.0, 0.0, nan]
