Loading data...
{'sympathy_and_emotional_support': 0, 'not_related_or_irrelevant': 1, 'infrastructure_and_utilities_damage': 2, 'other_useful_information': 3, 'injured_or_dead_people': 4, 'caution_and_advice': 5, 'displaced_people_and_evacuations': 6, 'donation_needs_or_offers_or_volunteering_services': 7, 'missing_trapped_or_found_people': 8}
Max Document length: 2407
Vocabulary Size: 24319
Train/Dev split: 9226/1025
Writing to /home/ubuntu/Project/runs/1550599006

2019-02-19T17:57:31.160829: step 1, loss 9.50099, accuracy 0.1875, precision [1.0, 0.0, 1.0, 0.0, 1.0, 0.0, nan, 0.0, 0.0], recall [0.25, 0.0, 0.2, 0.0, 0.5, nan, nan, nan, nan]
2019-02-19T17:57:31.344696: step 2, loss 7.74123, accuracy 0.25, precision [0.0, 1.0, 0.25, 0.0, 0.0, 0.0, 0.0, nan, nan], recall [nan, 0.3, 1.0, 0.0, nan, 0.0, nan, 0.0, nan]
2019-02-19T17:57:31.503884: step 3, loss 9.21715, accuracy 0.25, precision [0.0, 0.75, 0.0, 0.0, 0.0, 0.5, nan, 0.0, nan], recall [nan, 0.2727272727272727, nan, 0.0, 0.0, 0.3333333333333333, nan, nan, nan]
2019-02-19T17:57:31.656925: step 4, loss 10.471, accuracy 0.0625, precision [0.0, nan, 0.0, 0.125, 0.0, nan, 0.0, 0.0, nan], recall [nan, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, nan, nan, 0.0]
2019-02-19T17:57:31.816413: step 5, loss 14.8593, accuracy 0, precision [0.0, 0.0, nan, 0.0, 0.0, nan, nan, 0.0, 0.0], recall [nan, 0.0, nan, 0.0, 0.0, 0.0, nan, nan, nan]
2019-02-19T17:57:31.968908: step 6, loss 10.2874, accuracy 0.25, precision [0.0, 0.0, 1.0, 0.6, 0.0, 0.0, nan, 0.0, nan], recall [nan, nan, 0.3333333333333333, 0.42857142857142855, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T17:57:32.127948: step 7, loss 12.062, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, nan, 0.0, nan], recall [nan, nan, 0.0, 0.2222222222222222, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T17:57:32.285300: step 8, loss 8.82025, accuracy 0.1875, precision [0.0, 0.2, nan, 0.16666666666666666, 0.5, nan, nan, 0.0, nan], recall [nan, 1.0, 0.0, 0.2, 0.25, nan, 0.0, 0.0, nan]
2019-02-19T17:57:32.435636: step 9, loss 10.7519, accuracy 0.125, precision [nan, 0.0, 0.0, 0.3333333333333333, 0.2, 0.0, 0.0, 0.0, nan], recall [nan, nan, 0.0, 0.16666666666666666, 0.25, 0.0, 0.0, nan, 0.0]
2019-02-19T17:57:32.592497: step 10, loss 11.9442, accuracy 0.1875, precision [nan, 0.0, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, nan], recall [0.0, nan, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, nan]
2019-02-19T17:57:32.749479: step 11, loss 13.1045, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.5, 0.0, 0.0, nan, 0.0, 0.0], recall [0.0, 0.0, 0.0, 0.5, 0.0, nan, nan, 0.0, 0.0]
2019-02-19T17:57:32.906480: step 12, loss 10.3365, accuracy 0.125, precision [nan, 0.0, 0.0, 0.0, 0.5, nan, nan, 0.0, 0.0], recall [0.0, nan, 0.0, 0.0, 0.4, nan, nan, nan, nan]
2019-02-19T17:57:33.061696: step 13, loss 9.46256, accuracy 0.25, precision [nan, 0.0, 0.5, 0.5, 1.0, nan, 0.0, 0.0, 0.0], recall [0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, nan, nan, 0.0, 0.0]
2019-02-19T17:57:33.218432: step 14, loss 6.7108, accuracy 0.25, precision [0.0, 0.0, 1.0, 0.5, 0.25, 0.0, 0.0, 0.3333333333333333, nan], recall [0.0, 0.0, 0.3333333333333333, 0.2, 0.3333333333333333, 0.0, nan, 0.5, nan]
2019-02-19T17:57:33.375182: step 15, loss 7.40676, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.0, 0.2, 0.0, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, nan]
2019-02-19T17:57:33.534441: step 16, loss 10.416, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.2, 0.25, 0.0, 0.0, nan, 0.0], recall [0.0, 0.0, 0.0, 1.0, 0.3333333333333333, nan, nan, 0.0, nan]
2019-02-19T17:57:33.684543: step 17, loss 9.05555, accuracy 0.375, precision [0.0, 0.8, 0.0, 0.25, nan, 0.0, nan, 1.0, 0.0], recall [nan, 1.0, 0.0, 1.0, nan, 0.0, nan, 0.125, nan]
2019-02-19T17:57:33.843648: step 18, loss 10.3214, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.5, 0.0, 0.0, nan, nan, nan], recall [0.0, 0.0, nan, 0.6666666666666666, nan, nan, 0.0, 0.0, nan]
2019-02-19T17:57:33.999039: step 19, loss 6.86681, accuracy 0.25, precision [0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.0, nan, nan, nan, nan], recall [0.5, 0.25, 0.25, 0.5, nan, nan, 0.0, 0.0, nan]
2019-02-19T17:57:34.151786: step 20, loss 6.98042, accuracy 0.1875, precision [0.0, 1.0, 0.0, 0.16666666666666666, 0.0, 0.0, nan, 0.0, 0.0], recall [0.0, 0.4, 0.0, 0.5, 0.0, nan, nan, 0.0, nan]
2019-02-19T17:57:34.308226: step 21, loss 7.67685, accuracy 0.25, precision [nan, 1.0, 0.25, 0.4, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.3333333333333333, 0.14285714285714285, 0.6666666666666666, 0.0, nan, nan, 0.0, nan]
2019-02-19T17:57:34.463652: step 22, loss 8.56204, accuracy 0.25, precision [0.0, 1.0, 0.0, 0.5, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, nan, nan, nan, nan]
2019-02-19T17:57:34.621111: step 23, loss 5.78529, accuracy 0.5, precision [1.0, 0.5, nan, 0.3333333333333333, 0.75, 0.0, nan, 0.5, nan], recall [0.5, 0.3333333333333333, 0.0, 1.0, 0.5, 0.0, nan, 1.0, nan]
2019-02-19T17:57:34.778512: step 24, loss 10.0612, accuracy 0.3125, precision [nan, 0.0, nan, 0.6666666666666666, 0.3333333333333333, 0.0, nan, 0.0, nan], recall [nan, nan, nan, 0.36363636363636365, 0.25, nan, nan, 0.0, nan]
2019-02-19T17:57:34.928648: step 25, loss 7.32555, accuracy 0.4375, precision [0.0, 0.6, 0.0, 0.5714285714285714, nan, nan, nan, nan, nan], recall [nan, 0.75, 0.0, 0.5714285714285714, 0.0, nan, nan, nan, nan]
2019-02-19T17:57:35.084618: step 26, loss 7.71199, accuracy 0.3125, precision [0.0, 0.5, 1.0, 0.25, 0.5, nan, 0.0, 0.0, nan], recall [nan, 0.5, 1.0, 0.2, 0.2, nan, nan, nan, 0.0]
2019-02-19T17:57:35.240419: step 27, loss 5.90272, accuracy 0.5625, precision [nan, 0.2, 0.5, 1.0, 1.0, nan, 0.0, 0.0, nan], recall [nan, 1.0, 1.0, 0.46153846153846156, 1.0, nan, nan, nan, nan]
2019-02-19T17:57:35.394455: step 28, loss 6.74529, accuracy 0.3125, precision [nan, nan, 0.0, 0.5, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0], recall [nan, nan, 0.0, 0.375, 0.6666666666666666, 0.0, 0.0, nan, 0.0]
2019-02-19T17:57:35.543531: step 29, loss 12.8262, accuracy 0.1875, precision [0.0, nan, nan, 0.75, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, nan, nan, nan]
2019-02-19T17:57:35.696867: step 30, loss 6.19416, accuracy 0.4375, precision [0.0, 0.0, 0.0, 1.0, 0.5, nan, 0.0, 0.0, nan], recall [0.0, 0.0, nan, 0.6, 0.5, 0.0, nan, nan, 0.0]
2019-02-19T17:57:35.851740: step 31, loss 6.94446, accuracy 0.1875, precision [0.0, 0.4, 0.0, 0.3333333333333333, 0.0, nan, 0.0, nan, nan], recall [0.0, 0.6666666666666666, 0.0, 0.25, 0.0, 0.0, nan, nan, 0.0]
2019-02-19T17:57:36.005442: step 32, loss 7.24831, accuracy 0.3125, precision [0.0, 0.0, nan, 0.5714285714285714, 0.5, nan, 0.0, nan, nan], recall [0.0, 0.0, 0.0, 0.8, 0.5, 0.0, 0.0, 0.0, nan]
2019-02-19T17:57:36.159654: step 33, loss 6.47365, accuracy 0.125, precision [0.0, 0.0, nan, 0.4, 0.0, nan, nan, 0.0, nan], recall [0.0, 0.0, 0.0, 0.5, 0.0, 0.0, nan, 0.0, 0.0]
2019-02-19T17:57:36.315009: step 34, loss 3.59053, accuracy 0.4375, precision [0.0, 0.6666666666666666, nan, 0.3333333333333333, 0.6666666666666666, nan, nan, 0.5, nan], recall [0.0, 0.3333333333333333, 0.0, 1.0, 1.0, 0.0, nan, 1.0, 0.0]
2019-02-19T17:57:36.474346: step 35, loss 7.27674, accuracy 0.25, precision [0.25, 0.0, 0.5, 0.5, 0.0, nan, nan, 0.0, nan], recall [0.3333333333333333, 0.0, 0.25, 0.6666666666666666, 0.0, 0.0, nan, 0.0, 0.0]
2019-02-19T17:57:36.630591: step 36, loss 7.58099, accuracy 0.1875, precision [0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, nan, nan], recall [0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 1.0, nan, 0.0, 0.0]
2019-02-19T17:57:36.786251: step 37, loss 6.7398, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.0, 0.5, 0.0, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.0, 0.5, nan, nan, 0.0, nan]
2019-02-19T17:57:36.941875: step 38, loss 8.11545, accuracy 0.25, precision [nan, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, nan, 0.0, 0.5, 0.0], recall [0.0, 0.3333333333333333, 1.0, 0.5, 0.0, 0.0, 0.0, 0.25, nan]
2019-02-19T17:57:37.101896: step 39, loss 7.26831, accuracy 0.125, precision [0.5, 0.0, 0.0, 0.2, 0.0, 0.0, nan, 0.0, nan], recall [0.2, 0.0, nan, 0.25, 0.0, 0.0, 0.0, 0.0, nan]
2019-02-19T17:57:37.255947: step 40, loss 5.64671, accuracy 0.0625, precision [0.0, 0.2, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.3333333333333333, 0.0, 0.0, nan, 0.0, 0.0, 0.0, nan]
2019-02-19T17:57:37.408996: step 41, loss 7.22972, accuracy 0.3125, precision [0.5, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0], recall [0.2, 0.25, nan, 1.0, 0.0, nan, nan, 0.4, nan]
2019-02-19T17:57:37.564852: step 42, loss 5.29365, accuracy 0.375, precision [0.5, 0.0, 0.5, 0.2, 0.5, nan, nan, nan, nan], recall [1.0, 0.0, 0.5, 1.0, 0.5, nan, nan, 0.0, nan]
2019-02-19T17:57:37.725314: step 43, loss 5.34188, accuracy 0.1875, precision [nan, 0.5, 0.0, 0.2, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.6666666666666666, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, nan]
2019-02-19T17:57:37.880701: step 44, loss 5.83309, accuracy 0.3125, precision [0.0, 0.5, 0.0, 0.4, 0.25, nan, nan, 1.0, nan], recall [0.0, 0.2, 0.0, 0.5, 1.0, nan, nan, 0.25, nan]
2019-02-19T17:57:38.031076: step 45, loss 7.11154, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.6, 1.0, nan, nan, 0.0, nan], recall [0.0, 0.0, 0.0, 0.6, 0.3333333333333333, nan, 0.0, nan, nan]
2019-02-19T17:57:38.182903: step 46, loss 3.71632, accuracy 0.4375, precision [nan, 1.0, 0.25, 0.6, 0.0, 0.0, nan, 0.5, nan], recall [nan, 1.0, 1.0, 0.42857142857142855, 0.0, nan, 0.0, 1.0, nan]
2019-02-19T17:57:38.339112: step 47, loss 6.67675, accuracy 0.125, precision [0.0, 0.3333333333333333, 0.25, 0.0, 0.0, nan, 0.0, nan, nan], recall [nan, 0.5, 1.0, 0.0, 0.0, nan, nan, 0.0, nan]
2019-02-19T17:57:38.488988: step 48, loss 5.09604, accuracy 0.375, precision [nan, 0.0, 0.5, 0.5, 0.5, nan, 0.5, 0.0, nan], recall [nan, 0.0, 0.3333333333333333, 0.5, 0.25, nan, 0.5, nan, nan]
2019-02-19T17:57:38.640653: step 49, loss 3.41098, accuracy 0.5, precision [0.0, 1.0, 1.0, 0.375, 0.75, nan, 0.0, nan, nan], recall [nan, 1.0, 0.16666666666666666, 0.6, 1.0, nan, nan, 0.0, nan]
2019-02-19T17:57:38.794072: step 50, loss 7.49862, accuracy 0.25, precision [0.0, 0.5, 0.0, 0.5, 0.6666666666666666, 0.0, 0.0, nan, nan], recall [0.0, 0.2, 0.0, 0.5, 1.0, nan, nan, 0.0, nan]
2019-02-19T17:57:38.951259: step 51, loss 4.12231, accuracy 0.5, precision [0.0, 1.0, 0.5, nan, 0.4, nan, 0.0, 0.0, nan], recall [nan, 0.8333333333333334, 0.3333333333333333, 0.0, 1.0, nan, nan, nan, nan]
2019-02-19T17:57:39.103086: step 52, loss 10.2698, accuracy 0.25, precision [nan, nan, 1.0, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0, 0.0], recall [0.0, 0.0, 0.25, 0.6666666666666666, 0.3333333333333333, nan, 0.0, 0.0, nan]
2019-02-19T17:57:39.260321: step 53, loss 7.96675, accuracy 0.25, precision [0.0, 1.0, 0.0, 0.25, 0.6666666666666666, 0.0, nan, 0.0, nan], recall [0.0, 0.3333333333333333, 0.0, 0.2, 0.4, nan, 0.0, nan, nan]
2019-02-19T17:57:39.419408: step 54, loss 7.91699, accuracy 0.1875, precision [0.0, 0.0, 1.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, nan], recall [nan, 0.0, 0.5, 0.3333333333333333, 0.0, 0.0, nan, nan, nan]
2019-02-19T17:57:39.574196: step 55, loss 4.73207, accuracy 0.5, precision [0.0, 0.3333333333333333, 0.6666666666666666, 0.5, 0.6666666666666666, nan, nan, nan, nan], recall [nan, 1.0, 0.5, 1.0, 0.4, nan, nan, 0.0, 0.0]
2019-02-19T17:57:39.730741: step 56, loss 6.53957, accuracy 0.1875, precision [0.0, nan, 0.0, 0.3333333333333333, 1.0, 0.0, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.25, 0.3333333333333333, nan, nan, 0.0, nan]
2019-02-19T17:57:39.882108: step 57, loss 5.94108, accuracy 0.25, precision [nan, 0.0, 0.0, 0.5714285714285714, 0.0, nan, nan, 0.0, 0.0], recall [0.0, nan, 0.0, 0.5, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T17:57:40.033448: step 58, loss 4.15488, accuracy 0.5, precision [0.5, 0.0, 0.5, 0.7142857142857143, 0.3333333333333333, 0.0, nan, nan, nan], recall [1.0, 0.0, 0.25, 0.625, 1.0, nan, nan, 0.0, nan]
2019-02-19T17:57:40.187317: step 59, loss 3.63438, accuracy 0.5, precision [1.0, 0.0, 0.0, 0.7142857142857143, 1.0, nan, 0.0, 0.3333333333333333, 0.0], recall [0.3333333333333333, 0.0, 0.0, 0.8333333333333334, 0.5, nan, nan, 0.3333333333333333, nan]
2019-02-19T17:57:40.346165: step 60, loss 6.70065, accuracy 0.4375, precision [0.0, 0.6666666666666666, 0.0, 0.6666666666666666, 1.0, nan, nan, 0.0, 0.0], recall [0.0, 1.0, nan, 0.5714285714285714, 0.5, 0.0, nan, 0.0, nan]
2019-02-19T17:57:40.501332: step 61, loss 8.01635, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.8, 0.0, nan, nan, nan, nan], recall [0.0, 0.0, nan, 0.36363636363636365, nan, nan, nan, 0.0, nan]
2019-02-19T17:57:40.651622: step 62, loss 6.66489, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.8, nan, 0.0, 0.0, nan, nan], recall [nan, 0.0, nan, 0.36363636363636365, 0.0, nan, nan, 0.0, nan]
2019-02-19T17:57:40.808734: step 63, loss 4.86606, accuracy 0.1875, precision [0.0, 0.0, 0.0, 0.6, 0.0, 0.0, nan, 0.0, nan], recall [nan, nan, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, nan]
2019-02-19T17:57:40.971608: step 64, loss 6.06756, accuracy 0.3125, precision [0.0, 0.3333333333333333, 0.0, 0.6, 0.25, nan, nan, 0.0, 0.0], recall [0.0, 1.0, nan, 0.5, 1.0, 0.0, nan, 0.0, 0.0]
2019-02-19T17:57:41.126118: step 65, loss 4.75382, accuracy 0.375, precision [0.0, 0.5, 1.0, 0.5, 0.5, 0.0, nan, 0.0, nan], recall [0.0, 0.5, 0.5, 0.5, 1.0, 0.0, nan, 0.0, 0.0]
2019-02-19T17:57:41.278389: step 66, loss 5.80487, accuracy 0.25, precision [nan, 0.6666666666666666, nan, 0.2, 0.25, nan, 0.0, 0.0, 0.0], recall [0.0, 0.3333333333333333, nan, 0.3333333333333333, 0.5, 0.0, 0.0, nan, 0.0]
2019-02-19T17:57:41.427125: step 67, loss 4.58091, accuracy 0.375, precision [1.0, 0.5, nan, 0.25, 0.5, nan, nan, 0.0, nan], recall [0.25, 0.3333333333333333, 0.0, 0.5, 1.0, 0.0, 0.0, 0.0, nan]
2019-02-19T17:57:41.584315: step 68, loss 5.1262, accuracy 0.25, precision [0.0, 0.5, 0.3333333333333333, 0.0, 0.5, nan, 0.0, nan, nan], recall [0.0, 0.3333333333333333, 1.0, 0.0, 0.4, 0.0, 0.0, 0.0, nan]
2019-02-19T17:57:41.737910: step 69, loss 5.75347, accuracy 0.1875, precision [0.0, 1.0, 0.0, 0.25, nan, 0.0, nan, 0.0, nan], recall [0.0, 0.5, nan, 0.3333333333333333, 0.0, 0.0, 0.0, nan, 0.0]
