Loading data...
{'sympathy_and_emotional_support': 0, 'not_related_or_irrelevant': 1, 'infrastructure_and_utilities_damage': 2, 'other_useful_information': 3, 'injured_or_dead_people': 4, 'caution_and_advice': 5, 'displaced_people_and_evacuations': 6, 'donation_needs_or_offers_or_volunteering_services': 7, 'missing_trapped_or_found_people': 8}
Max Document length: 2407
Vocabulary Size: 1
Train/Dev split: 9226/1025
Writing to /home/ubuntu/Project/runs/1550606084

2019-02-19T19:54:46.199786: step 1, loss 10.4362, accuracy 0.125, precision [0.0, 1.0, 0.0, 0.1111111111111111, nan, 0.0, nan, 0.0, nan], recall [nan, 0.25, nan, 0.3333333333333333, 0.0, nan, 0.0, 0.0, 0.0]
2019-02-19T19:54:46.387202: step 2, loss 10.9628, accuracy 0.1875, precision [0.0, 0.0, nan, 0.75, 0.0, nan, 0.0, 0.0, nan], recall [nan, nan, nan, 0.21428571428571427, nan, nan, 0.0, 0.0, nan]
2019-02-19T19:54:46.547861: step 3, loss 8.34201, accuracy 0.3125, precision [0.0, 0.3333333333333333, 0.0, 0.75, 0.0, 0.0, nan, 0.5, nan], recall [nan, 1.0, nan, 0.2727272727272727, nan, nan, nan, 0.3333333333333333, 0.0]
2019-02-19T19:54:46.707756: step 4, loss 10.7183, accuracy 0.125, precision [0.0, 0.0, 0.3333333333333333, 1.0, 0.0, nan, 0.0, nan, nan], recall [nan, nan, 0.3333333333333333, 0.125, nan, 0.0, 0.0, 0.0, nan]
2019-02-19T19:54:46.861827: step 5, loss 10.4568, accuracy 0.0625, precision [nan, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.125, nan, nan, nan, nan, nan, 0.0, nan]
2019-02-19T19:54:47.019038: step 6, loss 11.0616, accuracy 0.0625, precision [0.0, 0.5, 0.0, 0.0, 0.0, nan, nan, 0.0, nan], recall [0.0, 0.3333333333333333, 0.0, nan, 0.0, 0.0, 0.0, nan, nan]
2019-02-19T19:54:47.173361: step 7, loss 12.5539, accuracy 0, precision [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan], recall [0.0, 0.0, 0.0, nan, 0.0, 0.0, 0.0, 0.0, nan]
2019-02-19T19:54:47.327503: step 8, loss 9.55242, accuracy 0.1875, precision [0.0, 0.25, 0.3333333333333333, 0.0, 1.0, nan, nan, 0.0, nan], recall [0.0, 0.25, 0.3333333333333333, nan, 0.16666666666666666, 0.0, nan, nan, nan]
2019-02-19T19:54:47.485449: step 9, loss 7.7727, accuracy 0.125, precision [nan, 1.0, nan, 0.0, 0.25, 0.0, 0.0, 0.0, nan], recall [0.0, 0.3333333333333333, 0.0, nan, 0.2, nan, 0.0, nan, nan]
2019-02-19T19:54:47.634966: step 10, loss 5.63348, accuracy 0.375, precision [nan, 0.5, nan, 0.6, 0.2857142857142857, 0.0, nan, 0.0, nan], recall [0.0, 0.3333333333333333, 0.0, 0.6, 0.6666666666666666, 0.0, 0.0, nan, nan]
2019-02-19T19:54:47.785289: step 11, loss 8.84479, accuracy 0.1875, precision [nan, 0.0, 0.0, 0.25, 1.0, nan, nan, 0.0, nan], recall [nan, 0.0, nan, 0.16666666666666666, 0.2857142857142857, 0.0, nan, nan, nan]
2019-02-19T19:54:47.936197: step 12, loss 9.83882, accuracy 0.3125, precision [0.0, 0.3333333333333333, 0.0, 0.75, 1.0, nan, 0.0, 0.0, 0.0], recall [nan, 1.0, nan, 0.375, 0.16666666666666666, 0.0, nan, nan, nan]
2019-02-19T19:54:48.092628: step 13, loss 6.74554, accuracy 0.3125, precision [0.0, 0.25, 0.0, 0.75, 0.0, 0.0, 0.0, 1.0, nan], recall [nan, 1.0, nan, 0.3333333333333333, 0.0, nan, nan, 0.2, nan]
2019-02-19T19:54:48.246621: step 14, loss 7.43406, accuracy 0.25, precision [nan, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.5, nan], recall [nan, 0.0, nan, 0.375, 0.0, nan, nan, 0.25, nan]
2019-02-19T19:54:48.406407: step 15, loss 9.16629, accuracy 0.25, precision [0.0, 0.0, 0.2, 0.5, nan, nan, 0.0, 1.0, nan], recall [nan, nan, 1.0, 0.25, 0.0, nan, nan, 0.16666666666666666, nan]
2019-02-19T19:54:48.560125: step 16, loss 3.43768, accuracy 0.4375, precision [nan, 1.0, 0.0, 0.36363636363636365, 0.5, nan, nan, nan, nan], recall [nan, 0.3333333333333333, nan, 1.0, 0.5, nan, nan, 0.0, nan]
2019-02-19T19:54:48.708647: step 17, loss 7.24123, accuracy 0.125, precision [nan, 0.0, 0.0, 0.5, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.2222222222222222, 0.0, nan, 0.0, 0.0, nan]
2019-02-19T19:54:48.858366: step 18, loss 7.81062, accuracy 0.1875, precision [0.0, nan, 0.0, 0.6, 0.0, nan, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.42857142857142855, nan, 0.0, 0.0, 0.0, nan]
2019-02-19T19:54:49.012155: step 19, loss 7.60433, accuracy 0.25, precision [nan, 0.16666666666666666, nan, 0.6, 0.0, 0.0, nan, 0.0, 0.0], recall [nan, 0.3333333333333333, 0.0, 0.6, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:54:49.168187: step 20, loss 7.53281, accuracy 0.125, precision [0.0, 0.0, nan, 0.4, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:54:49.321887: step 21, loss 5.96371, accuracy 0.25, precision [0.0, 0.75, 0.0, 0.3333333333333333, 0.0, nan, nan, 0.0, nan], recall [nan, 0.2727272727272727, 0.0, 0.5, nan, nan, nan, nan, nan]
2019-02-19T19:54:49.476392: step 22, loss 7.4023, accuracy 0, precision [0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.0, nan, 0.0, nan, nan, nan]
2019-02-19T19:54:49.629606: step 23, loss 7.95153, accuracy 0.0625, precision [0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0], recall [0.0, 0.0, 0.14285714285714285, 0.0, 0.0, nan, 0.0, 0.0, nan]
2019-02-19T19:54:49.785327: step 24, loss 7.23738, accuracy 0.0625, precision [0.25, 0.0, nan, 0.0, 0.0, nan, nan, 0.0, 0.0], recall [0.25, 0.0, 0.0, 0.0, nan, 0.0, nan, 0.0, nan]
2019-02-19T19:54:49.937038: step 25, loss 6.36197, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.5, 0.0, 0.0, nan, nan, nan], recall [0.0, nan, 0.0, 0.4, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:54:50.096273: step 26, loss 4.1873, accuracy 0.375, precision [0.5, 0.3333333333333333, nan, 0.3333333333333333, 1.0, 0.0, nan, 0.0, nan], recall [0.5, 1.0, nan, 0.3333333333333333, 0.5, 0.0, nan, 0.0, nan]
