Loading data...
{'sympathy_and_emotional_support': 0, 'not_related_or_irrelevant': 1, 'infrastructure_and_utilities_damage': 2, 'other_useful_information': 3, 'injured_or_dead_people': 4, 'caution_and_advice': 5, 'displaced_people_and_evacuations': 6, 'donation_needs_or_offers_or_volunteering_services': 7, 'missing_trapped_or_found_people': 8}
Max Document length: 2407
Vocabulary Size: 1
Train/Dev split: 9226/1025
Writing to /home/ubuntu/Project/runs/1550605378

2019-02-19T19:43:00.992332: step 1, loss 11.988, accuracy 0.0625, precision [0.0, 0.25, nan, 0.0, 0.0, nan, 0.0, 0.0, nan], recall [0.0, 0.125, nan, 0.0, 0.0, nan, 0.0, nan, nan]
2019-02-19T19:43:01.171719: step 2, loss 6.70296, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.8333333333333334, 0.0, nan, nan, 0.0, nan], recall [nan, 0.0, nan, 0.4166666666666667, 0.0, nan, 0.0, nan, nan]
2019-02-19T19:43:01.326731: step 3, loss 10.8083, accuracy 0.0625, precision [0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, nan], recall [nan, nan, nan, 0.1, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T19:43:01.481228: step 4, loss 9.19841, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.0, 0.5, 0.0, nan, 1.0, nan], recall [0.0, nan, 0.0, 0.0, 0.25, nan, nan, 0.16666666666666666, nan]
2019-02-19T19:43:01.635361: step 5, loss 7.40704, accuracy 0.125, precision [0.5, 0.0, 0.0, 0.25, 0.0, nan, nan, 0.0, nan], recall [0.5, nan, 0.0, 0.25, 0.0, nan, nan, 0.0, nan]
2019-02-19T19:43:01.791018: step 6, loss 6.71634, accuracy 0.125, precision [0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, nan], recall [1.0, nan, 0.0, 0.0, 0.0, nan, nan, 0.5, nan]
2019-02-19T19:43:01.940837: step 7, loss 5.83113, accuracy 0, precision [0.0, 0.0, 0.0, 0.0, nan, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 0.0, nan, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:43:02.096262: step 8, loss 4.35533, accuracy 0.25, precision [0.0, nan, 0.75, 0.2, 0.0, 0.0, nan, 0.0, nan], recall [0.0, 0.0, 0.6, 0.3333333333333333, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:43:02.251892: step 9, loss 8.92563, accuracy 0.0625, precision [0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, nan], recall [0.0, nan, 0.1111111111111111, 0.0, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:43:02.405805: step 10, loss 4.67967, accuracy 0.3125, precision [nan, 0.0, 0.0, 0.5, 0.3333333333333333, nan, 0.0, 0.0, nan], recall [0.0, 0.0, 0.0, 0.5714285714285714, 1.0, 0.0, nan, nan, nan]
2019-02-19T19:43:02.559276: step 11, loss 5.69805, accuracy 0.25, precision [0.5, 1.0, nan, 0.5, 0.0, 0.0, 0.0, 0.0, nan], recall [1.0, 0.4, 0.0, 0.16666666666666666, nan, 0.0, 0.0, 0.0, nan]
2019-02-19T19:43:02.711855: step 12, loss 4.54375, accuracy 0.5, precision [0.0, 0.6666666666666666, nan, 0.8571428571428571, 0.0, 0.0, nan, nan, nan], recall [0.0, 0.5, nan, 0.75, 0.0, 0.0, nan, nan, nan]
2019-02-19T19:43:02.865779: step 13, loss 6.79332, accuracy 0.125, precision [0.0, 0.0, 0.0, 0.5, 0.0, nan, nan, 0.0, nan], recall [nan, 0.0, nan, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, nan]
2019-02-19T19:43:03.021499: step 14, loss 4.80106, accuracy 0.25, precision [0.0, 0.0, nan, 0.5714285714285714, 0.0, 0.0, 0.0, 0.0, nan], recall [nan, nan, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, nan]
2019-02-19T19:43:03.176746: step 15, loss 6.75275, accuracy 0.1875, precision [nan, 0.0, 0.0, 0.3333333333333333, 0.25, nan, nan, 0.0, 0.0], recall [0.0, nan, nan, 0.6666666666666666, 1.0, 0.0, 0.0, 0.0, nan]
2019-02-19T19:43:03.331066: step 16, loss 4.29153, accuracy 0.375, precision [0.0, 1.0, nan, 0.3333333333333333, 0.4444444444444444, nan, nan, 0.0, nan], recall [0.0, 0.5, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, nan]
2019-02-19T19:43:03.490126: step 17, loss 6.07959, accuracy 0.1875, precision [nan, 0.0, 0.0, 0.4, nan, nan, 0.0, 0.2, nan], recall [nan, nan, nan, 0.2857142857142857, 0.0, 0.0, 0.0, 1.0, nan]
