Loading data...
{'sympathy_and_emotional_support': 0, 'not_related_or_irrelevant': 1, 'infrastructure_and_utilities_damage': 2, 'other_useful_information': 3, 'injured_or_dead_people': 4, 'caution_and_advice': 5, 'displaced_people_and_evacuations': 6, 'donation_needs_or_offers_or_volunteering_services': 7, 'missing_trapped_or_found_people': 8}
Max Document length: 2407
Vocabulary Size: 24319
Train/Dev split: 9226/1025
Writing to /home/ubuntu/Project/runs/1550599466

2019-02-19T18:04:28.697950: step 1, loss 13.5969, accuracy 0.125, precision [nan, 0.0, 0.0, 0.0, 0.5, 0.5, nan, 0.0, nan], recall [nan, nan, 0.0, nan, 0.5, 0.1111111111111111, nan, 0.0, nan]
2019-02-19T18:04:28.883408: step 2, loss 14.6674, accuracy 0.125, precision [nan, 0.0, 0.5, 0.2, 0.0, nan, nan, nan, 0.0], recall [0.0, nan, 0.3333333333333333, 0.2, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T18:04:29.043998: step 3, loss 6.50111, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.42857142857142855, 0.0, 0.3333333333333333, nan, nan, nan], recall [nan, 0.0, 0.0, 0.75, 0.0, 0.3333333333333333, 0.0, nan, nan]
2019-02-19T18:04:29.194083: step 4, loss 11.3053, accuracy 0.1875, precision [nan, 0.0, 0.0, 0.42857142857142855, 0.0, 0.0, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, nan, 0.0, nan]
2019-02-19T18:04:29.351712: step 5, loss 14.2426, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.75, 1.0, 0.0, nan, 0.0, 0.0], recall [nan, 0.0, 0.0, 0.3333333333333333, 0.5, nan, nan, nan, nan]
2019-02-19T18:04:29.506652: step 6, loss 17.1275, accuracy 0.1875, precision [0.0, nan, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.5, nan], recall [nan, nan, 0.0, 0.2, nan, nan, nan, 0.5, nan]
2019-02-19T18:04:29.659110: step 7, loss 9.18166, accuracy 0.4375, precision [0.0, 0.0, 0.0, 0.625, 0.6666666666666666, nan, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.7142857142857143, 0.5, nan, nan, nan, nan]
2019-02-19T18:04:29.809010: step 8, loss 13.1683, accuracy 0.3125, precision [0.0, 0.5, nan, 0.5, 0.25, 0.0, 0.0, nan, nan], recall [nan, 1.0, 0.0, 0.5, 1.0, nan, nan, 0.0, nan]
2019-02-19T18:04:29.962579: step 9, loss 9.9061, accuracy 0.0625, precision [nan, 0.0, 0.0, 0.14285714285714285, nan, nan, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.25, 0.0, nan, nan, 0.0, nan]
2019-02-19T18:04:30.119728: step 10, loss 9.17036, accuracy 0.3125, precision [0.0, 0.0, 0.0, 0.4, 0.5, nan, nan, 0.5, nan], recall [0.0, nan, 0.0, 0.3333333333333333, 0.25, nan, nan, 0.6666666666666666, nan]
2019-02-19T18:04:30.275701: step 11, loss 12.7818, accuracy 0.25, precision [0.0, 0.0, 0.5, 0.3333333333333333, 0.0, 0.0, nan, 1.0, nan], recall [nan, nan, 0.5, 0.25, 0.0, 0.0, nan, 0.3333333333333333, nan]
2019-02-19T18:04:30.430487: step 12, loss 11.7192, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.5, 0.5, nan, nan, 0.0, nan], recall [nan, 0.0, 0.0, 0.5, 0.6666666666666666, nan, nan, 0.0, nan]
2019-02-19T18:04:30.585981: step 13, loss 11.7679, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, nan, nan, nan, 0.0], recall [0.0, 0.0, 0.0, 0.6666666666666666, 0.4, nan, 0.0, 0.0, nan]
2019-02-19T18:04:30.744035: step 14, loss 10.935, accuracy 0.25, precision [0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, nan, nan, 0.0, nan], recall [0.0, 0.0, nan, 0.6666666666666666, 0.6666666666666666, nan, nan, 0.0, nan]
2019-02-19T18:04:30.898404: step 15, loss 10.2224, accuracy 0.3125, precision [1.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.5, nan, 0.0, 0.0, nan], recall [0.25, 0.0, 1.0, 0.6666666666666666, 0.5, nan, nan, 0.0, nan]
2019-02-19T18:04:31.054066: step 16, loss 9.72357, accuracy 0.25, precision [nan, 0.0, 0.0, 0.25, 0.4, nan, 0.0, 0.5, nan], recall [0.0, 0.0, nan, 0.25, 0.6666666666666666, nan, nan, 0.5, nan]
