text,class
tornare in camera e trovare l'armadio aperto #creepy #terremoto,no damage
altra scossa forte. #terremoto,no damage
e dire che non ci tenevo a fare la notte bianca #terremoto,no damage
non ha sentito il terremoto.,not relevant
#terremoto si trema ancora cazzo.,no damage
#terremoto grazie maya per il regalo di compleanno...,no damage
RaiNews24 annuncia morto nel ferrarese #terremoto,damage
Svegliata ben due volte nella stessa notte dal terremoto...,no damage
questa era propio piccola perche non ho sentito niente .... #terremoto #milano,no damage
#terremoto bussa ancora a Lucca,not relevant
Si balla ancora #terremoto,no damage
“danni a Ferrara” e come al solito fraintendo. Ah l'ottimismo… #terremoto #ciccione,damage
I TT sono #terremoto e #chelsea ma guai associarli,not relevant
Ciclone #cleopatra travolge la #Sardegna morti e dispersi #allertameteoSAR - http://t.co/RmUg25psEf via @NewsLeonardo,damage
Ah ecco non era suggestione altra scossetta ora ora #terremoto  ma che cavolo,no damage
E cmq grazie #terremoto :spenta luce alle 2.40 svegliato alle 4.03 ...,no damage
#terremoto a milano nuova scossetta,no damage
Mi ha svegliato il #terremoto sembrava crollasse tutto. #bologna,no damage
Scossa di terremoto avvertito a Ravenna a Bologna io non l'ho sentito,no damage
eh no non è ancora finita! Altra scossa ora in diretta #terremoto #Lugano,no damage
esprime solidarietà e sostegno ai cittadini dell'Abruzzo colpiti dal terremoto: http://htxt.it/vQ2C,no damage
Fanculo avevo quasi deciso di riprovare a dormire e via altre scosse #terremoto,no damage
#allertameteoSAR mi pare la morte del Twitter “di servizio” del 2007. Fra gente che inventa notizie numeri e dice di conoscere le vittime.,not relevant
Terremoto in centro e nord Italia? danni? tutto ok? #earthquake,no damage
Sardegna: 17 Morti. @SerieA_TIM perchè non donare incassi di tutte le partite agli aiuti e alla ricostruzione?#sardegna #allertameteoSAR,damage
Altra scossa di #terremoto #verona,no damage
Altra scossa ora di #terremoto. E siamo a 3!,no damage
#terremoto su SKY inizia la diretta,no damage
Nell'epicentro di #Bologna non si perde neanche un bambino. #terremoto,no damage
Mini scossa di assestamento? #terremoto,not relevant
Ancora.. allora gli uccelli non cantano dalla gioa... #terremoto #,not relevant
Se 'sto sciame sismico la finisce vorrei tornare a dormire. #terremoto,not relevant
alla faccia ne ha fatti di danni il #terremoto di stanotte non credevo! 5 morti…,damage
#terremoto a #imola e #Faenza nuova scossa...piccola per fortuna,no damage
#terremoto e ora basta eh! Che cazzo.,no damage
Scossa di assestamento ora #terremoto,no damage
#terremoto. In questo momento a #novara scossa ondulatoria. 6 piano. ORA,no damage
Parlano di danni a #finale e #modena. #terremoto.,damage
@slimshadylady perchè trovi dannoso che delle persone si iscrivano a gruppi di discussione sul terremoto?,not relevant
Lieve scossa di terremoto in Emilia segnalata via Twitter. - http://htxt.it/7hai,no damage
Terremoto a Roma segnalato via Twitter - http://htxt.it/xNzl,no damage
Terremoto a Roma segnalato via Twitter - http://htxt.it/so3N,no damage
Lieve scossa di terremoto in Emilia segnalata via Twitter. - http://htxt.it/RQ8K,no damage
Lieve scossa di terremoto in Emilia segnalata via Twitter. - http://htxt.it/hE8r,no damage
Terremoto a Roma segnalato via Twitter - http://htxt.it/hBNE,no damage
Lieve scossa di terremoto in Emilia segnalata via Twitter. - http://htxt.it/ToHH,no damage
#terremoto: su Twitter sembra proprio una scossa leggera. Le agenzie non hanno ancora battuto la notizia. Twitter è più veloce,no damage
Lieve scossa di terremoto in Emilia segnalata via Twitter. - http://htxt.it/lkFg,no damage
Terremoto a Roma segnalato via Twitter - http://htxt.it/F6pZ,no damage
#terremoto. Televideo RAI parla di una scossa di magnitudo 4.3 e intitola "forte scossa tra Marche-Romagna,no damage
Lieve scossa di terremoto in Emilia segnalata via Twitter. - http://htxt.it/F95w,no damage
Terremoto a Roma e a l'Aquila - http://htxt.it/9o2N,no damage
Altra scossa #terremoto sentita a Milano. Sempre settimo piano condominio...,no damage
#terremoto #Ferrara VI grado scala #Mercalli nessun danno per fortuna,no damage
che spavento #terremoto,no damage
mi date più notizie su #sanfelicesulpanaro terremoto?,not relevant
Altra scossa più leggera #terremoto,no damage
altra lieve scossa  #terremoto anche a #reggio appena riaddormentati,no damage
eh cazzo!! che botta!! #terremoto,no damage
Altra scossa #terremoto,no damage
Ancora anche qui Monfalcone #terremoto,no damage
nel crollo di bondeno (ferrara) dovuto al #terremoto sarebbe morta una persona,damage
Stanotte non si dorme uffa! Ancora una scossa #terremoto,no damage
@acciaipa manco il #terremoto ti sveglia.,not relevant
#terremoto tanto vale lavorare un po',not relevant
Altra scossa: rumore di fondo e oscillazione lampadario,no damage
#terremoto a Ravenna il divano si muove da solo... scossa di terremoto fortina,no damage
#terremonoto ok altra scossa!,no damage
#terremoto #ancora! Dai #maya fate veloce se proprio dovete...,not relevant
@SignoraAquilone @ssandrici sto chiusa in casa telefono isolato sono crollate delle strade e dei ponti qui in provincia #allertameteoSAR,damage
Eccone un'altra! #terremoto #Milano,no damage
Un'altra scossa. Stavo giusto pensando di tornare a dormire...,no damage
Danni incalcolabili a Padova #terremoto http://t.co/zZHzjiFW,not relevant
Un #terremoto la scorsa notte in Italia. Vittime e danni. :-(,damage
Altra scossettina giusto per non fare addormentare. #terremoto,no damage
#terremoto cazzo altra scossa. Breve stavolta,no damage
E chi cazzo dorme più? Beati i miei che a piano terra sentito un casso! #terremoto,no damage
"così impari a tenere tutte quelle pile di riviste!" #terremoto,not relevant
la bottiglia di Armagnac è salva #terremoto #mamma #lacrime,not relevant
e i tweet danno più informazioni della tv... #terremoto,not relevant
#terremoto di nuovo a Milano più leggero,no damage
altra piccola scossa a #milano #terremoto,no damage
Crollato anche il Duomo di Mirandola.. :/ #terremoto,damage
Visto il gran numero di chiese crollate si ipotizza un terremoto di matrice islamica.,damage
Altra scossa lunga ora avvertita a #vicenza #terremoto,no damage
Altra scossa. La discoball è il mio sismografo. Che due palle però.,not relevant
Terremoto sentito (p.Romana a Milano),no damage
Puttana la nuova scossa,no damage
O il mio palazzo balla oppure è ritornato il #terremoto a #milano,not relevant
Sardegna in ginocchio per il maltempo Il ciclone fa 14 morti decine di dispersi http://t.co/EBK93b3qsE via @la_stampa #allertameteoSAR,damage
Ancora scossa debole #terremoto #novara adesso è dura riuscire a dormire,no damage
bush c'ha beccato che volevamo rimetterci a dormire eh? #terremoto #bis,not relevant
#allertameteoSAR chiamato famiglia a Pula e sembra tutto a posto a parte la paura che stanotte ricominci il vento forte e faccia danni,no damage
Altra scossa #terremoto,no damage
Ora piove pure qui a #Modena # terremoto,not relevant
“@PiazzapulitaLA7: 9 morti in sardegna per i nubifragi.#AllertameteoSAR per chi puo' rendersi utile e dare aggiornamenti.”,damage
“@alportog: Nove morti e 5 dispersi Tra vittime poliziotto che scortava ambulanza. Ponti crollati http://t.co/yzVo2Y6jHi #allertameteoSar”,damage
“@ManuelaMassucci: Pazzesco la Sardegna crolla sotto un ciclone ma chi ne parla in TV? Quando finisce la partita magari?#allertameteoSAR”,damage
La chiamano informazione ? Nessuno sta parlando di quel che succede in #Sardegna 9 morti 5 dispersi #allertameteoSAR,damage
Altra scossa alla 05:02 avvertita bene in prov. di VE.,no damage
#terremoto : in Trentino (Riva del Garda) abbiamo ballato ancora,no damage
#terremoto Svegli solo io e il criceto.. vediamo di dormire,no damage
Albeggia sull'Italia sveglia per #terremoto,not relevant
#terremoto E nell'iperuranio di Twitter comincio' a farsi largo l'hashtag #Maya...,not relevant
sto paese sta proprio crollando in pezzi ...#italia #ita #terremoto,not relevant
Nella concitazione non ho capito dove sia l'epicentro reale sapete dirmi? #terremoto,no damage
E siamo alla terza scossa #verona #terremoto,no damage
Altra scossa,no damage
#terremoto altra scossa in questo secondo leggera ma non troppo #Ravenna,no damage
Scossa di Terremo forte avete sentito???,no damage
#terremoto #Milano #paura altra scossa ancora Cazzo,no damage
Altra piccola scossa #terremoto #milano,no damage
Qualche scossetta ancora.... #terremoto #paura,no damage
Brescia trema anche ora. #terremoto(Ufff!),no damage
#terremoto C'é chi dice danni ingenti in centro a  #finale #modena,damage
#terremoto ...e paghiamolo sto #canonerai ...perché un motivo ci sarà O.o,not relevant
Ancora forte #terremoto,no damage
terremoto qui: http://snurl.com/fb2i4,no damage
terremoto? Dove?,not relevant
altra scossa.. notte tellurica,no damage
E due!! Mi stavo riaddormentando! #terremoto,not relevant
Altra scossa! Eccheccazzo! #VR #Terremoto,no damage
Altra scossa di #terremoto... #Milano,no damage
Quinto piano qua si è svegli da un'ora. E chi dorme più? #terremoto a #Parma,no damage
scossa di assestamento mica leggera! Terremoto a Bologna.,no damage
Di nuovo. Svegliati dalla scossa. #terremoto #genova.,no damage
Le immagini del maltempo in Sardegna fanno male al cuore. Bruciano come sale su una ferita aperta. Forza grande terra! #allertameteoSAR,no damage
Un nuovo giorno. Giorno di morte e fango sulla #Sardegna. Un abbraccio stretto a tutti i sardi e alle loro comunità. #allertameteoSAR,damage
Zona industriale s.felice un sacco di danni :-(  #terremoto,damage
Nuova scala di misura dell'Energia del #terremoto .. "Gradi twitter",not relevant
Cappellacci: 14 morti #allertameteoSAR,damage
Molti i dispersi nel comune di torpè  #allertameteoSAR,damage
"@RADIORMT: ALLUVIONE in #SARDEGNA: ieri sono morti anche migliaia di animali!  #allertameteoSAR http://t.co/vTLP0Iq3H5",damage
Ancora terremoto cristoddio? Basta!,no damage
#terremoto Di nuovo??? Ma che è?!?,no damage
#terremoto si balla ancora,no damage
Cacchio di assestamento #terremoto,no damage
Gli uccellini cinguettano perchè è quasi giorno per chi lo chiede. u.u #terremoto,not relevant
E si continua a tremare #terremoto,no damage
Il terremoto. Limortacci.,no damage
DI NUOVO scossa #terremoto a San Bovio... argh stavo per andare a dormire :-(,no damage
#terremoto Finalmente qualcuno in tv ne parla (#RaiNews24),not relevant
#terremoto Ecco i primi assestamenti...,no damage
#terremoto Pazzesco dopo anni sto guardando la TV. Che oggetto curioso ma inutile...,not relevant
Se la smettesse però ora non sarebbe male #terremoto,no damage
Alè si balla ancora! #terremoto,no damage
Maltempo in Sardegna: morti e dispersi la tv generalista arranca #allertameteoSAR http://t.co/6kdcYiHCF4 via @tvblogit,damage
#terremoto #bologna accidenti all'assestamento!,no damage
Altra scossa di assestamento #terremoto #padova,no damage
Trema ancora #terremoto,no damage
Sarebbe il caso di dire: Soccia! #Bologna #terremoto #terremotobologna,no damage
A Mirandola venuto giù un pezzo di Duomo #terremoto #cronachedalterremoto,damage
Un disperso tra operai a #Bondeno. Fonte RaiNews. #terremoto #cronachedalterremoto,damage
3000 sfollati e 6 morti. Il triste bilancio del terremoto in Emilia #terremoto,damage
Dopo le catastrofi di oggi su #Italia1 danno "Vulcano"! #terremoto #masochismo,not relevant
#terremoto un'altra!!,no damage
Giuro qua non di svegliano neanche col #terremoto,no damage
Di buono c‘è che domani non rivedremo quella faccia da culo di Bertolaso. #terremoto,not relevant
Non capisco se è paranoia o assestamento. #VE #terremoto,no damage
Altra scossa ora piuttosto forte ora! #terremoto,no damage
ore 05:03 ancora #terremoto,no damage
Appena sentita scossa di assestamento a Moniga #terremoto,no damage
Tg2 in diretta crolla parte di Municipio già lesionato #terremoto,damage
Altra scossa fortissima ora siamo uscite di casa,no damage
Crepa nel muro di casa. #terremoto #ferrara http://t.co/m0XGxmvC,damage
Il terremoto era stato annunciato da Giampaolo Giuliani http://tinyurl.com/csotz2,not relevant
il terremoto visto dai media del resto del mondo: http://www.rudybandiera.com/il-sisma-abruzzese-visto-dal-resto-del-mondo-0406.html,no damage
Ma qualcuno ha sentito la scossa di terremoto delle 22.20 http://www.rudybandiera.com/terremoto-a-ferrara-0405.html,no damage
Nuova scossa di #terremoto  avvertita a genova ore 5.03,no damage
La mia settimana: mani ferite colica renale #terremoto,not relevant
nel #terremoto a crollare i vecchi edifici e ...i capannoni industriali....,damage
#terremoto nuova scossa avvertita a venezia,no damage
Un'altra scossa di #terremoto avvertita a La Spezia alle 05:04,no damage
Un'altra scossa di #terremoto più leggera!!!,no damage
#terremoto #mortacciTua nemmeno la notte si può avere pace in questa cavolo di vita??,no damage
Rieccolo. Ciao #terremoto mi mancavi. Eppure solo un'ora fa eri passato di qui :-P,no damage
Disastro #ambiente! MT @lanuovasardegna:Nubifragio in #Sardegna sale a sei il bilancio dei morti http://t.co/uTZLG864fn #allertameteoSAR,damage
#terremoto altra piccola scossa ondulatoria #Venezia,no damage
#terremoto e #skytg24 fa la diretta!!! Ascoltiamo per benino!! E chi dorme più?,not relevant
E no cazzo così non dormo più... Come va a Modena e dintorni? #terremoto,no damage
ha fatto danni il #terremoto?,no damage
uccellini permettendo provo a dormire... #terremoto #bologna,not relevant
Altra lieve scossa a #bologna,no damage
È vero sti uccellini  se ne fregano #terremoto,not relevant
Azz  ansa dice danni a persone #terremoto,damage
Eccone un'altra! #terremoto,no damage
leggo prime notizie di danni dall'emilia. speriamo bene. #terremoto,damage
Forte #terremoto a Genova. Fino a adesso si può sentire un po i tremori.,no damage
Nuova scossa! #terremoto,no damage
Casa danneggiata a Ferrara. #terremoto http://t.co/JhGnEDCg,damage
altra botta leggera breve #terremoto #monza,no damage
6 morti e 50 feriti  #terremoto,damage
3.000 sfollati 50 feriti 5 morti (7 sul Corriere ovviamente). #terremoto,damage
Ancora #Terremoto (più debole e laterale). Cristo.,no damage
#AllertameteoSAR Sardegna 16 morti e un “indefinito numero di dispersi” i video  – YouReporter NEWS http://t.co/QLapNzFaH4,damage
Mica è finita #terremoto,no damage
Insomma anche se si tratta di un #terremoto anche questi sono morti sul lavoro.,damage
Il lampadario dondola di nuovo #rimini #terremoto,no damage
pensa ai bimbi morti per il terremoto in Abruzzo; è un triste lunedì,damage
Di fronte ai morti ai dispersi e ai senzatetto in Sardegna silenzio in segno di rispetto #allertameteoSAR http://t.co/8255ro3jdN,no damage
nuova scossa di assestamento. #mantova #terremoto,no damage
Ancora scosse di #terremoto ...possibile che non ci siano notizie ufficiali???,no damage
Si ballla ancora. Terremoto bologna,no damage
Ma era Carlo Conti che dava la scossa o ne ho sentita un'altra?,not relevant
Si va là altra scossa #chidormepiù,no damage
Nuova scossa di terremoto 281 morti 400 euro a sfollati: Una nuova scossa di terremoto è stata avvertita alle .. http://tinyurl.com/cyoc35,damage
Un uomo è morto ieri a causa di un incendio in un bosco: Un uomo è morto ieri a causa di un incendio in un bosco.. http://tinyurl.com/cwqux5,not relevant
