tweet_text,choose_one_category
USGS reports a M1.7 #earthquake 70km ESE of Healy Alaska on 9/28/13 @ 2:45:15 UTC http://t.co/MQkCfKZisl #quake,other_useful_information
QuakeFactor M 3.0 Southern Alaska: Sunday September 29 2013 21:15:20 UTCSunday Septemb... http://t.co/edtau43Co2 #earthquake #quake,not_related_or_irrelevant
What you wanna say abt #TTP #PeaceTalks &amp; #Pakistan ??? Call now &amp; #LetsTalk to RJ @ubaid_imran Live Now Insaf... http://t.co/tUAIo0krST,not_related_or_irrelevant
Top Story: Pakistan quake survivors face long wait for aid: Awaran (Pakistan)- Tens of thousan... http://t.co/Cd6SYLXs5f #pakistan #news,donation_needs_or_offers_or_volunteering_services
USGS reports a M1.2 #earthquake 6km SSE of San Juan Bautista California on 9/27/13 @ 21:36:47 UTC http://t.co/ZBpGpA5kNE #quake,other_useful_information
@AQpk 1300+ People have been killed due to terrorism in last 15 weeks. http://t.co/vwUGXigs6p  #OverthrowCorruptSystem #Pakistan,not_related_or_irrelevant
Quetta quake toll 328 more deaths feared http://t.co/RQYwYjUnxh #Karachi #Pakistan,injured_or_dead_people
#Earthquake M 2.1 Northern California http://t.co/90COqYKVRf,other_useful_information
Azerbaijani Ministry of Emergency Situations offered to #Pakistan to hold rescue operations in the quake-hit regions http://t.co/rlrOxB65s6,donation_needs_or_offers_or_volunteering_services
#earthquake: M 1.0 Northern California http://t.co/6RRJuGEgb7,other_useful_information
Awaran mn 312 dead Keich mn 44 dead..:( #Balochistan #earthquake,injured_or_dead_people
Just Shocking #News #Earthquake in #Pakistan #st... http://t.co/SiDBPiGwbT,other_useful_information
#NASA Releases Images of #Earthquake Island off Coast of #Pakistan  Zalzala #Jazeera: http://t.co/hKoJPHA9Xc  #EarthChanges,other_useful_information
#earthquake: M 1.9 Island of Hawaii Hawaii http://t.co/MwWyOEaHvx,caution_and_advice
Khanchey bazi start on account of #earthquake victims  http://t.co/MgTkaQrq5l,other_useful_information
1000+ died and countless injuredmany homeless and living without any relief service after earthquake in #Balochistan http://t.co/E7sxwXwUJU,injured_or_dead_people
Small island after earthquake in Pakistan http://t.co/ueRxtmpdZ4 #Pakistan #Gwadar #Balochistan #Earthquake #India via @Ma_knows_all00,other_useful_information
Death toll in #Balochistan #earthquake mounts to 328 with 285 killed in #Awaran alone ~@PTVNewsOfficial #Pakistan,injured_or_dead_people
Balochistan #EarthQuake: Awaran's 95% houses are damaged - 1000+ deaths - Countless Injuries - No Medicines - No Relief. #Pakistan,injured_or_dead_people
(News) The villages that were http://t.co/IPzABit3hZ #Earthquake #Pakistan,other_useful_information
(News) #Balochistan earthquake: Life among the ruins in #Gajjar http://t.co/1MJszlZrAb #Pakistan,infrastructure_and_utilities_damage
Alert  U.S. Virgin Islands #Earthquake #Quake,caution_and_advice
New #Earthquake Magnitude 2.2 Monday September 30 2013 at 4:20:01 am (NZDT) 10 km east of Seddon: Public ID... http://t.co/d2TiBPftzL,other_useful_information
Watching Pakistan #earthquake News! Shocked 2 c..ppl.they still waiting f any helps 2 save Life! WaheGuru!,donation_needs_or_offers_or_volunteering_services
#earthquake: M 2.3 Southern California http://t.co/P7YGfPBbQE,other_useful_information
#earthquake M1.3: Southern California http://t.co/2vDndErHj1,other_useful_information
UK PM left everything when just one soldier died. Here a 1000 are feared dead and our PM is no where to be seen! #Balochistan #earthquake,injured_or_dead_people
5.0 #earthquake! Mon Sep 30 07:25:25 CDT 2013 near 142km NNW of #Kandrian #PapuaNewGuinea http://t.co/yd9FKPWgGa,other_useful_information
#currently #reading #word #wisdom #earthquake #faith #praying ðŸ™ðŸ™ http://t.co/deHuDeYqrj,sympathy_and_emotional_support
Earthquakes in #Pakistan timeline http://t.co/Y20lGxf9Pi Worst earthquake in 2005. 80000 dead 200000 injured 4 million ppl left homeless,injured_or_dead_people
How can anyone dislike #SMAP? Those guys are awesome. #311 #earthquake,not_related_or_irrelevant
#Balochistan PDMA is doing what it can with the next to nothing resources it has.. help them out people.. Ask them what they need exactly,not_related_or_irrelevant
2.4 magnitude #earthquake. 18km N of Middleton Island Alaska.http://t.co/pZJnCOqquV,other_useful_information
2.5 magnitude #earthquake. 9 mi from Hollister CA United States.http://t.co/fVg6dLjmYb,other_useful_information
#earthquake M 6.7 Kermadec Islands New Zealand http://t.co/ueylGfr3NX,other_useful_information
#Pakistan PM Nawaz Sharif said â€œIslam is a religion of peace compassion and brotherhood.â€,not_related_or_irrelevant
#ThanksMQM for helping people of #Pakistan in their bad &amp;amp;amp;amp;amp; good times via #KKF,not_related_or_irrelevant
#earthquake M7.0 NEAR THE COAST OF SOUTHERN PERU 45.8km 2013/09/26 01:42:43 JST[UTC+9 (G)http://t.co/Si755wz4lQ (USGS)http://t.co/6m5EfUHRAu,caution_and_advice
@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged,other_useful_information
News: #KKF Have Dispatched Three Trucks Loaded with Relief Goods for #Baluchistan #Earthquake Victims #ReliefByKKF http://t.co/2j3BPtc9FT,donation_needs_or_offers_or_volunteering_services
#Web:  Powerful 6.1-magnitude #earthquake strikes #Mexico http://t.co/hHDyLmTqMa,other_useful_information
#WhereIsNationalCounterTerrorismPolicy Nawaz shud know there is country call Pakistan. He is incharge of it #earthquake #terrorism #flood,other_useful_information
1.6 magnitude #earthquake. 5 km from Yucca Valley CA United States.http://t.co/zzzmE4uZ67,other_useful_information
#earthquake: M 1.0 Northern California http://t.co/uWqg8RYyIV,other_useful_information
Some sources said that 1200 rape cases have been registered in #Pakistan in last 6 months. :-( Nation needs some lectures on ethics.,not_related_or_irrelevant
Death toll reaches 329. They have run out of 'kafan'. Ya Allah rehem!  #Earthquake #Awaran,injured_or_dead_people
#EarthQuake : Packed food items/ grains bottled water meds tent/s can be deposited at COD DHA or any nearby Rangers Unit. #Karachi,donation_needs_or_offers_or_volunteering_services
September 30 1988. More Than 250 Innocent People Were Shot Dead In 5 Minutes! #HyderabadMassacre #Pakistan @MQMUSA,injured_or_dead_people
#earthquake: M 2.6 Central Alaska http://t.co/sFAz8knPC6,caution_and_advice
New island formed by a M7.7 #earthquake yesterday off the coast of Pakistan. http://t.co/VbGavW3rDE,other_useful_information
@etribune #Twitter #name #island #Pakistan #earthquake #possiblenamesofnewisland #ZalaZalaIsland,not_related_or_irrelevant
USGS reports a M1.2 #earthquake 13km N of Morgan Hill California on 9/28/13 @ 15:31:50 UTC http://t.co/ceZBTR6p2m #quake,other_useful_information
#PakArmy soldiers distributing relief goods among #Earthquake victims #bravo #salute2pakarmy !! http://t.co/c6oIVCarTS,donation_needs_or_offers_or_volunteering_services
ã€#USGS #Breakingã€‘ M 2.8 55km N of Hatillo Puerto Rico http://t.co/tczv51xzze #PastHour #28 #earthquake #tsunami #prayfromjapan,other_useful_information
"13 killed as #bomb #explodes in #Pakistan near #bus with government employees Pakistani police official says - AP",injured_or_dead_people
Prayers to those affected by the earthquake in #Pakistan,sympathy_and_emotional_support
#pakistan #quake kills 39 and creates island - http://t.co/6PKacTEImh,injured_or_dead_people
9 bullet riddle dead bodies were found in different parts of #Balochistan in Dera Bugti= 5 bodies and 4 bodies in Panjgur in 24hours @UN,injured_or_dead_people
The increase in electricity rates will destroy poor's life in #Pakistan. Even middle class will find it hard to accomodate it in budget.,not_related_or_irrelevant
Natural disaster or man made disaster end result is dead Pakistani May God have mercy on us all #Awaran #Balochistan #PeshawarChurchBlast,injured_or_dead_people
#MQM #Pakistan Balochistan: Two more islands pop up off Pasni coast: KARACHI: After the powerful earthquake of... http://t.co/HSxyLlFpLe,other_useful_information
#Earthquake 4.8 - 17km SE of Kushima Japan http://t.co/qIxYS6xAlJ,other_useful_information
