tweet_text,choose_one_category
#PrayForChile They've prayed for us Philippines because of the typhoon yolanda... It's time to pray for them.. xxx,sympathy_and_emotional_support
I hope that @justinbieber will follow me.I'm still waiting for this.I would be very happy if you make it happenreally.I love you babeä_¥Ÿ x57,not_related_or_irrelevant
Chile assesses damage after massive quake tsunami: SANTIAGO (Reuters) - Chilean authorities on Wednesday were... http://t.co/xjGjv6wYkM,infrastructure_and_utilities_damage
Disaster declared after Chile quake: Chile declares three northern regions hit by a 8.2 magnitude earthquake t... http://t.co/LOlnc3OYPc,other_useful_information
In the mean time hereäó»s our coverage of the Chile earthquake aftermath by @kimbui with assist from @meg_wagner http://t.co/OFNpIJrryh,other_useful_information
#newsofindia 6 Killed in Earthquake off Northern Chile - New York Times: Irish Independent6 Kill... http://t.co/qyqAjANWmh .. check out!,injured_or_dead_people
Massive Chile Earthquake May Not Be the "Big One" http://t.co/Y7oFOAhcLy,other_useful_information
"8.0-magnitude earthquake strikes off the coast of Chile. Tsunami war..."  http://t.co/vuWhW4qRAk,other_useful_information
Hard to believe that the Peru trip is almost over. I am so proud of the seniors in my family group - they did such a great job this week!,not_related_or_irrelevant
@nashtonkitty our little weirdo #lovehim http://t.co/sdW66s7ryo,not_related_or_irrelevant
Let's right Armando Cristian Perez,not_related_or_irrelevant
M5.0 OFFSHORE TARAPACA CHILE Depth 25.3km Apr 05 2014 00:33:57 UTC Apr 04 2014 20:33:57 at epicenter http://t.co/sbXn47tzj8,other_useful_information
äóì@CBSNews: JUST IN: 2 reported dead in #ChileEarthquake; 300 inmates escape from women's prisonäó,injured_or_dead_people
#PrayForChile... it's hard to cope after the earthquake esp when you know aftershocks will go on for days or even months.,sympathy_and_emotional_support
I'm belieber since 2009 and I will be forever. You're the Best idol I've ever had in my life :) i Love You So Much @justinbieber x11,not_related_or_irrelevant
äóì@QueenNigger: Chille's... I never liked dat restaurant... i hope dha cookers and dha servers are okay doe! #PrayForChile #ChileEarthquakeäó,not_related_or_irrelevant
227's YouTube Chili' microsoft227: 227's YouTube Chili' Chile Earthquake 8.0 Giant Earthqu... http://t.co/CayNo8JtOW Jamaal Al-Din - NBA,other_useful_information
My NBC News report from Northern Chile - Earthquake Damages Chilean Infrastructure  http://t.co/Fd0i5o0G2g,infrastructure_and_utilities_damage
#Albert_Stanlie INF: Chile earthquake: No tsunami threat to California officials say: A 7.8-magnitude earthqu... http://t.co/fl0hRiEOis,other_useful_information
#Earthquake #Sismo ML 3.4  OFFSHORE TARAPACA CHILE: MagnitudeŒæŒæML 3.4RegionŒæŒæOFFSHORE TARAPACA CHILEDate tim... http://t.co/Mj54epN28N,other_useful_information
#M5.5  #45km WNW of #Iquique #Chile #11April2014 12:00:51 UTC #PrayersForPapuaNewGuinea #PrayersForChile #USGS #NOAA http://t.co/QHlTdMDI2V,sympathy_and_emotional_support
Tsunami Alert Dropped Following Quake Off Northern Chile http://t.co/Utna79VTBE http://t.co/rCWNdEBXJf #peru,caution_and_advice
|MT @HumanityRoad's situation report on the earthquake in #Chile. http://t.co/PiYIBkDNUK ||#terremoto|,other_useful_information
@selenagomez #PrayForChile #chileneedyou #ChileEarthquake please we need you selena..,sympathy_and_emotional_support
Oh no terrible earthquake last night in Chile. #PrayForChile à__F,sympathy_and_emotional_support
Earthquake in Chile. 8.2 on scale and sets off landslides and tsunami.  5 are confirmed dead. We'll have the latest this morning.,injured_or_dead_people
#earthquake: M 3.9 - South-America Chile [Antofagasta] San Pedro de Atacama: Preliminary Earthquake Report:  ... http://t.co/RSB793fi9S,other_useful_information
On a related note Chile has weathered the earthquake very well. They're very prepared down there. And that was an 8.2. Wow.,other_useful_information
Tsunami alert after 8.2 Chile quake http://t.co/GbPJgEa2SO,caution_and_advice
Chile got a 8.2 earthquake  prayers go out to them _ô»ë_ô»,sympathy_and_emotional_support
Chile earthquake: How loss of life damage was minimized http://t.co/FanTvt3cFF,other_useful_information
Photos from Chile's northern coast via @jpwack http://t.co/n1NkYkxE3M #ChileEarthquake,other_useful_information
Chancheando! #instafood #instachile #chile #laserena http://t.co/wJPUfWY52Y,not_related_or_irrelevant
Chile lifts tsunami warning after quake kills 6 http://t.co/voTTAJ0Yg4,caution_and_advice
Photo: Crowds in Iquique Chile following large earthquake - @el_pais http://t.co/P01SqxQafv,other_useful_information
I added a video to a @YouTube playlist http://t.co/GKYIZ5Ux8g Tsunami Animation: Northern Chile 1 April 2014,other_useful_information
#chileearthquake Ppl of Chile learn from Japan's experience.  Evacuate. Even if nothing happens better to be safe.,caution_and_advice
Earthquake in Chile rumbling volcano in Peru. What is happening in South America? #PrayForChile,other_useful_information
@justinbieber see me please ! its my dream,not_related_or_irrelevant
Chile have a 8.2 magnitude earthquake. My prayers to the family at there !,sympathy_and_emotional_support
Prayers go to Chile hoping everyone is okay &amp; there's no more fatalities _ôÖî #PrayForChile_ô»,sympathy_and_emotional_support
Let's pray for Chile. I wish no one die :( #PrayForChile,sympathy_and_emotional_support
Un autre tremblement de terre au Chili! Chile again hit with massive earthquake! 7.4 this time. #FuerzaChile #TerremotoenChile,other_useful_information
New evacuations in Chile after major earthquake aftershock http://t.co/JRz2F28f5y,displaced_people_and_evacuations
USGS is providing up-to-date information on 8.2 #Earthquake &amp; Aftershocks Off Chile http://t.co/h7aa0keANg,other_useful_information
4.1 magnitude #earthquake. 126 km from Iquique Tarapaca #Chile http://t.co/UspdIkq1un,other_useful_information
@zaynmalik @Harry_Styles @Louis_Tomlinson @Real_Liam_Payne @NiallOfficial Whatever happens I'll always  be with youä»« 33,not_related_or_irrelevant
5.5 - OFFSHORE TARAPACA CHILE: Date: Thu 03 Apr 2014 05:51:44 UTCLat/Lon: -20.7733/-70.4011Depth: 26.86 http://t.co/42zDLgbdjS,other_useful_information
Japan issues tsunami alert after Chile quake expecting no damage: Japan has issued a tsunami alert following ... http://t.co/GerjHpPaNN,caution_and_advice
Lord God help them for their needs. #PrayForChile à_çEà_çEà_çE,sympathy_and_emotional_support
Chile's coast struck by strong aftershock a day after earthquake http://t.co/gdBC2FjRuW,other_useful_information
Use code surfchck to save 20% on ordering from FLEUROP .com #PrayForChile,not_related_or_irrelevant
