tweet_text,choose_one_category
Coachella keep it safe remnants arriving soon MT "@SRE_mx: No deaths or serious injuries of international tourists. #Odileâ€ @MyDesert,injured_or_dead_people
BBC News - Hurricane Odile damages Mexico's Baja California resorts http://t.co/fr6jbxqfF1,infrastructure_and_utilities_damage
LET'S HELP REBUILD BCS DEVASTATED BY HURRICANE ODILE  Hurricane Odile damaged Los Cabos. It left many people with... http://t.co/NP048l9tgk,donation_needs_or_offers_or_volunteering_services
"In the wake of Hurricane Odileâ€™s destruction to Mexicoâ€™s Baja Peninsula Sammy Hagar...made the difficult... http://t.co/HPTadzH9V0,infrastructure_and_utilities_damage
#News Residents Tourists to Shelters as Hurricane Makes Landfall http://t.co/ysWIEIwSXB,displaced_people_and_evacuations
Weakening Odile pushes up Mexico's Baja California: About 30000 tourists are in temporary shelters. Â Â Â Â Â Â Â Â  http://t.co/cLHOUdGI94 #Kabari,displaced_people_and_evacuations
A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/XBqealzotE #seo #internetmarketing,other_useful_information
airport in #cabo - total mess. category 5 hurricane. saying more damage than Katrina. people areâ€¦ http://t.co/dyxbiXNsaA,infrastructure_and_utilities_damage
Hurricane Odile: Travel advice for Canadians http://t.co/sXooj0ViUR,caution_and_advice
FollowMe-&gt; #Wascarx7 Residents Tourists Sent to Shelters as Hurricane Odile Makes Landfa... http://t.co/M2NUQisAew FollowMe-&gt; #Wascarx7,displaced_people_and_evacuations
Disaster Relief from Hurricane Odile Los Cabos and How You Can Help http://t.co/QikOIYtTBL via @@themexicoreport,donation_needs_or_offers_or_volunteering_services
Really hoping the damage in #loscabos from #odile didn't destroy this place on #CostaAzul.  Anyone in the area ha... http://t.co/ptdVBm7t7R,infrastructure_and_utilities_damage
damage at Cabo San Lucas Hurricane #Odile - photos courtesy of @Aldolr  http://t.co/25nPUE54bgâ€WOW! Just got married there!!,infrastructure_and_utilities_damage
A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore ov... http://t.co/E5MLYSB2Ji #amman #jordan,other_useful_information
Kudos - @VirginAmerica Aided the Post-#Hurricane Evacuation from #CaboSanLucas   http://t.co/5XAJKRFoLD  #airlines #givingback,displaced_people_and_evacuations
Foreign http://t.co/iE7jEjs7Yy by Lody Cash #HurricaneODILE #humiliation #healthcare #HelpSaveKelechi_ #hottestpics,not_related_or_irrelevant
A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore over Cabo San Lucas on Sunday night as t...,infrastructure_and_utilities_damage
#SuryaRay #Surya #SuryaRay #Surya A Path of Hurricane Odile's Destruction Seen... http://t.co/CabFvIL8AH @suryaray @suryaray @suryaray3,other_useful_information
A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/pHZKLHCRz5,other_useful_information
Prayers out to everyone being impacted by #HurricaneODILE,sympathy_and_emotional_support
Warnings of flash floods mudslides as Tropical Storm Odile batters Mexico-- http://t.co/4giB12mukR,caution_and_advice
#OdavelyMusic A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore ove... http://t.co/b9RKsq78ec,other_useful_information
A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore over Cabo San Luc... http://t.co/kvoRIj5sV7,not_related_or_irrelevant
Anyone w pics or info of damage at or near #SamPaguita #SanJosedelCabo? This is #playahotelera area on Paseo Las Palmas. TY. #HurricaneODILE,other_useful_information
Off to #CILAConf14 today. Role of the adjuster in spotlight as we help people affected by #Odile &amp; #KashmirFloods. @Crawford_News responding,donation_needs_or_offers_or_volunteering_services
Hurricane Odile caused severe damage at the airport in Los Cabos Mexico's national director of civil protection said.,infrastructure_and_utilities_damage
A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/FvDFur1htM,other_useful_information
A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore over Cabo San Luc... http://t.co/XWoWvJf2XG,other_useful_information
Sending thoughts and prayers to our guests &amp; team @CapellaPedregal! Glad #Odile  has passed!,sympathy_and_emotional_support
My prayers to the people of Baja California who were impacted by Hurricane Odile,sympathy_and_emotional_support
A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/gNuplsT6I9 via @Mashable,infrastructure_and_utilities_damage
Glad to hear that my family in Cabo is safe &amp; only had to deal with minor damages during the hurricane these last 2 days.,infrastructure_and_utilities_damage
A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/u4AJyspuxP #Mashable,infrastructure_and_utilities_damage
We all have to do something to help: Baja California Sur devastated because of hurricane Odile http://t.co/sHW7Ai7giP #HurricaneODILE,donation_needs_or_offers_or_volunteering_services
Am I the only one who hasn't said it? Hey National Weather Service What's the Big Odile?!   #stupidstormnames  for $200 Alex...,not_related_or_irrelevant
|Hurricane Odile Leaves Trail of Los Cabos Destruction || http://t.co/xFn8qR6njf http://t.co/sIpAti7FoV|,infrastructure_and_utilities_damage
Residents Tourists Sent to Shelters as Hurricane Odile Makes Landfall - ABC News: ABC NewsResidents Tourists... http://t.co/Rhlsg67rXz,displaced_people_and_evacuations
Photos coming through from now from damage at Cabo San Lucas #Odile - photos courtesy of @Aldolr  http://t.co/ybKYIiydFo,infrastructure_and_utilities_damage
A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore over Cabo San Luc... http://t.co/1iruGc0Our,other_useful_information
BBC News - Hurricane Odile damages Mexico's Baja California resorts http://t.co/swca68atmR,infrastructure_and_utilities_damage
@sonocarrie get to the AP and seek out help there. Best decision  we made #HurricaneOdile #SJD,other_useful_information
My deepest thoughts go out for the people at the Baja Peninsula. I hope future visitors cooperate bringing the port to life again. #Odile,sympathy_and_emotional_support
A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/J93Fj6nMYo #tech via mashable,infrastructure_and_utilities_damage
A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/cgFQFODtep,other_useful_information
#HurricaneOdile #The_next_war_in_your_homes America killed our children and our women will not leave you in and you're doing your security,not_related_or_irrelevant
A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/RsRd93FGqY #SoloConectate,infrastructure_and_utilities_damage
S: Google News Hurricane Odile damages Mexico's Baja California resorts - BBC News http://t.co/gGdbaikEJQ,infrastructure_and_utilities_damage
4 days trapped just got back from #Cabo after #Odile hurricane Prayers to our friends in Baja http://t.co/ags796mj7y,missing_trapped_or_found_people
haven't spoke to my mom in over 48 hours after #HurricaneODILE hit. please keep her in your thoughts &amp; prayers.,sympathy_and_emotional_support
Hurricane Odile damages Mexico's Baja California resorts - BBC News: BBC NewsHurricane Odile damages Mexico's ... http://t.co/GDKPEUna53,infrastructure_and_utilities_damage
Utah sisters plead for help for family stranded by Cabo hurricane - KUTV -: http://t.co/crMID1yIhQ #cabo #GetAlisonHome,sympathy_and_emotional_support
(#LosDelSonido) Hurricane Odile Slams Mexico's Baja California: Hurricane Odile leaves 'extensive' damage to homes hot...  (#Oye_Victor),infrastructure_and_utilities_damage
Hurricane Odile Blazed a Trail of Destruction Through Mexicos Baja California Peninsula As Seen From Space http://t.co/x8wYNvtBMq,infrastructure_and_utilities_damage
Odile leaves blazing trail of destruction: Mexico's government said late Monday night that army and commercial... http://t.co/t9cnxdwpWj,infrastructure_and_utilities_damage
Odile leaves extensive damage in its wake: NBC News' Bill Karins has updates on the damage left by Hurricane Odile. http://t.co/Fy3MYZLHeg,infrastructure_and_utilities_damage
Prayers go out to my brother in law and his wife stuck in cabo after hurricane odile. So crazy.,sympathy_and_emotional_support
( #TwiiteroXX1 ) A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane O... http://t.co/1a0lgGNZYP ( #TwiiteroXX1 ),infrastructure_and_utilities_damage
Keeping Cabo in or thoughts... Last night Hurricane Odile made landfall at the tip of Baja California Sur wreaki... http://t.co/fHNU0x14Fe,sympathy_and_emotional_support
Our thoughts and prayers to those in Southern Baja after Hurricane Odile... http://t.co/tN7aJTTVHr,sympathy_and_emotional_support
A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/benLwd0ZHx,other_useful_information
A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore over Cabo San Luc... http://t.co/BfIjA5E6Lm,other_useful_information
'Walking Dead' Scene In Baja After Odile; Tourists Airlifted Out As Storm ... http://t.co/AcsjoQLju1 #thewalkingdead,not_related_or_irrelevant
A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore over Cabo San Luc... http://t.co/JAD8ZwuInB,other_useful_information
Hurricane Odile damages Mexico's Baja California resorts - BBC News http://t.co/T0gY2zV7ko,infrastructure_and_utilities_damage
LET'S HELP REBUILD BCS DEVASTATED BY HURRICANE ODILE  Hurricane Odile damaged Los Cabos. It left manyâ€¦ http://t.co/MWv8Zbm6Ag,donation_needs_or_offers_or_volunteering_services
#Prayers for Baja California-terrible to read about all the devastation there bc if the hurricane  #cabosanlucas ... http://t.co/W0CONuTxlO,sympathy_and_emotional_support
3 new @DigitalGlobe image strips are up! Help map damage in #BajaCalifornia from #Hurricane #Odile http://t.co/aTUlzj0r9a #DonateYourTime,infrastructure_and_utilities_damage
@Belanova #cabo &amp; #baja HELP #hurricane devastation supplies and donations needed to #rebuildcabo #rebuildbaja http://t.co/dfFxa0vy32,donation_needs_or_offers_or_volunteering_services
#FindOdile #RiuSantaFe #HurricaneODILE Missing my friend staying here. Mother last heard from her since Monday.HELP! http://t.co/500T98Cfd8,missing_trapped_or_found_people
Plz say #prayers for my #family #friends that r in #cabosanlucas they r dealing with #hurricane #odile #cabo #ba... http://t.co/yTNJOhmxiC,sympathy_and_emotional_support
For the most comprehensive information on the aftermath of Odile: damage power outages internet missing... http://t.co/jzYCnyW7NW,other_useful_information
Beyond devastated to hear and see the damage in Cabo from #Odile  Thoughts and prayers for all andâ€¦ http://t.co/RNdLn8iIcu,sympathy_and_emotional_support
Monsoon hurricane Odile help southwestern Colorado precipitation totals for water yearÂ #COdrought http://t.co/yt9faAjaI6,caution_and_advice
Hurricane Odile damages Mexico's Baja California resorts - BBC News http://t.co/Npq8tdoGu4,infrastructure_and_utilities_damage
any crisis irc channels or wiki pages co-ordinating help for folks in baja/cabo? my dad is stuck  #Odile,donation_needs_or_offers_or_volunteering_services
#HurricaneOdile leaves a path of destruction in Mexico: http://t.co/2dWxeiewSM #ABCÂ ,other_useful_information
3:15 p.m. MDT: There have been no confirmed deaths at this time but 135 people have been treated for injuries due to Hurricane Odile.,injured_or_dead_people
@CNNImpact Team #IMPACT is keeping an eye on Hurricane #Odile We will keep you posted with possible ways to help! Stay tuned with @CNNimpact,caution_and_advice
A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/tudBwEYvcK,other_useful_information
#socialmedia #news A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/FMPOPUm0ZO,infrastructure_and_utilities_damage
Holidaymakers take shelter after Mexico is battered by Hurricane Odile http://t.co/FDfeqFrfL7,displaced_people_and_evacuations
#Hotels #Hospitality Odile causes hotel damage along Baja peninsula: There have been reports of damage to hote... http://t.co/RLJsah01q6,infrastructure_and_utilities_damage
Tourists in Baja California look for shelter as Hurricane Odile wreaks havoc http://t.co/EQ7LE17SdU,displaced_people_and_evacuations
A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore over Cabo San Luc... http://t.co/FkRJOaVccZ,infrastructure_and_utilities_damage
San Diego fiance pleads for Hurricane Odile aid: While a bachelorette party from San Diego is strand... http://t.co/RV15HsuVCy #SanDiego,donation_needs_or_offers_or_volunteering_services
A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore over Cabo San Luc... http://t.co/JHk7S6pZLf,infrastructure_and_utilities_damage
â€œ@weathernetwork: IN PHOTOS: Damage caused by Hurricane #Odile: http://t.co/N0VncBOw1w http://t.co/Mzt5cu4PQ1â€,infrastructure_and_utilities_damage
#odile here is a great opportunity to help provide clean fresh water to the BAJA https://t.co/NF5FUgCpG8,donation_needs_or_offers_or_volunteering_services
Fall visitors to #Cabo should contact travel agents re:damage from hurricane Odile to resort &amp; hotels... http://t.co/y6WkMKAOP1,infrastructure_and_utilities_damage
Hurricane Odile damages Mexico's Baja California resorts - BBC News: BBC NewsHurricane Odile damages Mexico's ... http://t.co/nRuy8sGA2o,infrastructure_and_utilities_damage
PHOTO: Wow! Damage from #Odile in Cabo. Overturned car teetering on wall - http://t.co/hBwRd2hSRt via jenniferlibby183 on IG (@JimCantore),infrastructure_and_utilities_damage
Waiting patiently for rescue flight #hurricaneodile #hurricane #cabo #cabosanlucas #scary #disaster #loscabos #ba... http://t.co/bW84Qkaofk,displaced_people_and_evacuations
A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore ove... http://t.co/71I4V4r2Dz #mashable #in,other_useful_information
A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore over Cabo San Luc... http://t.co/pkmkrch6DE,other_useful_information
Hurricane Odile Hits Cabo Dead ON! Good article on Cabo lots of pictures. . . .  People like crazy changing... http://t.co/SyKe7qHyxF,other_useful_information
Click here to support Odile: Baja Brewing Workers Aid by Jordan Gardenhire http://t.co/fUQdqCHTCG,donation_needs_or_offers_or_volunteering_services
A Path of Hurricane Odile's Destruction Seen Through Instagram http://t.co/l1WZ6xnPZa,infrastructure_and_utilities_damage
|Significant #Hurricane damage...  || â€œ@SSinArkansas: Hotel shuttle van overturned. #odile #cabo http://t.co/pJlg2dyaT5â€|,infrastructure_and_utilities_damage
@lindaorr4u Did you see Sammy Hagar canceled his 25th Annual Birthday Bash in Cabo due to the Hurricane damage?,other_useful_information
Good morning everyone...having my coffee and glad the hurricane headed up toward Cabo...prayers going out to the people there this morning..,sympathy_and_emotional_support
Restaurant damaged. Half of pool in the ocean. #Odile http://t.co/ArE1xNNObB,infrastructure_and_utilities_damage
Hurricane Odile leaves trail of destruction in Mexico http://t.co/GEq46B44Bt,infrastructure_and_utilities_damage
#HurricaneODILE Update: Two Reported Dead as Residents Prepare to Restart Lives in Damage Zones http://t.co/cY1Dmb6SjL,injured_or_dead_people
Scary posts from the landfall in Baja scroll down to "Damage from Odile will be heavy" section http://t.co/XsX6HTKY2P,other_useful_information
[ #FrancisSantana_] A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came asho... http://t.co/AeDL4ESNHg,infrastructure_and_utilities_damage
Daily Rant&amp;Rave: Rescue from Hurricane Odile #Seattle http://t.co/qJJnt98hKn,donation_needs_or_offers_or_volunteering_services
If you have suffered insured property damage from #HurricaneOdile contact us at 888.473.3677.,infrastructure_and_utilities_damage
A Path of Hurricane Odile's Destruction Seen Through Instagram: Hurricane Odile came ashore over Cabo San Luc... http://t.co/l5kTi94WFX,other_useful_information
Hurricane #Odile Leaves Trail of Los Cabos Destruction - http://t.co/kDxmSbpS39 via @ilstv,infrastructure_and_utilities_damage
Hurricane Odile Slams Mexico's Baja California: Hurricane Odile leaves 'extensive' damage to homes hotels businesses in Baja California,infrastructure_and_utilities_damage
