tweet_text,choose_one_category
NASA sees Hagupit weaken to a depression enroute to Vietnam http://t.co/POiopaevso,other_useful_information
TT WorldWide 05:17 1.#NEvsSD 2.#EatenAlive 3.#MasterChefMenudeReyes 4.#OTRATIsCanceled 5.#RubyPH 6.Akeem Ayers 8.Jonathan Becerra 9.Weddle,not_related_or_irrelevant
Google inbox invite http://t.co/R3VC6pjOUA http://t.co/zJ5QWhiVEI WEBSITE   #WORDPRESS  #NEvsSD #AskTroye #RubyPH #OnToMiami,not_related_or_irrelevant
Manila suspends classes in ALL LEVELS tom Dec. 8 2014. #RubyPH #walangpasok,other_useful_information
Four Killed As Typhoon Slams Into Philippines http://t.co/HNQAosCVdx,injured_or_dead_people
The children need us again. http://t.co/maExo3Wwq3 http://t.co/jrTuWH5Ji3 via @operationsafe #typhoon #RubyPH âŠ•http://t.co/qC08VfftA8,not_related_or_irrelevant
"@AngPoetNyo: HOLLAND---Hope Our Lash (hagupit) Leaves Arriving Nippon Directly ! Ngek ! JAPAN---Just Always Pray And Newsread (na lang)!",sympathy_and_emotional_support
Devastation in The Philippines but You Can Help a Family Rebuild at Christmas. http://t.co/WQ0dZ0yHx6 #vr4smallbiz,other_useful_information
@xiuminout sorry to hear that á½¤Fá½¤Fá½¤F pray for Philippines!!! I wish people there are safe n that typhoon is gone sooná½¤Fá½¤Fá½¤F,sympathy_and_emotional_support
Philippine capital braces for storm as Hagupit leaves 27 dead: Source: http://t.co/WwlS6QH4TEâ€¦ http://t.co/4lKoZiN1xb,injured_or_dead_people
As always thank you world for watchin' over us. #Hagupit,other_useful_information
Typhoon Hagupit: Philippines rushes aid to thousands displaced by storm - ABC Online http://t.co/1b0rcufz23 #Typhoon,displaced_people_and_evacuations
|â€œ@DepEd_PH: CITY OF MANILA || #walangpasok Classes in ALL LEVELS are suspended tomorrow Dec. 9 2014 || via @iskomorenoâ€|,other_useful_information
|Valte: The bunkhouses were designed to withstand typhoons w/ 150kph but #RubyPH was stronger || @nikkodizon|,other_useful_information
Black&amp;White be like  #RubyPh http://t.co/Z7dhQBKmhj,not_related_or_irrelevant
#RubyPH Stay Safe!! Don't forget to pray.,sympathy_and_emotional_support
Philippine forecasters say Typhoon Hagupit has slammed into eastern coast with ferocious winds http://t.co/xz9L0OVG9O,other_useful_information
FLIGHT ADVISORY: Due to super typhoon #RUBY (international name: #HAGUPIT) some flights have been cancelled.... http://t.co/NFCtx2fJAP,caution_and_advice
[News5] At least 27 dead says Red Cross as Hagupit weakens into a tropical depression http://t.co/a67WDZyDrH,injured_or_dead_people
Please be guided. Keep safe everyone! #RubyPH http://t.co/GYqQR16CFw,caution_and_advice
"@DepEd_PH: Please be prepared and take precautionary measures. Stay safe everyone! #RubyPH http://t.co/xXfFgEeLhQ",caution_and_advice
Massive evacuation as Typhoon Hagupit nears Philippines http://t.co/BT5eR3w7YK,displaced_people_and_evacuations
Keep safe everyone !!God Bless us ..#RubyPh,sympathy_and_emotional_support
just pray and everything will be ok. #RubyPH,sympathy_and_emotional_support
@thinkprogress I guess this is the first time the Philippines has ever been hit by a typhoon. Damned suv's!,not_related_or_irrelevant
Take care everyone! God bless.  #RubyPH,not_related_or_irrelevant
Sad at what is happening in the philippines...seems to have a typhoon every year..,sympathy_and_emotional_support
Typhoon Hagupit evacuation steps up http://t.co/BvEKC2xtrk,displaced_people_and_evacuations
Typhoon Hagupit: aid effort praised as one million flee to safety in Philippines: Woman gives birth in an evac..... http://t.co/ZlSdV1jNOK,displaced_people_and_evacuations
@UNDevelopPolicy:UN relief agencies prepare emergency resp.as #typhoon approaches #Philippines:http://t.co/jHQhiqsU1m http://t.co/tRIljxZr7H,donation_needs_or_offers_or_volunteering_services
Can someone tell me all this was a dream.. :( #RubyPH #Hagupit,not_related_or_irrelevant
|Hagupit Ravages Philippines || Watch: http://t.co/U2hNgBKSKT|,infrastructure_and_utilities_damage
â€œ@CNN: Typhoon Hagupit pummels Philippines threatens flooding landslides. http://t.co/Iz1ZzH8EUh http://t.co/ESGSqYGsaBâ€@Aye_Chacon á½£1,other_useful_information
good night be safe everyone #RubyPH,sympathy_and_emotional_support
please share. # Hagupit #RubyPH http://t.co/yPvmmUfm1K,other_useful_information
ughh boreddd :.. á¼³5á¼³5á¼³5 #RubyPH http://t.co/EF9kZuIqDg,not_related_or_irrelevant
GOD BLESS US ALL! HAVE FAITH GUYS! WE CAN DO THIS THOUGH CHRIST WHO STRENGTHENS US! FIGHTING JUAN! #Hagupit #RubyPH #PrayForVISAYAS,sympathy_and_emotional_support
#RubyPH  is considerably far off our town.. Update as of 5am today.. http://t.co/r1k6EFSTIU,other_useful_information
Watch:  Typhoon Hagupit Sweeps Across the Philippines http://t.co/GRBlCf1SU4,other_useful_information
#Asia â–ª Typhoon slams Philippines over 1 million flee: A powerful typhoon ploughed through the central Philip... http://t.co/lUuz6ambgE,displaced_people_and_evacuations
|SAN ILDEFONSO BULACAN || #walangpasok Classes in preschool &amp; elementary are suspended today Dec. 9 2014 || via @PDRRMCBulacan|,other_useful_information
Typhoon #Hagupit (#RubyPH) is slowing but threatens to cause major flooding &amp; dangerous landslides. Get the latest: http://t.co/BNrVTz5mnb,caution_and_advice
Typhoon Haiyan Philippines: A girl walks along the shore as strong waves from Typhoon Hagupit hit Atimonan Q... http://t.co/rBgWZzqdV2,other_useful_information
all levels sa laguna no classes tomorrow (december 52014) #RubyPH,not_related_or_irrelevant
Photoset: ultralaser: Philippines typhoon makes landfall - http://t.co/GhraXJzEcF... http://t.co/wmxi8CizVX,other_useful_information
Powerful typhoon slams into eastern Philippines: 650000 people flee to safety still haunted by massive death... http://t.co/XDxq974jve,displaced_people_and_evacuations
Keepsafe everyone!! Stay dry'all. :) #RubyPH,sympathy_and_emotional_support
As of 5 pm storm signals are up in 29 provinces due to #RubyPH. On what these signals mean: http://t.co/vqOGcAd3bM http://t.co/P7homMt250,caution_and_advice
#LeadCouture Typhoon Hagupit: at least three dead and a million evacuated in Philippines: Category 3 Hagupit â€“... http://t.co/SY2qSBYCPK,injured_or_dead_people
@rukmini_shrini MSG: U HAV 2 READ HER STORY TILL D END! http://t.co/ifnC2ZNEqR http://t.co/zXtD7zuEYx Fav &amp; RT #RubyPH #Touchtalent,not_related_or_irrelevant
A year of work has saved lives. The #RubyPH zero casualty as of today is testimony to post #yolanda disasterprep work http://t.co/ahEX0eUSG2,other_useful_information
#Fredrikshamn VIDEO: 'Terrifying night' as homes hit by Typhoon: Typhoon Hagupit is sweeping across the Philip...  http://t.co/jcUbmwjNXk,other_useful_information
Philippe Lopezâ€™s best photograph: a procession after Typhoon Haiyan hit the Philippines http://t.co/emFAK466sO,other_useful_information
The typhoon's eye is in my place. tssssk #RubyPH,other_useful_information
3 deaths injuries reported as Typhoon Hagupit floods parts of the Philippines http://t.co/BMsb4qejAp,injured_or_dead_people
"@aremgee777: Father You are King over the flood; I will be still and know You are God. Be safe everyone! #RubyPH",sympathy_and_emotional_support
Uff!! it caught ;-) Typhoon howls through Philippines more than 1 million flee - Reuters: ReutersTyph... http://t.co/Usm4b8w266 #gossip,displaced_people_and_evacuations
We have been tracking the movement of typhoon #Hagupit #RubyPH https://t.co/2cfPGfYDz5 http://t.co/QDuDaxrE8P,other_useful_information
@StarWorld_PH first lady @BrendaSong #HappyTyphoon #RubyPH #BSonSW #18DaysToChristmas #starworldlovesbrenda,not_related_or_irrelevant
|#WalangPasok || Work in govt offices in NCR Regions IV-A IV-B suspended; courts in 3 regions closed too http://t.co/tRXKfyPj3L|,other_useful_information
God is with us have faith and please dont forget to pray. Good night! #RubyPH #PrayForVISAYAS,sympathy_and_emotional_support
Hagupit batters Philippines 2 dead http://t.co/atw1gahaIC,injured_or_dead_people
â€œANCALERTS: (2/4) Signal #1: Calamian Group of Islands Cuyo rest of Antique rest of Iloilo Guimaras #RubyPHâ€,other_useful_information
TC #RubyPH Update: 1:00 AM today 08 Dec.2014 Typhoon RUBY was located @ 90km NW of Masbate City Masbate (12.8 N 122.9 E) ...,other_useful_information
Super Typhoon Hagupit heads to Phillipines. Disruption to travel and anticipated heavy destruction. http://t.co/9nTVJDXQ0m #prayers #typhoon,caution_and_advice
#Hagupit downgraded to a tropical depression as it heads toward Vietnam: http://t.co/t5slXJcAf7 #RubyPH http://t.co/C05mVaRGfQ,other_useful_information
|IN THE EYE OF A STORM || How did PAGASA get 'Hagupit' right? http://t.co/CaDBHX0Ukw|,not_related_or_irrelevant
Let us pray for the safety of the people from tacloban and in other areas. #LuzViMinda #RubyPH #StaySafePH #BeAlert #Pray,sympathy_and_emotional_support
"@carylfornia: WTF PHILIPPINES  CAMERON SEND HELP @camerondallas  #ExpelledMovie" 5 http://t.co/MSIajDHXv0,not_related_or_irrelevant
@9newsph #WalangPasok in Cebu City tomorrow December 8 in all levels Public &amp; Private http://t.co/rTGxHb320v,not_related_or_irrelevant
Dolores eastern Samar other municipalities are not expected to have electricity or communications back for another 2-3 months #Hagupit,infrastructure_and_utilities_damage
WhattaFace! Lol á½ 2á½ 2á½ 2 ulat panahon kuno. So timely for Hagupit. Keep safe Philippines! á½¤F http://t.co/f4o38DKKWk,sympathy_and_emotional_support
#Hagupit a Haiyan-like threat to the Philippines. http://t.co/yikjjZn2T2 http://t.co/6Fl4HJGwKZ,caution_and_advice
Facing a typhoon is much scarier when you're alone. á½¢D I should've gone home. á½¢Dá½£0 #RubyPH,caution_and_advice
Typhoon lashes east Philippines with heavy rain: Typhoon Hagupit makes landfall in the Philippines battering ... http://t.co/gUOXsDBJS8,caution_and_advice
Rain or shine we have to be in the hospital for work. #nurse #RubyPH,not_related_or_irrelevant
Super Typhoon RUBY  #TyphoonRuby  #TyphoonHagupit #RubyPH #Hagupit expected rain and path. http://t.co/FwBu5oQy8W,caution_and_advice
Super Typhoon Hagupit: 500000 Flee As Storm Approaches http://t.co/x1ey5dz16g,displaced_people_and_evacuations
Typhoon #Hagupit #Ruby sit-rep &amp; preparedness info from: http://t.co/jlC20gj45P @didrrn,other_useful_information
yes!!!! finally im going home. keep safe y'all #earlyclosing #BADweather #RUBYph,not_related_or_irrelevant
Typhoon #Hagupit on collision course with Philippines https://t.co/BjjsDyfP24,caution_and_advice
TYPHOON RAGES 3 dead 900000 flee as storm rips Philippines:  http://t.co/Lu9VbMh2Io,injured_or_dead_people
Now on TALKBACK: Ambassador Marciano Paynor &amp; Fr. Anton Pascual both from the papal visit committee. Will #RubyPH affect #PopeFrancisPH?,other_useful_information
Singapore Red Cross to deploy team contribute S$60000 to Hagupit aid http://t.co/wLPzEtXgFA #civil_vision,donation_needs_or_offers_or_volunteering_services
Helpful Hotlines. Pls spread the word. #RubyPH #MovePH http://t.co/SfQ9n9jdMW,donation_needs_or_offers_or_volunteering_services
Disaster management teams are preparing for the worst ahead of Typhoon Hagupit expected landfall in the Philippines early Sunday,other_useful_information
World -  Schools offices shut as typhoon bears down on Philippines http://t.co/gCfZbhU1j5 #Reuters,other_useful_information
#wearethepeople Philippines Typhoon Hagupit evacuation stepped up - BBC News http://t.co/Y7RCZedfbL,displaced_people_and_evacuations
#Top_Stories #news Typhoon drenches Philippines: Andrew Stevens reports from Tacloban ... http://t.co/0rWe4r52P2 http://t.co/vaFAf5hdCQ,other_useful_information
Deaths mount as typhoon churns over Philippines http://t.co/02XPmQwLyE Bing News Top,injured_or_dead_people
Keep safe and dry my kababayans! #PrayForThePhilippines #RubyPH,sympathy_and_emotional_support
"@CallanMcAuliffe: I hope all you fruitloops in the Philippines are preparing for typhoon #Hagupit #RubyPH stay safe!",caution_and_advice
