tweet_text,choose_one_category
|Cyclone Pam hits New Zealand - dominion-post || http://t.co/cT7mCvgcwX - http://t.co/HyvLlOndsZ http://t.co/okKedXJaub|,other_useful_information
#CylonePam devastates #Vanuatu: Regional disaster #insurance scheme can help fund gvt rebuilding efforts http://t.co/MmeMzSKW13 #WCDRR,infrastructure_and_utilities_damage
|Vanuatu ‰_ #RT Cyclone Pam Lashes Vanuatu with Category 4 Winds || The Weather Channel - The Weather Channel  http://t.co/trEGs05JnN|,other_useful_information
Aid agencies: Vanuatu conditions more challenging than Philippines typhoon http://t.co/G9WIl4qrHx,other_useful_information
Cyclone Pam: solutions to the human cost of climateåÊchange http://t.co/mOkdLWNRSj,other_useful_information
@pami42 he he how's it going Pam?,not_related_or_irrelevant
Thousands await aid in Vanuatu as death toll increases - Fox News http://t.co/RZzbiN1VwK,injured_or_dead_people
#Death toll varies as officials struggle to assess Cyclone Pam's damage - Fox News http://t.co/ZsvYBCSinO,injured_or_dead_people
'Complete devastation' after cyclone hits island nation of Vanuatu http://t.co/MwqMyNkhuA,infrastructure_and_utilities_damage
Devastated Vanuatu starts to get aid http://t.co/1YdPzHrrfO,donation_needs_or_offers_or_volunteering_services
Sam Smith - Lay Me Down (Red Nose Day 2015) ft. Jo... =&gt;&gt; http://t.co/ozXe5tEIdU  Timeline #Vanuatu ##xfactornz #‰Û_ http://t.co/ZO4FjKtdBi,not_related_or_irrelevant
http://t.co/KSurW74TxO. Tracking link for cyclone pan @PhilipDuncan,other_useful_information
|Cyclone Pam: Untangling the complex science on tropical storms and climate change || Carbon Brief http://t.co/mTx9dewNfB|,other_useful_information
Tropical Cyclone Outlook for the Northern Region including the Gulf of Carpentaria Issued at 2:15 pm CST on... http://t.co/4GlOZhgQWX,caution_and_advice
Thank Pam for the favored http://t.co/eOO0l4rdqY,not_related_or_irrelevant
Vanuatu begins relief efforts after massive cyclone hits struggles to assess damage http://t.co/9ddYSmg2Ti,other_useful_information
United Nations 'fears the worst' after typhoon batters Vanuatu #Vanuatu. http://t.co/9Q3rRIj8fC,other_useful_information
Cyclone sets country back years: Jacobeth Nilah wails in pain in the storm-battered hospital. http://t.co/4fdcTAV10f,other_useful_information
Creatine-enriched high-protein Cyclone Milk 'world's first': MaxiNutrition http://t.co/EoQz1YStb5 via @NutraEurope,not_related_or_irrelevant
Pam Anderson -- Rick Salomon Made $40 Mil Last Year ... Playing Poker with ONE GUY!!! http://t.co/nWTxrt6aSR,not_related_or_irrelevant
http://t.co/oomvAwbZZt Vanuatu takes direct hit from Cyclone Pam possibly worst in ... #retweet #news http://t.co/rRYktLT4eN,other_useful_information
I'm tryin so hard not to laugh while Pam got this hot comb to my hair ‡_Ê2‡_Ê2,not_related_or_irrelevant
The BBC could have checked Wikipedia for the truth about Cyclone Pam: The storm which devastated Vanuatu is no... http://t.co/1jPEoP9Nlx,other_useful_information
Pam Anderson Files Restraining order Against Rick Solomon ... Allegations of 'Serial Baby Killer' http://t.co/DILmHlxuVC,not_related_or_irrelevant
Feeling for the beautiful people of Vanuatu. Recovery will take a long time. http://t.co/ZdG4eF6rh9,sympathy_and_emotional_support
Still awake. Watching Cyclone Pam on earthwindmap. Very near East Cape North Island now. http://t.co/EDRr9SFcvS,other_useful_information
