tweet_text,choose_one_category
#money #news #top #b Magnitude-7.9 quake hits Nepal causing big damage injuries  Get $$ http://t.co/JfuQkytCx8,infrastructure_and_utilities_damage
My thoughts and prayers to everyone in Nepal... http://t.co/X71NzSFThH,sympathy_and_emotional_support
@sweetasingh LIVE from Airport Kathmandu 19:03hrs in conversation with AOK in Studios http://t.co/r9dGNR8kBl,other_useful_information
think of Nepal over 5000 daed my by more that isnot climate change its natur whatis next not even mother nature can help that how it is,injured_or_dead_people
Nepal #earthquake: climber captures Mount #Everest #avalanche  - #c4news http://t.co/PQVl4fGmYy,other_useful_information
kontext_bat: RT WSJ: Google executive Dan Fredinburg killed in Everest avalanche after Nepal earthquake ‰Û_ http://t.co/FxC3K1WB3t,injured_or_dead_people
Buried for 5 days and still alive - Five days after a massive earthquake decimated large swaths of Nepal flatteni... http://t.co/fWPxDUrLTc,missing_trapped_or_found_people
My Prayers for the people in #Nepal  please send positive thoughts and prayers  with me . http://t.co/nIoQj6a1FZ,sympathy_and_emotional_support
If you want to help #Nepal @GOOD has curated a number of ways you can lend your support: http://t.co/nCFC3V1Yub,donation_needs_or_offers_or_volunteering_services
RFI Khmer Radio - nepal earthquake 5days after: http://t.co/CdohnitX2f via @YouTube,other_useful_information
#GYASA with  #hope_nhumanity  #SaveNepal  #NepalQuakeRelief  #GoingfromDelhi #volentiersFromDelhi #jainepal  https://t.co/kzzbwaESY1,donation_needs_or_offers_or_volunteering_services
Atonce Help from India &amp; Abroad is appreciable in Nepal/India Earthquack desater thanks them# Heartly condolence for those who have no more,donation_needs_or_offers_or_volunteering_services
Microsoft offers free Skype calls in Nepal Facebook donates $2 million http://t.co/ruGqXVhQdX,donation_needs_or_offers_or_volunteering_services
Google exec dies in Mt. Everest avalanche after Nepal quake http://t.co/s0jpaUROB1 #Startup #Entrepreneurs #Ideas,injured_or_dead_people
She is a true Nepali https://t.co/9Owfe7QVhv,not_related_or_irrelevant
Our prayers for all the Tibetans and Nepalese that have died or been affected by the terrible earthquake in Nepal... http://t.co/aJQS8QOjjx,sympathy_and_emotional_support
Nepal earthquake: Kathmandu turns into city of tents as victims seek refuge - The Straits Times http://t.co/ZBF0PAM6rC,displaced_people_and_evacuations
‰Û÷Maldivian‰Ûª to travel to Nepal to evacuate Maldivians from the country http://t.co/5jqfpfTUSe,displaced_people_and_evacuations
"@BAP_Bangyongguk: Praying for the people in NEPAL",sympathy_and_emotional_support
80 hours! ! GOD!! https://t.co/sNetLbIskQ,not_related_or_irrelevant
Nepal receives heavy rainfall #NepalEarthquake http://t.co/J9DwIrw69n,other_useful_information
@Oprah so what about #earthquakenepal,other_useful_information
How to help earthquake victims in Nepal http://t.co/oPpbPsLfIF via @mashable,donation_needs_or_offers_or_volunteering_services
"Tourist are at street  today morning in Thamel Kathmandu." #Nepal #Kathmandu #Thamel https://t.co/kZ0tJSZZ1E,displaced_people_and_evacuations
Lets take a moment n #PrayForBaltimore #prayfornepal #GODISNEEDED ‡__F‡__F‡__F,sympathy_and_emotional_support
Nepal earthquake: death toll exceeds 1500 ‰ÛÒ rolling report http://t.co/rF1EJyO0cP  Rolling coverage of developments in Himalayan nation ‰Û_,injured_or_dead_people
BABYMETAL FAN CLUB helping those affected by the Nepal earthquake. All profit from each t-shirt purchased at the... http://t.co/bYorJp53vj,donation_needs_or_offers_or_volunteering_services
@sambitswaraj kids in my house were actually amused as it was not that major...Of course one was not predicting things in Nepal,sympathy_and_emotional_support
Girish Karnad spotted in Nepal to for a Beef Masala meal,not_related_or_irrelevant
Sikh Sevak From #GoldenTemple To Send 100000 Food Packets to Earthquake Hit-Nepal thx for #GoldenTemple... #Respect,donation_needs_or_offers_or_volunteering_services
|Better disaster management needed at Sonar fort: Experts: Vimal Bhatia || The natural calamity in Nepal raises ... http://t.co/sheCEpBYGs|,other_useful_information
T-Mobile offers free calls to Nepal but will they get through? (+video) - Christian Science Monitor: Christia... http://t.co/FKKHP2t8AZ,donation_needs_or_offers_or_volunteering_services
15k people died in Nepal? Omg. My heart breaks for them :(,injured_or_dead_people
I just donated to support the Nepal earthquake survivors and hope you will too! #SupportNepal http://t.co/VpZA5j6GM5,donation_needs_or_offers_or_volunteering_services
Earth Quake in Nepal. What can we do? #NepalEarthquake #NepalQuake Please RT #EarthQuake http://t.co/9tjk51ibAu,other_useful_information
Villages Near Nepal Earthquakes Epicenter are Desperate: Five hours by car from Kathmandu then by foot for several miles past the sp...,infrastructure_and_utilities_damage
You can make your Thug Life videos with Thug Life Maker... Nepal #WhereIWasWhenZaynQuit Pelle #CatCinema  ‡_ÊE http://t.co/5nak8s9kvV ‡_ÊE,not_related_or_irrelevant
Live: Nepal quake toll could reach 10000 says PM Koirala http://t.co/ud7JwWDn6n http://t.co/qqeJKOXz3x,injured_or_dead_people
India rescues 546 people from Nepal death toll 1800: After Nepal was struck by the worst earthquake in 80 ye... http://t.co/okSQeYyxZo,missing_trapped_or_found_people
The #NepalEarthQuake has taken the lives of more that 688 people #RIP,injured_or_dead_people
These rescues from Nepal that are still happening are amazing. It just blows my mind that babies and others are still making it. #Nepal,missing_trapped_or_found_people
The Latest on Nepal Quake: Reconstruction cost $5 billion #SanFrancisco http://t.co/cXh18ffVji,other_useful_information
8 million people may be affected by Nepal earthquake says U.N.: Up to eight million people have had their liv... http://t.co/depbw9mnAE,displaced_people_and_evacuations
Scripps is gearing up to send highly trained medical response team to Nepal http://t.co/NHgCekuESh http://t.co/yjoftpYKVO,other_useful_information
UN launches Nepal earthquake appeal http://t.co/D2d8LMVAeC,donation_needs_or_offers_or_volunteering_services
Death toll rises to 1805 after 7.8 magnitude earthquake devastates Nepal - http://t.co/YONbgqTrRl,injured_or_dead_people
CNN: 7.8-magnitude quake hits Nepal near Kathmandu http://t.co/Kvf5YcNbhd,other_useful_information
#HindustanTimes Indians flee earthquake-devastated Nepal leaving behind jobs and savings http://t.co/vfnLw8mZLk‰Û_ http://t.co/GRjbZVVLzL,displaced_people_and_evacuations
plz help all nepal &amp; india peoplekousar pasha  a/c-6511000100056038.pnb bank.joya u.p ifscpunb0651100 india http://t.co/mP8NS3pStP,donation_needs_or_offers_or_volunteering_services
Caritas Nepal: Situation 3 days after quake "pretty bad" as death toll rises http://t.co/61ZuosV9bz,injured_or_dead_people
Nepal quake survivors struggle with shortages as death toll tops 4200. http://t.co/1Ygvgq8Td9 bo pledges $$Ms in aid-yet BILLIONS for Iran.,injured_or_dead_people
wowaa Photos: Over 1500 killed in massive earthquake in Nepal today http://t.co/c6apOCxX5y,injured_or_dead_people
Jannat Director Kunal Deshmukh 'Safe' in Quake-Hit Nepal: "Just talked to Kunal &amp; Sonali. They r both sitting ... http://t.co/s5du37TWXt,missing_trapped_or_found_people
#Apple #Nepal #Sadhu #Photo: @hacerfotos Info help: http://t.co/9GMFuPQwIz http://t.co/wgmgz5SGhd,not_related_or_irrelevant
BBC News - Sentinel satellite reveals Nepal quake movement http://t.co/nHaxKH0C3S,other_useful_information
Dozens of Britons untraced in Nepal http://t.co/hpq6Mm8AaL,missing_trapped_or_found_people
@FoxNews is there anyway you can post his pic so someone may find him in Nepal im his daughter living in MD,missing_trapped_or_found_people
#¾ÜÝŒ_É #Œà¼Š__‹ã_È #‹âÈ‹Ä¥‹ÄÂ #‹ÄÁ‹ÄÇŒÜ Want to work positively with India to help Nepal: China - Zee News  http://t.co/qBZVgpMxhr,donation_needs_or_offers_or_volunteering_services
Facebook came through w/ this...was worried about a friend in #NepalEarthquake and this popped up on my feed. http://t.co/S82vPUhvBA,missing_trapped_or_found_people
My heart goes to #kathmandu in the coming times. Donate to American Nepal Medical Foundation with @possiblehealth https://t.co/vTs4Kc5lwo,sympathy_and_emotional_support
Clearly reflects how much hatred this guy has for #NaMo Such people tarnish nation's image #Earthquake #ThankYouPM https://t.co/rD3Eyt9TOj,not_related_or_irrelevant
‰ÛÏ@UN: Ban Ki-moonthanks #NepalQuake 1st responders http://t.co/WuCrrRA4W5‰Ûpraying for relief workers as well as for all affected.#hardships,sympathy_and_emotional_support
#Fox 'Nightmare waiting to happen': Experts gathered in Nepal a week ago to ready for earthquake: Nepal's deva... http://t.co/LP9aSDVbRc,other_useful_information
Nepal Mission Departs: ‰Û÷This is What The IDF Stands For‰Ûª - @IsraelVideos http://t.co/WG5KCU38VD,other_useful_information
Its an hour of agrarian crisis in India. Still sending optimum relief to Nepal. #PowerfulPM @narendramodi #NAMO #NepalEarthquake #JaiHind,donation_needs_or_offers_or_volunteering_services
If you want to help out we vouch for the @mountainfund's good work in Nepal. Local most $ goes to Nepalis: https://t.co/DhPYyKZNHl,donation_needs_or_offers_or_volunteering_services
http://t.co/500zARVQHv The Latest on Nepal Quake: Aid Worker in Epicenter District - New York Times #QuakeNewsApp,donation_needs_or_offers_or_volunteering_services
As a mark of solidarity to our guests and colleagues at Hyatt Regency Kathmandu and the Kingdom of Nepal we hold... http://t.co/k3eqwAwY7J,other_useful_information
I can't even imagine the devastation that comes from being a victim of a natural disaster. #PrayForNepal &gt; thugs causing violence,sympathy_and_emotional_support
Earthquake Kills 3 in Bengal Chief Minister Mamata Banerjee Phones PM Modi: A massive earthquake in Nepal felt in most parts of Ind...,injured_or_dead_people
'Nightmare Waiting to Happen': Quake Experts Gathered in Nepal a Week Ago http://t.co/tKuHcTt2zV,other_useful_information
Thoughts and prayers for those affected #NepalEarthquake ‡__F,sympathy_and_emotional_support
Condolanses to Nepal people and the families of mountaineers who lost their lives at EBC............. http://t.co/iXYUK7qeQ8,sympathy_and_emotional_support
Nepal seeks help death toll seen rising after devastating quake: KATHMANDU (Reuters) - Nepal urged countries ... http://t.co/tYvNbAHEhF,injured_or_dead_people
Earthquake levels Nepal‰Ûªs beautiful historic buildings http://t.co/9cIROg8iQK #Occupy #OWS #occupywallstreet #OccupyHQ #GrassRoots #USA #‰Û_,infrastructure_and_utilities_damage
@Dev_Fadnavis Is govt planning to send relief materials to Nepal?Appeal to all Mumbai citizens to come forward for helping Nepal #earthquake,donation_needs_or_offers_or_volunteering_services
Praying for the people of Nepal ‡__F‡_ÀC hoping they find their loved ones who are missing ‡_Á4,sympathy_and_emotional_support
Is there any difference between @INCIndia &amp; #Terroristan?? https://t.co/uH6NWBnIio,not_related_or_irrelevant
For those of you unaware... An earthquake in Nepal just killed 4000 people.,injured_or_dead_people
I hope those affected in Nepal all alright!!! My strength is in you #NepalEarthquake,sympathy_and_emotional_support
Photoset: LAMBDA LEGAL - MAKING THE CASE FOR EQUALITY // DONATE TO HELP NEPAL http://t.co/RBYVo92rvD,donation_needs_or_offers_or_volunteering_services
@swiiftwisdom complain about how there is no coverage on what's happening in Nepal I'm gonna be pissed. http://t.co/p1OgB9ejn8,other_useful_information
Britain Sends Gurkha Soldiers for Nepal Quake Aid,donation_needs_or_offers_or_volunteering_services
Aid begins arriving in Nepal's remote quake-hit villages http://t.co/VnEnJcMKjo,donation_needs_or_offers_or_volunteering_services
Donate using PayTM! #NepalEarthquake http://t.co/Qe1ZFHPcwg,donation_needs_or_offers_or_volunteering_services
Kudos to The #IndianGovernment and #IndianArmy for great deed in Nepal.,donation_needs_or_offers_or_volunteering_services
#NepalQuakeRelief are there centers open already in San Francisco New York DC ?,other_useful_information
Death toll uncertain as biggest quake in more than 80 years hits Nepal. http://t.co/FRu1ss7g4i,injured_or_dead_people
Family of missing Ottawa hiker Faye Kennedy says she is alive but injured and airlifted to Kathmandu No idea of extent of injuries @CTVNews,injured_or_dead_people
You guys u know you have $10 in your bank account. This is the best way to spend it. Text GIVE NEPAL to 80088.  https://t.co/phwW6BwXQz,donation_needs_or_offers_or_volunteering_services
Ham radio attempts to fill communication gaps in Nepal rescue effort http://t.co/A3MlrO0AOm #tcot,donation_needs_or_offers_or_volunteering_services
|Nepal earthquake: donate now to help children || Save the Children UK http://t.co/jbImNnusfR|,donation_needs_or_offers_or_volunteering_services
Deepest condolences for those whose near one passed in Nepal disaster,sympathy_and_emotional_support
In post-quake aid rush Nepal neighbors jockey for position - Washington Post: http://t.co/owhCpWENxT In‰Û_ http://t.co/S426aJETPh,donation_needs_or_offers_or_volunteering_services
Officials concede they made mistakes in initial response to Nepal quake that killed over 5000: Anger and frus... http://t.co/TFg3Pdf4A7,injured_or_dead_people
#retweet: RT AJENews: Aftershocks reported as death toll in Nepal quake hits 2430 killed http://t.co/IEHdsSPreY http://t.co/4y1Pzz3tyO,injured_or_dead_people
'Many dead' in powerful Nepal quake http://t.co/etfJEeJUEV,injured_or_dead_people
Xinhua abt 6.6m affected in nepal 2000dead A big tragedy @Zahenaseeb@DrJwalaG@ExSecular@NeelakshiGswm@unheard_in@RomeshNadir@nanditathhakur,injured_or_dead_people
Aid agencies prepare 'massive' operations in quake-hit Nepal- overview of aid operations http://t.co/q2VXToPfeL,donation_needs_or_offers_or_volunteering_services
TODAYshow: RT Miguelnbc: Our TODAYshow story this morning in Kathmandu - the search for the dead and the living: http://t.co/QGyiwu9gUC,donation_needs_or_offers_or_volunteering_services
#Nepal #Disaster ‰ÛÒ Nepalis dig through quake rubble for survivors PM says toll could be 10000 ‰ÛÒ The death‰Û_ http://t.co/H9YUj5ZAHE #News,injured_or_dead_people
#IStandWithZeeNews See how facts being twisted by morons @gsurya @rkhuria http://t.co/07XJHw2EGa https://t.co/KkcyVn9xNV,not_related_or_irrelevant
Earthquake in Nepal Kills Hundreds and Levels Buildings ‰ÛÒ New York Times http://t.co/2KalFsip6i,other_useful_information
Inspired by @LydiaKo donating this weeks winnings to the victims of the Nepal earthquake.,donation_needs_or_offers_or_volunteering_services
åÈ Nepal Map #NepalMap Nepal earthquake: Devastation in maps and images åÈ UPDATE åÈ Ontario CAN Oshawa CAN... http://t.co/750BQ9NISx,infrastructure_and_utilities_damage
@EWScrippsCo teaming up with @WorldCareAZ to raise funds and collect items for victims in #Nepal. We're live all day at Sir Vezas on @KGUN9,donation_needs_or_offers_or_volunteering_services
Whatsapp working on stopping Rumor Mongers from spreading rumors by filtering such messaeges related #NepalEarthquake beware don't sprd rumr,other_useful_information
My deepest sympathy goes out to all those in Baltimore and Nepal right now. Remain strong! Our prayers are with you.,sympathy_and_emotional_support
Again Aftershock! Was it aftershock or really an earthquale? #NepalQuake,other_useful_information
Don't expect much from the government buy water purifiers clean your surroundings wash your hands. Help the you can #ItsUpToUs #Nepal,donation_needs_or_offers_or_volunteering_services
Our thoughts and prayers are with the people of.. #NEPAL http://t.co/ERgt7p1gqd,sympathy_and_emotional_support
Death toll from Nepal earthquake rises to more than 4700 with more than 9000 injured. http://t.co/bZFk4zvZpQ.,injured_or_dead_people
Thx buddy mom safe in Kathmandu "@tennis_updates: @tennisbuddys hope everyone is okay and always stay strong in this tough moment Aruna.",sympathy_and_emotional_support
Help RT My Sister SYDNEY SCHUMACHER is MISSING in #langtang #NepalEarthquake info on the website https://t.co/xPcHCz2XwM help,missing_trapped_or_found_people
... And they need help from Nepal https://t.co/P7AxbJ2tSj,donation_needs_or_offers_or_volunteering_services
@mashable Powerful 6.7 aftershock hits Kathmandu Mount Everest: A powerful magnitude 6.7 afters... http://t.co/jr33BakZWb #socialmedia,other_useful_information
Death Toll From Nepal Quake Jumps Over 2100: The earthquake struck near Kathmandu Nepal's capital. http://t.co/hKXNx1gmkf,injured_or_dead_people
Non-profits n donors: Make sure you select credible local partners n that you enforce strict anti-corruption mechanism.  #NepalQuake,donation_needs_or_offers_or_volunteering_services
VIDEO: DEC Nepal appeal raises over å£19m http://t.co/TVRVrBZkTG #EverdonBDC,donation_needs_or_offers_or_volunteering_services
So devastating the amount of deaths in Nepal due to the earthquake‡_ä4‡_¢5 #prayfornepal,injured_or_dead_people
Update from @KTMLivingLabs from #Nepal for #NepalEarthquake: http://t.co/8TFqvfz0El. #SMS is live: Ncell: 9802017413 or NTC: 9860782874,other_useful_information
@BBCSanjoyM really hope the operation to rescue the kid be successful. PRAYERS #NepalEarthquake,sympathy_and_emotional_support
time for political parties deploy their cadre in disaster relief &amp; show humanity #NepalEarthquake @brb_laaldhwoj @ramsmahat @MishraRabindra,other_useful_information
BBC News - Nepal earthquake: Brothers from Wales missing http://t.co/BITrewdxiI,missing_trapped_or_found_people
Nepal's airport reopens fr rescue operations... Thank god .. #NepalEarthquake #NepalQuakeRelief,other_useful_information
Cong Appreciates Central Govt for efficiently helping ppl of Nepal and Indians stuck in Nepal appeals PM 4 precautions in Delhi @abpnewstv,caution_and_advice
No Time to Lose: Global Response to Nepal Quake Gears Up: No time to lose: Global response to Nepal earthquake... http://t.co/GRJOASe3pb,donation_needs_or_offers_or_volunteering_services
Tibetan spiritual leader Dalai Lama saddened over Nepal quake http://t.co/tjIA1PYx7T #NationalNews ZeeNews,sympathy_and_emotional_support
IHH Search and Rescue Team has begun work in earthquake-hit Nepal. http://t.co/7cYzF86cq2,other_useful_information
Donating ‰Û÷Gabbar Is Back‰Ûª earnings for Nepal not my call: Akshay. CLICK HERE--&gt; http://t.co/iW5lt93hhS ...#47,donation_needs_or_offers_or_volunteering_services
Nepal Earthquake Kills Over 1800 People; More Than 40 Dead in India,injured_or_dead_people
Jockeying for good will: China and India rush to Nepal's aid in wake of quake: BEIJING (AP) -- Wedged between ... http://t.co/KzYSPf46Le,donation_needs_or_offers_or_volunteering_services
@firmenanzeige 'Most Nepal troops' in quake effort,other_useful_information
Nepal earthquake death toll climbs to 1896 massive rescue efforts on as ... - Hindustan Times: Hindustan Time... http://t.co/pDt00cFrmP,injured_or_dead_people
ACT Lepas Tim Global Action ke Nepal http://t.co/iq5Pcqo3dG,donation_needs_or_offers_or_volunteering_services
