Pretrained Embedding: ELMo
Italian: False
Loading data...
11566
Max Document length: 36
Vocabulary Size: 1
Train/Dev split: 11335/231
ELMo module loaded from tensorflow-hub
34
33
32
Writing to /home/ubuntu/Project/runs/1551753005

2019-03-05T02:30:13.105973: step 1, loss 15.7974, accuracy 0.347656, precision 0.005952380952380952, recall 1.0
2019-03-05T02:30:15.057041: step 2, loss 4.32115, accuracy 0.589844, precision 0.8165680473372781, recall 0.6509433962264151
2019-03-05T02:30:16.984095: step 3, loss 7.63354, accuracy 0.652344, precision 0.9821428571428571, recall 0.6573705179282868
2019-03-05T02:30:18.917966: step 4, loss 6.24722, accuracy 0.726562, precision 0.9946524064171123, recall 0.7294117647058823
2019-03-05T02:30:20.849949: step 5, loss 4.89807, accuracy 0.714844, precision 0.9675675675675676, recall 0.7276422764227642
2019-03-05T02:30:22.785271: step 6, loss 3.75398, accuracy 0.65625, precision 0.9308176100628931, recall 0.6577777777777778
2019-03-05T02:30:24.705663: step 7, loss 2.77893, accuracy 0.660156, precision 0.6526946107784432, recall 0.7898550724637681
2019-03-05T02:30:26.631126: step 8, loss 3.8451, accuracy 0.566406, precision 0.42441860465116277, recall 0.8588235294117647
2019-03-05T02:30:28.575439: step 9, loss 4.57977, accuracy 0.582031, precision 0.47802197802197804, recall 0.8787878787878788
2019-03-05T02:30:30.504548: step 10, loss 2.88502, accuracy 0.695312, precision 0.6086956521739131, recall 0.8672566371681416
2019-03-05T02:30:32.433996: step 11, loss 1.90443, accuracy 0.78125, precision 0.7891566265060241, recall 0.8618421052631579
2019-03-05T02:30:34.359409: step 12, loss 2.40893, accuracy 0.746094, precision 0.8520710059171598, recall 0.782608695652174
2019-03-05T02:30:36.293817: step 13, loss 2.72341, accuracy 0.757812, precision 0.9333333333333333, recall 0.751219512195122
2019-03-05T02:30:38.217371: step 14, loss 2.74751, accuracy 0.78125, precision 0.9202127659574468, recall 0.8084112149532711
2019-03-05T02:30:40.161964: step 15, loss 3.8145, accuracy 0.691406, precision 0.9352941176470588, recall 0.7004405286343612
2019-03-05T02:30:42.088121: step 16, loss 2.65185, accuracy 0.746094, precision 0.9132947976878613, recall 0.7596153846153846
2019-03-05T02:30:44.018483: step 17, loss 2.64253, accuracy 0.738281, precision 0.879746835443038, recall 0.7433155080213903
2019-03-05T02:30:45.942653: step 18, loss 2.03276, accuracy 0.753906, precision 0.8113207547169812, recall 0.7962962962962963
2019-03-05T02:30:47.886194: step 19, loss 1.97666, accuracy 0.773438, precision 0.7272727272727273, recall 0.875
2019-03-05T02:30:49.808507: step 20, loss 2.449, accuracy 0.71875, precision 0.625, recall 0.9210526315789473
2019-03-05T02:30:51.746074: step 21, loss 2.04448, accuracy 0.746094, precision 0.6449704142011834, recall 0.956140350877193
2019-03-05T02:30:53.682459: step 22, loss 2.57906, accuracy 0.695312, precision 0.6211180124223602, recall 0.8547008547008547
2019-03-05T02:30:55.639585: step 23, loss 1.61734, accuracy 0.765625, precision 0.7616279069767442, recall 0.8733333333333333
2019-03-05T02:30:57.581338: step 24, loss 1.49461, accuracy 0.828125, precision 0.8757396449704142, recall 0.8654970760233918
2019-03-05T02:30:59.522358: step 25, loss 1.7674, accuracy 0.800781, precision 0.8956043956043956, recall 0.8358974358974359
2019-03-05T02:31:01.466131: step 26, loss 2.73493, accuracy 0.730469, precision 0.9302325581395349, recall 0.7373271889400922
2019-03-05T02:31:03.417749: step 27, loss 2.076, accuracy 0.761719, precision 0.9375, recall 0.7674418604651163
2019-03-05T02:31:05.349512: step 28, loss 2.16211, accuracy 0.757812, precision 0.9408284023668639, recall 0.7535545023696683
2019-03-05T02:31:07.281607: step 29, loss 1.83841, accuracy 0.773438, precision 0.9107142857142857, recall 0.7806122448979592
2019-03-05T02:31:09.219108: step 30, loss 1.43564, accuracy 0.792969, precision 0.8218390804597702, recall 0.8666666666666667
2019-03-05T02:31:11.179511: step 31, loss 1.66993, accuracy 0.785156, precision 0.7975460122699386, recall 0.8552631578947368
2019-03-05T02:31:13.135529: step 32, loss 1.48939, accuracy 0.769531, precision 0.7317073170731707, recall 0.8888888888888888
2019-03-05T02:31:15.064620: step 33, loss 1.94312, accuracy 0.75, precision 0.7349397590361446, recall 0.8591549295774648
2019-03-05T02:31:17.022129: step 34, loss 1.96189, accuracy 0.726562, precision 0.6608187134502924, recall 0.904
2019-03-05T02:31:18.949646: step 35, loss 1.69593, accuracy 0.757812, precision 0.754601226993865, recall 0.8482758620689655
2019-03-05T02:31:20.893740: step 36, loss 1.11074, accuracy 0.8125, precision 0.8662420382165605, recall 0.8343558282208589
2019-03-05T02:31:22.842735: step 37, loss 0.910415, accuracy 0.84375, precision 0.8901734104046243, recall 0.88
2019-03-05T02:31:24.776480: step 38, loss 0.886637, accuracy 0.84375, precision 0.9166666666666666, recall 0.868421052631579
2019-03-05T02:31:26.749114: step 39, loss 1.247, accuracy 0.824219, precision 0.9386503067484663, recall 0.8138297872340425
2019-03-05T02:31:28.686443: step 40, loss 1.63826, accuracy 0.773438, precision 0.8846153846153846, recall 0.8131313131313131
2019-03-05T02:31:30.624581: step 41, loss 1.42509, accuracy 0.785156, precision 0.8932584269662921, recall 0.8153846153846154
2019-03-05T02:31:32.564937: step 42, loss 1.23577, accuracy 0.78125, precision 0.8614457831325302, recall 0.8125
2019-03-05T02:31:34.512024: step 43, loss 1.09551, accuracy 0.8125, precision 0.845679012345679, recall 0.85625
2019-03-05T02:31:36.460965: step 44, loss 1.0661, accuracy 0.777344, precision 0.7740112994350282, recall 0.8896103896103896
2019-03-05T02:31:38.625304: step 45, loss 1.65094, accuracy 0.732394, precision 0.7804878048780488, recall 0.7619047619047619
2019-03-05T02:31:40.547189: step 46, loss 1.03228, accuracy 0.820312, precision 0.8202247191011236, recall 0.9125
2019-03-05T02:31:42.501665: step 47, loss 1.23738, accuracy 0.777344, precision 0.8181818181818182, recall 0.8333333333333334
2019-03-05T02:31:44.439247: step 48, loss 0.923077, accuracy 0.847656, precision 0.9036144578313253, recall 0.8670520231213873
2019-03-05T02:31:46.381166: step 49, loss 1.15204, accuracy 0.761719, precision 0.8342541436464088, recall 0.8296703296703297
2019-03-05T02:31:48.321686: step 50, loss 1.04103, accuracy 0.777344, precision 0.8461538461538461, recall 0.8
2019-03-05T02:31:50.272147: step 51, loss 0.808938, accuracy 0.78125, precision 0.8834355828220859, recall 0.7955801104972375
2019-03-05T02:31:52.227052: step 52, loss 0.900315, accuracy 0.800781, precision 0.8555555555555555, recall 0.8603351955307262
2019-03-05T02:31:54.158384: step 53, loss 0.898193, accuracy 0.820312, precision 0.844311377245509, recall 0.8757763975155279
2019-03-05T02:31:56.113578: step 54, loss 1.25216, accuracy 0.769531, precision 0.7662337662337663, recall 0.8368794326241135
2019-03-05T02:31:58.059139: step 55, loss 0.674123, accuracy 0.828125, precision 0.8486486486486486, recall 0.9075144508670521
2019-03-05T02:32:00.002592: step 56, loss 1.08566, accuracy 0.800781, precision 0.8414634146341463, recall 0.8466257668711656
2019-03-05T02:32:01.943085: step 57, loss 0.979367, accuracy 0.800781, precision 0.8457446808510638, recall 0.8784530386740331
2019-03-05T02:32:03.888859: step 58, loss 0.869074, accuracy 0.796875, precision 0.8650306748466258, recall 0.8245614035087719
2019-03-05T02:32:05.832233: step 59, loss 0.815948, accuracy 0.820312, precision 0.9151515151515152, recall 0.825136612021858
2019-03-05T02:32:07.779173: step 60, loss 1.11267, accuracy 0.796875, precision 0.8867924528301887, recall 0.8057142857142857
2019-03-05T02:32:09.710826: step 61, loss 0.774505, accuracy 0.824219, precision 0.8834355828220859, recall 0.8470588235294118
2019-03-05T02:32:11.659266: step 62, loss 0.754425, accuracy 0.832031, precision 0.8176470588235294, recall 0.9205298013245033
2019-03-05T02:32:13.585939: step 63, loss 0.86545, accuracy 0.773438, precision 0.8098159509202454, recall 0.8301886792452831
2019-03-05T02:32:15.536808: step 64, loss 0.874251, accuracy 0.773438, precision 0.7873563218390804, recall 0.8670886075949367
2019-03-05T02:32:17.485753: step 65, loss 0.797811, accuracy 0.785156, precision 0.8246753246753247, recall 0.8193548387096774
2019-03-05T02:32:19.454735: step 66, loss 0.717021, accuracy 0.804688, precision 0.8466257668711656, recall 0.8466257668711656
2019-03-05T02:32:21.393689: step 67, loss 0.80645, accuracy 0.808594, precision 0.875, recall 0.8609625668449198
2019-03-05T02:32:23.330574: step 68, loss 0.865172, accuracy 0.769531, precision 0.8641975308641975, recall 0.7909604519774012
2019-03-05T02:32:25.306293: step 69, loss 0.663251, accuracy 0.824219, precision 0.896774193548387, recall 0.8273809523809523
2019-03-05T02:32:27.268028: step 70, loss 0.660941, accuracy 0.835938, precision 0.8390804597701149, recall 0.9125
2019-03-05T02:32:29.222945: step 71, loss 0.808499, accuracy 0.804688, precision 0.8494623655913979, recall 0.8777777777777778
2019-03-05T02:32:31.156121: step 72, loss 0.573155, accuracy 0.847656, precision 0.8685714285714285, recall 0.9047619047619048
2019-03-05T02:32:33.081373: step 73, loss 0.784603, accuracy 0.796875, precision 0.891566265060241, recall 0.8131868131868132
