"C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\python.exe" "C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py"
Using TensorFlow backend.
GloVe model loaded
Pretrained Embedding: GloVe
Italian: False
Loading data...
11566
Max Document length: 36
WARNING:tensorflow:From C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py:82: VocabularyProcessor.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.text) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
WARNING:tensorflow:From C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\lib\site-packages\tensorflow\contrib\learn\python\learn\preprocessing\text.py:154: CategoricalVocabulary.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.categorical_vocabulary) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
Vocabulary Size: 1
Train/Dev split: 10410/1156
2019-03-03 13:05:42.570724: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
WARNING:tensorflow:From C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\main_pre_trained_embeddings.py:475: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

Writing to C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\runs\1551639943

2019-03-03T13:05:45.557285: step 1, loss 1.21581, accuracy 0.628906, precision 0.8370786516853933, recall 0.6930232558139535
2019-03-03T13:05:46.009104: step 2, loss 1.15304, accuracy 0.621094, precision 0.7976190476190477, recall 0.6802030456852792
2019-03-03T13:05:46.447335: step 3, loss 1.18014, accuracy 0.617188, precision 0.7052631578947368, recall 0.7613636363636364
2019-03-03T13:05:46.868258: step 4, loss 0.961246, accuracy 0.691406, precision 0.7752808988764045, recall 0.7796610169491526
2019-03-03T13:05:47.288122: step 5, loss 0.890734, accuracy 0.699219, precision 0.7942857142857143, recall 0.7722222222222223
2019-03-03T13:05:47.718986: step 6, loss 1.01128, accuracy 0.71875, precision 0.8143712574850299, recall 0.768361581920904
2019-03-03T13:05:48.212668: step 7, loss 1.02152, accuracy 0.679688, precision 0.8125, recall 0.7142857142857143
2019-03-03T13:05:48.635564: step 8, loss 0.617323, accuracy 0.773438, precision 0.8248587570621468, recall 0.8439306358381503
2019-03-03T13:05:49.055433: step 9, loss 0.951911, accuracy 0.675781, precision 0.7371428571428571, recall 0.7771084337349398
2019-03-03T13:05:49.502747: step 10, loss 0.932381, accuracy 0.644531, precision 0.7025316455696202, recall 0.7161290322580646
2019-03-03T13:05:49.955169: step 11, loss 0.737172, accuracy 0.734375, precision 0.770949720670391, recall 0.8363636363636363
2019-03-03T13:05:50.425136: step 12, loss 0.923298, accuracy 0.714844, precision 0.791907514450867, recall 0.7873563218390804
2019-03-03T13:05:50.844360: step 13, loss 0.810112, accuracy 0.730469, precision 0.8372093023255814, recall 0.7783783783783784
2019-03-03T13:05:51.268246: step 14, loss 0.733274, accuracy 0.757812, precision 0.8333333333333334, recall 0.7831325301204819
