"C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\python.exe" "C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py"
Using TensorFlow backend.
fastText model loaded
Pretrained Embedding: fastText
Italian: False
Loading data...
11566
Max Document length: 36
WARNING:tensorflow:From C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py:82: VocabularyProcessor.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.text) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
WARNING:tensorflow:From C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\lib\site-packages\tensorflow\contrib\learn\python\learn\preprocessing\text.py:154: CategoricalVocabulary.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.categorical_vocabulary) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
Vocabulary Size: 1
Train/Dev split: 10410/1156
2019-03-03 13:25:35.994564: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
WARNING:tensorflow:From C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\main_pre_trained_embeddings.py:475: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

Writing to C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\runs\1551641136

2019-03-03T13:25:38.596824: step 1, loss 2.21814, accuracy 0.472656, precision 0.5269461077844312, recall 0.6111111111111112
2019-03-03T13:25:39.032193: step 2, loss 4.57775, accuracy 0.640625, precision 0.9879518072289156, recall 0.6456692913385826
2019-03-03T13:25:39.459054: step 3, loss 2.52136, accuracy 0.621094, precision 0.9005847953216374, recall 0.6581196581196581
2019-03-03T13:25:39.898411: step 4, loss 2.77208, accuracy 0.425781, precision 0.23125, recall 0.6065573770491803
2019-03-03T13:25:40.365673: step 5, loss 3.22707, accuracy 0.382812, precision 0.1807909604519774, recall 0.7111111111111111
2019-03-03T13:25:40.793801: step 6, loss 2.14045, accuracy 0.511719, precision 0.5287356321839081, recall 0.6814814814814815
2019-03-03T13:25:41.233088: step 7, loss 2.30649, accuracy 0.625, precision 0.8787878787878788, recall 0.6561085972850679
2019-03-03T13:25:41.665916: step 8, loss 2.49319, accuracy 0.632812, precision 0.9457831325301205, recall 0.6487603305785123
2019-03-03T13:25:42.120237: step 9, loss 2.29699, accuracy 0.671875, precision 0.95, recall 0.6951219512195121
2019-03-03T13:25:42.563085: step 10, loss 2.75882, accuracy 0.609375, precision 0.9539473684210527, recall 0.6092436974789915
2019-03-03T13:25:42.996379: step 11, loss 1.82311, accuracy 0.578125, precision 0.7710843373493976, recall 0.6464646464646465
2019-03-03T13:25:43.433235: step 12, loss 1.67261, accuracy 0.515625, precision 0.5056179775280899, recall 0.7142857142857143
2019-03-03T13:25:43.866465: step 13, loss 2.45966, accuracy 0.402344, precision 0.3021978021978022, recall 0.6790123456790124
2019-03-03T13:25:44.351194: step 14, loss 1.94577, accuracy 0.476562, precision 0.3815028901734104, recall 0.7096774193548387
