"C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\python.exe" "C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py"
Using TensorFlow backend.
Pretrained Embedding: word2vec
Italian: False
Loading data...
11566
Max Document length: 36
WARNING:tensorflow:From C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py:82: VocabularyProcessor.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.text) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
WARNING:tensorflow:From C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\lib\site-packages\tensorflow\contrib\learn\python\learn\preprocessing\text.py:154: CategoricalVocabulary.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.categorical_vocabulary) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
WARNING:tensorflow:From C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\lib\site-packages\tensorflow\contrib\learn\python\learn\preprocessing\text.py:170: tokenizer (from tensorflow.contrib.learn.python.learn.preprocessing.text) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
Vocabulary Size: 29102
Train/Dev split: 10410/1156
2019-03-03 12:42:55.800068: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
WARNING:tensorflow:From C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\main_pre_trained_embeddings.py:475: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

Writing to C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\runs\1551638619

2019-03-03T12:43:47.132998: step 1, loss 4.4391, accuracy 0.539062, precision 0.6428571428571429, recall 0.6506024096385542
2019-03-03T12:43:47.679533: step 2, loss 3.88979, accuracy 0.691406, precision 0.8802395209580839, recall 0.7135922330097088
2019-03-03T12:43:48.167229: step 3, loss 4.1113, accuracy 0.667969, precision 0.81875, recall 0.7005347593582888
2019-03-03T12:43:48.637978: step 4, loss 4.07405, accuracy 0.617188, precision 0.5697674418604651, recall 0.8032786885245902
2019-03-03T12:43:49.108968: step 5, loss 3.97993, accuracy 0.652344, precision 0.6265822784810127, recall 0.7674418604651163
2019-03-03T12:43:49.528363: step 6, loss 4.41434, accuracy 0.640625, precision 0.6966292134831461, recall 0.7654320987654321
2019-03-03T12:43:49.934275: step 7, loss 3.80394, accuracy 0.691406, precision 0.7440476190476191, recall 0.7763975155279503
2019-03-03T12:43:50.291319: step 8, loss 3.55694, accuracy 0.722656, precision 0.7965116279069767, recall 0.791907514450867
2019-03-03T12:43:50.646372: step 9, loss 3.34621, accuracy 0.664062, precision 0.7597765363128491, recall 0.7597765363128491
2019-03-03T12:43:50.966515: step 10, loss 3.04487, accuracy 0.707031, precision 0.8232044198895028, recall 0.7760416666666666
2019-03-03T12:43:51.270225: step 11, loss 2.88287, accuracy 0.699219, precision 0.7659574468085106, recall 0.8135593220338984
2019-03-03T12:43:51.568497: step 12, loss 4.22378, accuracy 0.582031, precision 0.7100591715976331, recall 0.6741573033707865
2019-03-03T12:43:51.839283: step 13, loss 3.51079, accuracy 0.621094, precision 0.7247191011235955, recall 0.7288135593220338
2019-03-03T12:43:52.103600: step 14, loss 3.13826, accuracy 0.617188, precision 0.7516339869281046, recall 0.6571428571428571
2019-03-03T12:43:52.370884: step 15, loss 3.18948, accuracy 0.644531, precision 0.8033707865168539, recall 0.7185929648241206
2019-03-03T12:43:52.624219: step 16, loss 3.53845, accuracy 0.625, precision 0.7467532467532467, recall 0.6686046511627907
2019-03-03T12:43:52.874549: step 17, loss 3.40339, accuracy 0.617188, precision 0.711764705882353, recall 0.711764705882353
2019-03-03T12:43:53.125904: step 18, loss 2.83061, accuracy 0.660156, precision 0.7166666666666667, recall 0.7818181818181819
2019-03-03T12:43:53.371247: step 19, loss 3.67185, accuracy 0.640625, precision 0.7869822485207101, recall 0.7037037037037037
2019-03-03T12:43:53.610607: step 20, loss 2.59248, accuracy 0.695312, precision 0.71875, recall 0.777027027027027
2019-03-03T12:43:53.854955: step 21, loss 2.45784, accuracy 0.6875, precision 0.7305389221556886, recall 0.7770700636942676
2019-03-03T12:43:54.111269: step 22, loss 2.44317, accuracy 0.679688, precision 0.7160493827160493, recall 0.7631578947368421
2019-03-03T12:43:54.385536: step 23, loss 3.57724, accuracy 0.664062, precision 0.6942675159235668, recall 0.7414965986394558
2019-03-03T12:43:54.643843: step 24, loss 2.76547, accuracy 0.667969, precision 0.7515527950310559, recall 0.7289156626506024
2019-03-03T12:43:54.894684: step 25, loss 2.49922, accuracy 0.707031, precision 0.7251461988304093, recall 0.8157894736842105
2019-03-03T12:43:55.143119: step 26, loss 2.09925, accuracy 0.6875, precision 0.7948717948717948, recall 0.7209302325581395
2019-03-03T12:43:55.381990: step 27, loss 2.58158, accuracy 0.6875, precision 0.7232704402515723, recall 0.7615894039735099
2019-03-03T12:43:55.623346: step 28, loss 2.80818, accuracy 0.640625, precision 0.7045454545454546, recall 0.7560975609756098
2019-03-03T12:43:55.865080: step 29, loss 2.85312, accuracy 0.6875, precision 0.7602339181286549, recall 0.7692307692307693
2019-03-03T12:43:56.121903: step 30, loss 2.65261, accuracy 0.664062, precision 0.7572254335260116, recall 0.7485714285714286
2019-03-03T12:43:56.366250: step 31, loss 2.28788, accuracy 0.734375, precision 0.8181818181818182, recall 0.8
2019-03-03T12:43:56.620576: step 32, loss 2.59432, accuracy 0.671875, precision 0.7861271676300579, recall 0.7431693989071039
2019-03-03T12:43:56.873902: step 33, loss 2.23241, accuracy 0.71875, precision 0.7988505747126436, recall 0.7897727272727273
2019-03-03T12:43:57.110067: step 34, loss 2.42895, accuracy 0.644531, precision 0.7639751552795031, recall 0.6988636363636364
2019-03-03T12:43:57.361395: step 35, loss 2.51873, accuracy 0.660156, precision 0.7885714285714286, recall 0.7340425531914894
2019-03-03T12:43:57.610755: step 36, loss 2.07657, accuracy 0.707031, precision 0.7816091954022989, recall 0.7861271676300579
2019-03-03T12:43:57.853127: step 37, loss 2.34866, accuracy 0.703125, precision 0.845679012345679, recall 0.7287234042553191
2019-03-03T12:43:58.114428: step 38, loss 2.37204, accuracy 0.675781, precision 0.8048780487804879, recall 0.7213114754098361
2019-03-03T12:43:58.361766: step 39, loss 2.32581, accuracy 0.640625, precision 0.6526946107784432, recall 0.7622377622377622
2019-03-03T12:43:58.605116: step 40, loss 2.46405, accuracy 0.621094, precision 0.6206896551724138, recall 0.7769784172661871
2019-03-03T12:43:58.775661: step 41, loss 2.3515, accuracy 0.652941, precision 0.628099173553719, recall 0.8444444444444444
2019-03-03T12:43:59.027986: step 42, loss 1.97938, accuracy 0.699219, precision 0.8035714285714286, recall 0.7541899441340782
2019-03-03T12:43:59.300276: step 43, loss 2.282, accuracy 0.660156, precision 0.7391304347826086, recall 0.725609756097561
2019-03-03T12:43:59.548612: step 44, loss 2.01525, accuracy 0.726562, precision 0.8654970760233918, recall 0.7589743589743589
2019-03-03T12:43:59.792960: step 45, loss 2.01963, accuracy 0.746094, precision 0.8858695652173914, recall 0.7874396135265701
2019-03-03T12:44:00.054284: step 46, loss 2.20069, accuracy 0.652344, precision 0.7514792899408284, recall 0.7298850574712644
2019-03-03T12:44:00.302621: step 47, loss 2.36696, accuracy 0.683594, precision 0.8269230769230769, recall 0.7049180327868853
2019-03-03T12:44:00.544972: step 48, loss 2.10776, accuracy 0.648438, precision 0.7305389221556886, recall 0.7305389221556886
2019-03-03T12:44:00.792337: step 49, loss 1.79739, accuracy 0.722656, precision 0.7283950617283951, recall 0.8137931034482758
2019-03-03T12:44:01.036681: step 50, loss 1.84916, accuracy 0.664062, precision 0.6629834254143646, recall 0.8275862068965517
2019-03-03T12:44:01.287014: step 51, loss 1.83741, accuracy 0.738281, precision 0.7396449704142012, recall 0.8445945945945946
2019-03-03T12:44:01.529365: step 52, loss 1.70613, accuracy 0.6875, precision 0.7705882352941177, recall 0.7616279069767442
2019-03-03T12:44:01.773719: step 53, loss 1.45684, accuracy 0.734375, precision 0.7628205128205128, recall 0.7933333333333333
2019-03-03T12:44:02.016065: step 54, loss 1.74, accuracy 0.734375, precision 0.8390804597701149, recall 0.7849462365591398
2019-03-03T12:44:02.270388: step 55, loss 2.1122, accuracy 0.691406, precision 0.8291139240506329, recall 0.7158469945355191
2019-03-03T12:44:02.518752: step 56, loss 1.82311, accuracy 0.730469, precision 0.8475609756097561, recall 0.7595628415300546
2019-03-03T12:44:02.768090: step 57, loss 1.89914, accuracy 0.734375, precision 0.834319526627219, recall 0.7790055248618785
2019-03-03T12:44:03.011948: step 58, loss 1.69831, accuracy 0.714844, precision 0.7732558139534884, recall 0.7964071856287425
2019-03-03T12:44:03.266792: step 59, loss 1.73102, accuracy 0.675781, precision 0.703030303030303, recall 0.7733333333333333
2019-03-03T12:44:03.510141: step 60, loss 1.88811, accuracy 0.699219, precision 0.7177914110429447, recall 0.7905405405405406
2019-03-03T12:44:03.751495: step 61, loss 1.80098, accuracy 0.726562, precision 0.7206703910614525, recall 0.8657718120805369
2019-03-03T12:44:03.995842: step 62, loss 1.83347, accuracy 0.695312, precision 0.7349397590361446, recall 0.782051282051282
2019-03-03T12:44:04.241696: step 63, loss 1.82422, accuracy 0.726562, precision 0.8402366863905325, recall 0.7675675675675676
2019-03-03T12:44:04.488080: step 64, loss 1.54225, accuracy 0.75, precision 0.8674698795180723, recall 0.7741935483870968
2019-03-03T12:44:04.747897: step 65, loss 1.52226, accuracy 0.761719, precision 0.8596491228070176, recall 0.7989130434782609
2019-03-03T12:44:05.013193: step 66, loss 1.7225, accuracy 0.703125, precision 0.8823529411764706, recall 0.6994818652849741
2019-03-03T12:44:05.253059: step 67, loss 1.64394, accuracy 0.714844, precision 0.8192771084337349, recall 0.7597765363128491
2019-03-03T12:44:05.504899: step 68, loss 1.42906, accuracy 0.679688, precision 0.7398843930635838, recall 0.7757575757575758
2019-03-03T12:44:05.758222: step 69, loss 1.83154, accuracy 0.714844, precision 0.7547169811320755, recall 0.7792207792207793
2019-03-03T12:44:06.001571: step 70, loss 1.52103, accuracy 0.730469, precision 0.7592592592592593, recall 0.803921568627451
2019-03-03T12:44:06.249908: step 71, loss 1.43054, accuracy 0.722656, precision 0.7325581395348837, recall 0.8344370860927153
2019-03-03T12:44:06.485277: step 72, loss 1.25494, accuracy 0.773438, precision 0.7967032967032966, recall 0.8734939759036144
2019-03-03T12:44:06.730622: step 73, loss 1.87431, accuracy 0.699219, precision 0.7650602409638554, recall 0.7696969696969697
2019-03-03T12:44:06.978979: step 74, loss 2.00388, accuracy 0.699219, precision 0.8032786885245902, recall 0.7819148936170213
2019-03-03T12:44:07.229824: step 75, loss 1.75171, accuracy 0.707031, precision 0.8417721518987342, recall 0.726775956284153
2019-03-03T12:44:07.479149: step 76, loss 1.2996, accuracy 0.734375, precision 0.8135593220338984, recall 0.8044692737430168
2019-03-03T12:44:07.719508: step 77, loss 1.77163, accuracy 0.691406, precision 0.7962962962962963, recall 0.7371428571428571
2019-03-03T12:44:07.969839: step 78, loss 1.77353, accuracy 0.6875, precision 0.7415730337078652, recall 0.7951807228915663
2019-03-03T12:44:08.222673: step 79, loss 1.73763, accuracy 0.71875, precision 0.7790697674418605, recall 0.7976190476190477
2019-03-03T12:44:08.465045: step 80, loss 1.56956, accuracy 0.722656, precision 0.7759562841530054, recall 0.8255813953488372
2019-03-03T12:44:08.730336: step 81, loss 1.4313, accuracy 0.726562, precision 0.8, recall 0.8089887640449438
2019-03-03T12:44:08.906863: step 82, loss 1.09598, accuracy 0.747059, precision 0.8166666666666667, recall 0.8235294117647058
2019-03-03T12:44:09.160186: step 83, loss 1.61985, accuracy 0.726562, precision 0.8022598870056498, recall 0.8022598870056498
2019-03-03T12:44:09.412511: step 84, loss 1.11766, accuracy 0.769531, precision 0.8695652173913043, recall 0.8205128205128205
2019-03-03T12:44:09.661844: step 85, loss 1.59761, accuracy 0.726562, precision 0.8064516129032258, recall 0.7575757575757576
2019-03-03T12:44:09.919157: step 86, loss 1.05644, accuracy 0.753906, precision 0.8607594936708861, recall 0.768361581920904
2019-03-03T12:44:10.168490: step 87, loss 1.46747, accuracy 0.695312, precision 0.7950310559006211, recall 0.7398843930635838
2019-03-03T12:44:10.411842: step 88, loss 1.23909, accuracy 0.742188, precision 0.8051948051948052, recall 0.775
2019-03-03T12:44:10.653199: step 89, loss 1.06558, accuracy 0.746094, precision 0.759493670886076, recall 0.8163265306122449
2019-03-03T12:44:10.904427: step 90, loss 1.54043, accuracy 0.6875, precision 0.6779661016949152, recall 0.8391608391608392
2019-03-03T12:44:11.143785: step 91, loss 1.47538, accuracy 0.707031, precision 0.7365269461077845, recall 0.7987012987012987
