Pretrained Embedding: ELMo
Italian: True
Loading data...
4681
Max Document length: 81
Vocabulary Size: 1
Train/Dev split: 4447/234
ELMo module loaded from tensorflow-hub
79
78
77
Writing to /home/ubuntu/Project/runs/1551758559

2019-03-05T04:02:45.339750: step 1, loss 2.67252, accuracy 0.625, precision 0.35135135135135137, recall 0.35135135135135137
2019-03-05T04:02:47.590330: step 2, loss 3.16769, accuracy 0.53125, precision 0.4782608695652174, recall 0.3793103448275862
2019-03-05T04:02:49.839347: step 3, loss 6.16358, accuracy 0.585938, precision 0.019230769230769232, recall 0.3333333333333333
2019-03-05T04:02:52.089009: step 4, loss 1.96792, accuracy 0.65625, precision 0.74, recall 0.5441176470588235
2019-03-05T04:02:54.315921: step 5, loss 4.09328, accuracy 0.570312, precision 0.8888888888888888, recall 0.4444444444444444
2019-03-05T04:02:56.564107: step 6, loss 2.3056, accuracy 0.671875, precision 0.5869565217391305, recall 0.54
2019-03-05T04:02:58.805984: step 7, loss 2.85259, accuracy 0.703125, precision 0.3409090909090909, recall 0.625
2019-03-05T04:03:01.046673: step 8, loss 3.59026, accuracy 0.65625, precision 0.23076923076923078, recall 0.75
2019-03-05T04:03:03.286766: step 9, loss 1.92167, accuracy 0.703125, precision 0.44, recall 0.6875
2019-03-05T04:03:05.523012: step 10, loss 2.28171, accuracy 0.671875, precision 0.7843137254901961, recall 0.5633802816901409
2019-03-05T04:03:07.760879: step 11, loss 4.24955, accuracy 0.523438, precision 0.8235294117647058, recall 0.3373493975903614
2019-03-05T04:03:09.986748: step 12, loss 1.4905, accuracy 0.765625, precision 0.8928571428571429, recall 0.6756756756756757
2019-03-05T04:03:12.240587: step 13, loss 2.17611, accuracy 0.679688, precision 0.42857142857142855, recall 0.6176470588235294
2019-03-05T04:03:14.488463: step 14, loss 2.36644, accuracy 0.679688, precision 0.30612244897959184, recall 0.6818181818181818
2019-03-05T04:03:16.736184: step 15, loss 2.69979, accuracy 0.671875, precision 0.38461538461538464, recall 0.6666666666666666
2019-03-05T04:03:18.969941: step 16, loss 1.40359, accuracy 0.773438, precision 0.5535714285714286, recall 0.8857142857142857
2019-03-05T04:03:21.223983: step 17, loss 1.41323, accuracy 0.75, precision 0.7291666666666666, recall 0.6481481481481481
2019-03-05T04:03:23.488771: step 18, loss 1.51538, accuracy 0.71875, precision 0.9047619047619048, recall 0.5428571428571428
2019-03-05T04:03:25.734253: step 19, loss 1.88971, accuracy 0.726562, precision 0.8947368421052632, recall 0.5230769230769231
2019-03-05T04:03:27.976845: step 20, loss 1.17342, accuracy 0.773438, precision 0.8222222222222222, recall 0.6379310344827587
2019-03-05T04:03:30.225100: step 21, loss 1.20476, accuracy 0.773438, precision 0.5405405405405406, recall 0.625
2019-03-05T04:03:32.473273: step 22, loss 2.17205, accuracy 0.679688, precision 0.3076923076923077, recall 0.7619047619047619
2019-03-05T04:03:34.743956: step 23, loss 0.979698, accuracy 0.789062, precision 0.4594594594594595, recall 0.7083333333333334
2019-03-05T04:03:37.007342: step 24, loss 1.0418, accuracy 0.78125, precision 0.6363636363636364, recall 0.7
2019-03-05T04:03:39.258115: step 25, loss 1.63854, accuracy 0.75, precision 0.6904761904761905, recall 0.6041666666666666
2019-03-05T04:03:41.541125: step 26, loss 1.2673, accuracy 0.726562, precision 0.7924528301886793, recall 0.6363636363636364
2019-03-05T04:03:43.783331: step 27, loss 1.1858, accuracy 0.734375, precision 0.8043478260869565, recall 0.5967741935483871
2019-03-05T04:03:46.043032: step 28, loss 0.821827, accuracy 0.757812, precision 0.8125, recall 0.639344262295082
2019-03-05T04:03:48.292373: step 29, loss 1.09079, accuracy 0.773438, precision 0.574468085106383, recall 0.75
2019-03-05T04:03:50.554773: step 30, loss 1.3684, accuracy 0.734375, precision 0.46, recall 0.7666666666666667
2019-03-05T04:03:52.804813: step 31, loss 1.00612, accuracy 0.742188, precision 0.49056603773584906, recall 0.8125
2019-03-05T04:03:55.048957: step 32, loss 1.25202, accuracy 0.71875, precision 0.7254901960784313, recall 0.6271186440677966
2019-03-05T04:03:57.320831: step 33, loss 0.893771, accuracy 0.78125, precision 0.8541666666666666, recall 0.6612903225806451
2019-03-05T04:03:59.569327: step 34, loss 0.951961, accuracy 0.734375, precision 0.8297872340425532, recall 0.6
2019-03-05T04:04:02.931075: step 35, loss 0.759776, accuracy 0.778947, precision 0.7666666666666667, recall 0.6216216216216216
2019-03-05T04:04:05.204754: step 36, loss 0.977431, accuracy 0.773438, precision 0.6326530612244898, recall 0.7380952380952381
2019-03-05T04:04:07.471113: step 37, loss 1.15769, accuracy 0.75, precision 0.48936170212765956, recall 0.7419354838709677
2019-03-05T04:04:09.707176: step 38, loss 1.09855, accuracy 0.695312, precision 0.5409836065573771, recall 0.75
2019-03-05T04:04:11.956123: step 39, loss 0.535212, accuracy 0.8125, precision 0.8113207547169812, recall 0.7543859649122807
