Pretrained Embedding: ELMo
Italian: True
Loading data...
4681
Max Document length: 81
Vocabulary Size: 1
Train/Dev split: 4354/327
ELMo module loaded from tensorflow-hub
38
37
36
Writing to /home/ubuntu/Project/runs/1551760451

2019-03-05T04:34:17.168295: step 1, loss 2.70754, accuracy 0.570312, precision 0.3673469387755102, recall 0.42857142857142855
2019-03-05T04:34:18.320300: step 2, loss 9.09794, accuracy 0.382812, precision 1.0, recall 0.373015873015873
2019-03-05T04:34:19.441132: step 3, loss 3.10639, accuracy 0.632812, precision 0.24444444444444444, recall 0.4583333333333333
2019-03-05T04:34:20.560471: step 4, loss 7.12452, accuracy 0.59375, precision 0.0, recall 0.0
2019-03-05T04:34:21.687458: step 5, loss 4.37003, accuracy 0.695312, precision 0.07317073170731707, recall 0.75
2019-03-05T04:34:22.811678: step 6, loss 1.67585, accuracy 0.789062, precision 0.5961538461538461, recall 0.8378378378378378
2019-03-05T04:34:23.942122: step 7, loss 2.57454, accuracy 0.664062, precision 0.8536585365853658, recall 0.4861111111111111
2019-03-05T04:34:25.070887: step 8, loss 4.67069, accuracy 0.578125, precision 0.9787234042553191, recall 0.46464646464646464
2019-03-05T04:34:26.197212: step 9, loss 2.94333, accuracy 0.601562, precision 0.8181818181818182, recall 0.45569620253164556
2019-03-05T04:34:27.319683: step 10, loss 1.82056, accuracy 0.703125, precision 0.47058823529411764, recall 0.4444444444444444
2019-03-05T04:34:28.449080: step 11, loss 4.02506, accuracy 0.632812, precision 0.17307692307692307, recall 0.6923076923076923
2019-03-05T04:34:29.586618: step 12, loss 3.93057, accuracy 0.648438, precision 0.22448979591836735, recall 0.6111111111111112
2019-03-05T04:34:30.713765: step 13, loss 2.51325, accuracy 0.703125, precision 0.25, recall 0.8571428571428571
2019-03-05T04:34:31.830955: step 14, loss 1.79099, accuracy 0.765625, precision 0.45714285714285713, recall 0.5925925925925926
2019-03-05T04:34:32.965467: step 15, loss 1.765, accuracy 0.703125, precision 0.7755102040816326, recall 0.5846153846153846
2019-03-05T04:34:34.089451: step 16, loss 2.2475, accuracy 0.617188, precision 0.7894736842105263, recall 0.4225352112676056
2019-03-05T04:34:35.217068: step 17, loss 1.75875, accuracy 0.703125, precision 0.8723404255319149, recall 0.5616438356164384
2019-03-05T04:34:36.342290: step 18, loss 1.74322, accuracy 0.695312, precision 0.717391304347826, recall 0.559322033898305
2019-03-05T04:34:37.460498: step 19, loss 1.29683, accuracy 0.75, precision 0.6, recall 0.6585365853658537
2019-03-05T04:34:38.577346: step 20, loss 1.96779, accuracy 0.726562, precision 0.45098039215686275, recall 0.7666666666666667
2019-03-05T04:34:39.702900: step 21, loss 1.64325, accuracy 0.742188, precision 0.3877551020408163, recall 0.8636363636363636
