"C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\python.exe" "C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py"
Using TensorFlow backend.
Pretrained Embedding: Doc2Vec
Italian: True
Loading data...
4681
Max Document length: 81
WARNING:tensorflow:From C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py:82: VocabularyProcessor.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.text) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
WARNING:tensorflow:From C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\lib\site-packages\tensorflow\contrib\learn\python\learn\preprocessing\text.py:154: CategoricalVocabulary.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.categorical_vocabulary) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
WARNING:tensorflow:From C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\lib\site-packages\tensorflow\contrib\learn\python\learn\preprocessing\text.py:170: tokenizer (from tensorflow.contrib.learn.python.learn.preprocessing.text) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
Vocabulary Size: 7231
Train/Dev split: 4213/468
2019-03-03 14:16:09.311389: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
WARNING:tensorflow:From C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\main_pre_trained_embeddings.py:475: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

Writing to C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\runs\1551644202

2019-03-03T14:16:44.089784: step 1, loss 1.93435, accuracy 0.558594, precision 0.45263157894736844, recall 0.41346153846153844
2019-03-03T14:16:44.567022: step 2, loss 1.61934, accuracy 0.660156, precision 0.35714285714285715, recall 0.47619047619047616
2019-03-03T14:16:45.028649: step 3, loss 1.75623, accuracy 0.632812, precision 0.5212765957446809, recall 0.5
2019-03-03T14:16:45.488783: step 4, loss 1.82615, accuracy 0.636719, precision 0.5102040816326531, recall 0.5263157894736842
2019-03-03T14:16:45.953676: step 5, loss 1.51837, accuracy 0.644531, precision 0.5925925925925926, recall 0.4528301886792453
2019-03-03T14:16:46.420761: step 6, loss 1.37998, accuracy 0.714844, precision 0.6136363636363636, recall 0.5806451612903226
2019-03-03T14:16:46.894494: step 7, loss 1.24544, accuracy 0.757812, precision 0.4880952380952381, recall 0.6833333333333333
2019-03-03T14:16:47.379199: step 8, loss 1.74764, accuracy 0.699219, precision 0.4725274725274725, recall 0.5972222222222222
2019-03-03T14:16:47.846971: step 9, loss 1.17368, accuracy 0.742188, precision 0.5555555555555556, recall 0.6578947368421053
2019-03-03T14:16:48.318224: step 10, loss 1.19949, accuracy 0.714844, precision 0.5959595959595959, recall 0.6413043478260869
2019-03-03T14:16:48.796944: step 11, loss 1.2032, accuracy 0.742188, precision 0.7777777777777778, recall 0.6363636363636364
2019-03-03T14:16:49.271674: step 12, loss 1.35751, accuracy 0.707031, precision 0.7450980392156863, recall 0.608
2019-03-03T14:16:49.726464: step 13, loss 0.993845, accuracy 0.804688, precision 0.7523809523809524, recall 0.7669902912621359
2019-03-03T14:16:51.285532: step 14, loss 0.934096, accuracy 0.761719, precision 0.7586206896551724, recall 0.6226415094339622
2019-03-03T14:16:53.291190: step 15, loss 1.03564, accuracy 0.777344, precision 0.6601941747572816, recall 0.7555555555555555
2019-03-03T14:16:55.708033: step 16, loss 1.13916, accuracy 0.734375, precision 0.5909090909090909, recall 0.6190476190476191
2019-03-03T14:16:56.711612: step 17, loss 0.727949, accuracy 0.803419, precision 0.5625, recall 0.6666666666666666
2019-03-03T14:16:58.872256: step 18, loss 0.72769, accuracy 0.828125, precision 0.7159090909090909, recall 0.7682926829268293
2019-03-03T14:17:01.052813: step 19, loss 0.848366, accuracy 0.785156, precision 0.5617977528089888, recall 0.7575757575757576
2019-03-03T14:17:03.182016: step 20, loss 1.02109, accuracy 0.753906, precision 0.6176470588235294, recall 0.7241379310344828
2019-03-03T14:17:05.214751: step 21, loss 0.666687, accuracy 0.804688, precision 0.7474747474747475, recall 0.7474747474747475
