"C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\python.exe" "C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py"
Using TensorFlow backend.
fastText model loaded
Pretrained Embedding: fastText
Italian: True
Loading data...
4681
Max Document length: 81
WARNING:tensorflow:From C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py:82: VocabularyProcessor.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.text) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
WARNING:tensorflow:From C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\lib\site-packages\tensorflow\contrib\learn\python\learn\preprocessing\text.py:154: CategoricalVocabulary.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.categorical_vocabulary) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
Vocabulary Size: 1
Train/Dev split: 4213/468
2019-03-03 14:53:28.748339: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
WARNING:tensorflow:From C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\main_pre_trained_embeddings.py:475: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

Writing to C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\runs\1551646409

2019-03-03T14:53:30.534337: step 1, loss 0.897567, accuracy 0.484375, precision 0.8061224489795918, recall 0.4114583333333333
2019-03-03T14:53:31.129746: step 2, loss 0.788599, accuracy 0.546875, precision 0.40217391304347827, recall 0.37755102040816324
2019-03-03T14:53:31.721163: step 3, loss 0.694521, accuracy 0.640625, precision 0.30526315789473685, recall 0.5272727272727272
2019-03-03T14:53:32.308593: step 4, loss 0.674801, accuracy 0.707031, precision 0.29347826086956524, recall 0.7297297297297297
2019-03-03T14:53:32.896022: step 5, loss 0.639959, accuracy 0.710938, precision 0.29411764705882354, recall 0.6410256410256411
2019-03-03T14:53:33.493425: step 6, loss 0.570315, accuracy 0.722656, precision 0.42718446601941745, recall 0.7857142857142857
2019-03-03T14:53:34.084844: step 7, loss 0.654782, accuracy 0.683594, precision 0.4380952380952381, recall 0.6764705882352942
2019-03-03T14:53:34.671276: step 8, loss 0.562793, accuracy 0.757812, precision 0.5465116279069767, recall 0.6714285714285714
2019-03-03T14:53:35.265687: step 9, loss 0.64242, accuracy 0.667969, precision 0.5154639175257731, recall 0.5681818181818182
2019-03-03T14:53:35.854114: step 10, loss 0.489252, accuracy 0.792969, precision 0.7368421052631579, recall 0.7142857142857143
2019-03-03T14:53:36.444535: step 11, loss 0.603461, accuracy 0.726562, precision 0.6216216216216216, recall 0.5227272727272727
2019-03-03T14:53:37.036951: step 12, loss 0.559117, accuracy 0.769531, precision 0.75, recall 0.6407766990291263
2019-03-03T14:53:37.624381: step 13, loss 0.500204, accuracy 0.773438, precision 0.6739130434782609, recall 0.6888888888888889
2019-03-03T14:53:38.213807: step 14, loss 0.515741, accuracy 0.738281, precision 0.5058823529411764, recall 0.6323529411764706
2019-03-03T14:53:38.809213: step 15, loss 0.457143, accuracy 0.773438, precision 0.5520833333333334, recall 0.7794117647058824
2019-03-03T14:53:39.397639: step 16, loss 0.504041, accuracy 0.765625, precision 0.5050505050505051, recall 0.819672131147541
2019-03-03T14:53:39.692851: step 17, loss 0.590883, accuracy 0.692308, precision 0.3333333333333333, recall 0.5652173913043478
2019-03-03T14:53:40.285268: step 18, loss 0.411209, accuracy 0.804688, precision 0.5955056179775281, recall 0.7910447761194029
2019-03-03T14:53:40.877682: step 19, loss 0.364824, accuracy 0.847656, precision 0.6976744186046512, recall 0.821917808219178
2019-03-03T14:53:41.470099: step 20, loss 0.405432, accuracy 0.816406, precision 0.7010309278350515, recall 0.7906976744186046
2019-03-03T14:53:42.058526: step 21, loss 0.37173, accuracy 0.824219, precision 0.7023809523809523, recall 0.7468354430379747
2019-03-03T14:53:42.643960: step 22, loss 0.380069, accuracy 0.8125, precision 0.7156862745098039, recall 0.7934782608695652
2019-03-03T14:53:43.238373: step 23, loss 0.324217, accuracy 0.824219, precision 0.7669902912621359, recall 0.79
2019-03-03T14:53:43.840760: step 24, loss 0.373176, accuracy 0.820312, precision 0.86, recall 0.7288135593220338
2019-03-03T14:53:44.437167: step 25, loss 0.418803, accuracy 0.8125, precision 0.8, recall 0.7407407407407407
2019-03-03T14:53:45.031577: step 26, loss 0.357963, accuracy 0.8125, precision 0.8, recall 0.7238095238095238
2019-03-03T14:53:45.622995: step 27, loss 0.329485, accuracy 0.851562, precision 0.8314606741573034, recall 0.7628865979381443
2019-03-03T14:53:46.216410: step 28, loss 0.32069, accuracy 0.855469, precision 0.7789473684210526, recall 0.8222222222222222
2019-03-03T14:53:46.807828: step 29, loss 0.352212, accuracy 0.871094, precision 0.8229166666666666, recall 0.8315789473684211
2019-03-03T14:53:47.405231: step 30, loss 0.29407, accuracy 0.875, precision 0.8333333333333334, recall 0.7954545454545454
2019-03-03T14:53:48.002633: step 31, loss 0.245957, accuracy 0.902344, precision 0.8064516129032258, recall 0.9146341463414634
2019-03-03T14:53:48.598042: step 32, loss 0.349327, accuracy 0.839844, precision 0.7209302325581395, recall 0.7848101265822784
2019-03-03T14:53:49.200432: step 33, loss 0.273537, accuracy 0.875, precision 0.7341772151898734, recall 0.8405797101449275
2019-03-03T14:53:49.497664: step 34, loss 0.292906, accuracy 0.871795, precision 0.7441860465116279, recall 0.8888888888888888
2019-03-03T14:53:50.094041: step 35, loss 0.263156, accuracy 0.878906, precision 0.7674418604651163, recall 0.8571428571428571
2019-03-03T14:53:50.738319: step 36, loss 0.265356, accuracy 0.878906, precision 0.7391304347826086, recall 0.9066666666666666
2019-03-03T14:53:52.670155: step 37, loss 0.269048, accuracy 0.882812, precision 0.7916666666666666, recall 0.8837209302325582
2019-03-03T14:53:55.035830: step 38, loss 0.211992, accuracy 0.910156, precision 0.8170731707317073, recall 0.8933333333333333
2019-03-03T14:53:56.844992: step 39, loss 0.267968, accuracy 0.894531, precision 0.8202247191011236, recall 0.8690476190476191
2019-03-03T14:53:58.435740: step 40, loss 0.246612, accuracy 0.894531, precision 0.81, recall 0.9101123595505618
2019-03-03T14:53:59.667447: step 41, loss 0.237466, accuracy 0.894531, precision 0.8235294117647058, recall 0.8536585365853658
2019-03-03T14:54:00.956002: step 42, loss 0.308335, accuracy 0.871094, precision 0.8021978021978022, recall 0.8295454545454546
2019-03-03T14:54:02.198679: step 43, loss 0.189579, accuracy 0.9375, precision 0.9368421052631579, recall 0.898989898989899
2019-03-03T14:54:03.231917: step 44, loss 0.262579, accuracy 0.878906, precision 0.8478260869565217, recall 0.8210526315789474
2019-03-03T14:54:04.322999: step 45, loss 0.245667, accuracy 0.90625, precision 0.8602150537634409, recall 0.8791208791208791
2019-03-03T14:54:05.350252: step 46, loss 0.169515, accuracy 0.945312, precision 0.9387755102040817, recall 0.92
2019-03-03T14:54:06.357560: step 47, loss 0.230188, accuracy 0.921875, precision 0.89, recall 0.9081632653061225
2019-03-03T14:54:07.339933: step 48, loss 0.226696, accuracy 0.914062, precision 0.8554216867469879, recall 0.8765432098765432
2019-03-03T14:54:08.301364: step 49, loss 0.240834, accuracy 0.917969, precision 0.8780487804878049, recall 0.8674698795180723
2019-03-03T14:54:09.237859: step 50, loss 0.187264, accuracy 0.917969, precision 0.8918918918918919, recall 0.9166666666666666
2019-03-03T14:54:09.700621: step 51, loss 0.258812, accuracy 0.923077, precision 0.8913043478260869, recall 0.9111111111111111
2019-03-03T14:54:10.615177: step 52, loss 0.19016, accuracy 0.921875, precision 0.8809523809523809, recall 0.8809523809523809
2019-03-03T14:54:11.503800: step 53, loss 0.192654, accuracy 0.9375, precision 0.891566265060241, recall 0.9135802469135802
2019-03-03T14:54:12.389433: step 54, loss 0.157438, accuracy 0.949219, precision 0.9318181818181818, recall 0.9213483146067416
2019-03-03T14:54:13.257113: step 55, loss 0.188661, accuracy 0.929688, precision 0.8469387755102041, recall 0.9651162790697675
2019-03-03T14:54:14.108838: step 56, loss 0.178701, accuracy 0.917969, precision 0.8571428571428571, recall 0.9230769230769231
2019-03-03T14:54:14.958566: step 57, loss 0.208602, accuracy 0.929688, precision 0.8942307692307693, recall 0.93
2019-03-03T14:54:15.788346: step 58, loss 0.147369, accuracy 0.945312, precision 0.9130434782608695, recall 0.9333333333333333
2019-03-03T14:54:16.603168: step 59, loss 0.138122, accuracy 0.953125, precision 0.9333333333333333, recall 0.9514563106796117
