"C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\python.exe" "C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py"
Using TensorFlow backend.
GloVe model loaded
Pretrained Embedding: GloVe
Italian: False
Loading data...
11566
WARNING:tensorflow:From C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py:88: VocabularyProcessor.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.text) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
Max Document length: 36
WARNING:tensorflow:From C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\lib\site-packages\tensorflow\contrib\learn\python\learn\preprocessing\text.py:154: CategoricalVocabulary.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.categorical_vocabulary) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
Dimension of the training set:  30
Vocabulary Size: 1
Train/Unlabeled/Dev split: 3000/7500/750
2019-04-03 11:28:03.686661: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
WARNING:tensorflow:From C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\main_pre_trained_embeddings.py:511: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

Writing to C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\runs\1554308886

2019-04-03T11:28:09.666959: step 1, loss 2.03892, accuracy 0.433333, precision 0.631578947368421, recall 0.5454545454545454
2019-04-03T11:28:09.921244: step 2, loss 1.28956, accuracy 0.5, precision 0.5789473684210527, recall 0.6111111111111112
2019-04-03T11:28:10.325156: step 3, loss 0.258894, accuracy 0.9, precision 0.8421052631578947, recall 1.0
2019-04-03T11:28:10.678723: step 4, loss 0.372612, accuracy 0.8, precision 0.8947368421052632, recall 0.8095238095238095
2019-04-03T11:28:10.939526: step 5, loss 0.46938, accuracy 0.866667, precision 0.9473684210526315, recall 0.8571428571428571
2019-04-03T11:28:11.325509: step 6, loss 0.261847, accuracy 0.9, precision 0.9473684210526315, recall 0.9
2019-04-03T11:28:11.668126: step 7, loss 0.27514, accuracy 0.9, precision 0.8947368421052632, recall 0.9444444444444444
2019-04-03T11:28:11.917459: step 8, loss 0.159455, accuracy 0.933333, precision 0.8947368421052632, recall 1.0
2019-04-03T11:28:12.312909: step 9, loss 0.18192, accuracy 0.966667, precision 1.0, recall 0.95
2019-04-03T11:28:12.636068: step 10, loss 0.0711134, accuracy 0.966667, precision 1.0, recall 0.95
2019-04-03T11:28:12.916830: step 11, loss 0.0670466, accuracy 0.966667, precision 0.9473684210526315, recall 1.0
2019-04-03T11:28:13.280265: step 12, loss 0.0332311, accuracy 1, precision 1.0, recall 1.0
2019-04-03T11:28:13.595954: step 13, loss 0.0425401, accuracy 0.966667, precision 1.0, recall 0.95
2019-04-03T11:28:13.890168: step 14, loss 0.00875802, accuracy 1, precision 1.0, recall 1.0
2019-04-03T11:28:14.254193: step 15, loss 0.0379343, accuracy 0.966667, precision 1.0, recall 0.95
2019-04-03T11:28:14.566359: step 16, loss 0.00263527, accuracy 1, precision 1.0, recall 1.0
