GloVe model loaded
Pretrained Embedding: GloVe
Italian: False
Loading data...
11566
Max Document length: 36
Dimension of the training set:  300
Vocabulary Size: 1
Train/Unlabeled/Dev split: 3000/7500/750
Writing to /home/ubuntu/Project/runs/1554180548

2019-04-02T04:49:12.251864: step 1, loss 0.729997, accuracy 0.41, precision 0.09392265193370165, recall 0.5666666666666667
2019-04-02T04:49:12.430818: step 2, loss 0.714923, accuracy 0.466667, precision 0.2596685082872928, recall 0.6438356164383562
2019-04-02T04:49:12.613235: step 3, loss 0.661173, accuracy 0.61, precision 0.6519337016574586, recall 0.686046511627907
2019-04-02T04:49:12.793005: step 4, loss 0.604135, accuracy 0.766667, precision 0.8839779005524862, recall 0.7655502392344498
2019-04-02T04:49:12.971277: step 5, loss 0.575899, accuracy 0.773333, precision 0.9779005524861878, recall 0.7344398340248963
2019-04-02T04:49:13.148712: step 6, loss 0.540007, accuracy 0.776667, precision 1.0, recall 0.7298387096774194
2019-04-02T04:49:13.325416: step 7, loss 0.513543, accuracy 0.763333, precision 1.0, recall 0.7182539682539683
2019-04-02T04:49:13.507214: step 8, loss 0.464233, accuracy 0.78, precision 1.0, recall 0.7327935222672065
2019-04-02T04:49:13.689890: step 9, loss 0.453874, accuracy 0.776667, precision 1.0, recall 0.7298387096774194
2019-04-02T04:49:13.868573: step 10, loss 0.400941, accuracy 0.843333, precision 1.0, recall 0.793859649122807
2019-04-02T04:49:14.048750: step 11, loss 0.366636, accuracy 0.893333, precision 1.0, recall 0.8497652582159625
2019-04-02T04:49:14.226390: step 12, loss 0.318301, accuracy 0.92, precision 1.0, recall 0.8829268292682927
2019-04-02T04:49:14.405591: step 13, loss 0.293296, accuracy 0.933333, precision 1.0, recall 0.900497512437811
2019-04-02T04:49:14.588912: step 14, loss 0.260698, accuracy 0.953333, precision 0.994475138121547, recall 0.9326424870466321
2019-04-02T04:49:14.770489: step 15, loss 0.217174, accuracy 0.956667, precision 1.0, recall 0.9329896907216495
2019-04-02T04:49:14.950639: step 16, loss 0.200427, accuracy 0.963333, precision 1.0, recall 0.9427083333333334
2019-04-02T04:49:15.148108: step 17, loss 0.174906, accuracy 0.98, precision 1.0, recall 0.9679144385026738
2019-04-02T04:49:15.343787: step 18, loss 0.147314, accuracy 0.986667, precision 0.994475138121547, recall 0.9836065573770492
2019-04-02T04:49:15.539509: step 19, loss 0.128302, accuracy 0.986667, precision 0.994475138121547, recall 0.9836065573770492
2019-04-02T04:49:15.734284: step 20, loss 0.113917, accuracy 0.983333, precision 1.0, recall 0.9731182795698925
2019-04-02T04:49:15.934766: step 21, loss 0.0948411, accuracy 0.993333, precision 1.0, recall 0.9890710382513661
2019-04-02T04:49:16.132571: step 22, loss 0.0754767, accuracy 0.996667, precision 1.0, recall 0.9945054945054945
2019-04-02T04:49:16.327813: step 23, loss 0.0637612, accuracy 0.993333, precision 1.0, recall 0.9890710382513661
2019-04-02T04:49:16.525131: step 24, loss 0.0589963, accuracy 0.996667, precision 1.0, recall 0.9945054945054945
2019-04-02T04:49:16.722395: step 25, loss 0.0516843, accuracy 0.993333, precision 1.0, recall 0.9890710382513661

Evaluation:
[[396  85]
 [ 95 174]]
2019-04-02T04:49:17.077235: step 25, loss 0.493021, accuracy 0.76, precision 0.8232848232848233, recall 0.8065173116089613

2019-04-02T04:49:17.269123: step 26, loss 0.0385417, accuracy 0.996667, precision 1.0, recall 0.9945054945054945
2019-04-02T04:49:17.458150: step 27, loss 0.0371044, accuracy 0.996667, precision 1.0, recall 0.9945054945054945
2019-04-02T04:49:17.649657: step 28, loss 0.0299911, accuracy 0.996667, precision 1.0, recall 0.9945054945054945
2019-04-02T04:49:17.840987: step 29, loss 0.0274046, accuracy 0.996667, precision 1.0, recall 0.9945054945054945
2019-04-02T04:49:18.033633: step 30, loss 0.0245679, accuracy 0.996667, precision 1.0, recall 0.9945054945054945
2019-04-02T04:49:18.225233: step 31, loss 0.0203631, accuracy 0.996667, precision 1.0, recall 0.9945054945054945
2019-04-02T04:49:18.413862: step 32, loss 0.0194492, accuracy 0.996667, precision 1.0, recall 0.9945054945054945
2019-04-02T04:49:18.602246: step 33, loss 0.015809, accuracy 0.996667, precision 1.0, recall 0.9945054945054945
2019-04-02T04:49:18.790884: step 34, loss 0.0158876, accuracy 0.996667, precision 1.0, recall 0.9945054945054945
2019-04-02T04:49:18.981208: step 35, loss 0.0166257, accuracy 0.996667, precision 1.0, recall 0.9945054945054945
