fastText model loaded
Pretrained Embedding: fastText
Italian: False
Loading data...
11566
Max Document length: 36
Dimension of the training set:  300
Vocabulary Size: 1
Train/Unlabeled/Dev split: 3000/7500/750
Writing to /home/ubuntu/Project/runs/1554179751

2019-04-02T04:35:54.533676: step 1, loss 0.721844, accuracy 0.42, precision 0.27053140096618356, recall 0.7088607594936709
2019-04-02T04:35:54.718810: step 2, loss 0.698631, accuracy 0.47, precision 0.4782608695652174, recall 0.66
2019-04-02T04:35:54.905082: step 3, loss 0.641342, accuracy 0.69, precision 0.8647342995169082, recall 0.7336065573770492
2019-04-02T04:35:55.088699: step 4, loss 0.587063, accuracy 0.753333, precision 0.9855072463768116, recall 0.7418181818181818
2019-04-02T04:35:55.270792: step 5, loss 0.55507, accuracy 0.743333, precision 0.9951690821256038, recall 0.7304964539007093
2019-04-02T04:35:55.458409: step 6, loss 0.517077, accuracy 0.723333, precision 1.0, recall 0.7137931034482758
2019-04-02T04:35:55.642329: step 7, loss 0.487124, accuracy 0.716667, precision 1.0, recall 0.708904109589041
2019-04-02T04:35:55.825404: step 8, loss 0.460974, accuracy 0.713333, precision 1.0, recall 0.7064846416382252
2019-04-02T04:35:56.012888: step 9, loss 0.429418, accuracy 0.713333, precision 1.0, recall 0.7064846416382252
2019-04-02T04:35:56.197079: step 10, loss 0.40199, accuracy 0.733333, precision 1.0, recall 0.7212543554006968
2019-04-02T04:35:56.382528: step 11, loss 0.371158, accuracy 0.77, precision 1.0, recall 0.75
2019-04-02T04:35:56.565798: step 12, loss 0.347109, accuracy 0.84, precision 1.0, recall 0.8117647058823529
2019-04-02T04:35:56.750283: step 13, loss 0.30749, accuracy 0.883333, precision 1.0, recall 0.8553719008264463
2019-04-02T04:35:56.935757: step 14, loss 0.278196, accuracy 0.906667, precision 1.0, recall 0.8808510638297873
2019-04-02T04:35:57.122046: step 15, loss 0.251446, accuracy 0.933333, precision 1.0, recall 0.9118942731277533
2019-04-02T04:35:57.320883: step 16, loss 0.223466, accuracy 0.946667, precision 1.0, recall 0.9282511210762332
2019-04-02T04:35:57.517236: step 17, loss 0.186129, accuracy 0.976667, precision 1.0, recall 0.9672897196261683
2019-04-02T04:35:57.715969: step 18, loss 0.15896, accuracy 0.983333, precision 0.9951690821256038, recall 0.9809523809523809
2019-04-02T04:35:57.913564: step 19, loss 0.147108, accuracy 0.976667, precision 0.9951690821256038, recall 0.9716981132075472
2019-04-02T04:35:58.110976: step 20, loss 0.12327, accuracy 0.99, precision 0.9951690821256038, recall 0.9903846153846154
2019-04-02T04:35:58.307264: step 21, loss 0.107788, accuracy 0.983333, precision 0.9951690821256038, recall 0.9809523809523809
2019-04-02T04:35:58.503923: step 22, loss 0.0969702, accuracy 0.996667, precision 1.0, recall 0.9951923076923077
2019-04-02T04:35:58.702998: step 23, loss 0.0756217, accuracy 0.993333, precision 0.9951690821256038, recall 0.9951690821256038
2019-04-02T04:35:58.900987: step 24, loss 0.0681078, accuracy 0.993333, precision 0.9951690821256038, recall 0.9951690821256038
2019-04-02T04:35:59.099241: step 25, loss 0.0577064, accuracy 0.993333, precision 0.9951690821256038, recall 0.9951690821256038

Evaluation:
[[442  37]
 [154 117]]
2019-04-02T04:35:59.447824: step 25, loss 0.520632, accuracy 0.745333, precision 0.9227557411273486, recall 0.7416107382550335

2019-04-02T04:35:59.639239: step 26, loss 0.0489059, accuracy 0.996667, precision 1.0, recall 0.9951923076923077
2019-04-02T04:35:59.828943: step 27, loss 0.0390227, accuracy 0.996667, precision 1.0, recall 0.9951923076923077
2019-04-02T04:36:00.016888: step 28, loss 0.031157, accuracy 0.996667, precision 1.0, recall 0.9951923076923077
