"C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\python.exe" "C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py"
Using TensorFlow backend.
GloVe model loaded
Pretrained Embedding: GloVe
Italian: False
Loading data...
11566
Max Document length: 36
WARNING:tensorflow:From C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py:88: VocabularyProcessor.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.text) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
WARNING:tensorflow:From C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\lib\site-packages\tensorflow\contrib\learn\python\learn\preprocessing\text.py:154: CategoricalVocabulary.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.categorical_vocabulary) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
Dimension of the training set:  150
Vocabulary Size: 1
Train/Unlabeled/Dev split: 3000/7500/750
2019-04-03 10:19:51.890603: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
WARNING:tensorflow:From C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\main_pre_trained_embeddings.py:511: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

Writing to C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\runs\1554304796

2019-04-03T10:20:02.388553: step 1, loss 2.70248, accuracy 0.52, precision 0.5272727272727272, recall 0.7435897435897436
2019-04-03T10:20:03.194873: step 2, loss 3.53515, accuracy 0.733333, precision 0.990909090909091, recall 0.7364864864864865
2019-04-03T10:20:04.060558: step 3, loss 3.29215, accuracy 0.726667, precision 0.9727272727272728, recall 0.7379310344827587
2019-04-03T10:20:04.932258: step 4, loss 1.9833, accuracy 0.673333, precision 0.8454545454545455, recall 0.744
2019-04-03T10:20:05.836839: step 5, loss 2.3232, accuracy 0.493333, precision 0.43636363636363634, recall 0.7741935483870968
2019-04-03T10:20:06.654651: step 6, loss 1.9502, accuracy 0.586667, precision 0.5181818181818182, recall 0.8636363636363636
2019-04-03T10:20:07.428582: step 7, loss 1.58505, accuracy 0.666667, precision 0.7, recall 0.8191489361702128
2019-04-03T10:20:08.313216: step 8, loss 1.53967, accuracy 0.74, precision 0.9272727272727272, recall 0.7669172932330827
2019-04-03T10:20:08.887680: step 9, loss 1.60403, accuracy 0.74, precision 0.9090909090909091, recall 0.7751937984496124
2019-04-03T10:20:09.605760: step 10, loss 1.58322, accuracy 0.76, precision 0.9545454545454546, recall 0.7720588235294118
2019-04-03T10:20:10.316857: step 11, loss 1.44559, accuracy 0.78, precision 0.9545454545454546, recall 0.7894736842105263
2019-04-03T10:20:11.038927: step 12, loss 0.971219, accuracy 0.813333, precision 0.9363636363636364, recall 0.8306451612903226
2019-04-03T10:20:11.755043: step 13, loss 1.155, accuracy 0.726667, precision 0.7818181818181819, recall 0.8349514563106796
2019-04-03T10:20:12.495574: step 14, loss 1.16162, accuracy 0.74, precision 0.7363636363636363, recall 0.8901098901098901
2019-04-03T10:20:13.205673: step 15, loss 0.841755, accuracy 0.76, precision 0.7454545454545455, recall 0.9111111111111111
