"C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\python.exe" "C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py"
Using TensorFlow backend.
fastText model loaded
Pretrained Embedding: fastText
Italian: False
Loading data...
11566
Max Document length: 36
WARNING:tensorflow:From C:/Users/aless/Documents/University of Illinois at Chicago/Spring 2019/Project/train.py:88: VocabularyProcessor.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.text) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
WARNING:tensorflow:From C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python36_64\lib\site-packages\tensorflow\contrib\learn\python\learn\preprocessing\text.py:154: CategoricalVocabulary.__init__ (from tensorflow.contrib.learn.python.learn.preprocessing.categorical_vocabulary) is deprecated and will be removed in a future version.
Instructions for updating:
Please use tensorflow/transform or tf.data.
Dimension of the training set:  150
Vocabulary Size: 1
Train/Unlabeled/Dev split: 3000/7500/750
2019-04-02 23:54:19.503345: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2
WARNING:tensorflow:From C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\main_pre_trained_embeddings.py:511: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

Writing to C:\Users\aless\Documents\University of Illinois at Chicago\Spring 2019\Project\runs\1554267265

2019-04-02T23:54:32.358467: step 1, loss 0.79229, accuracy 0.5, precision 0.6382978723404256, recall 0.594059405940594
2019-04-02T23:54:33.174285: step 2, loss 0.646278, accuracy 0.6, precision 0.7340425531914894, recall 0.6634615384615384
2019-04-02T23:54:34.090835: step 3, loss 0.549978, accuracy 0.713333, precision 0.8617021276595744, recall 0.7297297297297297
2019-04-02T23:54:35.043287: step 4, loss 0.493826, accuracy 0.76, precision 0.925531914893617, recall 0.75
2019-04-02T23:54:36.041617: step 5, loss 0.403174, accuracy 0.866667, precision 0.9574468085106383, recall 0.8490566037735849
2019-04-02T23:54:36.982102: step 6, loss 0.362769, accuracy 0.853333, precision 0.925531914893617, recall 0.8529411764705882
2019-04-02T23:54:37.885687: step 7, loss 0.327683, accuracy 0.886667, precision 0.9148936170212766, recall 0.9052631578947369
2019-04-02T23:54:38.810213: step 8, loss 0.272365, accuracy 0.953333, precision 0.9574468085106383, recall 0.967741935483871
2019-04-02T23:54:39.834476: step 9, loss 0.235571, accuracy 0.94, precision 0.9680851063829787, recall 0.9381443298969072
2019-04-02T23:54:40.773967: step 10, loss 0.203528, accuracy 0.973333, precision 0.9787234042553191, recall 0.9787234042553191
2019-04-02T23:54:41.747359: step 11, loss 0.197041, accuracy 0.966667, precision 0.9893617021276596, recall 0.9587628865979382
2019-04-02T23:54:42.748681: step 12, loss 0.162948, accuracy 0.973333, precision 0.9893617021276596, recall 0.96875
2019-04-02T23:54:43.776932: step 13, loss 0.189481, accuracy 0.946667, precision 0.9893617021276596, recall 0.93
2019-04-02T23:54:44.447138: step 14, loss 0.149404, accuracy 0.973333, precision 0.9893617021276596, recall 0.96875
2019-04-02T23:54:45.366679: step 15, loss 0.151307, accuracy 0.973333, precision 0.9787234042553191, recall 0.9787234042553191
